Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0014G-1H-1, 78.0 cm",NULL,0.755,0.78,0.755,0.78,"C0014G-1H-1, 80.0 cm",NULL,0.775,0.8,0.775,0.8,"C0014G-1H-1 W, 78.0--80.0 cm",CKY000000000003275200,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:24:27Z,107,glass beaker,6.086,2.715,13.7837,7.8393,7.6977,107,glass beaker,6.086,2.715,10.2936,4.3644,4.2076,3.6167,3.5319,1.5924,5.1243,1.6494,0.1266,0.057,4.081,0.4698,0.8862,1.5022,0.7964,2.5628,0.6892,2.218,fuway,2010-09-23T11:10:23Z
"C0014G-1H-2, 64.0 cm",NULL,1.995,2.06,1.995,2.06,"C0014G-1H-2, 66.0 cm",NULL,2.014,2.08,2.014,2.08,"C0014G-1H-2 W, 64.0--66.0 cm",CKY000000000003275300,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:24:48Z,142,glass beaker,6.094,2.75,13.8985,7.9341,7.8045,142,glass beaker,6.094,2.75,10.2419,4.2934,4.1479,3.7892,3.7004,1.4837,5.1841,1.5434,0.1326,0.0597,4.0153,0.4855,0.9437,1.5055,0.7745,2.7063,0.7138,2.494,fuway,2010-09-23T11:10:23Z
"C0014G-1H-3, 26.0 cm",NULL,2.992,3.09,2.992,3.09,"C0014G-1H-3, 28.0 cm",NULL,3.012,3.11,3.012,3.11,"C0014G-1H-3 W, 26.0--28.0 cm",CKY000000000003275400,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:25:05Z,116,glass beaker,6.073,2.733,15.2175,8.8055,9.1445,116,glass beaker,6.073,2.733,11.0705,4.6765,4.9975,4.2974,4.1967,1.8758,6.0725,1.9435,0.1504,0.0677,4.8471,0.4699,0.8866,1.5059,0.7982,2.584,0.6911,2.2373,fuway,2010-09-23T11:10:23Z
"C0014G-1H-4, 39.0 cm",NULL,4.469,4.615,4.469,4.615,"C0014G-1H-4, 41.0 cm",NULL,4.489,4.635,4.489,4.635,"C0014G-1H-4 W, 39.0--41.0 cm",CKY000000000003275500,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:25:22Z,133,glass beaker,6.028,2.735,11.9628,6.5801,5.9348,133,glass beaker,6.028,2.735,9.3381,3.9668,3.3101,2.7199,2.6562,1.1889,3.8451,1.2318,0.0952,0.0429,3.2149,0.4583,0.846,1.5435,0.8361,2.7041,0.6908,2.2342,fuway,2010-09-23T11:10:23Z
"C0014G-1H-4, 134.0 cm",NULL,5.389,5.565,5.389,5.565,"C0014G-1H-4, 136.0 cm",NULL,5.409,5.585,5.409,5.585,"C0014G-1H-4 W, 134.0--136.0 cm",CKY000000000003275600,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:25:52Z,114,glass beaker,6.066,2.768,14.5137,8.1568,8.4477,114,glass beaker,6.066,2.768,10.8512,4.5103,4.7852,3.7953,3.7063,1.6825,5.3888,1.7423,0.1328,0.0598,4.6524,0.4493,0.8158,1.5676,0.8633,2.7652,0.6878,2.2029,fuway,2010-09-23T11:10:23Z
"C0014G-1H-5, 27.0 cm",NULL,5.723,5.91,5.723,5.91,"C0014G-1H-5, 29.0 cm",NULL,5.743,5.93,5.743,5.93,"C0014G-1H-5 W, 27.0--29.0 cm",CKY000000000003275700,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:26:38Z,143,glass beaker,5.967,2.736,14.0637,7.9264,8.0967,143,glass beaker,5.967,2.736,10.4944,4.3726,4.5274,3.6988,3.6121,1.5783,5.1904,1.6366,0.1295,0.0583,4.3979,0.4568,0.841,1.5599,0.8473,2.7865,0.6959,2.2886,fuway,2010-09-23T11:10:23Z
"C0014G-1H-5, 98.0 cm",NULL,6.411,6.62,6.411,6.62,"C0014G-1H-5, 100.0 cm",NULL,6.43,6.64,6.43,6.64,"C0014G-1H-5 W, 98.0--100.0 cm",CKY000000000003275800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:26:55Z,113,glass beaker,5.987,2.719,12.5787,7.3325,6.5917,113,glass beaker,5.987,2.719,9.6776,4.4441,3.6906,3.0063,2.9358,1.6777,4.6135,1.7251,0.1052,0.0474,3.5854,0.4561,0.8385,1.4288,0.7772,2.1371,0.6363,1.7499,fuway,2010-09-23T11:10:23Z
"C0014G-1H-6, 79.0 cm",NULL,7.592,7.84,7.592,7.84,"C0014G-1H-6, 81.0 cm",NULL,7.612,7.86,7.612,7.86,"C0014G-1H-6 W, 79.0--81.0 cm",CKY000000000003276700,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:38:42Z,502,glass beaker,6.067,2.744,12.742,7.5194,6.675,502,glass beaker,6.067,2.744,9.4556,4.2473,3.3886,3.4056,3.3258,1.4496,4.7754,1.5033,0.1192,0.0537,3.2694,0.5102,1.0417,1.3978,0.6846,2.2554,0.6964,2.2943,fuway,2010-09-23T11:10:24Z
"C0014G-1H-7, 19.0 cm",NULL,8.377,8.65,8.377,8.65,"C0014G-1H-7, 21.0 cm",NULL,8.396,8.67,8.396,8.67,"C0014G-1H-7 W, 19.0--21.0 cm",CKY000000000003276800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T04:39:10Z,418,glass beaker,6.194,2.818,10.3937,6.065,4.1997,418,glass beaker,6.194,2.818,7.7997,3.4823,1.6057,2.6881,2.6251,0.6219,3.247,0.6643,0.0941,0.0424,1.5116,0.6401,1.7783,1.2934,0.4655,2.4306,0.8085,4.2211,fuway,2010-09-23T11:10:24Z
"C0014G-2H-1, 26.0 cm",NULL,9.451,9.46,9.451,9.46,"C0014G-2H-1, 28.0 cm",NULL,9.47,9.48,9.47,9.48,"C0014G-2H-1 W, 26.0--28.0 cm",CKY000000000003283000,PP,NULL,5,hilairy331,NULL,CKY,2010-09-21T07:37:01Z,111,glass beaker,6.064,2.728,11.1061,6.2791,5.0421,111,glass beaker,6.064,2.728,8.6815,3.8651,2.6175,2.5125,2.4536,1.0975,3.5511,1.1371,0.0879,0.0396,2.5296,0.4983,0.9932,1.4199,0.7123,2.3049,0.6909,2.2356,fuway,2010-09-23T11:10:24Z
