Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0004C-4H-5, 92.0 cm",NULL,30.221,30.545,30.221,30.545,"C0004C-4H-5, 93.0 cm",NULL,30.231,30.555,30.231,30.555,"C0004C-4H-5 W, 92.0--93.0 cm",CKY000000000000764700,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:16Z,172,glass beaker,6.038,2.688,12.591,6.616129,6.553,172,glass beaker,6.038,2.688,10.279,4.3142,4.241,2.395855,2.339702,1.588427,3.928129,1.6262,0.08385499,0.03777252,4.157145,0.3656119,0.5763222,1.668224,1.058301,2.617145,0.5956275,1.472968,david_goldsby316,2007-12-25T08:26:12Z
"C0004C-4H-6, 48.0 cm",NULL,31.149,31.535,31.149,31.535,"C0004C-4H-6, 49.5 cm",NULL,31.163,31.55,31.163,31.55,"C0004C-4H-6 W, 48.0--49.5 cm",CKY000000000000764800,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:16Z,5,glass cell,4.594,2.062,13.335,7.205658,8.741,5,glass cell,4.594,2.062,10.295,4.1789,5.701,3.150259,3.076425,2.067233,5.143658,2.1169,0.1102592,0.04966628,5.590741,0.3604003,0.5634779,1.699374,1.086919,2.704456,0.5981005,1.488184,david_goldsby316,2007-12-25T08:27:25Z
"C0004C-4H-6, 98.0 cm",NULL,31.618,32.035,31.618,32.035,"C0004C-4H-6, 100.0 cm",NULL,31.637,32.055,31.637,32.055,"C0004C-4H-6 W, 98.0--100.0 cm",CKY000000000000764900,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:16Z,16,glass cell,4.613,2.072,14.678,7.938439,10.065,16,glass cell,4.613,2.072,11.335,4.61,6.722,3.464249,3.383055,2.483383,5.866439,2.538,0.1212488,0.05461658,6.600751,0.3441877,0.5248264,1.715692,1.125172,2.657967,0.5766796,1.362277,david_goldsby316,2007-12-25T08:28:46Z
"C0004C-4H-7, 32.0 cm",NULL,32.349,32.815,32.349,32.815,"C0004C-4H-7, 34.0 cm",NULL,32.368,32.835,32.368,32.835,"C0004C-4H-7 W, 32.0--34.0 cm",CKY000000000000765000,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:17Z,204,glass beaker,6.059,2.716,13.975,7.550415,7.916,204,glass beaker,6.059,2.716,10.994,4.5824,4.935,3.089119,3.016718,1.817697,4.834415,1.8664,0.1081193,0.04870237,4.826881,0.3902374,0.6399825,1.637427,0.9984415,2.655492,0.6240088,1.659637,david_goldsby316,2007-12-25T08:29:43Z
"C0004C-4H-7, 100.0 cm",NULL,32.987,33.495,32.987,33.495,"C0004C-4H-7, 102.0 cm",NULL,33.005,33.515,33.005,33.515,"C0004C-4H-7 W, 100.0--102.0 cm",CKY000000000000765100,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:17Z,173,glass beaker,5.972,2.711,14.982,8.001984,9.01,173,glass beaker,5.972,2.711,11.833,4.8667,5.861,3.263213,3.186731,2.104253,5.290984,2.1557,0.1142125,0.05144708,5.746787,0.3621768,0.5678325,1.702897,1.086147,2.731034,0.6022946,1.514424,david_goldsby316,2007-12-25T08:30:54Z
"C0004C-4H-8, 24.0 cm",NULL,33.605,34.155,33.605,34.155,"C0004C-4H-8, 25.0 cm",NULL,33.615,34.165,33.615,34.165,"C0004C-4H-8 W, 24.0--25.0 cm",CKY000000000000765200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:17Z,190,glass beaker,6.064,2.72,15.1,8.274716,9.036,190,glass beaker,6.064,2.72,11.614,4.8039,5.55,3.612435,3.527769,2.026947,5.554716,2.0839,0.1264353,0.05695285,5.423565,0.3997826,0.6660629,1.626726,0.9763892,2.675731,0.6350944,1.740435,david_goldsby316,2007-12-25T08:31:46Z
"C0004C-4H-8, 100.0 cm",NULL,34.318,34.915,34.318,34.915,"C0004C-4H-8, 101.0 cm",NULL,34.327,34.925,34.327,34.925,"C0004C-4H-8 W, 100.0--101.0 cm",CKY000000000000765300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T06:31:18Z,153,glass beaker,6.069,2.733,14.775,8.023904,8.706,153,glass beaker,6.069,2.733,11.493,4.7562,5.424,3.401036,3.321324,1.96958,5.290904,2.0232,0.1190364,0.05361998,5.304964,0.3906543,0.6411045,1.645465,1.002657,2.693449,0.6277423,1.686311,david_goldsby316,2007-12-25T08:32:42Z
"C0004C-5H-1, 19.0 cm",NULL,35.056,35.07,35.056,35.07,"C0004C-5H-1, 21.0 cm",NULL,35.075,35.09,35.075,35.09,"C0004C-5H-1 W, 19.0--21.0 cm",CKY000000000000770400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T07:37:18Z,129,glass beaker,6.074,2.747,13.572,7.268596,7.498,129,glass beaker,6.074,2.747,10.816,4.5246,4.742,2.855959,2.789022,1.732574,4.521596,1.7776,0.09995863,0.04502641,4.642041,0.380896,0.6152376,1.658264,1.026638,2.679275,0.6168225,1.609757,david_goldsby316,2007-12-25T08:33:42Z
"C0004C-5H-1, 63.0 cm",NULL,35.464,35.51,35.464,35.51,"C0004C-5H-1, 64.5 cm",NULL,35.478,35.525,35.478,35.525,"C0004C-5H-1 WR, 63.0--64.5 cm",CKY000000000000762500,PP,NULL,8,Arito316,NULL,CKY,2007-12-21T02:34:29Z,200,glass beaker,6.013,2.72,15.612,8.393252,9.599,200,glass beaker,6.013,2.72,12.318,5.1136,6.305,3.413472,3.333468,2.339784,5.673252,2.3936,0.1194716,0.05381603,6.185528,0.355607,0.551848,1.691975,1.090297,2.643633,0.5875763,1.424691,david_goldsby316,2007-12-25T08:21:58Z
"C0004C-5H-1, 119.0 cm",NULL,35.984,36.07,35.984,36.07,"C0004C-5H-1, 121.0 cm",NULL,36.002,36.09,36.002,36.09,"C0004C-5H-1 W, 119.0--121.0 cm",CKY000000000000770500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T07:37:18Z,26,glass cell,4.589,2.068,12.503,6.990475,7.914,26,glass cell,4.589,2.068,9.306,3.8074,4.717,3.312953,3.235306,1.687169,4.922475,1.7394,0.1159535,0.05223129,4.601046,0.4186194,0.7200435,1.607728,0.9347019,2.727081,0.6572519,1.917595,david_goldsby316,2007-12-25T08:34:50Z
"C0004C-5H-2, 120.0 cm",NULL,37.323,37.515,37.323,37.515,"C0004C-5H-2, 121.0 cm",NULL,37.333,37.525,37.333,37.525,"C0004C-5H-2 W, 120.0--121.0 cm",CKY000000000000771300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T08:26:19Z,145,glass beaker,5.966,2.637,15.127,8.281638,9.161,145,glass beaker,5.966,2.637,11.623,4.7929,5.657,3.631088,3.545984,2.098653,5.644638,2.1559,0.1270882,0.05724693,5.529912,0.3963637,0.6566268,1.622956,0.9796753,2.634981,0.6282041,1.689648,david_goldsby316,2007-12-25T08:35:53Z
"C0004C-5H-3, 22.0 cm",NULL,37.801,38.03,37.801,38.03,"C0004C-5H-3, 24.0 cm",NULL,37.82,38.05,37.82,38.05,"C0004C-5H-3 W, 22.0--24.0 cm",CKY000000000000774100,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T09:30:21Z,130,glass beaker,6.116,2.721,12.915,6.985927,6.799,130,glass beaker,6.116,2.721,10.258,4.3405,4.142,2.753368,2.688836,1.576091,4.264927,1.6195,0.09636795,0.04340899,4.045632,0.4049666,0.680578,1.594166,0.9485818,2.566877,0.630453,1.706016,david_goldsby316,2007-12-25T08:37:10Z
"C0004C-5H-3, 100.0 cm",NULL,38.524,38.81,38.524,38.81,"C0004C-5H-3, 102.0 cm",NULL,38.543,38.83,38.543,38.83,"C0004C-5H-3 W, 100.0--102.0 cm",CKY000000000000774200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T09:30:22Z,181,glass beaker,6.057,2.713,12.358,6.646337,6.301,181,glass beaker,6.057,2.713,9.864,4.1632,3.807,2.584456,2.523883,1.409454,3.933337,1.4502,0.09045603,0.04074596,3.716544,0.410166,0.6953923,1.601948,0.9448832,2.636868,0.6416646,1.790681,david_goldsby316,2007-12-25T08:38:10Z
"C0004C-5H-4, 0.0 cm",NULL,38.761,39.065,38.761,39.065,"C0004C-5H-4, 1.5 cm",NULL,38.775,39.08,38.775,39.08,"C0004C-5H-4 WR, 0.0--1.5 cm",CKY000000000000739200,PP,NULL,8,mikistrasser,NULL,CKY,2007-12-20T05:24:02Z,167,glass beaker,6.068,2.721,15.48,8.466106,9.412,167,glass beaker,6.068,2.721,11.831,4.833,5.763,3.781347,3.692722,2.052384,5.745106,2.112,0.1323473,0.05961588,5.630653,0.4017581,0.6715646,1.638264,0.9800782,2.743469,0.6427596,1.799235,david_goldsby316,2007-12-25T11:29:54Z
"C0004C-5H-5, 20.0 cm",NULL,39.146,39.48,39.146,39.48,"C0004C-5H-5, 21.0 cm",NULL,39.155,39.49,39.155,39.49,"C0004C-5H-5 W, 20.0--21.0 cm",CKY000000000000774300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T09:43:34Z,191,glass beaker,6.066,2.767,14.859,8.188234,8.793,191,glass beaker,6.066,2.767,11.423,4.7672,5.357,3.560622,3.47717,1.944064,5.421234,2.0002,0.1246219,0.05613597,5.232378,0.4049382,0.6804978,1.621956,0.9651637,2.691464,0.6413982,1.788609,david_goldsby316,2007-12-25T08:44:36Z
"C0004C-5H-5, 100.0 cm",NULL,39.887,40.28,39.887,40.28,"C0004C-5H-5, 101.0 cm",NULL,39.897,40.29,39.897,40.29,"C0004C-5H-5 W, 100.0--101.0 cm",CKY000000000000774400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T09:43:35Z,124,glass beaker,5.982,2.656,13.494,7.334129,7.512,124,glass beaker,5.982,2.656,10.608,4.4607,4.626,2.990674,2.92058,1.75755,4.678129,1.8047,0.1046737,0.0471503,4.521326,0.3981195,0.6614593,1.60577,0.9664817,2.572517,0.624305,1.661734,david_goldsby316,2007-12-25T08:40:55Z
"C0004C-5H-6, 24.0 cm",NULL,40.578,41.025,40.578,41.025,"C0004C-5H-6, 26.0 cm",NULL,40.597,41.045,40.597,41.045,"C0004C-5H-6 W, 24.0--26.0 cm",CKY000000000000775200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T10:36:45Z,186,glass beaker,5.941,2.659,13.672,7.322903,7.731,186,glass beaker,5.941,2.659,10.78,4.4435,4.839,2.996891,2.926651,1.737252,4.663903,1.7845,0.1048913,0.04724832,4.734109,0.387646,0.6330423,1.657624,1.015053,2.725056,0.6275112,1.684644,david_goldsby316,2007-12-25T08:42:03Z
"C0004C-5H-6, 100.0 cm",NULL,41.283,41.785,41.283,41.785,"C0004C-5H-6, 102.0 cm",NULL,41.301,41.805,41.301,41.805,"C0004C-5H-6 W, 100.0--102.0 cm",CKY000000000000775300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T10:36:45Z,151,glass beaker,5.999,2.718,13.745,7.381803,7.746,151,glass beaker,5.999,2.718,10.853,4.5024,4.854,2.996891,2.926651,1.737152,4.663803,1.7844,0.1048913,0.04724832,4.749109,0.3868953,0.6310429,1.660876,1.018291,2.733848,0.6275247,1.684742,david_goldsby316,2007-12-25T08:43:09Z
"C0004C-5H-7, 24.0 cm",NULL,41.927,42.48,41.927,42.48,"C0004C-5H-7, 26.0 cm",NULL,41.946,42.5,41.946,42.5,"C0004C-5H-7 W, 24.0--26.0 cm",CKY000000000000775400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T10:44:28Z,9,glass cell,4.585,2.063,11.766,6.197899,7.181,9,glass cell,4.585,2.063,9.447,3.889,4.862,2.403109,2.346786,1.788113,4.134899,1.826,0.08410887,0.03788688,4.777891,0.3346482,0.5029643,1.736681,1.155504,2.67203,0.5675558,1.312437,david_goldsby316,2007-12-25T10:48:52Z
"C0004C-5H-7, 100.0 cm",NULL,42.632,43.24,42.632,43.24,"C0004C-5H-7, 102.0 cm",NULL,42.651,43.26,42.651,43.26,"C0004C-5H-7 W, 100.0--102.0 cm",CKY000000000000775500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T10:44:28Z,197,glass beaker,6.036,2.69,14.327,7.538699,8.291,197,glass beaker,6.036,2.69,11.503,4.727,5.467,2.926425,2.857837,1.990863,4.848699,2.037,0.1024249,0.04613736,5.364575,0.352964,0.5455092,1.709943,1.106395,2.694598,0.5894027,1.435477,david_goldsby316,2007-12-25T10:48:52Z
"C0004C-5H-8, 24.0 cm",NULL,43.23,43.885,43.23,43.885,"C0004C-5H-8, 26.0 cm",NULL,43.249,43.905,43.249,43.905,"C0004C-5H-8 W, 24.0--26.0 cm",CKY000000000000776200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T11:18:55Z,133,glass beaker,6.022,2.692,14.45,7.818711,8.428,133,glass beaker,6.022,2.692,11.399,4.781,5.377,3.161658,3.087557,2.039154,5.126711,2.089,0.1106581,0.049846,5.266342,0.3751374,0.6003518,1.643939,1.027236,2.582611,0.6022491,1.514136,david_goldsby316,2007-12-25T10:48:53Z
"C0004C-5H-8, 101.0 cm",NULL,43.944,44.655,43.944,44.655,"C0004C-5H-8, 103.0 cm",NULL,43.963,44.675,43.963,44.675,"C0004C-5H-8 W, 101.0--103.0 cm",CKY000000000000776300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T11:18:56Z,165,glass beaker,5.978,2.651,14.712,7.983622,8.734,165,glass beaker,5.978,2.651,11.411,4.697,5.433,3.420725,3.340552,1.99207,5.332622,2.046,0.1197255,0.0539304,5.313274,0.3916562,0.6438074,1.637844,0.9963719,2.667213,0.6264371,1.676925,david_goldsby316,2007-12-25T10:48:53Z
"C0004C-6H-1, 24.0 cm",NULL,44.597,44.62,44.597,44.62,"C0004C-6H-1, 26.0 cm",NULL,44.615,44.64,44.615,44.64,"C0004C-6H-1 W, 24.0--26.0 cm",CKY000000000000780200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T12:43:04Z,135,glass beaker,6.058,2.7,14.133,7.754253,8.075,135,glass beaker,6.058,2.7,10.977,4.612,4.919,3.270466,3.193815,1.860439,5.054253,1.912,0.1144664,0.05156145,4.804534,0.4050113,0.6807043,1.597664,0.9505922,2.582474,0.6319063,1.7167,david_goldsby316,2007-12-25T11:03:18Z
"C0004C-6H-1, 106.0 cm",NULL,45.338,45.44,45.338,45.44,"C0004C-6H-1, 108.0 cm",NULL,45.356,45.46,45.356,45.46,"C0004C-6H-1 W, 106.0--108.0 cm",CKY000000000000780300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T12:43:05Z,132,glass beaker,6.078,2.705,13.753,7.485277,7.675,132,glass beaker,6.078,2.705,10.832,4.577,4.754,3.026943,2.955999,1.824278,4.780277,1.872,0.1059431,0.04772211,4.648057,0.39439,0.6512276,1.605556,0.9723405,2.547889,0.618374,1.620367,david_goldsby316,2007-12-25T11:03:18Z
"C0004C-6H-2, 24.0 cm",NULL,45.884,46.045,45.884,46.045,"C0004C-6H-2, 26.0 cm",NULL,45.902,46.065,45.902,46.065,"C0004C-6H-2 W, 24.0--26.0 cm",CKY000000000000780400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-21T13:00:39Z,123,glass beaker,6.064,2.724,13.685,7.511785,7.621,123,glass beaker,6.064,2.724,10.697,4.5368,4.633,3.096373,3.023802,1.763983,4.787785,1.8128,0.1083731,0.04881673,4.524627,0.4062949,0.6843378,1.591759,0.9450355,2.565006,0.6315659,1.71419,david_goldsby316,2007-12-25T11:05:31Z
"C0004C-6H-2, 63.5 cm",NULL,46.241,46.44,46.241,46.44,"C0004C-6H-2, 65.0 cm",NULL,46.255,46.455,46.255,46.455,"C0004C-6H-2 WR, 63.5--65.0 cm",CKY000000000000766800,PP,NULL,8,chesterf316,NULL,CKY,2007-12-21T06:56:09Z,122,glass beaker,5.971,2.701,13.365,7.1922,7.394,122,glass beaker,5.971,2.701,10.656,4.495,4.685,2.807254,2.741459,1.749741,4.4912,1.794,0.09825396,0.04425854,4.586746,0.3796665,0.6120361,1.64633,1.021274,2.621385,0.6104067,1.566779,tsutsumi316,2007-12-23T16:37:18Z
