Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Top Core depth (below sea floor) [m CSF-B],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
C0002N;870.500,870.5,870.5,870.5,C0002N;2330.000,2330,2330,2330,C0002N-353SMW W,CKY000000000006053600,PP,NULL,30,yabukit,Cavings,CKY,2013-11-25T10:17:47Z,19.337,8.7505,55.3062,35.9692,51.533,20.6867,32.196,3.9101,3.8185,11.874,15.6925,11.9362,0.1369,0.0622,32.0591,0.1087,0.122,2.2921,2.043,2.6999,0.2433,0.3216,fuway,2013-12-06T14:10:37Z
C0002N;870.500,870.5,870.5,870.5,C0002N;2330.000,2330,2330,2330,C0002N-353SMW W,CKY000000000006053700,PP,NULL,30,yabukit,Cavings,CKY,2013-11-25T10:17:47Z,18.8115,8.4707,52.3682,33.5567,49.3094,19.788,30.4979,3.1697,3.0954,11.2669,14.3623,11.3173,0.1109,0.0504,30.387,0.0945,0.1043,2.3364,2.1157,2.697,0.2155,0.2747,fuway,2013-12-06T14:10:37Z
C0002N;870.500,870.5,870.5,870.5,C0002N;2330.000,2330,2330,2330,C0002N-353SMW W,CKY000000000006053800,PP,NULL,30,yabukit,Cavings,CKY,2013-11-25T10:17:47Z,18.0343,8.1255,54.775,36.7407,51.1606,20.4375,33.1263,3.7455,3.6577,12.2524,15.9101,12.312,0.1311,0.0596,32.9952,0.1019,0.1135,2.3093,2.0739,2.693,0.2299,0.2985,fuway,2013-12-06T14:10:37Z
C0002N;870.500,870.5,870.5,870.5,C0002N;875.500,875.5,875.5,875.5,C0002N-3SMW W,CKY000000000005783900,PP,NULL,30,fujiharaa,">4mm, bulk",CKY,2013-11-04T12:45:19Z,18.9568,8.5822,38.5282,19.5714,28.8602,12.9978,9.9034,10.0187,9.7839,4.2562,14.0401,4.4156,0.3507,0.1594,9.5527,0.5119,1.0488,1.394,0.6804,2.2444,0.6969,2.2987,fuway,2013-12-06T14:10:37Z
C0002N;870.500,870.5,870.5,870.5,C0002N;875.500,875.5,875.5,875.5,C0002N-3SMW W,CKY000000000005784000,PP,NULL,30,fujiharaa,"1-4mm, bulk",CKY,2013-11-04T12:45:19Z,19.0133,8.5964,37.9484,18.9351,31.4112,13.8832,12.3979,6.7743,6.6155,5.179,11.7945,5.2868,0.2371,0.1078,12.1608,0.3578,0.5571,1.6054,1.0311,2.3481,0.5609,1.2774,fuway,2013-12-06T14:10:37Z
C0002N;880.500,880.5,880.5,880.5,C0002N;885.500,885.5,885.5,885.5,C0002N-5SMW W,CKY000000000005784100,PP,NULL,30,higashit348,"1-4mm, bulk",CKY,2013-11-04T13:26:08Z,19.0181,8.5831,39.4563,20.4382,32.8459,14.1946,13.8278,6.8502,6.6896,5.5025,12.1921,5.6115,0.2398,0.109,13.588,0.3352,0.5041,1.6763,1.1145,2.4694,0.5487,1.2157,fuway,2013-12-06T14:10:37Z
C0002N;880.500,880.5,880.5,880.5,C0002N;885.500,885.5,885.5,885.5,C0002N-5SMW W,CKY000000000005784200,PP,NULL,30,higashit348,">4mm, bulk",CKY,2013-11-04T13:26:08Z,19.3728,8.7358,43.5079,24.1351,36.1232,15.9435,16.7504,7.6525,7.4731,7.086,14.5591,7.2077,0.2678,0.1217,16.4826,0.3171,0.4643,1.6577,1.1321,2.3261,0.5133,1.0546,fuway,2013-12-06T14:10:37Z
C0002N;890.500,890.5,890.5,890.5,C0002N;895.500,895.5,895.5,895.5,C0002N-7SMW W,CKY000000000005785100,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-11-04T17:44:54Z,18.9712,8.5068,46.7099,27.7387,38.7584,16.4556,19.7872,8.2399,8.0468,7.8177,15.8645,7.9488,0.2884,0.1311,19.4988,0.2971,0.4226,1.7485,1.2291,2.4942,0.5072,1.0293,fuway,2013-12-06T14:10:37Z
C0002N;890.500,890.5,890.5,890.5,C0002N;895.500,895.5,895.5,895.5,C0002N-7SMW W,CKY000000000005785200,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-11-04T17:44:54Z,18.7112,8.3779,49.8536,31.1424,41.3575,18.065,22.6463,8.8042,8.5979,9.5471,18.145,9.6871,0.3081,0.14,22.3382,0.2827,0.3941,1.7163,1.2311,2.3398,0.4738,0.9006,fuway,2013-12-06T14:10:37Z
C0002N;900.500,900.5,900.5,900.5,C0002N;905.500,905.5,905.5,905.5,C0002N-9SMW W,CKY000000000005785400,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-11-04T18:11:30Z,18.6214,8.3738,48.1247,29.5033,40.3111,17.516,21.6897,8.097,7.9072,9.0134,16.9206,9.1422,0.2834,0.1288,21.4063,0.2744,0.3783,1.7436,1.2651,2.3749,0.4673,0.8773,fuway,2013-12-06T14:10:37Z
