Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0020A;686.500,NULL,686.5,NULL,NULL,686.5,NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,C0020A-29SMW WR,CKY000000000005019300,PP,NULL,35,fujikit,NULL,CKY,2012-08-15T07:27:35Z,NULL,18.8476,8.4682,31.0259,12.1783,26.6721,11.6882,7.8245,4.5117,4.406,3.1482,7.5542,3.22,0.1579,0.0718,7.6666,0.3705,0.5885,1.6121,1.0149,2.4352,0.5833,1.3995,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;686.500,NULL,686.5,NULL,NULL,686.5,NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,C0020A-29SMW WR,CKY000000000005027900,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T11:36:55Z,NULL,18.73,8.4298,39.0102,20.2802,30.8407,13.3271,12.1107,8.4658,8.2674,4.7626,13.03,4.8973,0.2963,0.1347,11.8144,0.4174,0.7166,1.5564,0.9067,2.4807,0.6345,1.7359,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;686.500,NULL,686.5,NULL,NULL,686.5,NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,C0020A-29SMW WR,CKY000000000005028000,PP,NULL,2,tanikawa337,<1,CKY,2012-08-15T11:36:55Z,NULL,18.8541,8.5031,21.8544,3.0003,20.0549,9.0071,1.2008,1.8648,1.8211,0.4743,2.2954,0.504,0.0653,0.0297,1.1355,0.6215,1.6423,1.3071,0.4947,2.3941,0.7934,3.8396,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,C0020A-30SMW WR,CKY000000000005021200,PP,NULL,35,fujikit,NULL,CKY,2012-08-15T09:10:18Z,NULL,18.1984,8.1565,33.2791,15.0807,27.4227,11.8909,9.2243,6.0688,5.9266,3.6379,9.5645,3.7344,0.2124,0.0965,9.0119,0.4024,0.6734,1.5767,0.9422,2.4772,0.6196,1.6291,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,C0020A-30SMW WR,CKY000000000005030200,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T13:37:38Z,NULL,18.9156,8.4675,35.7893,16.8737,28.4871,12.3497,9.5715,7.567,7.3896,3.7618,11.1514,3.8822,0.2648,0.1204,9.3067,0.4484,0.8131,1.5131,0.8346,2.474,0.6627,1.9644,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,C0020A-30SMW WR,CKY000000000005030300,PP,NULL,2,tanikawa337,<1,CKY,2012-08-15T13:37:38Z,NULL,18.1901,8.2038,27.3136,9.1235,21.9554,9.6971,3.7653,5.5525,5.4224,1.405,6.8274,1.4933,0.1943,0.0883,3.571,0.6086,1.5549,1.3363,0.523,2.5416,0.7942,3.8594,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,NULL,NULL,C0020A;716.500,NULL,716.5,NULL,NULL,716.5,C0020A-31SMW WR,CKY000000000005021400,PP,NULL,35,soejimah,NULL,CKY,2012-08-15T09:34:56Z,NULL,18.9037,8.4826,27.9739,9.0702,24.3658,10.8169,5.4621,3.739,3.6514,2.2748,5.9262,2.3343,0.1309,0.0595,5.3312,0.4122,0.7013,1.5305,0.8996,2.3436,0.6161,1.6052,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,NULL,NULL,C0020A;716.500,NULL,716.5,NULL,NULL,716.5,C0020A-31SMW WR,CKY000000000005030700,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T13:53:40Z,NULL,19.0291,8.5016,35.6076,16.5785,28.6689,12.4204,9.6398,7.1904,7.0219,3.8044,10.8263,3.9188,0.2517,0.1144,9.3881,0.4337,0.7659,1.5313,0.8672,2.4677,0.6486,1.8457,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,NULL,NULL,C0020A;716.500,NULL,716.5,NULL,NULL,716.5,C0020A-31SMW WR,CKY000000000005030800,PP,NULL,2,tanikawa337,<1,CKY,2012-08-15T13:53:40Z,NULL,18.6677,8.3685,29.2324,10.5647,23.1598,10.1723,4.4921,6.2928,6.1453,1.7037,7.849,1.8038,0.2202,0.1001,4.2719,0.5956,1.4731,1.346,0.5443,2.5074,0.7829,3.607,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;716.500,NULL,716.5,NULL,NULL,716.5,NULL,NULL,C0020A;726.500,NULL,726.5,NULL,NULL,726.5,C0020A-32SMW WR,CKY000000000005022600,PP,NULL,35,soejimah,NULL,CKY,2012-08-15T10:01:44Z,NULL,18.2832,8.2409,25.3939,7.1107,22.7227,10.0326,4.4395,2.7681,2.7032,1.7477,4.4509,1.7917,0.0969,0.044,4.3426,0.3893,0.6374,1.5976,0.9757,2.4848,0.6073,1.5467,nishimuram,2012-09-17T18:06:31Z
