Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0014B-1H-1, 11.0 cm",NULL,0.103,0.11,0.103,0.11,"C0014B-1H-1, 13.0 cm",NULL,0.121,0.13,0.121,0.13,"C0014B-1H-1 W, 11.0--13.0 cm",CKY000000000003049100,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:22:33Z,137,glass beaker,6.093,2.746,12.5918,7.4645,6.4988,137,glass beaker,6.093,2.746,8.9404,3.829,2.8474,3.7838,3.6951,1.0234,4.7185,1.083,0.1324,0.0596,2.715,0.5822,1.3937,1.3773,0.5754,2.6529,0.7831,3.6106,fuway,2010-09-18T12:17:36Z
"C0014B-1H-1, 77.0 cm",NULL,0.719,0.77,0.719,0.77,"C0014B-1H-1, 79.0 cm",NULL,0.737,0.79,0.737,0.79,"C0014B-1H-1 W, 77.0--79.0 cm",CKY000000000003049200,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:22:53Z,171,glass beaker,5.99,2.735,12.4383,7.0608,6.4483,171,glass beaker,5.99,2.735,9.2684,3.9047,3.2784,3.2849,3.2079,1.1179,4.3258,1.1697,0.115,0.0518,3.1634,0.5094,1.0384,1.4907,0.7313,2.8298,0.7416,2.8696,fuway,2010-09-18T12:17:36Z
"C0014B-1H-2, 72.0 cm",NULL,1.997,2.14,1.997,2.14,"C0014B-1H-2, 74.0 cm",NULL,2.016,2.16,2.016,2.16,"C0014B-1H-2 W, 72.0--74.0 cm",CKY000000000003049300,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:23:14Z,443,glass beaker,6.192,2.791,11.6935,6.4405,5.5015,443,glass beaker,6.192,2.791,9.1417,3.8998,2.9497,2.6444,2.5824,1.0671,3.6495,1.1088,0.0926,0.0417,2.8571,0.4807,0.9256,1.5075,0.7829,2.6774,0.7076,2.42,fuway,2010-09-18T12:17:36Z
"C0014B-1H-2, 128.0 cm",NULL,2.52,2.7,2.52,2.7,"C0014B-1H-2, 130.0 cm",NULL,2.538,2.72,2.538,2.72,"C0014B-1H-2 W, 128.0--130.0 cm",CKY000000000003049400,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:23:56Z,119,glass beaker,6.094,2.751,11.8736,6.4949,5.7796,119,glass beaker,6.094,2.751,9.2052,3.8381,3.1112,2.7652,2.7004,1.0435,3.7439,1.0871,0.0968,0.0436,3.0144,0.4784,0.9173,1.5437,0.8051,2.8887,0.7213,2.5878,fuway,2010-09-18T12:17:37Z
"C0014B-1H-3, 34.0 cm",NULL,2.94,3.15,2.94,3.15,"C0014B-1H-3, 36.0 cm",NULL,2.958,3.17,2.958,3.17,"C0014B-1H-3 W, 34.0--36.0 cm",CKY000000000003049500,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:24:13Z,178,glass beaker,6.072,2.731,12.9273,7.2737,6.8553,178,glass beaker,6.072,2.731,9.7185,4.0788,3.6465,3.3252,3.2473,1.2954,4.5427,1.3478,0.1164,0.0524,3.5301,0.4851,0.942,1.5091,0.7771,2.7251,0.7148,2.5068,fuway,2010-09-18T12:17:37Z
"C0014B-1H-4, 49.0 cm",NULL,4.405,4.72,4.405,4.72,"C0014B-1H-4, 51.0 cm",NULL,4.424,4.74,4.424,4.74,"C0014B-1H-4 W, 49.0--51.0 cm",CKY000000000003049600,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:24:37Z,118,glass beaker,5.992,2.737,12.87,7.1334,6.878,118,glass beaker,5.992,2.737,9.8434,4.12,3.8514,3.1364,3.0629,1.3335,4.3964,1.383,0.1098,0.0495,3.7416,0.456,0.8383,1.5645,0.8511,2.8058,0.6967,2.2969,fuway,2010-09-18T12:17:37Z
"C0014B-1H-5, 29.0 cm",NULL,5.534,5.93,5.534,5.93,"C0014B-1H-5, 31.0 cm",NULL,5.553,5.95,5.553,5.95,"C0014B-1H-5 W, 29.0--31.0 cm",CKY000000000003049700,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:25:14Z,173,glass beaker,5.987,2.71,12.4511,6.7527,6.4641,173,glass beaker,5.987,2.71,9.7412,4.0546,3.7542,2.8082,2.7424,1.3003,4.0427,1.3446,0.0983,0.0443,3.6559,0.4344,0.7681,1.599,0.9043,2.8116,0.6784,2.1091,fuway,2010-09-18T12:17:37Z
"C0014B-1H-CC, 5.0 cm",NULL,6.309,6.76,6.309,6.76,"C0014B-1H-CC, 7.0 cm",NULL,6.327,6.78,6.327,6.78,"C0014B-1H-CC W, 5.0--7.0 cm",CKY000000000003049800,PP,NULL,10,yuka331,NULL,CKY,2010-09-16T23:25:36Z,147,glass beaker,6.025,2.695,11.3301,6.0861,5.3051,147,glass beaker,6.025,2.695,9.07,3.8358,3.045,2.3421,2.2872,1.1039,3.3911,1.1408,0.082,0.0369,2.963,0.4415,0.7904,1.5644,0.8738,2.6841,0.6745,2.0719,fuway,2010-09-18T12:17:37Z
"C0014B-2H-1, 77.0 cm",NULL,7.191,7.27,7.191,7.27,"C0014B-2H-1, 79.0 cm",NULL,7.209,7.29,7.209,7.29,"C0014B-2H-1 W, 77.0--79.0 cm",CKY000000000003059800,PP,NULL,10,yuka331,NULL,CKY,2010-09-17T02:35:59Z,170,glass beaker,6.056,2.705,10.7319,5.7443,4.6759,170,glass beaker,6.056,2.705,8.7024,3.7237,2.6464,2.1031,2.0538,0.9855,3.0393,1.0187,0.0736,0.0332,2.5728,0.4498,0.8174,1.5385,0.8465,2.6107,0.6757,2.084,fuway,2010-09-18T12:17:37Z
"C0014B-2H-2, 34.0 cm",NULL,8.034,8.21,8.034,8.21,"C0014B-2H-2, 36.0 cm",NULL,8.052,8.23,8.052,8.23,"C0014B-2H-2 W, 34.0--36.0 cm",CKY000000000003059900,PP,NULL,10,yuka331,NULL,CKY,2010-09-17T02:36:27Z,143,glass beaker,5.967,2.736,10.1395,5.3403,4.1725,143,glass beaker,5.967,2.736,8.3621,3.5707,2.3951,1.8419,1.7987,0.8056,2.6043,0.8347,0.0645,0.0291,2.3306,0.4414,0.7903,1.6022,0.8949,2.893,0.6907,2.2327,fuway,2010-09-18T12:17:37Z
