Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0014E-1H-1, 6.0 cm",NULL,16.06,16.06,16.06,16.06,"C0014E-1H-1, 8.0 cm",NULL,16.08,16.08,16.08,16.08,"C0014E-1H-1 W, 6.0--8.0 cm",CKY000000000003142800,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:26:49Z,117,glass beaker,6.091,2.741,10.659,5.5315,4.568,117,glass beaker,6.091,2.741,9.2994,4.1778,3.2084,1.4089,1.3759,1.4146,2.7905,1.4368,0.0493,0.0222,3.1591,0.3084,0.446,1.637,1.1321,2.2332,0.4931,0.9726,fuway,2010-09-20T11:42:37Z
"C0014E-1H-2, 84.0 cm",NULL,17,17,17,17,"C0014E-1H-2, 86.0 cm",NULL,17.02,17.02,17.02,17.02,"C0014E-1H-2 W, 84.0--86.0 cm",CKY000000000003142900,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:27:34Z,159,glass beaker,6.093,2.76,11.2667,6.2102,5.1737,159,glass beaker,6.093,2.76,8.7764,3.7308,2.6834,2.5806,2.5201,0.9301,3.4502,0.9708,0.0903,0.0407,2.5931,0.4988,0.9952,1.4995,0.7516,2.788,0.7304,2.7095,fuway,2010-09-20T11:42:38Z
"C0014E-1H-3, 71.0 cm",NULL,18.275,18.275,18.275,18.275,"C0014E-1H-3, 73.0 cm",NULL,18.295,18.295,18.295,18.295,"C0014E-1H-3 W, 71.0--73.0 cm",CKY000000000003143000,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:28:16Z,446,glass beaker,6.339,2.811,12.0359,6.2019,5.6969,446,glass beaker,6.339,2.811,10.0429,4.2176,3.7039,2.0653,2.0169,1.374,3.3909,1.4066,0.0723,0.0326,3.6316,0.3625,0.5687,1.6801,1.071,2.6431,0.5948,1.4679,fuway,2010-09-20T11:42:38Z
"C0014E-1H-3, 129.0 cm",NULL,18.855,18.855,18.855,18.855,"C0014E-1H-3, 131.0 cm",NULL,18.875,18.875,18.875,18.875,"C0014E-1H-3 W, 129.0--131.0 cm",CKY000000000003143100,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:28:37Z,501,glass beaker,6.113,2.764,12.2034,6.3398,6.0904,501,glass beaker,6.113,2.764,10.0147,4.1607,3.9017,2.2681,2.2149,1.3609,3.5758,1.3967,0.0794,0.0358,3.8223,0.3724,0.5934,1.7032,1.0689,2.8087,0.6194,1.6275,fuway,2010-09-20T11:42:38Z
"C0014E-1H-4, 119.0 cm",NULL,20.16,20.16,20.16,20.16,"C0014E-1H-4, 121.0 cm",NULL,20.18,20.18,20.18,20.18,"C0014E-1H-4 W, 119.0--121.0 cm",CKY000000000003143200,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:29:02Z,445,glass beaker,6.217,2.83,10.7416,5.7258,4.5246,445,glass beaker,6.217,2.83,8.5769,3.5706,2.3599,2.2432,2.1906,0.7052,2.8958,0.7406,0.0785,0.0354,2.2814,0.4958,0.9833,1.5625,0.7878,3.2351,0.7565,3.1064,fuway,2010-09-20T11:42:37Z
"C0014E-1H-5, 69.0 cm",NULL,21.07,21.07,21.07,21.07,"C0014E-1H-5, 71.0 cm",NULL,21.09,21.09,21.09,21.09,"C0014E-1H-5 W, 69.0--71.0 cm",CKY000000000003143300,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:29:21Z,508,glass beaker,4.625,2.098,9.1348,5.5713,4.5098,508,glass beaker,4.625,2.098,6.2196,2.6688,1.5946,3.0209,2.9501,0.5232,3.4733,0.5708,0.1057,0.0476,1.4889,0.6699,2.0289,1.2984,0.4287,2.8458,0.8494,5.6386,fuway,2010-09-20T11:42:37Z
"C0014E-1H-6, 45.0 cm",NULL,21.81,21.81,21.81,21.81,"C0014E-1H-6, 47.0 cm",NULL,21.83,21.83,21.83,21.83,"C0014E-1H-6 W, 45.0--47.0 cm",CKY000000000003143400,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:29:48Z,512,glass beaker,4.598,2.12,10.0307,5.1024,5.4327,512,glass beaker,4.598,2.12,8.296,3.3752,3.698,1.7976,1.7555,1.2269,2.9824,1.2552,0.0629,0.0283,3.6351,0.3309,0.4945,1.8216,1.2189,2.9628,0.5886,1.4308,fuway,2010-09-20T11:42:37Z
"C0014E-1H-8, 28.0 cm",NULL,23.82,23.82,23.82,23.82,"C0014E-1H-8, 30.0 cm",NULL,23.84,23.84,23.84,23.84,"C0014E-1H-8 W, 28.0--30.0 cm",CKY000000000003143500,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T16:30:06Z,516,glass beaker,4.611,2.135,9.3958,5.513,4.7848,516,glass beaker,4.611,2.135,6.6489,2.7781,2.0379,2.8465,2.7798,0.5982,3.378,0.6431,0.0996,0.0449,1.9383,0.5949,1.4686,1.4165,0.5738,3.2402,0.8229,4.6469,fuway,2010-09-20T11:42:37Z
"C0014E-2H-1, 13.0 cm",NULL,25.63,25.63,25.63,25.63,"C0014E-2H-1, 15.0 cm",NULL,25.65,25.65,25.65,25.65,"C0014E-2H-1 W, 13.0--15.0 cm",CKY000000000003145300,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T21:36:06Z,511,glass beaker,4.692,2.087,10.9924,5.4874,6.3004,511,glass beaker,4.692,2.087,9.1763,3.6792,4.4843,1.882,1.8379,1.5625,3.4004,1.5922,0.0659,0.0297,4.4184,0.2987,0.4259,1.8528,1.2994,2.8278,0.5405,1.1763,fuway,2010-09-20T11:42:37Z
"C0014E-2H-1, 79.0 cm",NULL,26.29,26.29,26.29,26.29,"C0014E-2H-1, 81.0 cm",NULL,26.31,26.31,26.31,26.31,"C0014E-2H-1 W, 79.0--81.0 cm",CKY000000000003145400,PP,NULL,10,yuka331,NULL,CKY,2010-09-18T21:36:26Z,16,glass beaker,4.608,2.119,9.3795,5.2942,4.7715,16,glass beaker,4.608,2.119,6.9456,2.8709,2.3376,2.5222,2.4631,0.7121,3.1752,0.7519,0.0883,0.0398,2.2493,0.5286,1.1213,1.5027,0.7084,3.1587,0.7757,3.4589,fuway,2010-09-20T11:42:37Z
