Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002D-1H-1, 50.5 cm",NULL,0.505,0.505,0.505,0.505,"C0002D-1H-1, 52.0 cm",NULL,0.52,0.52,0.52,0.52,"C0002D-1H-1 W, 50.5--52.0 cm",KCC000000000000107401,PP,NULL,5,masagoh,NULL,KCC,2008-04-07T13:50:11Z,21,glass cell,4.561,2.041,9.5,5.541435,4.939,21,glass cell,4.561,2.041,6.845,2.898,2.284,2.751295,2.686812,0.8136237,3.500435,0.857,0.09629541,0.04337631,2.187705,0.5570551,1.257617,1.410967,0.6249807,2.688841,0.767565,3.302278,kidoyo,2008-04-08T07:36:29Z
"C0002D-1H-3, 70.0 cm",NULL,2.325,2.325,2.325,2.325,"C0002D-1H-3, 71.5 cm",NULL,2.34,2.34,2.34,2.34,"C0002D-1H-3 W, 70.0--71.5 cm",KCC000000000000107501,PP,NULL,5,yasunagam,NULL,KCC,2008-04-07T14:09:39Z,140,glass beaker,6.001,2.695,10.972,5.797323,4.971,140,glass beaker,6.001,2.695,8.98,3.814,2.979,2.064249,2.015868,1.086456,3.102323,1.119,0.07224876,0.03254449,2.906751,0.4152582,0.7101566,1.602348,0.9369595,2.675444,0.6497929,1.855454,kidoyo,2008-04-08T07:36:32Z
"C0002D-1H-4, 50.0 cm",NULL,3.33,3.33,3.33,3.33,"C0002D-1H-4, 51.5 cm",NULL,3.345,3.345,3.345,3.345,"C0002D-1H-4 W, 50.0--51.5 cm",KCC000000000000107601,PP,NULL,5,masagoh,NULL,KCC,2008-04-07T14:32:02Z,204,glass beaker,6.059,2.716,14.419,7.951565,8.36,204,glass beaker,6.059,2.716,11.105,4.652,5.046,3.434197,3.353708,1.881857,5.235565,1.936,0.120197,0.05414279,4.925803,0.4107891,0.6971852,1.596771,0.940835,2.617522,0.6405627,1.782127,kidoyo,2008-04-08T08:17:02Z
"C0002D-1H-6, 70.0 cm",NULL,5.155,5.155,5.155,5.155,"C0002D-1H-6, 71.5 cm",NULL,5.17,5.17,5.17,5.17,"C0002D-1H-6 W, 70.0--71.5 cm",KCC000000000000107701,PP,NULL,5,masagoh,NULL,KCC,2008-04-07T14:38:32Z,187,glass beaker,6.12,2.752,10.728,5.605338,4.608,187,glass beaker,6.12,2.752,8.969,3.854,2.849,1.822798,1.780076,1.073262,2.853338,1.102,0.06379798,0.02873783,2.785202,0.3955725,0.6544581,1.614951,0.9761206,2.595081,0.6238574,1.658566,kidoyo,2008-04-08T08:17:04Z
"C0002D-2H-1, 50.0 cm",NULL,6.35,6.38,6.35,6.38,"C0002D-2H-1, 51.5 cm",NULL,6.364,6.395,6.364,6.395,"C0002D-2H-1 W, 50.0--51.5 cm",KCC000000000000107801,PP,NULL,5,kidoyo,NULL,KCC,2008-04-07T14:59:23Z,143,glass beaker,5.963,2.679,12.602,6.972033,6.639,143,glass beaker,5.963,2.679,9.625,4.008,3.662,3.084974,3.01267,1.280363,4.293033,1.329,0.1079742,0.04863702,3.554026,0.4646745,0.8680224,1.546459,0.827859,2.775796,0.7017579,2.352981,kidoyo,2008-04-08T08:17:06Z
"C0002D-2H-2, 50.0 cm",NULL,7.674,7.79,7.674,7.79,"C0002D-2H-2, 51.5 cm",NULL,7.688,7.805,7.688,7.805,"C0002D-2H-2 W, 50.0--51.5 cm",KCC000000000000107901,PP,NULL,5,kidoyo,NULL,KCC,2008-04-07T15:11:55Z,154,glass beaker,6.043,2.67,11.626,6.117705,5.583,154,glass beaker,6.043,2.67,9.492,3.993,3.449,2.211399,2.159569,1.288136,3.447705,1.323,0.07739902,0.03486442,3.371601,0.3960951,0.6558899,1.619338,0.9779262,2.617427,0.6263788,1.676508,kidoyo,2008-04-08T08:17:08Z
"C0002D-2H-4, 70.0 cm",NULL,9.393,9.62,9.393,9.62,"C0002D-2H-4, 71.5 cm",NULL,9.407,9.635,9.407,9.635,"C0002D-2H-4 W, 70.0--71.5 cm",KCC000000000000108001,PP,NULL,5,kidoyo,NULL,KCC,2008-04-07T16:01:04Z,125,glass beaker,6.079,2.718,9.556,4.72627,3.477,125,glass beaker,6.079,2.718,8.47,3.645,2.391,1.125389,1.099012,0.9092574,2.00827,0.927,0.03938863,0.01774263,2.351611,0.3236666,0.4785606,1.731341,1.170964,2.586299,0.5472434,1.208692,kidoyo,2008-04-08T09:27:55Z
"C0002D-2H-5, 50.0 cm",NULL,10.337,10.625,10.337,10.625,"C0002D-2H-5, 51.5 cm",NULL,10.351,10.64,10.351,10.64,"C0002D-2H-5 W, 50.0--51.5 cm",KCC000000000000108101,PP,NULL,5,masagoh,NULL,KCC,2008-04-07T16:33:49Z,26,glass cell,4.589,2.068,11.128,6.019416,6.539,26,glass cell,4.589,2.068,8.698,3.6,4.109,2.518135,2.459116,1.4923,3.951416,1.532,0.08813478,0.03970035,4.020865,0.3850948,0.6262669,1.65485,1.017576,2.694409,0.622338,1.64787,kidoyo,2008-04-08T09:27:58Z
"C0002D-2H-5, 88.0 cm",NULL,10.693,11.005,10.693,11.005,"C0002D-2H-5, 89.5 cm",NULL,10.708,11.02,10.708,11.02,"C0002D-2H-5 WR, 88.0--89.5 cm",CKY000000000000731400,315GEOTECHPP,NULL,3,sagaway,NULL,CKY,2007-12-19T08:41:27Z,198,glass beaker,6.067,2.732,10.863,5.709859,4.796,198,glass beaker,6.067,2.732,8.994,3.849,2.927,1.936788,1.891394,1.086465,2.977859,1.117,0.06778762,0.03053496,2.859212,0.4038339,0.677385,1.610553,0.9601571,2.631665,0.6351523,1.74087,morit,2007-12-19T09:22:55Z
"C0002D-2H-6, 50.0 cm",NULL,11.661,12.035,11.661,12.035,"C0002D-2H-6, 51.5 cm",NULL,11.675,12.05,11.675,12.05,"C0002D-2H-6 W, 50.0--51.5 cm",KCC000000000000108201,PP,NULL,5,kidoyo,NULL,KCC,2008-04-07T16:44:32Z,3,glass cell,4.512,2.03,12.911,7.206652,8.399,3,glass cell,4.512,2.03,9.617,3.927,5.105,3.413472,3.333468,1.843184,5.176652,1.897,0.1194716,0.05381603,4.985528,0.4064141,0.684676,1.622477,0.9630796,2.704846,0.6439429,1.808538,kidoyo,2008-04-08T09:27:59Z
