Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0012E-1X-1, 24.0 cm",NULL,500.24,500.24,500.24,500.24,"C0012E-1X-1, 25.0 cm",NULL,500.25,500.25,500.25,500.25,"C0012E-1X-1 WR, 24.0--25.0 cm",CKY000000000004826400,PP,NULL,5,mstrasser333,NULL,CKY,2011-01-01T07:11:54Z,507,glass beaker,4.548,2.04,12.6,6.0056,8.052,507,glass beaker,4.548,2.04,11.0167,4.4293,6.4687,1.6407,1.6022,2.3634,3.9656,2.3893,0.0574,0.0259,6.4113,0.2038,0.2559,2.0305,1.6167,2.7127,0.404,0.6779,sakaguchim,2011-01-03T23:53:07Z
"C0012E-1X-1, 84.0 cm",NULL,500.84,500.84,500.84,500.84,"C0012E-1X-1, 86.0 cm",NULL,500.86,500.86,500.86,500.86,"C0012E-1X-1 W, 84.0--86.0 cm",CKY000000000004865900,PP,NULL,5,screaton333,NULL,CKY,2011-01-02T11:00:43Z,412,glass beaker,6.183,2.797,11.6831,5.3613,5.5001,412,glass beaker,6.183,2.797,10.742,4.4244,4.559,0.9752,0.9523,1.612,2.5643,1.6274,0.0341,0.0154,4.5249,0.1773,0.2155,2.1449,1.7646,2.807,0.3714,0.5908,sakaguchim,2011-01-03T23:53:08Z
"C0012E-1X-2, 52.0 cm",NULL,501.92,501.92,501.92,501.92,"C0012E-1X-2, 54.0 cm",NULL,501.94,501.94,501.94,501.94,"C0012E-1X-2 W, 52.0--54.0 cm",CKY000000000004865600,PP,NULL,5,screaton333,NULL,CKY,2011-01-02T11:00:43Z,413,glass beaker,6.187,2.823,11.441,5.3392,5.254,413,glass beaker,6.187,2.823,10.5238,4.426,4.3368,0.9505,0.9282,1.588,2.5162,1.603,0.0333,0.015,4.3035,0.1809,0.2209,2.0881,1.7103,2.71,0.3689,0.5845,sakaguchim,2011-01-03T23:53:08Z
"C0012E-1X-3, 61.0 cm",NULL,503.07,503.07,503.07,503.07,"C0012E-1X-3, 63.0 cm",NULL,503.09,503.09,503.09,503.09,"C0012E-1X-3 WR, 61.0--63.0 cm",CKY000000000004730300,PP,NULL,3,bora333,NULL,CKY,2010-12-30T08:30:32Z,449,glass beaker,6.217,2.778,13.7671,6.6994,7.5501,449,glass beaker,6.217,2.778,11.9858,4.9259,5.7688,1.8459,1.8026,2.1188,3.9214,2.1479,0.0646,0.0291,5.7042,0.2445,0.3236,1.9254,1.4546,2.6922,0.4597,0.8508,sakaguchim,2011-01-03T23:53:07Z
"C0012E-1X-4, 46.0 cm",NULL,503.55,503.55,503.55,503.55,"C0012E-1X-4, 47.0 cm",NULL,503.56,503.56,503.56,503.56,"C0012E-1X-4 W, 46.0--47.0 cm",CKY000000000004865700,PP,NULL,5,screaton333,NULL,CKY,2011-01-02T11:00:43Z,149,glass beaker,6.051,2.694,12.0286,5.6616,5.9776,149,glass beaker,6.051,2.694,10.8906,4.5285,4.8396,1.1793,1.1517,1.8159,2.9676,1.8345,0.0413,0.0186,4.7983,0.1973,0.2458,2.0143,1.6169,2.6424,0.3881,0.6342,sakaguchim,2011-01-03T23:53:08Z
"C0012E-2X-CC, 11.0 cm",NULL,510.18,510.18,510.18,510.18,"C0012E-2X-CC, 13.0 cm",NULL,510.2,510.2,510.2,510.2,"C0012E-2X-CC W, 11.0--13.0 cm",CKY000000000004865800,PP,NULL,5,screaton333,NULL,CKY,2011-01-02T11:00:43Z,417,glass beaker,6.171,2.8,12.4094,5.7013,6.2384,417,glass beaker,6.171,2.8,11.3589,4.6554,5.1879,1.0886,1.0631,1.8382,2.9013,1.8554,0.0381,0.0172,5.1498,0.1745,0.2114,2.1502,1.775,2.8015,0.3664,0.5783,sakaguchim,2011-01-03T23:53:08Z
"C0012E-3X-1, 92.0 cm",NULL,519.92,519.92,519.92,519.92,"C0012E-3X-1, 94.0 cm",NULL,519.94,519.94,519.94,519.94,"C0012E-3X-1 W, 92.0--94.0 cm",CKY000000000004866000,PP,NULL,5,screaton333,NULL,CKY,2011-01-02T11:00:43Z,189,glass beaker,6.047,2.687,13.9886,6.2691,7.9416,189,glass beaker,6.047,2.687,12.8815,5.1668,6.8345,1.1473,1.1204,2.4617,3.5821,2.4798,0.0402,0.0181,6.7943,0.1445,0.1689,2.217,1.8967,2.76,0.3128,0.4551,sakaguchim,2011-01-03T23:53:08Z
"C0012E-3X-1, 113.5 cm",NULL,520.135,520.135,520.135,520.135,"C0012E-3X-1, 118.0 cm",NULL,520.18,520.18,520.18,520.18,"C0012E-3X-1 WR, 113.5--118.0 cm",CKY000000000004831000,PP,NULL,5,yabukit,NULL,CKY,2011-01-01T08:41:42Z,444,glass beaker,6.203,2.788,14.4088,6.6192,8.2058,444,glass beaker,6.203,2.788,13.1764,5.3921,6.9734,1.2771,1.2472,2.584,3.8312,2.6041,0.0447,0.0201,6.9287,0.1556,0.1843,2.1418,1.8085,2.6814,0.3255,0.4827,sakaguchim,2011-01-03T23:53:07Z
"C0012E-3X-2, 61.0 cm",NULL,521.02,521.02,521.02,521.02,"C0012E-3X-2, 63.0 cm",NULL,521.04,521.04,521.04,521.04,"C0012E-3X-2 WR, 61.0--63.0 cm",CKY000000000004752800,PP,NULL,3,marion333,NULL,CKY,2010-12-30T19:01:27Z,445,glass beaker,6.222,2.808,10.7896,4.8713,4.5676,445,glass beaker,6.222,2.808,10.1724,4.2568,3.9504,0.6396,0.6246,1.4387,2.0633,1.4488,0.0224,0.0101,3.928,0.14,0.1628,2.2137,1.9037,2.7302,0.3027,0.4341,sakaguchim,2011-01-03T23:53:07Z
"C0012E-3X-3, 36.0 cm",NULL,521.4,521.4,521.4,521.4,"C0012E-3X-3, 37.0 cm",NULL,521.41,521.41,521.41,521.41,"C0012E-3X-3 WR, 36.0--37.0 cm",CKY000000000004836100,PP,NULL,5,mstrasser333,NULL,CKY,2011-01-01T11:27:58Z,447,glass beaker,6.132,2.796,12.0699,5.4051,5.9379,447,glass beaker,6.132,2.796,11.3527,4.691,5.2207,0.7432,0.7258,1.8833,2.6091,1.895,0.026,0.0117,5.1947,0.1252,0.1431,2.2758,1.991,2.7583,0.2782,0.3854,sakaguchim,2011-01-03T23:53:07Z
