Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-13R-4, 111.0 cm",NULL,NULL,454.79,454.79,454.79,454.79,"C0011B-13R-4, 113.0 cm",NULL,NULL,454.81,454.81,454.81,454.81,"C0011B-13R-4 W, 111.0--113.0 cm",CKY000000000000126810,PP,NULL,7,andre322,NULL,CKY,2009-09-11T18:09:19Z,NULL,432,glass beaker,6.164,2.77,10.5608,5.0939,4.3968,432,glass beaker,6.164,2.77,9.4955,4.0333,3.3315,1.1039,1.078,1.2459,2.3239,1.2633,0.0386,0.0174,3.2929,0.2511,0.3352,1.892,1.417,2.643,0.4639,0.8652,yohei322,2009-09-12T22:22:31Z
"C0011B-13R-5, 26.0 cm",NULL,NULL,455.35,455.35,455.35,455.35,"C0011B-13R-5, 28.0 cm",NULL,NULL,455.37,455.37,455.37,455.37,"C0011B-13R-5 WR, 26.0--28.0 cm",CKY000000000000124010,PP,NULL,7,matt322,NULL,CKY,2009-09-11T15:59:29Z,NULL,425,glass beaker,6.256,2.793,10.3043,4.9686,4.0483,425,glass beaker,6.256,2.793,9.2485,3.9174,2.9925,1.0941,1.0685,1.1071,2.1756,1.1244,0.0383,0.0173,2.9542,0.2703,0.3704,1.8608,1.3579,2.6684,0.4911,0.9651,yohei322,2009-09-12T22:22:31Z
"C0011B-13R-5, 100.0 cm",NULL,NULL,456.09,456.09,456.09,456.09,"C0011B-13R-5, 101.0 cm",NULL,NULL,456.1,456.1,456.1,456.1,"C0011B-13R-5 W, 100.0--101.0 cm",CKY000000000000129510,PP,NULL,5,glenn322,NULL,CKY,2009-09-11T19:04:33Z,NULL,435,glass beaker,6.162,2.743,7.777,3.5956,1.615,435,glass beaker,6.162,2.743,7.3894,3.2097,1.2274,0.4017,0.3923,0.4603,0.8526,0.4667,0.0141,0.0064,1.2133,0.2487,0.3311,1.8942,1.4231,2.6359,0.4601,0.8523,yohei322,2009-09-12T22:22:31Z
"C0011B-13R-6, 25.0 cm",NULL,NULL,456.75,456.75,456.75,456.75,"C0011B-13R-6, 26.0 cm",NULL,NULL,456.76,456.76,456.76,456.76,"C0011B-13R-6 W, 25.0--26.0 cm",CKY000000000000133810,PP,NULL,5,glenn322,NULL,CKY,2009-09-11T20:34:05Z,NULL,417,glass beaker,6.168,2.798,9.1062,4.4162,2.9382,417,glass beaker,6.168,2.798,8.2456,3.5594,2.0776,0.8918,0.8709,0.7473,1.6182,0.7614,0.0312,0.0141,2.0464,0.3035,0.4358,1.8157,1.2646,2.7384,0.5382,1.1654,fuway,2010-08-17T03:19:06Z
"C0011B-13R-6, 90.0 cm",NULL,NULL,457.4,457.4,457.4,457.4,"C0011B-13R-6, 91.0 cm",NULL,NULL,457.41,457.41,457.41,457.41,"C0011B-13R-6 W, 90.0--91.0 cm",CKY000000000000133910,PP,NULL,5,glenn322,NULL,CKY,2009-09-11T20:34:05Z,NULL,420,glass beaker,6.229,2.795,9.4667,4.5587,3.2377,420,glass beaker,6.229,2.795,8.5692,3.6651,2.3402,0.9301,0.9083,0.8554,1.7637,0.8701,0.0326,0.0147,2.3076,0.2873,0.4031,1.8357,1.3084,2.6977,0.515,1.0618,fuway,2010-08-17T03:19:07Z
"C0011B-13R-7, 25.0 cm",NULL,NULL,458.16,458.16,458.16,458.16,"C0011B-13R-7, 26.0 cm",NULL,NULL,458.17,458.17,458.17,458.17,"C0011B-13R-7 W, 25.0--26.0 cm",CKY000000000000134010,PP,NULL,5,glenn322,NULL,CKY,2009-09-11T20:44:47Z,NULL,157,glass beaker,6.039,2.731,7.5376,3.5315,1.4986,157,glass beaker,6.039,2.731,7.1723,3.1678,1.1333,0.3785,0.3696,0.4309,0.8005,0.4368,0.0132,0.0059,1.1201,0.2526,0.3379,1.8721,1.3993,2.5994,0.4617,0.8577,yohei322,2009-09-12T22:22:32Z
"C0011B-13R-7, 80.0 cm",NULL,NULL,458.71,458.71,458.71,458.71,"C0011B-13R-7, 81.0 cm",NULL,NULL,458.72,458.72,458.72,458.72,"C0011B-13R-7 W, 80.0--81.0 cm",CKY000000000000134110,PP,NULL,5,glenn322,NULL,CKY,2009-09-11T20:44:47Z,NULL,403,glass beaker,6.123,2.746,10.4102,5.0957,4.2872,403,glass beaker,6.123,2.746,9.2366,3.9272,3.1136,1.2162,1.1877,1.162,2.3497,1.1812,0.0426,0.0192,3.071,0.2837,0.396,1.8246,1.307,2.6429,0.5055,1.0221,yohei322,2009-09-12T22:22:32Z
"C0011B-14R-1, 24.0 cm",NULL,NULL,460.24,460.24,460.24,460.24,"C0011B-14R-1, 25.0 cm",NULL,NULL,460.25,460.25,460.25,460.25,"C0011B-14R-1 W, 24.0--25.0 cm",CKY000000000000134510,PP,NULL,10,glenn322,NULL,CKY,2009-09-11T21:27:10Z,NULL,138,glass beaker,5.973,2.69,8.8365,4.2581,2.8635,138,glass beaker,5.973,2.69,8.0133,3.4385,2.0403,0.8531,0.8331,0.735,1.5681,0.7485,0.0299,0.0135,2.0104,0.2979,0.4243,1.8261,1.2821,2.7352,0.5313,1.1335,yohei322,2009-09-12T22:22:32Z
"C0011B-14R-1, 87.0 cm",NULL,NULL,460.87,460.87,460.87,460.87,"C0011B-14R-1, 89.0 cm",NULL,NULL,460.89,460.89,460.89,460.89,"C0011B-14R-1 W, 87.0--89.0 cm",CKY000000000000134610,PP,NULL,10,glenn322,NULL,CKY,2009-09-11T21:28:08Z,NULL,4,glass beaker,4.667,2.064,8.7414,4.3068,4.0744,4,glass beaker,4.667,2.064,7.6608,3.2309,2.9938,1.1198,1.0936,1.1492,2.2428,1.1669,0.0392,0.0177,2.9546,0.2748,0.379,1.8167,1.3174,2.571,0.4876,0.9516,fuway,2010-08-17T03:18:50Z
"C0011B-14R-2, 17.5 cm",NULL,NULL,461.585,461.585,461.585,461.585,"C0011B-14R-2, 19.5 cm",NULL,NULL,461.605,461.605,461.605,461.605,"C0011B-14R-2 WR, 17.5--19.5 cm",CKY000000000000127310,PP,NULL,7,matt322,NULL,CKY,2009-09-11T18:40:41Z,NULL,34,glass beaker,4.693,2.123,7.6029,3.6299,2.9099,34,glass beaker,4.693,2.123,6.8933,2.9234,2.2003,0.7353,0.7181,0.7888,1.5069,0.8004,0.0257,0.0116,2.1746,0.2527,0.3381,1.9311,1.4431,2.7568,0.4765,0.9104,yohei322,2009-09-12T22:22:31Z
"C0011B-14R-2, 47.0 cm",NULL,NULL,461.88,461.88,461.88,461.88,"C0011B-14R-2, 49.0 cm",NULL,NULL,461.9,461.9,461.9,461.9,"C0011B-14R-2 W, 47.0--49.0 cm",CKY000000000000134710,PP,NULL,10,glenn322,NULL,CKY,2009-09-11T21:39:17Z,NULL,114,glass beaker,6.06,2.748,9.7706,4.7125,3.7106,114,glass beaker,6.06,2.748,8.7771,3.7233,2.7171,1.0295,1.0054,0.9591,1.9645,0.9753,0.036,0.0162,2.6811,0.2774,0.384,1.8888,1.3648,2.7954,0.5118,1.0483,yohei322,2009-09-12T22:22:32Z
"C0011B-14R-2, 87.0 cm",NULL,NULL,462.28,462.28,462.28,462.28,"C0011B-14R-2, 89.0 cm",NULL,NULL,462.3,462.3,462.3,462.3,"C0011B-14R-2 W, 87.0--89.0 cm",CKY000000000000134810,PP,NULL,10,glenn322,NULL,CKY,2009-09-11T21:39:17Z,NULL,164,glass beaker,6.107,2.721,9.9086,4.7732,3.8016,164,glass beaker,6.107,2.721,8.9111,3.78,2.8041,1.0337,1.0095,1.0427,2.0522,1.059,0.0362,0.0163,2.7679,0.2719,0.3735,1.8525,1.3487,2.6546,0.4919,0.9682,fuway,2010-08-17T03:19:02Z
"C0011B-14R-4, 0.0 cm",NULL,NULL,463.155,463.155,463.155,463.155,"C0011B-14R-4, 2.0 cm",NULL,NULL,463.175,463.175,463.175,463.175,"C0011B-14R-4 WR, 0.0--2.0 cm",CKY000000000000113210,PP,NULL,5,christine322,NULL,CKY,2009-09-11T12:24:07Z,NULL,131,glass beaker,6.049,2.74,8.406,4.0124,2.357,131,glass beaker,6.049,2.74,7.7807,3.3898,1.7317,0.648,0.6328,0.6396,1.2724,0.6498,0.0227,0.0102,1.709,0.2749,0.3792,1.8524,1.3431,2.672,0.4973,0.9894,fuway,2010-08-17T03:18:58Z
"C0011B-14R-5, 45.0 cm",NULL,NULL,464.07,464.07,464.07,464.07,"C0011B-14R-5, 47.0 cm",NULL,NULL,464.09,464.09,464.09,464.09,"C0011B-14R-5 WR, 45.0--47.0 cm",CKY000000000000128410,PP,NULL,7,matt322,NULL,CKY,2009-09-11T18:51:07Z,NULL,151,glass beaker,5.99,2.697,8.4623,3.9294,2.4723,151,glass beaker,5.99,2.697,7.9733,3.4426,1.9833,0.5067,0.4948,0.7376,1.2324,0.7456,0.0177,0.008,1.9656,0.205,0.2578,2.0061,1.5949,2.6649,0.4015,0.6708,fuway,2010-08-17T03:18:59Z
"C0011B-14R-5, 100.0 cm",NULL,NULL,464.62,464.62,464.62,464.62,"C0011B-14R-5, 101.0 cm",NULL,NULL,464.63,464.63,464.63,464.63,"C0011B-14R-5 W, 100.0--101.0 cm",CKY000000000000135810,PP,NULL,10,glenn322,NULL,CKY,2009-09-11T22:26:54Z,NULL,184,glass beaker,6.058,2.733,8.2866,4.0429,2.2286,184,glass beaker,6.058,2.733,7.4613,3.2212,1.4033,0.8552,0.8352,0.4747,1.3099,0.4882,0.0299,0.0135,1.3734,0.3837,0.6227,1.7014,1.0485,2.8932,0.6376,1.7594,yohei322,2009-09-12T22:22:32Z
"C0011B-14R-6, 4.0 cm",NULL,NULL,465.075,465.075,465.075,465.075,"C0011B-14R-6, 6.0 cm",NULL,NULL,465.095,465.095,465.095,465.095,"C0011B-14R-6 WR, 4.0--6.0 cm",CKY000000000000130010,PP,NULL,7,matt322,NULL,CKY,2009-09-11T19:07:02Z,NULL,433,glass beaker,6.174,2.794,9.6971,4.6766,3.5231,433,glass beaker,6.174,2.794,8.7979,3.7813,2.6239,0.9318,0.91,0.9726,1.8826,0.9873,0.0326,0.0147,2.5913,0.2645,0.3596,1.8714,1.3764,2.6643,0.4834,0.9356,fuway,2010-08-17T03:19:08Z
"C0011B-15R-1, 39.0 cm",NULL,NULL,469.881,469.89,469.881,469.89,"C0011B-15R-1, 41.0 cm",NULL,NULL,469.901,469.91,469.901,469.91,"C0011B-15R-1 W, 39.0--41.0 cm",CKY000000000000160210,PP,NULL,10,andre322,NULL,CKY,2009-09-12T18:04:19Z,NULL,409,glass beaker,6.178,2.781,8.5525,4.0148,2.3745,409,glass beaker,6.178,2.781,7.9728,3.4377,1.7948,0.6007,0.5866,0.6472,1.2338,0.6567,0.021,0.0095,1.7738,0.253,0.3387,1.9245,1.4377,2.7407,0.4754,0.9064,fuway,2010-08-17T03:19:05Z
"C0011B-15R-2, 45.0 cm",NULL,NULL,471.308,471.35,471.308,471.35,"C0011B-15R-2, 47.0 cm",NULL,NULL,471.328,471.37,471.328,471.37,"C0011B-15R-2 WR, 45.0--47.0 cm",CKY000000000000155410,PP,NULL,7,glenn322,NULL,CKY,2009-09-12T16:35:52Z,NULL,205,glass beaker,6.081,2.75,9.5496,4.6387,3.4686,205,glass beaker,6.081,2.75,8.6595,3.7524,2.5785,0.9224,0.9008,0.9879,1.8887,1.0024,0.0323,0.0145,2.5462,0.2659,0.3623,1.8365,1.3481,2.5774,0.4769,0.9118,fuway,2010-08-17T03:19:04Z
"C0011B-15R-3, 0.0 cm",NULL,NULL,471.972,472.03,471.972,472.03,"C0011B-15R-3, 2.0 cm",NULL,NULL,471.992,472.05,471.992,472.05,"C0011B-15R-3 WR, 0.0--2.0 cm",CKY000000000000153910,PP,NULL,5,katerina322,NULL,CKY,2009-09-12T12:46:32Z,NULL,158,glass beaker,6.019,2.71,10.1678,4.9014,4.1488,158,glass beaker,6.019,2.71,9.1601,3.8981,3.1411,1.0442,1.0197,1.1717,2.1914,1.1881,0.0365,0.0164,3.1046,0.2517,0.3363,1.8932,1.4167,2.6497,0.4653,0.8703,yohei322,2009-09-14T00:26:58Z
"C0011B-15R-2, 124.0 cm",NULL,NULL,472.08,472.14,472.08,472.14,"C0011B-15R-2, 126.0 cm",NULL,NULL,472.1,472.16,472.1,472.16,"C0011B-15R-2 W, 124.0--126.0 cm",CKY000000000000160310,PP,NULL,7,andre322,NULL,CKY,2009-09-12T18:04:19Z,NULL,148,glass beaker,6.081,2.699,8.4439,3.9573,2.3629,148,glass beaker,6.081,2.699,7.8933,3.4091,1.8123,0.5706,0.5572,0.7011,1.2583,0.7101,0.02,0.009,1.7923,0.2415,0.3184,1.8779,1.4244,2.5564,0.4428,0.7948,andre322,2009-09-14T03:41:29Z
"C0011B-15R-4, 21.5 cm",NULL,NULL,472.691,472.765,472.691,472.765,"C0011B-15R-4, 22.5 cm",NULL,NULL,472.701,472.775,472.701,472.775,"C0011B-15R-4 W, 21.5--22.5 cm",CKY000000000000160810,PP,NULL,5,matt322,NULL,CKY,2009-09-12T19:23:28Z,NULL,137,glass beaker,6.09,2.774,8.3735,3.9553,2.2835,137,glass beaker,6.09,2.774,7.7768,3.3612,1.6868,0.6183,0.6038,0.5775,1.1813,0.5872,0.0216,0.0097,1.6652,0.2708,0.3713,1.933,1.4096,2.8835,0.5111,1.0455,yohei322,2009-09-14T00:26:59Z
"C0011B-15R-4, 87.5 cm",NULL,NULL,473.336,473.425,473.336,473.425,"C0011B-15R-4, 88.5 cm",NULL,NULL,473.346,473.435,473.346,473.435,"C0011B-15R-4 W, 87.5--88.5 cm",CKY000000000000161010,PP,NULL,7,matt322,NULL,CKY,2009-09-12T19:27:05Z,NULL,206,glass beaker,6.012,2.707,8.5956,4.1832,2.5836,206,glass beaker,6.012,2.707,7.8747,3.4655,1.8627,0.747,0.7295,0.7467,1.4762,0.7585,0.0261,0.0118,1.8366,0.2891,0.4067,1.7502,1.2441,2.4596,0.4942,0.977,fuway,2010-08-17T03:19:04Z
"C0011B-15R-4, 117.0 cm",NULL,NULL,473.624,473.72,473.624,473.72,"C0011B-15R-4, 119.0 cm",NULL,NULL,473.644,473.74,473.644,473.74,"C0011B-15R-4 WR, 117.0--119.0 cm",CKY000000000000156810,PP,NULL,7,matt322,NULL,CKY,2009-09-12T17:01:34Z,NULL,175,glass beaker,6.13,2.768,8.9268,4.282,2.7968,175,glass beaker,6.13,2.768,8.1732,3.5317,2.0432,0.7809,0.7626,0.7514,1.514,0.7637,0.0273,0.0123,2.0159,0.2792,0.3874,1.8473,1.3315,2.6829,0.5037,1.0149,fuway,2010-08-17T03:19:03Z
"C0011B-15R-5, 12.0 cm",NULL,NULL,473.976,474.08,473.976,474.08,"C0011B-15R-5, 14.5 cm",NULL,NULL,474,474.105,474,474.105,"C0011B-15R-5 W, 12.0--14.5 cm",CKY000000000000161210,PP,NULL,7,matt322,NULL,CKY,2009-09-12T19:32:48Z,NULL,412,glass beaker,6.176,2.781,8.3184,3.9549,2.1424,412,glass beaker,6.176,2.781,7.73,3.3691,1.554,0.6097,0.5954,0.5785,1.1739,0.5881,0.0213,0.0096,1.5327,0.2846,0.3978,1.825,1.3056,2.6494,0.5072,1.0292,fuway,2010-08-17T03:19:05Z
"C0011B-15R-5, 111.0 cm",NULL,NULL,474.943,475.07,474.943,475.07,"C0011B-15R-5, 112.5 cm",NULL,NULL,474.958,475.085,474.958,475.085,"C0011B-15R-5 W, 111.0--112.5 cm",CKY000000000000161110,PP,NULL,10,matt322,NULL,CKY,2009-09-12T19:32:48Z,NULL,187,glass beaker,6.124,2.73,8.3141,3.98,2.1901,187,glass beaker,6.124,2.73,7.7347,3.4032,1.6107,0.6004,0.5863,0.6637,1.25,0.6732,0.021,0.0095,1.5897,0.2741,0.3777,1.7521,1.2718,2.3952,0.469,0.8834,yohei322,2009-09-14T00:26:59Z
"C0011B-15R-6, 26.0 cm",NULL,NULL,475.5,475.64,475.5,475.64,"C0011B-15R-6, 28.0 cm",NULL,NULL,475.52,475.66,475.52,475.66,"C0011B-15R-6 W, 26.0--28.0 cm",CKY000000000000162010,PP,NULL,5,andre322,NULL,CKY,2009-09-12T19:54:40Z,NULL,11,glass beaker,4.544,2.033,7.3829,3.5804,2.8389,11,glass beaker,4.544,2.033,6.6365,2.8372,2.0925,0.7735,0.7554,0.792,1.5474,0.8042,0.0271,0.0122,2.0654,0.2725,0.3745,1.8346,1.3348,2.6078,0.4882,0.9538,fuway,2010-08-17T03:18:51Z
"C0011B-15R-6, 85.0 cm",NULL,NULL,476.077,476.23,476.077,476.23,"C0011B-15R-6, 87.0 cm",NULL,NULL,476.096,476.25,476.096,476.25,"C0011B-15R-6 W, 85.0--87.0 cm",CKY000000000000162110,PP,NULL,5,andre322,NULL,CKY,2009-09-12T19:54:41Z,NULL,442,glass beaker,6.231,2.822,7.7264,3.4425,1.4954,442,glass beaker,6.231,2.822,7.5069,3.2239,1.2759,0.2275,0.2222,0.3983,0.6205,0.4019,0.008,0.0036,1.2679,0.1521,0.1794,2.41,2.0434,3.1833,0.3581,0.5579,fuway,2010-08-17T03:19:08Z
"C0011B-15R-7, 25.0 cm",NULL,NULL,476.663,476.83,476.663,476.83,"C0011B-15R-7, 27.0 cm",NULL,NULL,476.683,476.85,476.683,476.85,"C0011B-15R-7 W, 25.0--27.0 cm",CKY000000000000162210,PP,NULL,5,andre322,NULL,CKY,2009-09-12T20:01:14Z,NULL,6,glass beaker,4.522,2.014,6.9796,3.338,2.4576,6,glass beaker,4.522,2.014,6.415,2.7758,1.893,0.5851,0.5714,0.7526,1.324,0.7618,0.0205,0.0092,1.8725,0.2381,0.3125,1.8562,1.4143,2.488,0.4316,0.7592,yohei322,2009-09-14T00:26:59Z
"C0011B-16R-1, 48.0 cm",NULL,NULL,477.28,477.28,477.28,477.28,"C0011B-16R-1, 50.0 cm",NULL,NULL,477.3,477.3,477.3,477.3,"C0011B-16R-1 W, 48.0--50.0 cm",CKY000000000000162710,PP,NULL,5,glenn322,NULL,CKY,2009-09-12T21:07:07Z,NULL,404,glass beaker,6.229,2.79,8.7388,4.2984,2.5098,404,glass beaker,6.229,2.79,7.9126,3.4758,1.6836,0.8562,0.8361,0.6723,1.5084,0.6858,0.03,0.0135,1.6536,0.3411,0.5178,1.6639,1.0963,2.4596,0.5543,1.2436,yohei322,2009-09-14T00:26:59Z
"C0011B-16R-1, 131.0 cm",NULL,NULL,478.11,478.11,478.11,478.11,"C0011B-16R-1, 132.0 cm",NULL,NULL,478.12,478.12,478.12,478.12,"C0011B-16R-1 W, 131.0--132.0 cm",CKY000000000000162810,PP,NULL,5,glenn322,NULL,CKY,2009-09-12T21:07:07Z,NULL,22,glass beaker,4.596,2.027,7.6509,3.6556,3.0549,22,glass beaker,4.596,2.027,6.9566,2.9644,2.3606,0.7195,0.7026,0.926,1.6286,0.9374,0.0252,0.0114,2.3354,0.2355,0.3081,1.8758,1.434,2.522,0.4314,0.7587,yohei322,2009-09-14T00:26:59Z
"C0011B-16R-2, 0.0 cm",NULL,NULL,478.21,478.21,478.21,478.21,"C0011B-16R-2, 2.0 cm",NULL,NULL,478.23,478.23,478.23,478.23,"C0011B-16R-2 WR, 0.0--2.0 cm",CKY000000000000158010,PP,NULL,5,andre322,NULL,CKY,2009-09-12T17:11:52Z,NULL,173,glass beaker,5.967,2.703,9.5939,4.5429,3.6269,173,glass beaker,5.967,2.703,8.787,3.7395,2.82,0.8362,0.8166,1.0233,1.8399,1.0365,0.0293,0.0132,2.7907,0.2306,0.2996,1.9712,1.5168,2.7272,0.4438,0.798,fuway,2010-08-17T03:19:03Z
"C0011B-19R-1, 25.0 cm",NULL,NULL,491.142,491.15,491.142,491.15,"C0011B-19R-1, 26.0 cm",NULL,NULL,491.152,491.16,491.152,491.16,"C0011B-19R-1 W, 25.0--26.0 cm",CKY000000000000177210,PP,NULL,7,yohei322,NULL,CKY,2009-09-13T11:39:51Z,NULL,108,glass beaker,6.054,2.744,9.1527,4.2999,3.0987,108,glass beaker,6.054,2.744,8.465,3.6152,2.411,0.7126,0.6959,0.86,1.5559,0.8712,0.0249,0.0112,2.3861,0.23,0.2986,1.9916,1.5336,2.7745,0.4473,0.8092,fuway,2010-08-17T03:18:54Z
"C0011B-19R-1, 100.0 cm",NULL,NULL,491.87,491.9,491.87,491.9,"C0011B-19R-1, 101.0 cm",NULL,NULL,491.879,491.91,491.879,491.91,"C0011B-19R-1 W, 100.0--101.0 cm",CKY000000000000177310,PP,NULL,7,yohei322,NULL,CKY,2009-09-13T11:39:52Z,NULL,416,glass beaker,6.213,2.815,8.488,3.937,2.275,416,glass beaker,6.213,2.815,7.9746,3.4259,1.7616,0.532,0.5195,0.6025,1.122,0.6109,0.0186,0.0084,1.743,0.2338,0.3052,2.0276,1.5535,2.8929,0.463,0.8622,matt322,2009-09-14T08:18:31Z
"C0011B-19R-2, 25.5 cm",NULL,NULL,492.505,492.555,492.505,492.555,"C0011B-19R-2, 27.5 cm",NULL,NULL,492.524,492.575,492.524,492.575,"C0011B-19R-2 WR, 25.5--27.5 cm",CKY000000000000177510,PP,NULL,7,yohei322,NULL,CKY,2009-09-13T11:45:41Z,NULL,152,glass beaker,6.058,2.722,9.9305,5.051,3.8725,152,glass beaker,6.058,2.722,8.979,4.1036,2.921,0.986,0.9629,1.3661,2.329,1.3816,0.0345,0.0155,2.8865,0.2546,0.3416,1.6627,1.2394,2.1129,0.4134,0.7049,fuway,2010-08-17T03:18:59Z
"C0011B-19R-3, 0.0 cm",NULL,NULL,492.597,492.65,492.597,492.65,"C0011B-19R-3, 2.0 cm",NULL,NULL,492.616,492.67,492.616,492.67,"C0011B-19R-3 WR, 0.0--2.0 cm",CKY000000000000171910,PP,NULL,5,brandon322,NULL,CKY,2009-09-13T06:27:31Z,NULL,439,glass beaker,6.274,2.824,9.9164,4.7172,3.6424,439,glass beaker,6.274,2.824,9.0788,3.8832,2.8048,0.868,0.8477,1.0455,1.8932,1.0592,0.0304,0.0137,2.7744,0.2383,0.3129,1.9239,1.4655,2.6537,0.4478,0.8108,fuway,2010-08-17T03:19:08Z
"C0011B-19R-4, 20.0 cm",NULL,NULL,493.15,493.22,493.15,493.22,"C0011B-19R-4, 22.0 cm",NULL,NULL,493.169,493.24,493.169,493.24,"C0011B-19R-4 WR, 20.0--22.0 cm",CKY000000000000174010,PP,NULL,5,brandon322,NULL,CKY,2009-09-13T08:58:52Z,NULL,194,glass beaker,6.037,2.728,9.4499,4.454,3.4129,194,glass beaker,6.037,2.728,8.7047,3.7121,2.6677,0.7722,0.7541,0.9719,1.726,0.9841,0.027,0.0122,2.6407,0.2263,0.2924,1.9773,1.53,2.717,0.4369,0.7759,matt322,2009-09-14T08:17:18Z
"C0011B-19R-4, 74.0 cm",NULL,NULL,493.673,493.76,493.673,493.76,"C0011B-19R-4, 76.0 cm",NULL,NULL,493.693,493.78,493.693,493.78,"C0011B-19R-4 WR, 74.0--76.0 cm",CKY000000000000174810,PP,NULL,5,brandon322,NULL,CKY,2009-09-13T09:02:00Z,NULL,35,glass beaker,4.608,2.061,8.1627,3.9388,3.5547,35,glass beaker,4.608,2.061,7.3158,3.0956,2.7078,0.8776,0.857,1.0208,1.8778,1.0346,0.0307,0.0138,2.6771,0.2469,0.3278,1.893,1.4257,2.6226,0.4564,0.8395,fuway,2010-08-17T03:18:53Z
"C0011B-19R-4, 125.0 cm",NULL,NULL,494.168,494.27,494.168,494.27,"C0011B-19R-4, 127.0 cm",NULL,NULL,494.187,494.29,494.187,494.29,"C0011B-19R-4 WR, 125.0--127.0 cm",CKY000000000000177610,PP,NULL,7,yohei322,NULL,CKY,2009-09-13T12:12:43Z,NULL,204,glass beaker,6.056,2.748,9.3217,4.3596,3.2657,204,glass beaker,6.056,2.748,8.6128,3.6538,2.5568,0.7346,0.7174,0.8942,1.6116,0.9058,0.0257,0.0116,2.5311,0.2249,0.2902,2.0264,1.5706,2.8306,0.4451,0.8023,yohei322,2009-09-14T22:04:48Z
"C0011B-19R-5, 32.0 cm",NULL,NULL,494.604,494.72,494.604,494.72,"C0011B-19R-5, 34.0 cm",NULL,NULL,494.623,494.74,494.623,494.74,"C0011B-19R-5 WR, 32.0--34.0 cm",CKY000000000000175710,PP,NULL,5,brandon322,NULL,CKY,2009-09-13T09:37:11Z,NULL,170,glass beaker,6.05,2.735,9.4387,4.4517,3.3887,170,glass beaker,6.05,2.735,8.7045,3.7207,2.6545,0.7608,0.743,0.9737,1.7167,0.9857,0.0266,0.012,2.6279,0.2245,0.2895,1.974,1.5308,2.6989,0.4328,0.7631,fuway,2010-08-17T03:19:02Z
"C0011B-19R-5, 110.5 cm",NULL,NULL,495.365,495.505,495.365,495.505,"C0011B-19R-5, 112.0 cm",NULL,NULL,495.38,495.52,495.38,495.52,"C0011B-19R-5 W, 110.5--112.0 cm",CKY000000000000177810,PP,NULL,10,andre322,NULL,CKY,2009-09-13T12:33:16Z,NULL,447,glass beaker,6.131,2.786,10.0967,4.7206,3.9657,447,glass beaker,6.131,2.786,9.252,3.8796,3.121,0.8753,0.8548,1.0798,1.9346,1.0936,0.0306,0.0138,3.0904,0.2207,0.2832,2.0499,1.5974,2.862,0.4418,0.7916,yohei322,2009-09-14T22:04:49Z
"C0011B-19R-6, 19.0 cm",NULL,NULL,495.797,495.95,495.797,495.95,"C0011B-19R-6, 21.0 cm",NULL,NULL,495.816,495.97,495.816,495.97,"C0011B-19R-6 WR, 19.0--21.0 cm",CKY000000000000176610,PP,NULL,5,brandon322,NULL,CKY,2009-09-13T11:18:26Z,NULL,135,glass beaker,6.059,2.719,9.608,4.5503,3.549,135,glass beaker,6.059,2.719,8.8156,3.7613,2.7566,0.8211,0.8019,1.0294,1.8313,1.0423,0.0287,0.0129,2.7279,0.2314,0.301,1.938,1.4896,2.65,0.4379,0.779,fuway,2010-08-17T03:18:58Z
