Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-7R-3, 0.0 cm",NULL,NULL,395.135,395.135,395.135,395.135,"C0011B-7R-3, 2.0 cm",NULL,NULL,395.155,395.155,395.155,395.155,"C0011B-7R-3 WR, 0.0--2.0 cm",CKY000000000000036910,PP,NULL,5,brandon322,NULL,CKY,2009-09-10T09:56:42Z,NULL,23,glass beaker,4.619,2.09,8.0048,3.9815,3.3858,23,glass beaker,4.619,2.09,7.0525,3.0333,2.4335,0.9868,0.9637,0.9278,1.8915,0.9433,0.0345,0.0155,2.399,0.2915,0.4113,1.79,1.2683,2.5857,0.5095,1.0387,matt322,2009-09-11T10:52:22Z
"C0011B-7R-4, 10.0 cm",NULL,NULL,395.595,395.595,395.595,395.595,"C0011B-7R-4, 12.0 cm",NULL,NULL,395.615,395.615,395.615,395.615,"C0011B-7R-4 W, 10.0--12.0 cm",CKY000000000000067810,PP,NULL,5,glenn322,NULL,CKY,2009-09-10T21:38:01Z,NULL,167,glass beaker,6.072,2.736,9.338,4.4942,3.266,167,glass beaker,6.072,2.736,8.4049,3.5652,2.3329,0.9669,0.9442,0.814,1.7582,0.8292,0.0338,0.0152,2.2991,0.2961,0.4206,1.8576,1.3076,2.8244,0.537,1.16,fuway,2010-08-17T03:19:02Z
"C0011B-7R-4, 123.0 cm",NULL,NULL,396.725,396.725,396.725,396.725,"C0011B-7R-4, 125.0 cm",NULL,NULL,396.745,396.745,396.745,396.745,"C0011B-7R-4 W, 123.0--125.0 cm",CKY000000000000067910,PP,NULL,5,glenn322,NULL,CKY,2009-09-10T21:39:09Z,NULL,441,glass beaker,6.197,2.802,10.2863,5.0375,4.0893,441,glass beaker,6.197,2.802,9.1415,3.8977,2.9445,1.1863,1.1585,1.077,2.2355,1.0957,0.0415,0.0187,2.903,0.2901,0.4086,1.8293,1.2986,2.6955,0.5182,1.0757,fuway,2010-08-17T03:19:08Z
"C0011B-7R-5, 25.0 cm",NULL,NULL,397.085,397.085,397.085,397.085,"C0011B-7R-5, 26.0 cm",NULL,NULL,397.095,397.095,397.095,397.095,"C0011B-7R-5 W, 25.0--26.0 cm",CKY000000000000069010,PP,NULL,5,glenn322,NULL,CKY,2009-09-10T22:03:48Z,NULL,117,glass beaker,6.087,2.744,10.8726,5.3754,4.7856,117,glass beaker,6.087,2.744,9.4909,3.9998,3.4039,1.4318,1.3982,1.2332,2.6314,1.2558,0.0501,0.0226,3.3538,0.2992,0.4269,1.8187,1.2745,2.7196,0.5314,1.1338,fuway,2010-08-17T03:18:55Z
"C0011B-7R-5, 101.5 cm",NULL,NULL,397.85,397.85,397.85,397.85,"C0011B-7R-5, 103.5 cm",NULL,NULL,397.87,397.87,397.87,397.87,"C0011B-7R-5 WR, 101.5--103.5 cm",CKY000000000000060010,PP,NULL,7,matt322,NULL,CKY,2009-09-10T19:27:45Z,NULL,139,glass beaker,6.092,2.819,9.7955,4.8617,3.7035,139,glass beaker,6.092,2.819,8.6662,3.7373,2.5742,1.1703,1.1429,0.8998,2.0427,0.9183,0.041,0.0185,2.5332,0.316,0.462,1.813,1.2401,2.8153,0.5595,1.2702,fuway,2010-08-17T03:18:59Z
"C0011B-7R-6, 23.0 cm",NULL,NULL,398.485,398.485,398.485,398.485,"C0011B-7R-6, 24.0 cm",NULL,NULL,398.495,398.495,398.495,398.495,"C0011B-7R-6 W, 23.0--24.0 cm",CKY000000000000070910,PP,NULL,5,glenn322,NULL,CKY,2009-09-10T22:17:30Z,NULL,153,glass beaker,6.082,2.691,9.8443,4.3844,3.7623,153,glass beaker,6.082,2.691,9.379,3.9211,3.297,0.4822,0.4709,1.2225,1.6934,1.2301,0.0169,0.0076,3.2801,0.1282,0.147,2.2217,1.937,2.6831,0.2781,0.3852,fuway,2010-08-17T03:18:59Z
"C0011B-7R-6, 97.0 cm",NULL,NULL,399.225,399.225,399.225,399.225,"C0011B-7R-6, 98.0 cm",NULL,NULL,399.235,399.235,399.235,399.235,"C0011B-7R-6 W, 97.0--98.0 cm",CKY000000000000071010,PP,NULL,5,glenn322,NULL,CKY,2009-09-10T22:17:30Z,NULL,170,glass beaker,6.05,2.735,8.9998,4.5192,2.9498,170,glass beaker,6.05,2.735,7.964,3.4879,1.914,1.0734,1.0482,0.736,1.7842,0.7529,0.0376,0.0169,1.8764,0.3639,0.5721,1.6533,1.0517,2.5495,0.5875,1.4242,fuway,2010-08-17T03:19:02Z
"C0011B-7R-7, 16.0 cm",NULL,NULL,399.825,399.825,399.825,399.825,"C0011B-7R-7, 17.0 cm",NULL,NULL,399.835,399.835,399.835,399.835,"C0011B-7R-7 W, 16.0--17.0 cm",CKY000000000000072010,PP,NULL,15,glenn322,NULL,CKY,2009-09-10T22:31:39Z,NULL,152,glass beaker,6.058,2.722,8.3991,3.9776,2.3411,152,glass beaker,6.058,2.722,7.8176,3.3986,1.7596,0.6026,0.5885,0.6671,1.2556,0.6766,0.0211,0.0095,1.7385,0.2574,0.3466,1.8645,1.3846,2.6061,0.4687,0.8822,fuway,2010-08-17T03:18:59Z
"C0011B-7R-7, 100.0 cm",NULL,NULL,400.665,400.665,400.665,400.665,"C0011B-7R-7, 101.0 cm",NULL,NULL,400.675,400.675,400.675,400.675,"C0011B-7R-7 W, 100.0--101.0 cm",CKY000000000000072110,PP,NULL,15,glenn322,NULL,CKY,2009-09-10T22:32:11Z,NULL,166,glass beaker,6.109,2.76,8.6711,4.1225,2.5621,166,glass beaker,6.109,2.76,8.0509,3.505,1.9419,0.6427,0.6276,0.7349,1.3625,0.745,0.0225,0.0101,1.9194,0.2508,0.3348,1.8804,1.4087,2.6118,0.4606,0.854,fuway,2010-08-17T03:19:02Z
"C0011B-8R-1, 90.0 cm",NULL,NULL,403.9,403.9,403.9,403.9,"C0011B-8R-1, 92.0 cm",NULL,NULL,403.92,403.92,403.92,403.92,"C0011B-8R-1 W, 90.0--92.0 cm",CKY000000000000075910,PP,NULL,5,andre322,NULL,CKY,2009-09-10T23:44:35Z,NULL,127,glass beaker,6.022,2.721,8.7216,4.2078,2.6996,127,glass beaker,6.022,2.721,7.9333,3.4229,1.9113,0.8169,0.7978,0.689,1.4868,0.7019,0.0286,0.0129,1.8827,0.3026,0.4339,1.8157,1.2663,2.7325,0.5366,1.1579,fuway,2010-08-17T03:18:57Z
