Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011D-1H-1, 31.0 cm",NULL,21.292,21.31,21.292,21.31,"C0011D-1H-1, 33.0 cm",NULL,21.311,21.33,21.311,21.33,"C0011D-1H-1 W, 31.0--33.0 cm",CKY000000000004179200,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:19Z,122,glass beaker,5.967,2.709,12.1223,6.6435,6.1553,122,glass beaker,5.967,2.709,9.5662,4.0986,3.5992,2.6488,2.5867,1.3478,3.9345,1.3896,0.0927,0.0418,3.5065,0.4303,0.7554,1.5644,0.8912,2.6016,0.6574,1.9192,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-1, 96.0 cm",NULL,21.903,21.96,21.903,21.96,"C0011D-1H-1, 98.0 cm",NULL,21.922,21.98,21.922,21.98,"C0011D-1H-1 W, 96.0--98.0 cm",CKY000000000004178900,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:19Z,155,glass beaker,6.041,2.738,12.8894,6.8637,6.8484,155,glass beaker,6.041,2.738,10.6158,4.6,4.5748,2.3561,2.3009,1.8248,4.1257,1.862,0.0825,0.0372,4.4923,0.344,0.5245,1.6599,1.0889,2.4618,0.5577,1.2609,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-2, 20.0 cm",NULL,22.515,22.61,22.515,22.61,"C0011D-1H-2, 22.0 cm",NULL,22.534,22.63,22.534,22.63,"C0011D-1H-2 W, 20.0--22.0 cm",CKY000000000004179000,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:19Z,121,glass beaker,6.07,2.7,12.0343,6.4052,5.9643,121,glass beaker,6.07,2.7,9.7332,4.1141,3.6632,2.3846,2.3287,1.3765,3.7052,1.4141,0.0835,0.0376,3.5797,0.3998,0.6661,1.6097,0.9661,2.6006,0.6285,1.6918,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-2, 91.0 cm",NULL,23.183,23.32,23.183,23.32,"C0011D-1H-2, 93.0 cm",NULL,23.202,23.34,23.202,23.34,"C0011D-1H-2 W, 91.0--93.0 cm",CKY000000000004179100,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:19Z,186,glass beaker,5.949,2.631,12.2589,6.5431,6.3099,186,glass beaker,5.949,2.631,9.8706,4.1652,3.9216,2.4749,2.4169,1.4952,3.9121,1.5342,0.0866,0.039,3.835,0.3922,0.6453,1.6129,0.9803,2.5649,0.6178,1.6164,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-3, 15.0 cm",NULL,23.795,23.97,23.795,23.97,"C0011D-1H-3, 16.0 cm",NULL,23.804,23.98,23.804,23.98,"C0011D-1H-3 WR, 15.0--16.0 cm",CKY000000000004027200,PP,NULL,5,mstrasser333,NULL,CKY,2010-12-19T06:30:27Z,162,glass beaker,5.997,2.738,10.7682,5.6367,4.7712,162,glass beaker,5.997,2.738,8.8637,3.7405,2.8667,1.9736,1.9273,0.9714,2.8987,1.0025,0.0691,0.0311,2.7976,0.4136,0.7055,1.646,0.9651,2.88,0.6649,1.984,kidoyo,2010-12-24T16:04:38Z
"C0011D-1H-3, 53.0 cm",NULL,24.153,24.35,24.153,24.35,"C0011D-1H-3, 55.0 cm",NULL,24.171,24.37,24.171,24.37,"C0011D-1H-3 W, 53.0--55.0 cm",CKY000000000004179300,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:20Z,142,glass beaker,6.09,2.731,11.9641,6.427,5.8741,142,glass beaker,6.09,2.731,9.6658,4.1387,3.5758,2.3817,2.3259,1.3701,3.696,1.4077,0.0834,0.0376,3.4924,0.4055,0.682,1.5893,0.9449,2.549,0.6293,1.6976,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-3, 102.0 cm",NULL,24.614,24.84,24.614,24.84,"C0011D-1H-3, 104.0 cm",NULL,24.633,24.86,24.633,24.86,"C0011D-1H-3 W, 102.0--104.0 cm",CKY000000000004179400,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:20Z,133,glass beaker,6.032,2.721,12.1302,6.559,6.0982,133,glass beaker,6.032,2.721,9.6882,4.1276,3.6562,2.5306,2.4713,1.3667,3.838,1.4066,0.0886,0.0399,3.5676,0.415,0.7093,1.5889,0.9295,2.6104,0.6439,1.8082,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-4, 20.0 cm",NULL,25.169,25.43,25.169,25.43,"C0011D-1H-4, 22.0 cm",NULL,25.188,25.45,25.188,25.45,"C0011D-1H-4 WR, 20.0--22.0 cm",CKY000000000004003300,PP,NULL,3,marion333,NULL,CKY,2010-12-18T23:05:44Z,185,glass beaker,5.862,2.662,10.4898,5.466,4.6278,185,glass beaker,5.862,2.662,8.7221,3.706,2.8601,1.8318,1.7889,1.0151,2.804,1.044,0.0641,0.0289,2.796,0.3958,0.6552,1.6504,0.9971,2.7544,0.638,1.7623,kidoyo,2010-12-24T16:04:38Z
"C0011D-1H-5, 32.0 cm",NULL,25.489,25.77,25.489,25.77,"C0011D-1H-5, 34.0 cm",NULL,25.508,25.79,25.508,25.79,"C0011D-1H-5 W, 32.0--34.0 cm",CKY000000000004179500,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:20Z,649,glass beaker,6.092,2.745,13.3597,7.4431,7.2677,649,glass beaker,6.092,2.745,10.2474,4.3444,4.1554,3.2252,3.1496,1.5485,4.6981,1.5994,0.1129,0.0509,4.0425,0.4438,0.7978,1.5469,0.8605,2.6106,0.6704,2.034,kidoyo,2010-12-24T16:04:40Z
"C0011D-1H-5, 92.0 cm",NULL,26.054,26.37,26.054,26.37,"C0011D-1H-5, 94.0 cm",NULL,26.072,26.39,26.072,26.39,"C0011D-1H-5 W, 92.0--94.0 cm",CKY000000000004179600,PP,NULL,5,ymlee333,NULL,CKY,2010-12-21T07:53:20Z,141,glass beaker,6.02,2.675,12.0424,6.5208,6.0224,141,glass beaker,6.02,2.675,9.6206,4.1095,3.6006,2.5096,2.4508,1.395,3.8458,1.4345,0.0878,0.0395,3.5128,0.4167,0.7144,1.566,0.9134,2.5181,0.6373,1.7568,kidoyo,2010-12-24T16:04:40Z
