Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002B-8R-2, 0.0 cm",NULL,534.41,534.41,534.41,534.41,"C0002B-8R-2, 1.0 cm",NULL,534.42,534.42,534.42,534.42,"C0002B-8R-2 WR, 0.0--1.0 cm",CKY000000000000593200,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T08:02:56Z,NULL,153,glass beaker,6.069,2.733,13.58,6.643221,7.511,153,glass beaker,6.069,2.733,11.794,4.865,5.725,1.850777,1.8074,2.102821,3.910221,2.132,0.06477725,0.02917894,5.660223,0.2464089,0.3269796,1.920864,1.447546,2.691728,0.4622244,0.8595118,hashimotoy,2007-12-15T10:36:03Z
"C0002B-8R-3, 20.0 cm",NULL,534.925,534.925,534.925,534.925,"C0002B-8R-3, 21.0 cm",NULL,534.935,534.935,534.935,534.935,"C0002B-8R-3 W, 20.0--21.0 cm",CKY000000000000616300,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:08:45Z,NULL,170,glass beaker,6.055,2.712,12.861,6.286686,6.806,170,glass beaker,6.055,2.712,11.182,4.615,5.127,1.739896,1.699118,1.875569,3.574686,1.903,0.06089642,0.02743082,5.066104,0.2556415,0.3434388,1.903943,1.417216,2.701102,0.4753193,0.9059211,hashimotoy,2007-12-15T10:36:03Z
"C0002B-8R-3, 73.0 cm",NULL,535.455,535.455,535.455,535.455,"C0002B-8R-3, 74.0 cm",NULL,535.465,535.465,535.465,535.465,"C0002B-8R-3 WR, 73.0--74.0 cm",CKY000000000000598700,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T14:13:30Z,NULL,124,glass beaker,5.982,2.656,10.413,5.146642,4.431,124,glass beaker,5.982,2.656,9.183,3.922,3.201,1.274611,1.244738,1.245905,2.490642,1.266,0.04461143,0.02009524,3.156389,0.2876577,0.4038195,1.779059,1.267299,2.533411,0.4997657,0.9990633,hashimotoy,2007-12-15T10:42:38Z
"C0002B-9R-1, 20.0 cm",NULL,542.7,542.7,542.7,542.7,"C0002B-9R-1, 21.0 cm",NULL,542.71,542.71,542.71,542.71,"C0002B-9R-1 W, 20.0--21.0 cm",CKY000000000000616400,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:37Z,NULL,15,glass cell,4.558,2.072,10.297,5.038176,5.739,15,glass cell,4.558,2.072,8.96,3.707,4.402,1.385492,1.35302,1.613157,2.966176,1.635,0.04849227,0.02184336,4.353508,0.241417,0.3182473,1.934814,1.467717,2.698751,0.4561495,0.8387405,hashimotoy,2007-12-15T10:42:38Z
"C0002B-9R-1, 99.0 cm",NULL,543.49,543.49,543.49,543.49,"C0002B-9R-1, 100.0 cm",NULL,543.5,543.5,543.5,543.5,"C0002B-9R-1 W, 99.0--100.0 cm",CKY000000000000616500,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:38Z,NULL,190,glass beaker,6.064,2.72,12.233,5.9636,6.169,190,glass beaker,6.064,2.72,10.769,4.506,4.705,1.5171,1.4815,1.7621,3.2436,1.786,0.0531,0.0239,4.6519,0.2459,0.3261,1.9019,1.4342,2.64,0.4567,0.8408,fujikit,2010-08-11T05:14:12Z
"C0002B-9R-2, 20.0 cm",NULL,544.1,544.1,544.1,544.1,"C0002B-9R-2, 21.0 cm",NULL,544.11,544.11,544.11,544.11,"C0002B-9R-2 W, 20.0--21.0 cm",CKY000000000000616600,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:38Z,NULL,152,glass beaker,6.064,2.776,12.618,6.059797,6.554,152,glass beaker,6.064,2.776,11.194,4.642,5.13,1.475648,1.441062,1.842735,3.283797,1.866,0.05164771,0.02326473,5.078352,0.2251522,0.2905761,1.99586,1.546488,2.755877,0.4388401,0.7820234,hashimotoy,2007-12-15T10:42:38Z
"C0002B-9R-2, 99.0 cm",NULL,544.89,544.89,544.89,544.89,"C0002B-9R-2, 100.0 cm",NULL,544.9,544.9,544.9,544.9,"C0002B-9R-2 W, 99.0--100.0 cm",CKY000000000000616700,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:38Z,NULL,163,glass beaker,6.086,2.738,12.065,5.950497,5.979,163,glass beaker,6.086,2.738,10.572,4.464,4.486,1.54715,1.510889,1.701608,3.212497,1.726,0.0541503,0.02439203,4.43185,0.2587641,0.3490981,1.861169,1.379565,2.604507,0.4703161,0.8879183,hashimotoy,2007-12-15T10:42:39Z
"C0002B-9R-3, 0.0 cm",NULL,544.99,544.99,544.99,544.99,"C0002B-9R-3, 1.0 cm",NULL,545,545,545,545,"C0002B-9R-3 WR, 0.0--1.0 cm",CKY000000000000593900,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T08:08:36Z,NULL,140,glass beaker,6.001,2.695,12.943,6.388678,6.942,140,glass beaker,6.001,2.695,11.262,4.715,5.261,1.741969,1.701141,1.992537,3.693678,2.02,0.06096896,0.02746349,5.200031,0.2509319,0.334992,1.879428,1.407819,2.609755,0.4605549,0.8537567,hashimotoy,2007-12-15T10:48:20Z
"C0002B-9R-4, 20.0 cm",NULL,545.505,545.505,545.505,545.505,"C0002B-9R-4, 21.0 cm",NULL,545.515,545.515,545.515,545.515,"C0002B-9R-4 W, 20.0--21.0 cm",CKY000000000000616800,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:39Z,NULL,134,glass beaker,6.038,2.73,10.049,4.714385,4.011,134,glass beaker,6.038,2.73,9.219,3.888,3.181,0.8601037,0.8399449,1.14444,1.984385,1.158,0.03010365,0.0135602,3.150896,0.2144362,0.2729711,2.021281,1.587845,2.753221,0.4232773,0.7339354,hashimotoy,2007-12-15T10:48:20Z
"C0002B-9R-4, 70.0 cm",NULL,546.005,546.005,546.005,546.005,"C0002B-9R-4, 71.0 cm",NULL,546.015,546.015,546.015,546.015,"C0002B-9R-4 W, 70.0--71.0 cm",CKY000000000000616900,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:39Z,NULL,181,glass beaker,6.057,2.713,12.967,6.144736,6.91,181,glass beaker,6.057,2.713,11.529,4.713,5.472,1.490155,1.45523,1.976507,3.431736,2,0.05215548,0.02349346,5.419844,0.215652,0.2749443,2.013558,1.57933,2.742133,0.4240506,0.7362636,hashimotoy,2007-12-15T10:48:20Z
"C0002B-9R-4, 123.0 cm",NULL,546.535,546.535,546.535,546.535,"C0002B-9R-4, 124.0 cm",NULL,546.545,546.545,546.545,546.545,"C0002B-9R-4 WR, 123.0--124.0 cm",CKY000000000000600700,PP,NULL,8,underwoodm315,NULL,CKY,2007-12-10T17:47:10Z,NULL,168,glass beaker,6.088,2.784,12.967,6.397717,6.879,168,glass beaker,6.088,2.784,11.295,4.733,5.207,1.732643,1.692034,1.921684,3.613717,1.949,0.06064253,0.02731646,5.146358,0.2518742,0.3366736,1.90358,1.424117,2.678046,0.4682253,0.8804955,hashimotoy,2007-12-15T10:48:21Z
"C0002B-9R-5, 20.0 cm",NULL,546.91,546.91,546.91,546.91,"C0002B-9R-5, 21.0 cm",NULL,546.92,546.92,546.92,546.92,"C0002B-9R-5 W, 20.0--21.0 cm",CKY000000000000617000,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:10:39Z,NULL,126,glass beaker,6.042,2.703,12.601,5.5911,6.559,126,glass beaker,6.042,2.703,11.015,4.012,4.973,1.6435,1.605,1.2831,2.8881,1.309,0.0575,0.0259,4.9155,0.2506,0.3344,2.271,1.702,3.831,0.5557,1.2509,fujikit,2010-08-11T05:14:12Z
"C0002B-10R-1, 20.0 cm",NULL,552.2,552.2,552.2,552.2,"C0002B-10R-1, 21.0 cm",NULL,552.21,552.21,552.21,552.21,"C0002B-10R-1 W, 20.0--21.0 cm",CKY000000000000617100,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:11:19Z,CALCULATED VOLUME,157,glass beaker,6.049,2.679,10.75,5.223429,4.701,157,glass beaker,6.049,2.679,9.471,3.95,3.422,1.325389,1.294325,1.250104,2.544429,1.271,0.04638864,0.02089578,3.375612,0.2819376,0.3926366,1.847566,1.326668,2.700264,0.5086897,1.035374,henry315,2007-12-17T05:03:55Z
"C0002B-10R-1, 90.0 cm",NULL,552.9,552.9,552.9,552.9,"C0002B-10R-1, 91.0 cm",NULL,552.91,552.91,552.91,552.91,"C0002B-10R-1 W, 90.0--91.0 cm",CKY000000000000617200,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:11:19Z,NULL,188,glass beaker,6.014,2.74,11.731,5.715,5.717,188,glass beaker,6.014,2.74,10.357,4.347,4.343,1.4238,1.3904,1.5846,2.975,1.607,0.0498,0.0224,4.2932,0.249,0.3316,1.9217,1.4431,2.7093,0.4674,0.8774,fujikit,2010-08-11T05:14:12Z
"C0002B-10R-2, 0.0 cm",NULL,553.405,553.405,553.405,553.405,"C0002B-10R-2, 1.0 cm",NULL,553.415,553.415,553.415,553.415,"C0002B-10R-2 WR, 0.0--1.0 cm",CKY000000000000594500,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T09:46:31Z,NULL,129,glass beaker,6.074,2.747,12.942,6.325105,6.868,129,glass beaker,6.074,2.747,11.359,4.749,5.285,1.640415,1.601967,1.976138,3.578105,2.002,0.05741455,0.02586241,5.227586,0.2388489,0.3137997,1.919452,1.460993,2.645355,0.4477139,0.8106557,hashimotoy,2007-12-15T07:55:48Z
"C0002B-10R-3, 23.0 cm",NULL,553.95,553.95,553.95,553.95,"C0002B-10R-3, 24.0 cm",NULL,553.96,553.96,553.96,553.96,"C0002B-10R-3 WR, 23.0--24.0 cm",CKY000000000000601300,PP,NULL,8,underwoodm315,NULL,CKY,2007-12-10T18:21:58Z,NULL,34,glass cell,4.693,2.067,10.21,4.989651,5.517,34,glass cell,4.693,2.067,8.982,3.767,4.289,1.272539,1.242714,1.679937,2.922651,1.7,0.04453889,0.02006256,4.244461,0.2306578,0.2998116,1.88767,1.452264,2.526559,0.4252008,0.7397381,hashimotoy,2007-12-15T11:00:31Z
"C0002B-10R-3, 99.0 cm",NULL,554.71,554.71,554.71,554.71,"C0002B-10R-3, 100.0 cm",NULL,554.72,554.72,554.72,554.72,"C0002B-10R-3 W, 99.0--100.0 cm",CKY000000000000617300,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:12:12Z,NULL,6,glass cell,4.527,2.039,11.243,5.533878,6.716,6,glass cell,4.527,2.039,9.608,3.906,5.081,1.694301,1.65459,1.840288,3.494878,1.867,0.05930056,0.02671197,5.021699,0.2522782,0.3373958,1.921669,1.436874,2.728757,0.4734329,0.8990931,hashimotoy,2007-12-15T11:00:31Z
"C0002B-10R-4, 20.0 cm",NULL,555.015,555.015,555.015,555.015,"C0002B-10R-4, 21.0 cm",NULL,555.025,555.025,555.025,555.025,"C0002B-10R-4 W, 20.0--21.0 cm",CKY000000000000617400,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:12:12Z,NULL,130,glass beaker,6.116,2.721,13.16,6.318671,7.044,130,glass beaker,6.116,2.721,11.707,4.872,5.591,1.5057,1.47041,2.127261,3.597671,2.151,0.05269952,0.02373852,5.5383,0.2137563,0.2718703,1.957933,1.539413,2.603488,0.4087115,0.6912219,hashimotoy,2007-12-15T11:00:31Z
"C0002B-11R-1, 24.0 cm",NULL,561.74,561.74,561.74,561.74,"C0002B-11R-1, 25.0 cm",NULL,561.75,561.75,561.75,561.75,"C0002B-11R-1 W, 24.0--25.0 cm",CKY000000000000617900,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:14:44Z,NULL,197,glass beaker,6.036,2.69,11.821,5.829695,5.785,197,glass beaker,6.036,2.69,10.144,4.16,4.108,1.737824,1.697094,1.442602,3.139695,1.47,0.06082388,0.02739814,4.047176,0.3004017,0.4293917,1.842535,1.289035,2.80547,0.5405281,1.176412,hashimotoy,2007-12-15T07:49:52Z
"C0002B-11R-1, 99.0 cm",NULL,562.49,562.49,562.49,562.49,"C0002B-11R-1, 100.0 cm",NULL,562.5,562.5,562.5,562.5,"C0002B-11R-1 W, 99.0--100.0 cm",CKY000000000000618000,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:14:44Z,NULL,193,glass beaker,6.048,2.69,11.871,5.984103,5.823,193,glass beaker,6.048,2.69,10.058,4.179,4.01,1.878757,1.834723,1.45938,3.294103,1.489,0.06575653,0.02962006,3.944244,0.3226441,0.4763287,1.767704,1.197365,2.702685,0.556972,1.257194,hashimotoy,2007-12-15T07:49:52Z
"C0002B-11R-2, 24.0 cm",NULL,563.15,563.15,563.15,563.15,"C0002B-11R-2, 25.0 cm",NULL,563.16,563.16,563.16,563.16,"C0002B-11R-2 W, 24.0--25.0 cm",CKY000000000000618100,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:14:45Z,NULL,169,glass beaker,6.051,2.751,11.541,5.656349,5.49,169,glass beaker,6.051,2.751,10.014,4.136,3.963,1.582383,1.545296,1.360052,2.905349,1.385,0.05538346,0.02494751,3.907616,0.2882301,0.4049485,1.889618,1.344973,2.873136,0.5318798,1.136203,hashimotoy,2007-12-15T07:37:13Z
"C0002B-11R-3, 0.0 cm",NULL,564.317,564.317,564.317,564.317,"C0002B-11R-3, 1.0 cm",NULL,564.327,564.327,564.327,564.327,"C0002B-11R-3 WR, 0.0--1.0 cm",CKY000000000000596200,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T11:16:20Z,CALCULATED VOLUME,27,glass cell,4.648,2.08,10.448,5.051307,5.8,27,glass cell,4.648,2.08,9.141,3.75,4.493,1.354404,1.32266,1.648647,2.971307,1.67,0.04740418,0.02135323,4.445596,0.233518,0.304662,1.952003,1.496175,2.696512,0.4451443,0.8022703,henry315,2007-12-17T05:03:55Z
"C0002B-11R-4, 24.0 cm",NULL,564.872,564.872,564.872,564.872,"C0002B-11R-4, 25.0 cm",NULL,564.882,564.882,564.882,564.882,"C0002B-11R-4 W, 24.0--25.0 cm",CKY000000000000618200,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:14:45Z,NULL,120,glass beaker,6.112,2.707,11.28,5.566,5.168,120,glass beaker,6.112,2.707,9.909,4.201,3.797,1.4207,1.3874,1.4716,2.859,1.494,0.0497,0.0224,3.7473,0.2749,0.3791,1.8076,1.3107,2.5464,0.4853,0.9428,fujikit,2010-10-05T02:49:04Z
"C0002B-11R-4, 84.0 cm",NULL,565.472,565.472,565.472,565.472,"C0002B-11R-4, 85.0 cm",NULL,565.482,565.482,565.482,565.482,"C0002B-11R-4 WR, 84.0--85.0 cm",CKY000000000000605300,PP,NULL,8,underwoodm315,NULL,CKY,2007-12-11T01:49:59Z,NULL,33,glass beaker,4.621,2.028,9.967,4.8342,5.346,33,glass beaker,4.621,2.028,8.864,3.736,4.243,1.143,1.1162,1.69,2.8062,1.708,0.04,0.018,4.203,0.2138,0.2719,1.9051,1.4978,2.487,0.3978,0.6605,fujikit,2010-08-11T05:14:12Z
"C0002B-11R-5, 24.0 cm",NULL,565.962,565.962,565.962,565.962,"C0002B-11R-5, 25.0 cm",NULL,565.972,565.972,565.972,565.972,"C0002B-11R-5 W, 24.0--25.0 cm",CKY000000000000618300,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:14:46Z,NULL,191,glass beaker,6.066,2.767,12.819,6.3685,6.753,191,glass beaker,6.066,2.767,11.091,4.648,5.025,1.7907,1.7487,1.8528,3.6015,1.881,0.0627,0.0282,4.9623,0.2652,0.3609,1.8751,1.3778,2.6783,0.4855,0.9438,fujikit,2010-10-05T02:49:04Z
"C0002B-12R-1, 20.0 cm",NULL,571.2,571.2,571.2,571.2,"C0002B-12R-1, 21.0 cm",NULL,571.21,571.21,571.21,571.21,"C0002B-12R-1 W, 20.0--21.0 cm",CKY000000000000617500,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:13:22Z,NULL,2,glass beaker,4.542,2.06,10.489,5.1746,5.947,2,glass beaker,4.542,2.06,9.022,3.714,4.48,1.5202,1.4846,1.63,3.1146,1.654,0.0532,0.024,4.4268,0.2556,0.3434,1.9094,1.4213,2.7158,0.4767,0.9108,fujikit,2010-08-11T05:14:12Z
"C0002B-12R-1, 107.0 cm",NULL,572.07,572.07,572.07,572.07,"C0002B-12R-1, 108.0 cm",NULL,572.08,572.08,572.08,572.08,"C0002B-12R-1 W, 107.0--108.0 cm",CKY000000000000617600,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:13:22Z,NULL,35,glass cell,4.599,2.052,11.022,5.477205,6.423,35,glass cell,4.599,2.052,9.462,3.924,4.863,1.61658,1.578692,1.846513,3.425205,1.872,0.05658035,0.02548665,4.80642,0.2516862,0.3363377,1.875216,1.40325,2.60297,0.4609043,0.8549582,hashimotoy,2007-12-15T11:07:44Z
"C0002B-12R-2, 20.0 cm",NULL,572.61,572.61,572.61,572.61,"C0002B-12R-2, 21.0 cm",NULL,572.62,572.62,572.62,572.62,"C0002B-12R-2 W, 20.0--21.0 cm",CKY000000000000617700,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:13:23Z,NULL,145,glass beaker,5.966,2.637,12.895,6.455816,6.929,145,glass beaker,5.966,2.637,11.016,4.585,5.05,1.94715,1.901514,1.917302,3.818816,1.948,0.06815031,0.03069834,4.98185,0.2810146,0.3908489,1.814437,1.304554,2.598365,0.4979329,0.9917656,hashimotoy,2007-12-15T11:07:44Z
"C0002B-12R-2, 65.0 cm",NULL,573.06,573.06,573.06,573.06,"C0002B-12R-2, 66.0 cm",NULL,573.07,573.07,573.07,573.07,"C0002B-12R-2 WR, 65.0--66.0 cm",CKY000000000000603300,PP,NULL,8,underwoodm315,NULL,CKY,2007-12-10T22:23:57Z,NULL,160,glass beaker,6.045,2.676,11.637,5.685259,5.592,160,glass beaker,6.045,2.676,10.319,4.373,4.274,1.365803,1.333792,1.675467,3.009259,1.697,0.04780315,0.02153295,4.226197,0.2442423,0.3231755,1.858265,1.404398,2.522399,0.4432294,0.7960717,hashimotoy,2007-12-15T11:07:44Z
"C0002B-12R-3, 48.0 cm",NULL,574.3,574.3,574.3,574.3,"C0002B-12R-3, 49.0 cm",NULL,574.31,574.31,574.31,574.31,"C0002B-12R-3 W, 48.0--49.0 cm",CKY000000000000617800,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:13:23Z,NULL,117,glass beaker,6.089,2.724,13.787,6.688998,7.698,117,glass beaker,6.089,2.724,11.95,4.86,5.861,1.903627,1.859011,2.105988,3.964998,2.136,0.06662699,0.03001216,5.794373,0.2472885,0.3285303,1.941489,1.461381,2.75138,0.4688553,0.8827262,hashimotoy,2007-12-15T07:55:49Z
"C0002B-13R-1, 24.0 cm",NULL,580.74,580.74,580.74,580.74,"C0002B-13R-1, 25.0 cm",NULL,580.75,580.75,580.75,580.75,"C0002B-13R-1 W, 24.0--25.0 cm",CKY000000000000618500,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:16:13Z,NULL,143,glass beaker,5.963,2.679,12.698,6.2048,6.735,143,glass beaker,5.963,2.679,11.047,4.561,5.084,1.7109,1.6708,1.855,3.5258,1.882,0.0599,0.027,5.0241,0.254,0.3405,1.9102,1.425,2.7084,0.4739,0.9007,fujikit,2010-08-11T05:14:12Z
"C0002B-13R-1, 99.0 cm",NULL,581.49,581.49,581.49,581.49,"C0002B-13R-1, 100.0 cm",NULL,581.5,581.5,581.5,581.5,"C0002B-13R-1 W, 99.0--100.0 cm",CKY000000000000618600,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:16:13Z,NULL,12,glass cell,4.541,2.028,10.598,5.624805,6.057,12,glass cell,4.541,2.028,8.487,3.523,3.946,2.187564,2.136293,1.460511,3.596805,1.495,0.07656481,0.03448865,3.869435,0.361163,0.5653446,1.683995,1.075798,2.64937,0.593942,1.462702,hashimotoy,2007-12-15T06:23:08Z
"C0002B-13R-2, 0.0 cm",NULL,581.91,581.91,581.91,581.91,"C0002B-13R-2, 1.0 cm",NULL,581.92,581.92,581.92,581.92,"C0002B-13R-2 WR, 0.0--1.0 cm",CKY000000000000597000,PP,NULL,8,hirono315,NULL,CKY,2007-12-10T11:47:21Z,NULL,7,glass cell,4.588,2.091,10.19,5.03342,5.602,7,glass cell,4.588,2.091,8.909,3.758,4.321,1.327461,1.296349,1.646072,2.94242,1.667,0.04646118,0.02092846,4.274539,0.236962,0.3105507,1.903875,1.452729,2.596812,0.4405723,0.7875409,hashimotoy,2007-12-15T11:17:35Z
"C0002B-13R-3, 24.0 cm",NULL,582.47,582.47,582.47,582.47,"C0002B-13R-3, 25.0 cm",NULL,582.48,582.48,582.48,582.48,"C0002B-13R-3 WR, 24.0--25.0 cm",CKY000000000000604600,PP,NULL,8,underwoodm315,NULL,CKY,2007-12-10T23:08:48Z,NULL,10,glass beaker,4.544,2.032,11.29,5.2526,6.746,10,glass beaker,4.544,2.032,10.065,4.033,5.521,1.2694,1.2396,1.981,3.2206,2.001,0.0444,0.02,5.4766,0.1882,0.2318,2.0946,1.7005,2.7646,0.3849,0.6257,fujikit,2010-08-11T05:14:12Z
"C0002B-13R-3, 99.0 cm",NULL,583.22,583.22,583.22,583.22,"C0002B-13R-3, 100.0 cm",NULL,583.23,583.23,583.23,583.23,"C0002B-13R-3 W, 99.0--100.0 cm",CKY000000000000618700,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:16:13Z,NULL,127,glass beaker,5.997,2.7,13.48,6.373255,7.483,127,glass beaker,5.997,2.7,12.161,5.06,6.164,1.366839,1.334804,2.338451,3.673255,2.36,0.04783942,0.02154929,6.11616,0.1826593,0.22348,2.037158,1.665052,2.615475,0.3633846,0.570807,hashimotoy,2007-12-15T07:55:49Z
"C0002B-13R-4, 24.0 cm",NULL,583.565,583.565,583.565,583.565,"C0002B-13R-4, 25.0 cm",NULL,583.575,583.575,583.575,583.575,"C0002B-13R-4 W, 24.0--25.0 cm",CKY000000000000618800,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:16:14Z,"Measured by ""3"" runs average, instead of ""5."" ",179,glass beaker,6.039,2.697,12.817,6.163771,6.778,179,glass beaker,6.039,2.697,11.387,4.74,5.348,1.481865,1.447134,2.019637,3.466771,2.043,0.05186533,0.02336276,5.296135,0.2186287,0.2798013,1.955133,1.527685,2.62232,0.4174299,0.7165317,hashimotoy,2007-12-15T06:59:14Z
"C0002B-13R-4, 90.0 cm",NULL,584.225,584.225,584.225,584.225,"C0002B-13R-4, 91.0 cm",NULL,584.235,584.235,584.235,584.235,"C0002B-13R-4 W, 90.0--91.0 cm",CKY000000000000618900,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:16:14Z,NULL,198,glass beaker,6.067,2.732,12.716,6.137885,6.649,198,glass beaker,6.067,2.732,11.312,4.74,5.245,1.454922,1.420823,1.985062,3.405885,2.008,0.05092232,0.02293798,5.194078,0.2188182,0.2801118,1.952209,1.52503,2.616582,0.417167,0.7157572,hashimotoy,2007-12-15T07:37:12Z
"C0002B-14R-1, 24.0 cm",NULL,590.24,590.24,590.24,590.24,"C0002B-14R-1, 25.0 cm",NULL,590.25,590.25,590.25,590.25,"C0002B-14R-1 W, 24.0--25.0 cm",CKY000000000000619100,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:16:35Z,NULL,199,glass beaker,6.006,2.699,13.556,6.598608,7.55,199,glass beaker,6.006,2.699,11.859,4.909,5.853,1.758549,1.717333,2.182275,3.899608,2.21,0.06154927,0.0277249,5.791451,0.2329204,0.3036457,1.936092,1.485137,2.653859,0.4403861,0.7869462,hashimotoy,2007-12-15T08:09:00Z
"C0002B-14R-1, 99.0 cm",NULL,590.99,590.99,590.99,590.99,"C0002B-14R-1, 100.0 cm",NULL,591,591,591,591,"C0002B-14R-1 W, 99.0--100.0 cm",CKY000000000000619200,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:17:36Z,NULL,171,glass beaker,5.985,2.681,13.763,6.465,7.778,171,glass beaker,5.985,2.681,12.394,5.102,6.409,1.4187,1.3854,2.3986,3.784,2.421,0.0497,0.0224,6.3593,0.1824,0.2231,2.0555,1.6806,2.6513,0.3661,0.5776,fujikit,2010-10-05T02:49:04Z
"C0002B-14R-2, 24.0 cm",NULL,591.655,591.655,591.655,591.655,"C0002B-14R-2, 25.0 cm",NULL,591.665,591.665,591.665,591.665,"C0002B-14R-2 W, 24.0--25.0 cm",CKY000000000000619300,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:17:36Z,NULL,23,glass beaker,4.622,2.06,9.837,4.6847,5.215,23,glass beaker,4.622,2.06,8.843,3.695,4.221,1.0301,1.006,1.6187,2.6247,1.635,0.0361,0.0163,4.1849,0.1975,0.2461,1.9869,1.5944,2.5853,0.3833,0.6215,fujikit,2010-08-11T05:14:12Z
"C0002B-14R-2, 99.0 cm",NULL,592.405,592.405,592.405,592.405,"C0002B-14R-2, 100.0 cm",NULL,592.415,592.415,592.415,592.415,"C0002B-14R-2 W, 99.0--100.0 cm",CKY000000000000619400,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:17:36Z,NULL,185,glass beaker,5.861,2.618,11.419,5.326588,5.558,185,glass beaker,5.861,2.618,10.406,4.318,4.545,1.049741,1.025138,1.68345,2.708588,1.7,0.03674096,0.01654998,4.508259,0.1888703,0.2328484,2.051992,1.664432,2.677988,0.3784768,0.6089504,hashimotoy,2007-12-15T08:09:00Z
"C0002B-15R-1, 31.0 cm",NULL,599.81,599.81,599.81,599.81,"C0002B-15R-1, 32.0 cm",NULL,599.82,599.82,599.82,599.82,"C0002B-15R-1 W, 31.0--32.0 cm",CKY000000000000619500,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:18:52Z,NULL,114,glass beaker,6.061,2.735,12.26,5.936405,6.199,114,glass beaker,6.061,2.735,10.746,4.429,4.685,1.568912,1.532141,1.669265,3.201405,1.694,0.05491196,0.02473512,4.630088,0.2530911,0.3388514,1.936337,1.446267,2.773729,0.4785837,0.9178534,hashimotoy,2007-12-15T06:59:14Z
