Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002J-1R-1, 72.0 cm",NULL,902.72,902.72,902.72,902.72,"C0002J-1R-1, 74.0 cm",NULL,902.74,902.74,902.74,902.74,"C0002J-1R-1 W, 72.0--74.0 cm",CKY000000000001287310,PP,NULL,6,esteban338,NULL,CKY,2012-12-19T06:00:50Z,NULL,18.8396,8.4922,24.8241,5.9845,23.536,10.2182,4.6964,1.3348,1.3035,1.7048,3.0083,1.726,0.0467,0.0212,4.6497,0.223,0.2871,1.9893,1.5456,2.7274,0.4333,0.7646,suzukit,2012-12-28T16:18:10Z
"C0002J-1R-4, 0.0 cm",NULL,903.15,903.15,903.15,903.15,"C0002J-1R-4, 2.0 cm",NULL,903.17,903.17,903.17,903.17,"C0002J-1R-4 W, 0.0--2.0 cm",CKY000000000001287410,PP,NULL,6,esteban338,NULL,CKY,2012-12-19T06:02:22Z,NULL,19.1581,8.6708,31.5944,12.4363,28.9938,12.2492,9.8357,2.6949,2.6317,3.5355,6.1672,3.5784,0.0943,0.0429,9.7414,0.2167,0.2766,2.0165,1.5795,2.7553,0.4267,0.7444,suzukit,2012-12-28T16:18:10Z
"C0002J-1R-6, 0.0 cm",NULL,903.565,903.565,903.565,903.565,"C0002J-1R-6, 2.0 cm",NULL,903.585,903.585,903.585,903.585,"C0002J-1R-6 WR, 0.0--2.0 cm",CKY000000000001284510,PP,NULL,6,fabbri338,NULL,CKY,2012-12-19T02:57:00Z,Partially dried before wet mass measurement,18.7376,8.4482,39.4566,20.719,35.3329,14.6415,16.5953,4.2733,4.1731,6.1253,10.2984,6.1933,0.1496,0.068,16.4457,0.2063,0.2598,2.0119,1.5969,2.6849,0.4052,0.6813,suzukit,2012-12-28T16:18:10Z
"C0002J-1R-7, 45.0 cm",NULL,904.255,904.255,904.255,904.255,"C0002J-1R-7, 47.0 cm",NULL,904.275,904.275,904.275,904.275,"C0002J-1R-7 WR, 45.0--47.0 cm",CKY000000000001286110,PP,NULL,6,fabbri338,NULL,CKY,2012-12-19T02:56:14Z,NULL,18.17,8.1578,28.4425,10.2725,26.0915,11.2849,7.9215,2.4363,2.3792,3.0883,5.4675,3.1271,0.0853,0.0388,7.8362,0.2372,0.3109,1.8788,1.4332,2.5374,0.4352,0.7704,suzukit,2012-12-28T16:18:10Z
"C0002J-1R-7, 109.0 cm",NULL,904.895,904.895,904.895,904.895,"C0002J-1R-7, 111.0 cm",NULL,904.915,904.915,904.915,904.915,"C0002J-1R-7 W, 109.0--111.0 cm",CKY000000000001287510,PP,NULL,6,esteban338,NULL,CKY,2012-12-19T06:03:15Z,NULL,18.7317,8.4312,31.2443,12.5126,28.8342,12.1652,10.1025,2.4975,2.439,3.6943,6.1333,3.734,0.0874,0.0397,10.0151,0.1996,0.2494,2.0401,1.6329,2.711,0.3977,0.6602,suzukit,2012-12-28T16:18:10Z
"C0002J-1R-8, 47.0 cm",NULL,905.46,905.46,905.46,905.46,"C0002J-1R-8, 49.0 cm",NULL,905.48,905.48,905.48,905.48,"C0002J-1R-8 W, 47.0--49.0 cm",CKY000000000001287610,PP,NULL,6,esteban338,NULL,CKY,2012-12-19T06:04:29Z,NULL,18.9046,8.5358,39.3577,20.4531,35.4362,14.6569,16.5316,4.0637,3.9685,6.0565,10.025,6.1211,0.1422,0.0646,16.3894,0.1987,0.2479,2.0402,1.6349,2.7061,0.3959,0.6552,suzukit,2012-12-28T16:18:10Z
"C0002J-2R-1, 23.5 cm",NULL,907.235,907.235,907.235,907.235,"C0002J-2R-1, 26.5 cm",NULL,907.265,907.265,907.265,907.265,"C0002J-2R-1 W, 23.5--26.5 cm",CKY000000000001287910,PP,NULL,5,esteban338,NULL,CKY,2012-12-19T06:59:44Z,NULL,18.9067,8.5257,28.7319,9.8252,26.7664,11.4202,7.8597,2.0368,1.9891,2.8621,4.8512,2.8945,0.0713,0.0324,7.7884,0.2073,0.2615,2.0253,1.6055,2.7212,0.41,0.695,suzukit,2012-12-28T16:18:10Z
"C0002J-3R-1, 75.0 cm",NULL,912.75,912.75,912.75,912.75,"C0002J-3R-1, 77.0 cm",NULL,912.77,912.77,912.77,912.77,"C0002J-3R-1 W, 75.0--77.0 cm",CKY000000000001292310,PP,NULL,8,esteban338,NULL,CKY,2012-12-19T13:03:36Z,NULL,18.1899,8.1822,35.9955,17.8056,31.8088,13.2448,13.6189,4.3385,4.2368,4.9936,9.2304,5.0626,0.1518,0.069,13.4671,0.2437,0.3222,1.929,1.459,2.6969,0.459,0.8484,suzukit,2012-12-28T16:18:10Z
"C0002J-3R-2, 69.0 cm",NULL,913.47,913.47,913.47,913.47,"C0002J-3R-2, 71.0 cm",NULL,913.49,913.49,913.49,913.49,"C0002J-3R-2 W, 69.0--71.0 cm",CKY000000000001292410,PP,NULL,8,esteban338,NULL,CKY,2012-12-19T13:08:37Z,NULL,18.1058,8.2117,32.8319,14.7261,29.2359,12.2729,11.1301,3.7264,3.6391,4.0019,7.641,4.0612,0.1304,0.0593,10.9997,0.253,0.3388,1.9272,1.4396,2.7486,0.4763,0.9093,suzukit,2012-12-28T16:18:10Z
"C0002J-3R-5, 1.0 cm",NULL,913.85,913.85,913.85,913.85,"C0002J-3R-5, 3.0 cm",NULL,913.87,913.87,913.87,913.87,"C0002J-3R-5 W, 1.0--3.0 cm",CKY000000000001292510,PP,NULL,8,esteban338,NULL,CKY,2012-12-19T13:13:48Z,NULL,18.718,8.4449,45.8453,27.1273,38.6913,15.9588,19.9733,7.4135,7.2397,7.3959,14.6356,7.5139,0.2595,0.118,19.7138,0.2733,0.3761,1.8535,1.347,2.6655,0.4947,0.9789,suzukit,2012-12-28T16:18:10Z
"C0002J-3R-5, 138.0 cm",NULL,915.22,915.22,915.22,915.22,"C0002J-3R-5, 140.0 cm",NULL,915.24,915.24,915.24,915.24,"C0002J-3R-5 W, 138.0--140.0 cm",CKY000000000001292610,PP,NULL,8,esteban338,NULL,CKY,2012-12-19T13:23:05Z,NULL,18.6052,8.3505,34.6202,16.015,30.5476,12.8842,11.9424,4.2203,4.1214,4.4666,8.588,4.5337,0.1477,0.0671,11.7947,0.2635,0.3578,1.8648,1.3734,2.6406,0.4799,0.9227,suzukit,2012-12-28T16:18:10Z
