Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0008C-1H-1, 23.0 cm",NULL,0.226,0.23,0.226,0.23,"C0008C-1H-1, 25.0 cm",NULL,0.245,0.25,0.245,0.25,"C0008C-1H-1 W, 23.0--25.0 cm",CKY000000000001817700,PP,NULL,5,tsutsumi316,NULL,CKY,2008-02-02T16:14:42Z,NULL,7,glass cell,4.588,2.091,11.771,7.207087,7.183,7,glass cell,4.588,2.091,7.888,3.341,3.3,4.023834,3.929526,1.186561,5.116087,1.25,0.1408343,0.06343888,3.159166,0.5601885,1.273701,1.404003,0.6174966,2.662455,0.7680725,3.311692,tsutsumi316,2008-02-03T00:07:45Z
"C0008C-1H-2, 0.0 cm",NULL,1.402,1.43,1.402,1.43,"C0008C-1H-2, 1.5 cm",NULL,1.417,1.445,1.417,1.445,"C0008C-1H-2 WR, 0.0--1.5 cm",CKY000000000001718600,PP,NULL,8,arito316,NULL,CKY,2008-01-31T16:46:23Z,NULL,36,glass cell,4.536,2.006,11.566,6.560767,7.03,36,glass cell,4.536,2.006,8.528,3.536,3.992,3.148187,3.074401,1.480366,4.554767,1.53,0.1101866,0.04963361,3.881814,0.4478217,0.8110092,1.543438,0.8522529,2.622198,0.6749853,2.076784,tsutsumi316,2008-02-02T02:30:50Z
"C0008C-1H-3, 23.0 cm",NULL,1.858,1.895,1.858,1.895,"C0008C-1H-3, 25.0 cm",NULL,1.878,1.915,1.878,1.915,"C0008C-1H-3 W, 23.0--25.0 cm",CKY000000000001817800,PP,NULL,5,tsutsumi316,NULL,CKY,2008-02-02T16:14:42Z,NULL,194,glass beaker,6.04,2.751,13.568,7.613495,7.528,194,glass beaker,6.04,2.751,10.238,4.298,4.198,3.450777,3.3699,1.492596,4.862495,1.547,0.1207773,0.05440419,4.077223,0.4583923,0.8463549,1.548176,0.8385042,2.731632,0.6930391,2.257744,tsutsumi316,2008-02-03T00:07:46Z
"C0008C-1H-4, 98.0 cm",NULL,3.76,3.835,3.76,3.835,"C0008C-1H-4, 100.0 cm",NULL,3.78,3.855,3.78,3.855,"C0008C-1H-4 W, 98.0--100.0 cm",CKY000000000001817900,PP,NULL,5,tsutsumi316,NULL,CKY,2008-02-02T16:14:42Z,NULL,26,glass cell,4.589,2.068,12.52,7.016136,7.931,26,glass cell,4.589,2.068,9.337,3.847,4.748,3.298446,3.221138,1.726997,4.948136,1.779,0.1154457,0.05200256,4.632554,0.4158928,0.7120145,1.602826,0.9362221,2.682433,0.6509802,1.865167,tsutsumi316,2008-02-03T00:07:46Z
"C0008C-1H-5, 0.0 cm",NULL,4.186,4.27,4.186,4.27,"C0008C-1H-5, 1.5 cm",NULL,4.201,4.285,4.201,4.285,"C0008C-1H-5 WR, 0.0--1.5 cm",CKY000000000001719100,PP,NULL,8,arito316,NULL,CKY,2008-01-31T16:47:29Z,NULL,150,glass beaker,6.111,2.68,12.987,6.972409,6.876,150,glass beaker,6.111,2.68,10.326,4.323,4.215,2.757513,2.692884,1.599526,4.292409,1.643,0.09651303,0.04347434,4.118487,0.4010345,0.6695452,1.601898,0.9594814,2.574818,0.6273595,1.683551,tsutsumi316,2008-02-02T02:30:51Z
"C0008C-1H-6, 23.0 cm",NULL,4.628,4.72,4.628,4.72,"C0008C-1H-6, 25.0 cm",NULL,4.647,4.74,4.647,4.74,"C0008C-1H-6 W, 23.0--25.0 cm",CKY000000000001818000,PP,NULL,5,tsutsumi316,NULL,CKY,2008-02-02T16:14:43Z,NULL,120,glass beaker,6.112,2.707,14.382,7.760576,8.27,120,glass beaker,6.112,2.707,11.3,4.692,5.188,3.193782,3.118928,1.934648,5.053576,1.985,0.1117825,0.05035246,5.076218,0.3861889,0.6291658,1.636465,1.00448,2.623846,0.6171725,1.612143,tsutsumi316,2008-02-03T00:07:46Z
"C0008C-2H-1, 60.0 cm",NULL,6.068,6.11,6.068,6.11,"C0008C-2H-1, 62.0 cm",NULL,6.086,6.13,6.086,6.13,"C0008C-2H-1 W, 60.0--62.0 cm",CKY000000000001758900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T12:28:41Z,NULL,168,glass beaker,6.088,2.784,13.3607,7.343,7.2727,168,glass beaker,6.088,2.784,10.3637,4.3591,4.2757,3.1057,3.0329,1.5261,4.559,1.5751,0.1087,0.049,4.167,0.427,0.7453,1.5952,0.914,2.7305,0.6653,1.9874,suzukit,2010-08-10T11:17:57Z
"C0008C-2H-2, 0.0 cm",NULL,6.728,6.82,6.728,6.82,"C0008C-2H-2, 1.5 cm",NULL,6.742,6.835,6.742,6.835,"C0008C-2H-2 WR, 0.0--1.5 cm",CKY000000000001720000,PP,NULL,8,arito316,NULL,CKY,2008-01-31T17:40:00Z,NULL,203,glass beaker,6.041,2.699,14.131,7.675423,8.09,203,glass beaker,6.041,2.699,11.014,4.572,4.973,3.230052,3.154347,1.822076,4.976423,1.873,0.1130519,0.05092428,4.859948,0.3992648,0.6646268,1.625666,0.9765947,2.667259,0.6338584,1.731183,tsutsumi316,2008-02-02T03:14:58Z
"C0008C-2H-3, 60.0 cm",NULL,7.499,7.65,7.499,7.65,"C0008C-2H-3, 62.0 cm",NULL,7.518,7.67,7.518,7.67,"C0008C-2H-3 W, 60.0--62.0 cm",CKY000000000001759000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T12:28:42Z,NULL,126,glass beaker,6.042,2.703,12.5724,6.7261,6.5304,126,glass beaker,6.042,2.703,10.0559,4.2205,4.0139,2.6078,2.5467,1.4764,4.0231,1.5175,0.0913,0.0411,3.9226,0.3993,0.6648,1.6232,0.975,2.6569,0.633,1.7249,suzukit,2010-08-10T11:17:57Z
"C0008C-2H-4, 60.0 cm",NULL,8.531,8.76,8.531,8.76,"C0008C-2H-4, 62.0 cm",NULL,8.55,8.78,8.55,8.78,"C0008C-2H-4 W, 60.0--62.0 cm",CKY000000000001759100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T12:28:42Z,NULL,6,glass beaker,4.527,2.039,12.736,7.0045,8.209,6,glass beaker,4.527,2.039,9.7119,3.9935,5.1849,3.1338,3.0604,1.9051,4.9655,1.9545,0.1097,0.0494,5.0752,0.3818,0.6175,1.6532,1.0221,2.664,0.6163,1.6064,suzukit,2010-08-10T11:17:58Z
"C0008C-2H-5, 60.0 cm",NULL,9.763,10.085,9.763,10.085,"C0008C-2H-5, 62.0 cm",NULL,9.781,10.105,9.781,10.105,"C0008C-2H-5 W, 60.0--62.0 cm",CKY000000000001759200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T12:28:42Z,NULL,110,glass beaker,5.992,2.65,13.8155,7.4834,7.8235,110,glass beaker,5.992,2.65,10.8937,4.5743,4.9017,3.0278,2.9568,1.8766,4.8334,1.9243,0.106,0.0477,4.7957,0.387,0.6314,1.6186,0.9922,2.5555,0.6117,1.5756,suzukit,2010-08-10T11:17:58Z
"C0008C-2H-7, 0.0 cm",NULL,11.719,12.19,11.719,12.19,"C0008C-2H-7, 1.5 cm",NULL,11.733,12.205,11.733,12.205,"C0008C-2H-7 WR, 0.0--1.5 cm",CKY000000000001720400,XRD,NULL,5,arito316,NULL,CKY,2008-01-31T17:40:00Z,NULL,145,glass beaker,5.966,2.637,13.052,6.978449,7.086,145,glass beaker,5.966,2.637,10.4,4.338,4.434,2.748187,2.683776,1.657673,4.341449,1.701,0.0961866,0.0433273,4.337813,0.3878333,0.6335419,1.632174,0.9991627,2.616809,0.6181752,1.619002,tsutsumi316,2008-02-02T03:14:59Z
"C0008C-2H-7, 0.0 cm",NULL,11.719,12.19,11.719,12.19,"C0008C-2H-7, 1.5 cm",NULL,11.733,12.205,11.733,12.205,"C0008C-2H-7 WR, 0.0--1.5 cm",CKY000000000001720500,PP,NULL,8,arito316,NULL,CKY,2008-01-31T17:40:01Z,NULL,175,glass beaker,6.139,2.807,13.652,7.139736,7.513,175,glass beaker,6.139,2.807,11.066,4.565,4.927,2.679793,2.616985,1.715751,4.332736,1.758,0.09379282,0.04224902,4.833207,0.3566874,0.5544544,1.734008,1.115509,2.816963,0.6040029,1.525271,tsutsumi316,2008-02-02T03:14:58Z
"C0008C-2H-8, 60.0 cm",NULL,12.5,13.03,12.5,13.03,"C0008C-2H-8, 62.0 cm",NULL,12.519,13.05,12.519,13.05,"C0008C-2H-8 W, 60.0--62.0 cm",CKY000000000001759400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T12:28:43Z,NULL,24,glass beaker,4.638,2.026,12.5492,6.9162,7.9112,24,glass beaker,4.638,2.026,9.4973,3.8776,4.8593,3.1626,3.0885,1.8017,4.8902,1.8516,0.1107,0.0499,4.7486,0.3998,0.666,1.6178,0.971,2.6356,0.6316,1.7142,suzukit,2010-08-10T11:17:58Z
"C0008C-2H-9, 60.0 cm",NULL,13.551,14.16,13.551,14.16,"C0008C-2H-9, 62.0 cm",NULL,13.569,14.18,13.569,14.18,"C0008C-2H-9 W, 60.0--62.0 cm",CKY000000000001759500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T12:28:43Z,NULL,178,glass beaker,6.07,2.773,12.6256,6.2217,6.5556,178,glass beaker,6.07,2.773,10.9164,4.5199,4.8464,1.7712,1.7297,1.719,3.4487,1.7469,0.062,0.0279,4.7844,0.2702,0.3702,1.9009,1.3873,2.7832,0.5016,1.0062,suzukit,2010-08-10T11:17:58Z
"C0008C-3H-1, 60.0 cm",NULL,15.539,15.61,15.539,15.61,"C0008C-3H-1, 62.0 cm",NULL,15.557,15.63,15.557,15.63,"C0008C-3H-1 W, 60.0--62.0 cm",CKY000000000001759900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-02-01T13:14:31Z,NULL,112,glass beaker,6.02,2.652,13.444,6.7496,7.424,112,glass beaker,6.02,2.652,11.4155,4.73,5.3955,2.1021,2.0528,2.0448,4.0976,2.078,0.0736,0.0332,5.3219,0.2831,0.395,1.8118,1.2988,2.6027,0.501,1.0039,suzukit,2010-08-10T11:17:58Z
