Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0001H-1R-1, 24.0 cm",NULL,230.24,230.24,230.24,230.24,"C0001H-1R-1, 25.0 cm",NULL,230.25,230.25,230.25,230.25,"C0001H-1R-1 W, 24.0--25.0 cm",CKY000000000000399800,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:32Z,146,glass beaker,6.07,2.781,10.708,5.26312,4.638,146,glass beaker,6.07,2.781,9.358,3.919,3.288,1.398964,1.366175,1.115944,2.48212,1.138,0.04896377,0.02205575,3.239036,0.3016308,0.4319074,1.868564,1.304948,2.902507,0.5504068,1.224233,hayashikz,2007-11-30T22:14:04Z
"C0001H-1R-1, 102.0 cm",NULL,231.02,231.02,231.02,231.02,"C0001H-1R-1, 103.0 cm",NULL,231.03,231.03,231.03,231.03,"C0001H-1R-1 W, 102.0--103.0 cm",CKY000000000000399900,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:33Z,20,glass cell,4.62,2.048,9.561,4.936813,4.941,20,glass cell,4.62,2.048,7.911,3.294,3.291,1.709845,1.66977,1.219043,2.888813,1.246,0.05984461,0.02695703,3.231156,0.3460523,0.5291743,1.710391,1.118506,2.650567,0.5780125,1.369738,hayashikz,2007-11-30T22:14:04Z
"C0001H-1R-2, 24.0 cm",NULL,231.675,231.675,231.675,231.675,"C0001H-1R-2, 25.0 cm",NULL,231.685,231.685,231.685,231.685,"C0001H-1R-2 W, 24.0--25.0 cm",CKY000000000000400000,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:33Z,149,glass beaker,6.046,2.771,10.118,5.094954,4.072,149,glass beaker,6.046,2.771,8.73,3.7130001,2.684,1.438342,1.404631,0.9193235,2.323954,0.9420001,0.05034201,0.02267658,2.633658,0.3532274,0.5461385,1.752186,1.133266,2.864778,0.6044141,1.527896,hayashikz,2007-11-30T22:14:04Z
"C0001H-1R-3, 0.0 cm",NULL,232.425,232.425,232.425,232.425,"C0001H-1R-3, 1.0 cm",NULL,232.435,232.435,232.435,232.435,"C0001H-1R-3 WR, 0.0--1.0 cm",CKY000000000000359800,PP,NULL,8,hirono315,NULL,CKY,2007-11-26T09:34:49Z,14,glass cell,4.569,2.054,9.586,4.90073,5.017,14,glass cell,4.569,2.054,7.917,3.239,3.348,1.729534,1.688998,1.157733,2.84673,1.185,0.06053373,0.02726744,3.287467,0.3447346,0.5260993,1.762373,1.154822,2.839573,0.5933115,1.458884,hayashikz,2007-11-30T22:10:50Z
"C0001H-1R-3, 24.0 cm",NULL,232.665,232.665,232.665,232.665,"C0001H-1R-3, 25.0 cm",NULL,232.675,232.675,232.675,232.675,"C0001H-1R-3 W, 24.0--25.0 cm",CKY000000000000400200,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:34Z,24,glass cell,4.638,2.026,11.268,6.017821,6.63,24,glass cell,4.638,2.026,8.931,3.691,4.293,2.421762,2.365002,1.626819,3.991821,1.665,0.08476172,0.03818096,4.208238,0.3652733,0.5754811,1.660896,1.054215,2.586789,0.5924619,1.453758,hayashikz,2007-11-30T22:17:14Z
"C0001H-1R-4, 95.0 cm",NULL,233.79,233.79,233.79,233.79,"C0001H-1R-4, 96.0 cm",NULL,233.8,233.8,233.8,233.8,"C0001H-1R-4 WR, 95.0--96.0 cm",CKY000000000000369800,PP,NULL,8,wzhu315,NULL,CKY,2007-11-26T18:07:48Z,133,glass beaker,6.022,2.692,10.405,5.24951,4.383,133,glass beaker,6.022,2.692,8.915,3.766,2.893,1.544041,1.507853,1.049657,2.55751,1.074,0.05404149,0.02434301,2.838959,0.3522796,0.543876,1.713776,1.110048,2.704654,0.5895785,1.43652,hayashikz,2007-11-30T22:14:03Z
"C0001H-2R-1, 24.0 cm",NULL,239.74,239.74,239.74,239.74,"C0001H-2R-1, 25.0 cm",NULL,239.75,239.75,239.75,239.75,"C0001H-2R-1 W, 24.0--25.0 cm",CKY000000000000400500,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:35Z,116,glass beaker,6.065,2.703,11.126,5.919836,5.061,116,glass beaker,6.065,2.703,9.022,3.825,2.957,2.180311,2.12921,1.087626,3.216836,1.122,0.07631094,0.0343743,2.880689,0.4308064,0.7568713,1.573285,0.895504,2.648603,0.6618958,1.957668,hayashikz,2007-11-30T22:17:14Z
"C0001H-2R-1, 99.0 cm",NULL,240.49,240.49,240.49,240.49,"C0001H-2R-1, 100.0 cm",NULL,240.5,240.5,240.5,240.5,"C0001H-2R-1 W, 99.0--100.0 cm",CKY000000000000400700,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:36Z,117,glass beaker,6.089,2.724,11.257,5.7293,5.168,117,glass beaker,6.089,2.724,9.481,3.961,3.392,1.8404,1.7973,1.208,3.0053,1.237,0.0644,0.029,3.3276,0.3561,0.5531,1.7196,1.1072,2.7546,0.598,1.4878,fujikit,2010-10-05T02:49:03Z
"C0001H-2R-2, 24.0 cm",NULL,241.15,241.15,241.15,241.15,"C0001H-2R-2, 25.0 cm",NULL,241.16,241.16,241.16,241.16,"C0001H-2R-2 W, 24.0--25.0 cm",CKY000000000000400600,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:35Z,141,glass beaker,6.013,2.714,10.408,5.290353,4.395,141,glass beaker,6.013,2.714,8.882,3.771,2.869,1.581347,1.544284,1.032069,2.576353,1.057,0.05534719,0.02493117,2.813653,0.359806,0.5620264,1.7059,1.092107,2.726226,0.5994071,1.4963,hayashikz,2007-11-30T22:17:15Z
"C0001H-2R-2, 128.0 cm",NULL,242.19,242.19,242.19,242.19,"C0001H-2R-2, 129.0 cm",NULL,242.2,242.2,242.2,242.2,"C0001H-2R-2 W, 128.0--129.0 cm",CKY000000000000400100,PP,NULL,5,akopf315,NULL,CKY,2007-11-28T01:50:33Z,175,glass beaker,6.139,2.807,12.252,6.347705,6.113,175,glass beaker,6.139,2.807,10.118,4.223,3.979,2.211399,2.159569,1.381136,3.540705,1.416,0.07739902,0.03486442,3.901601,0.3617535,0.5667927,1.726492,1.101928,2.824923,0.6099264,1.563619,hayashikz,2007-11-30T22:17:14Z
