Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0014D-1H-1, 14.0 cm",NULL,0.14,0.14,0.14,0.14,"C0014D-1H-1, 16.0 cm",NULL,0.16,0.16,0.16,0.16,"C0014D-1H-1 W, 14.0--16.0 cm",CKY000000000003125100,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T05:36:53Z,502,glass beaker,6.067,2.744,14.1815,8.1383,8.1145,502,glass beaker,6.067,2.744,10.3859,4.3592,4.3189,3.9333,3.8411,1.5532,5.3943,1.6152,0.1377,0.062,4.1812,0.4847,0.9407,1.5043,0.7751,2.692,0.7121,2.473,fuway,2010-09-20T11:42:37Z
"C0014D-1H-1, 87.0 cm",NULL,0.87,0.87,0.87,0.87,"C0014D-1H-1, 89.0 cm",NULL,0.89,0.89,0.89,0.89,"C0014D-1H-1 W, 87.0--89.0 cm",CKY000000000003125200,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T05:37:07Z,197,glass beaker,6.032,2.707,14.0232,8.0868,7.9912,197,glass beaker,6.032,2.707,10.2148,4.295,4.1828,3.9465,3.854,1.5258,5.3798,1.588,0.1381,0.0622,4.0447,0.4939,0.9757,1.4854,0.7518,2.6509,0.7164,2.5259,fuway,2010-09-20T11:42:37Z
"C0014D-1H-2, 46.0 cm",NULL,1.86,1.86,1.86,1.86,"C0014D-1H-2, 48.0 cm",NULL,1.88,1.88,1.88,1.88,"C0014D-1H-2 W, 46.0--48.0 cm",CKY000000000003125300,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T05:38:05Z,109,glass beaker,6.011,2.738,13.9828,8.1271,7.9718,109,glass beaker,6.011,2.738,10.0373,4.1988,4.0263,4.0886,3.9928,1.3963,5.3891,1.4608,0.1431,0.0645,3.8832,0.5129,1.0529,1.4792,0.7206,2.7811,0.7409,2.8596,fuway,2010-09-20T11:42:37Z
"C0014D-1H-3, 105.0 cm",NULL,3.855,3.855,3.855,3.855,"C0014D-1H-3, 107.0 cm",NULL,3.875,3.875,3.875,3.875,"C0014D-1H-3 W, 105.0--107.0 cm",CKY000000000003125400,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T05:38:23Z,111,glass beaker,6.064,2.728,11.3223,6.8937,5.2583,111,glass beaker,6.064,2.728,8.0733,3.6589,2.0093,3.3668,3.2879,0.8778,4.1657,0.9309,0.1178,0.0531,1.8915,0.6403,1.78,1.2623,0.4541,2.1548,0.7893,3.7456,fuway,2010-09-20T11:42:37Z
"C0014D-1H-4, 38.0 cm",NULL,4.605,4.605,4.605,4.605,"C0014D-1H-4, 40.0 cm",NULL,4.625,4.625,4.625,4.625,"C0014D-1H-4 W, 38.0--40.0 cm",CKY000000000003125500,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T05:38:41Z,510,glass beaker,4.569,2.12,10.115,6.0286,5.546,510,glass beaker,4.569,2.12,7.2681,3.194,2.6991,2.9502,2.8811,1.0275,3.9086,1.074,0.1033,0.0465,2.5958,0.532,1.1365,1.4189,0.6641,2.5263,0.7371,2.804,fuway,2010-09-20T11:42:37Z
"C0014D-2H-1, 93.0 cm",NULL,7.43,7.43,7.43,7.43,"C0014D-2H-1, 95.0 cm",NULL,7.45,7.45,7.45,7.45,"C0014D-2H-1 W, 93.0--95.0 cm",CKY000000000003128400,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T06:48:13Z,139,glass beaker,6.1,2.734,11.8349,7.079,5.7349,139,glass beaker,6.1,2.734,8.4332,3.6921,2.3332,3.5251,3.4425,0.9025,4.345,0.9581,0.1234,0.0556,2.2098,0.6147,1.5952,1.3199,0.5086,2.4485,0.7923,3.8144,fuway,2010-09-20T11:42:36Z
"C0014D-2H-2, 40.0 cm",NULL,8.28,8.28,8.28,8.28,"C0014D-2H-2, 42.0 cm",NULL,8.3,8.3,8.3,8.3,"C0014D-2H-2 W, 40.0--42.0 cm",CKY000000000003128500,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T06:48:55Z,175,glass beaker,6.138,2.724,11.5319,7.0607,5.3939,175,glass beaker,6.138,2.724,7.9737,3.518,1.8357,3.6873,3.6009,0.7358,4.3367,0.794,0.1291,0.0582,1.7066,0.6836,2.1606,1.2438,0.3935,2.3194,0.8303,4.8939,fuway,2010-09-20T11:42:36Z
"C0014D-2H-2, 128.0 cm",NULL,9.16,9.16,9.16,9.16,"C0014D-2H-2, 130.0 cm",NULL,9.18,9.18,9.18,9.18,"C0014D-2H-2 W, 128.0--130.0 cm",CKY000000000003128600,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T06:49:37Z,196,glass beaker,6.099,2.78,12.2024,7.6122,6.1034,196,glass beaker,6.099,2.78,8.0849,3.5127,1.9859,4.2668,4.1668,0.6654,4.8322,0.7327,0.1493,0.0673,1.8366,0.6991,2.3232,1.2631,0.3801,2.7601,0.8623,6.2621,fuway,2010-09-20T11:42:36Z
"C0014D-2H-3, 49.0 cm",NULL,9.78,9.78,9.78,9.78,"C0014D-2H-3, 50.0 cm",NULL,9.79,9.79,9.79,9.79,"C0014D-2H-3 W, 49.0--50.0 cm",CKY000000000003128700,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T06:49:57Z,419,glass beaker,6.2,2.775,13.4361,8.1451,7.2361,419,glass beaker,6.2,2.775,9.344,4.0708,3.144,4.2405,4.1411,1.229,5.3701,1.2958,0.1484,0.0668,2.9956,0.586,1.4156,1.3475,0.5578,2.4374,0.7711,3.3695,fuway,2010-09-20T11:42:36Z
"C0014D-2H-3, 108.0 cm",NULL,10.37,10.37,10.37,10.37,"C0014D-2H-3, 110.0 cm",NULL,10.39,10.39,10.39,10.39,"C0014D-2H-3 W, 108.0--110.0 cm",CKY000000000003128800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-18T06:50:14Z,503,glass beaker,4.563,2.09,11.28,7.1136,6.717,503,glass beaker,4.563,2.09,7.3824,3.233,2.8194,4.039,3.9443,1.0793,5.0236,1.143,0.1414,0.0637,2.678,0.6013,1.5082,1.3371,0.5331,2.4812,0.7852,3.6545,fuway,2010-09-20T11:42:36Z
