Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0017D-1H-2, 21.0 cm",NULL,61.583,61.62,61.583,61.62,"C0017D-1H-2, 23.0 cm",NULL,61.603,61.64,61.603,61.64,"C0017D-1H-2 W, 21.0--23.0 cm",CKY000000000003555500,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T05:50:25Z,183,glass beaker,5.926,2.678,11.8535,7.4485,5.9275,183,glass beaker,5.926,2.678,7.9095,3.5217,1.9835,4.087,3.9912,0.7793,4.7705,0.8437,0.143,0.0644,1.8405,0.6895,2.2206,1.2425,0.3858,2.3617,0.8366,5.1215,fuway,2010-09-30T16:36:06Z
"C0017D-1H-3, 9.0 cm",NULL,62.844,62.91,62.844,62.91,"C0017D-1H-3, 11.0 cm",NULL,62.863,62.93,62.863,62.93,"C0017D-1H-3 W, 9.0--11.0 cm",CKY000000000003555600,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T05:50:40Z,405,glass beaker,6.184,2.79,13.0759,7.3535,6.8919,405,glass beaker,6.184,2.79,10.1135,4.404,3.9295,3.0698,2.9979,1.5656,4.5635,1.614,0.1074,0.0484,3.8221,0.4454,0.8032,1.5102,0.8375,2.4413,0.6569,1.9149,fuway,2010-09-30T16:36:06Z
"C0017D-1H-4, 9.0 cm",NULL,64.221,64.32,64.221,64.32,"C0017D-1H-4, 11.0 cm",NULL,64.241,64.34,64.241,64.34,"C0017D-1H-4 W, 9.0--11.0 cm",CKY000000000003555700,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T05:50:56Z,168,glass beaker,6.088,2.804,11.7519,6.4065,5.6639,168,glass beaker,6.088,2.804,9.4373,4.102,3.3493,2.3985,2.3423,1.2602,3.6025,1.298,0.0839,0.0378,3.2654,0.4235,0.7345,1.5722,0.9064,2.5912,0.6502,1.8587,fuway,2010-09-30T16:36:06Z
"C0017D-1H-5, 39.0 cm",NULL,65.887,66.025,65.887,66.025,"C0017D-1H-5, 41.0 cm",NULL,65.907,66.045,65.907,66.045,"C0017D-1H-5 W, 39.0--41.0 cm",CKY000000000003555800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T05:51:11Z,176,glass beaker,5.965,2.669,11.8353,6.6857,5.8703,176,glass beaker,5.965,2.669,9.0765,3.9389,3.1115,2.8589,2.7919,1.2248,4.0167,1.2699,0.1001,0.0451,3.0114,0.487,0.9494,1.4615,0.7497,2.4587,0.6951,2.2795,fuway,2010-09-30T16:36:07Z
"C0017D-1H-6, 103.0 cm",NULL,67.891,68.075,67.891,68.075,"C0017D-1H-6, 105.0 cm",NULL,67.91,68.095,67.91,68.095,"C0017D-1H-6 W, 103.0--105.0 cm",CKY000000000003555900,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T05:51:30Z,191,glass beaker,6.069,2.677,13.6956,7.2568,7.6266,191,glass beaker,6.069,2.677,11.3971,4.9683,5.3281,2.3819,2.3261,2.2537,4.5798,2.2913,0.0834,0.0376,5.2447,0.3123,0.4542,1.6653,1.1452,2.3272,0.5079,1.0321,fuway,2010-09-30T16:36:07Z
"C0017D-1H-7, 19.0 cm",NULL,68.453,68.65,68.453,68.65,"C0017D-1H-7, 21.0 cm",NULL,68.472,68.67,68.472,68.67,"C0017D-1H-7 W, 19.0--21.0 cm",CKY000000000003556000,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T05:51:56Z,190,glass beaker,6.062,2.74,15.0092,8.2151,8.9472,190,glass beaker,6.062,2.74,11.9957,5.2147,5.9337,3.1228,3.0496,2.4255,5.4751,2.4747,0.1093,0.0492,5.8244,0.349,0.5362,1.6342,1.0638,2.4013,0.557,1.2573,fuway,2010-09-30T16:36:07Z
"C0017D-2H-2, 12.0 cm",NULL,70.71,70.73,70.71,70.73,"C0017D-2H-2, 14.0 cm",NULL,70.73,70.75,70.73,70.75,"C0017D-2H-2 W, 12.0--14.0 cm",CKY000000000003557000,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T06:35:08Z,151,glass beaker,5.997,2.661,10.0977,5.881,4.1007,151,glass beaker,5.997,2.661,7.8324,3.6255,1.8354,2.3475,2.2925,0.9275,3.22,0.9645,0.0822,0.037,1.7532,0.5725,1.339,1.2735,0.5445,1.8902,0.712,2.4717,fuway,2010-09-30T16:36:07Z
"C0017D-2H-3, 55.0 cm",NULL,72.531,72.575,72.531,72.575,"C0017D-2H-3, 57.0 cm",NULL,72.551,72.595,72.551,72.595,"C0017D-2H-3 W, 55.0--57.0 cm",CKY000000000003557100,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T06:35:23Z,411,glass beaker,6.295,2.835,15.5394,7.8402,9.2444,411,glass beaker,6.295,2.835,12.8433,5.1559,6.5483,2.7939,2.7284,2.2768,5.0052,2.3209,0.0978,0.0441,6.4505,0.3022,0.4331,1.847,1.2888,2.8331,0.5451,1.1983,fuway,2010-09-30T16:36:07Z
"C0017D-2H-4, 10.0 cm",NULL,73.479,73.535,73.479,73.535,"C0017D-2H-4, 12.0 cm",NULL,73.498,73.555,73.498,73.555,"C0017D-2H-4 W, 10.0--12.0 cm",CKY000000000003557800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T07:48:52Z,428,glass beaker,6.173,2.779,9.5562,5.5399,3.3832,428,glass beaker,6.173,2.779,7.2279,3.2217,1.0549,2.4127,2.3562,0.4047,2.7609,0.4427,0.0844,0.038,0.9705,0.7131,2.486,1.2254,0.3515,2.3981,0.8534,5.8221,fuway,2010-09-30T16:36:07Z
"C0017D-2H-4, 119.0 cm",NULL,74.555,74.625,74.555,74.625,"C0017D-2H-4, 121.0 cm",NULL,74.574,74.645,74.574,74.645,"C0017D-2H-4 W, 119.0--121.0 cm",CKY000000000003557900,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T07:49:05Z,128,glass beaker,6.021,2.691,14.1905,7.7123,8.1695,128,glass beaker,6.021,2.691,11.0723,4.6076,5.0513,3.2313,3.1556,1.8657,5.0213,1.9166,0.1131,0.0509,4.9382,0.3955,0.6543,1.627,0.9835,2.6468,0.6284,1.6914,fuway,2010-09-30T16:36:07Z
"C0017D-2H-5, 47.0 cm",NULL,75.236,75.315,75.236,75.315,"C0017D-2H-5, 49.0 cm",NULL,75.255,75.335,75.255,75.335,"C0017D-2H-5 W, 47.0--49.0 cm",CKY000000000003558000,PP,NULL,5,hilairy331,NULL,CKY,2010-09-28T07:49:34Z,424,glass beaker,6.205,2.847,14.232,7.664,8.027,424,glass beaker,6.205,2.847,11.5107,4.9546,5.3057,2.82,2.7539,2.0631,4.817,2.1076,0.0987,0.0445,5.207,0.3513,0.5416,1.6664,1.081,2.5239,0.5717,1.3348,fuway,2010-09-30T16:36:07Z
