Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002L-1X-1, 30.0 cm",NULL,277.3,277.3,277.3,277.3,"C0002L-1X-1, 32.0 cm",NULL,277.32,277.32,277.32,277.32,"C0002L-1X-1 W, 30.0--32.0 cm",CKY000000000001406510,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:38Z,NULL,18.9025,8.5224,32.3877,13.4852,28.8721,12.1978,9.9696,3.6431,3.5577,3.6174,7.1751,3.6754,0.1275,0.058,9.8421,0.2702,0.3702,1.8794,1.3717,2.7208,0.4958,0.9835,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-1, 105.0 cm",NULL,278.05,278.05,278.05,278.05,"C0002L-1X-1, 107.0 cm",NULL,278.07,278.07,278.07,278.07,"C0002L-1X-1 W, 105.0--107.0 cm",CKY000000000001407510,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:49:49Z,NULL,19.0536,8.5303,30.4589,11.4053,26.8936,11.4402,7.84,3.6946,3.608,2.8511,6.4591,2.9099,0.1293,0.0588,7.7107,0.3239,0.4792,1.7658,1.1938,2.7045,0.5586,1.2655,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-2, 6.0 cm",NULL,278.25,278.25,278.25,278.25,"C0002L-1X-2, 8.0 cm",NULL,278.27,278.27,278.27,278.27,"C0002L-1X-2 W, 6.0--8.0 cm",CKY000000000001406610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:38Z,sand,18.8473,8.4582,33.4708,14.6235,29.6279,12.463,10.7806,3.9823,3.889,3.9414,7.8304,4.0048,0.1394,0.0634,10.6412,0.2723,0.3742,1.8675,1.359,2.6999,0.4967,0.9867,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-2, 81.0 cm",NULL,279,279,279,279,"C0002L-1X-2, 84.0 cm",NULL,279.03,279.03,279.03,279.03,"C0002L-1X-2 WR, 81.0--84.0 cm",CKY000000000001403810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-22T23:32:44Z,NULL,18.9057,8.5009,32.0713,13.1656,28.2107,11.9455,9.305,4.0006,3.9068,3.381,7.2878,3.4446,0.14,0.0636,9.165,0.3039,0.4365,1.8065,1.2576,2.7107,0.5361,1.1555,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-3, 21.0 cm",NULL,279.435,279.435,279.435,279.435,"C0002L-1X-3, 23.0 cm",NULL,279.455,279.455,279.455,279.455,"C0002L-1X-3 W, 21.0--23.0 cm",CKY000000000001406710,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:38Z,NULL,18.0522,8.2019,30.9031,12.8509,27.4778,11.5203,9.4256,3.5495,3.4663,3.2619,6.7282,3.3184,0.1242,0.0565,9.3014,0.2762,0.3816,1.91,1.3824,2.8515,0.5152,1.0627,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-3, 127.0 cm",NULL,280.495,280.495,280.495,280.495,"C0002L-1X-3, 130.0 cm",NULL,280.525,280.525,280.525,280.525,"C0002L-1X-3 W, 127.0--130.0 cm",CKY000000000001406810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:39Z,NULL,18.2016,8.1894,26.6669,8.4653,23.7512,10.239,5.5496,3.0215,2.9507,2.0015,4.9522,2.0496,0.1058,0.0481,5.4438,0.3569,0.555,1.7094,1.0993,2.7199,0.5958,1.4742,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-5, 31.0 cm",NULL,281.14,281.14,281.14,281.14,"C0002L-1X-5, 33.0 cm",NULL,281.16,281.16,281.16,281.16,"C0002L-1X-5 W, 31.0--33.0 cm",CKY000000000001406910,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:39Z,sand,18.9699,8.5299,26.1861,7.2162,24.5014,10.6016,5.5315,1.7458,1.7049,2.0439,3.7488,2.0717,0.0611,0.0278,5.4704,0.2419,0.3191,1.9249,1.4592,2.6765,0.4548,0.8341,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-5, 98.0 cm",NULL,281.81,281.81,281.81,281.81,"C0002L-1X-5, 100.0 cm",NULL,281.83,281.83,281.83,281.83,"C0002L-1X-5 W, 98.0--100.0 cm",CKY000000000001407010,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:39Z,NULL,18.1834,8.1588,31.1633,12.9799,27.4907,11.6066,9.3073,3.8058,3.7166,3.3873,7.1039,3.4478,0.1332,0.0605,9.1741,0.2932,0.4148,1.8272,1.2914,2.7084,0.5232,1.0972,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-6, 16.0 cm",NULL,282.405,282.405,282.405,282.405,"C0002L-1X-6, 19.0 cm",NULL,282.435,282.435,282.435,282.435,"C0002L-1X-6 W, 16.0--19.0 cm",CKY000000000001407110,PP,NULL,6,skarbek338,NULL,CKY,2012-12-23T02:02:16Z,NULL,18.7643,8.4927,32.8707,14.1064,29.4592,12.4193,10.6949,3.5352,3.4523,3.8704,7.3227,3.9266,0.1237,0.0562,10.5712,0.2506,0.3344,1.9264,1.4436,2.7313,0.4715,0.892,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-6, 103.0 cm",NULL,283.275,283.275,283.275,283.275,"C0002L-1X-6, 105.0 cm",NULL,283.295,283.295,283.295,283.295,"C0002L-1X-6 W, 103.0--105.0 cm",CKY000000000001407210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:39Z,NULL,18.886,8.543,36.0234,17.1374,31.5004,13.1843,12.6144,4.687,4.5771,4.5668,9.1439,4.6413,0.164,0.0745,12.4504,0.2735,0.3765,1.8742,1.3616,2.7263,0.5006,1.0023,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-7, 74.0 cm",NULL,284.335,284.335,284.335,284.335,"C0002L-1X-7, 76.0 cm",NULL,284.355,284.355,284.355,284.355,"C0002L-1X-7 W, 74.0--76.0 cm",CKY000000000001407310,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:39Z,sand,18.1728,8.2331,35.2502,17.0774,31.0224,12.9644,12.8496,4.3811,4.2784,4.6616,8.94,4.7313,0.1533,0.0697,12.6963,0.2565,0.3451,1.9102,1.4202,2.7236,0.4786,0.9178,suzukit,2012-12-29T01:31:16Z
"C0002L-1X-7, 129.0 cm",NULL,284.885,284.885,284.885,284.885,"C0002L-1X-7, 131.0 cm",NULL,284.905,284.905,284.905,284.905,"C0002L-1X-7 W, 129.0--131.0 cm",CKY000000000001407410,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T01:41:39Z,NULL,18.8612,8.4951,37.648,18.7868,33.4308,13.9282,14.5696,4.3702,4.2678,5.3636,9.6314,5.4331,0.153,0.0695,14.4166,0.2326,0.3031,1.9506,1.4968,2.6879,0.4431,0.7957,suzukit,2012-12-29T01:31:16Z
"C0002L-2X-1, 27.0 cm",NULL,286.77,286.77,286.77,286.77,"C0002L-2X-1, 30.0 cm",NULL,286.8,286.8,286.8,286.8,"C0002L-2X-1 WR, 27.0--30.0 cm",CKY000000000001405610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T00:01:38Z,NULL,18.106,8.1537,29.8701,11.7641,26.8537,11.4282,8.7477,3.1258,3.0525,3.2248,6.2773,3.2745,0.1094,0.0497,8.6383,0.2657,0.3619,1.8741,1.3761,2.6787,0.4863,0.9466,suzukit,2012-12-29T01:31:16Z
"C0002L-2X-2, 0.0 cm",NULL,286.98,286.98,286.98,286.98,"C0002L-2X-2, 6.0 cm",NULL,287.04,287.04,287.04,287.04,"C0002L-2X-2 WR, 0.0--6.0 cm",CKY000000000001404810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-22T23:54:13Z,NULL,18.8613,8.4469,38.4292,19.5679,32.72,13.6558,13.8587,5.9163,5.7776,5.1148,10.8924,5.2089,0.2071,0.0941,13.6516,0.3023,0.4334,1.7965,1.2533,2.669,0.5304,1.1296,suzukit,2012-12-29T01:31:16Z
"C0002L-3X-1, 20.0 cm",NULL,296.2,296.2,296.2,296.2,"C0002L-3X-1, 22.0 cm",NULL,296.22,296.22,296.22,296.22,"C0002L-3X-1 W, 20.0--22.0 cm",CKY000000000001413910,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T05:21:02Z,NULL,18.2922,8.1766,32.9824,14.6902,28.151,11.9778,9.8588,5.0066,4.8893,3.7216,8.6109,3.8012,0.1752,0.0796,9.6836,0.3408,0.517,1.706,1.1246,2.602,0.5678,1.3138,suzukit,2012-12-29T01:31:16Z
"C0002L-3X-1, 103.0 cm",NULL,297.03,297.03,297.03,297.03,"C0002L-3X-1, 105.0 cm",NULL,297.05,297.05,297.05,297.05,"C0002L-3X-1 W, 103.0--105.0 cm",CKY000000000001414010,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T05:21:03Z,NULL,18.9083,8.5196,32.6335,13.7252,29.2555,12.729,10.3472,3.5005,3.4185,4.1537,7.5722,4.2094,0.1225,0.0557,10.2247,0.255,0.3424,1.8126,1.3503,2.4616,0.4515,0.823,suzukit,2012-12-29T01:31:16Z
"C0002L-3X-3, 110.0 cm",NULL,298.49,298.49,298.49,298.49,"C0002L-3X-3, 112.0 cm",NULL,298.51,298.51,298.51,298.51,"C0002L-3X-3 W, 110.0--112.0 cm",CKY000000000001414810,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T05:21:49Z,NULL,18.8398,8.5053,31.2026,12.3628,27.9538,12.1427,9.114,3.3666,3.2877,3.5839,6.8716,3.6374,0.1178,0.0535,8.9962,0.2723,0.3742,1.7991,1.3092,2.5102,0.4784,0.9174,suzukit,2012-12-29T01:31:16Z
"C0002L-3X-4, 58.0 cm",NULL,299.27,299.27,299.27,299.27,"C0002L-3X-4, 60.0 cm",NULL,299.29,299.29,299.29,299.29,"C0002L-3X-4 W, 58.0--60.0 cm",CKY000000000001414910,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T05:21:49Z,NULL,18.8494,8.5062,36.2294,17.38,32.3073,13.4761,13.4579,4.0644,3.9691,4.9052,8.8743,4.9699,0.1423,0.0647,13.3156,0.2339,0.3052,1.9585,1.5005,2.7146,0.4473,0.8092,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-1, 25.0 cm",NULL,305.75,305.75,305.75,305.75,"C0002L-4X-1, 27.0 cm",NULL,305.77,305.77,305.77,305.77,"C0002L-4X-1 W, 25.0--27.0 cm",CKY000000000001424410,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,NULL,18.2438,8.2284,32.3898,14.146,27.9234,11.8119,9.6796,4.6284,4.5199,3.5099,8.0298,3.5835,0.162,0.0736,9.5176,0.3272,0.4863,1.7617,1.1853,2.7116,0.5629,1.2878,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-3, 0.0 cm",NULL,307.05,307.05,307.05,307.05,"C0002L-4X-3, 2.0 cm",NULL,307.07,307.07,307.07,307.07,"C0002L-4X-3 W, 0.0--2.0 cm",CKY000000000001424510,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,NULL,18.7287,8.4515,32.1396,13.4109,27.3922,11.6543,8.6635,4.9196,4.8043,3.1245,7.9288,3.2028,0.1722,0.0783,8.4913,0.3668,0.5794,1.6914,1.0709,2.7177,0.6059,1.5376,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-3, 80.0 cm",NULL,307.85,307.85,307.85,307.85,"C0002L-4X-3, 82.0 cm",NULL,307.87,307.87,307.87,307.87,"C0002L-4X-3 W, 80.0--82.0 cm",CKY000000000001424610,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,NULL,18.7,8.4494,33.0222,14.3222,28.2985,11.9266,9.5985,4.895,4.7803,3.3993,8.1796,3.4772,0.1713,0.0779,9.4272,0.3418,0.5192,1.751,1.1525,2.7733,0.5844,1.4063,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-4, 44.0 cm",NULL,308.74,308.74,308.74,308.74,"C0002L-4X-4, 46.0 cm",NULL,308.76,308.76,308.76,308.76,"C0002L-4X-4 W, 44.0--46.0 cm",CKY000000000001424710,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,NULL,18.6153,8.3548,36.0915,17.4762,29.7141,12.5752,11.0988,6.6087,6.4538,4.1153,10.5691,4.2204,0.2313,0.1051,10.8675,0.3782,0.6081,1.6535,1.0282,2.6408,0.6106,1.5682,suzukit,2012-12-29T01:31:16Z
