Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002K-1H-1, 113.0 cm",NULL,200.894,201.13,200.894,201.13,"C0002K-1H-1, 116.0 cm",NULL,200.917,201.16,200.917,201.16,"C0002K-1H-1 W, 113.0--116.0 cm",CKY000000000001330310,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T23:25:32Z,NULL,18.9845,8.5392,32.1719,13.1874,28.0262,11.9212,9.0417,4.2961,4.1954,3.3136,7.509,3.382,0.1504,0.0684,8.8913,0.3258,0.4832,1.7562,1.1841,2.6833,0.5587,1.2661,suzukit,2012-12-28T16:19:24Z
"C0002K-1H-2, 74.0 cm",NULL,201.641,202.075,201.641,202.075,"C0002K-1H-2, 77.0 cm",NULL,201.665,202.105,201.665,202.105,"C0002K-1H-2 W, 74.0--77.0 cm",CKY000000000001330710,PP,NULL,6,kitajima338,carbonate rich,CKY,2012-12-20T23:29:14Z,NULL,18.8512,8.5068,27.3229,8.4717,24.2425,10.4702,5.3913,3.1921,3.1173,1.9126,5.0299,1.9634,0.1117,0.0508,5.2796,0.3768,0.6046,1.6843,1.0496,2.7604,0.6198,1.6299,suzukit,2012-12-28T16:19:24Z
"C0002K-1H-4, 4.0 cm",NULL,202.313,202.925,202.313,202.925,"C0002K-1H-4, 7.0 cm",NULL,202.337,202.955,202.337,202.955,"C0002K-1H-4 W, 4.0--7.0 cm",CKY000000000001330810,PP,NULL,6,kitajima338,cluster,CKY,2012-12-20T23:29:14Z,NULL,18.9663,8.5454,28.1786,9.2123,24.84,10.7568,5.8737,3.4597,3.3786,2.1564,5.535,2.2114,0.1211,0.055,5.7526,0.3756,0.6014,1.6644,1.0393,2.6677,0.6104,1.5668,suzukit,2012-12-28T16:19:24Z
"C0002K-1H-4, 75.0 cm",NULL,202.875,203.635,202.875,203.635,"C0002K-1H-4, 78.0 cm",NULL,202.899,203.665,202.899,203.665,"C0002K-1H-4 W, 75.0--78.0 cm",CKY000000000001330910,PP,NULL,6,kitajima338,sand,CKY,2012-12-20T23:29:14Z,SAND,18.6548,8.4205,35.4788,16.824,31.8665,13.2263,13.2117,3.7433,3.6556,4.7463,8.4019,4.8058,0.131,0.0595,13.0807,0.2225,0.2862,2.0024,1.5569,2.756,0.4351,0.7702,suzukit,2012-12-28T16:19:24Z
"C0002K-1H-5, 0.0 cm",NULL,203.393,204.29,203.393,204.29,"C0002K-1H-5, 3.0 cm",NULL,203.417,204.32,203.417,204.32,"C0002K-1H-5 W, 0.0--3.0 cm",CKY000000000001331110,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T23:29:14Z,NULL,19.0047,8.5684,34.3248,15.3201,29.0062,12.2654,10.0015,5.5115,5.3823,3.6093,8.9916,3.697,0.1929,0.0877,9.8086,0.3598,0.5619,1.7038,1.0909,2.7176,0.5986,1.4912,suzukit,2012-12-28T16:19:24Z
"C0002K-1H-6, 35.0 cm",NULL,203.966,205.015,203.966,205.015,"C0002K-1H-6, 38.0 cm",NULL,203.99,205.045,203.99,205.045,"C0002K-1H-6 W, 35.0--38.0 cm",CKY000000000001331010,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T23:29:14Z,NULL,18.7496,8.4521,33.1465,14.3969,28.4749,12.1115,9.7253,4.841,4.7275,3.5824,8.3099,3.6594,0.1694,0.077,9.5559,0.3363,0.5066,1.7325,1.1499,2.6675,0.5689,1.3196,suzukit,2012-12-28T16:19:24Z
"C0002K-2H-1, 22.0 cm",NULL,204.72,204.72,204.72,204.72,"C0002K-2H-1, 24.0 cm",NULL,204.74,204.74,204.74,204.74,"C0002K-2H-1 W, 22.0--24.0 cm",CKY000000000001333010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T00:57:25Z,NULL,18.8276,8.4991,31.2301,12.4025,26.2758,11.2735,7.4482,5.134,5.0137,2.6927,7.7064,2.7744,0.1797,0.0817,7.2685,0.4139,0.7063,1.6094,0.9432,2.6993,0.6506,1.862,suzukit,2012-12-28T16:19:24Z
"C0002K-2H-1, 58.0 cm",NULL,205.08,205.08,205.08,205.08,"C0002K-2H-1, 60.0 cm",NULL,205.1,205.1,205.1,205.1,"C0002K-2H-1 W, 58.0--60.0 cm",CKY000000000001333110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T00:57:25Z,NULL,18.7987,8.455,30.3123,11.5136,27.1984,11.7658,8.3997,3.2268,3.1512,3.2595,6.4107,3.3108,0.1129,0.0513,8.2868,0.2803,0.3894,1.796,1.2927,2.5424,0.4916,0.9668,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-1, 14.0 cm",NULL,205.64,205.64,205.64,205.64,"C0002K-3T-1, 16.0 cm",NULL,205.66,205.66,205.66,205.66,"C0002K-3T-1 W, 14.0--16.0 cm",CKY000000000001338310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T04:49:29Z,NULL,18.8466,8.4448,27.1345,8.2879,24.4826,10.5114,5.636,2.7481,2.6837,2.0229,4.7066,2.0666,0.0962,0.0437,5.5398,0.3316,0.4961,1.7609,1.177,2.7385,0.5702,1.3267,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-1, 56.0 cm",NULL,206.06,206.06,206.06,206.06,"C0002K-3T-1, 58.0 cm",NULL,206.08,206.08,206.08,206.08,"C0002K-3T-1 W, 56.0--58.0 cm",CKY000000000001338410,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T04:49:29Z,sand,18.7917,8.4857,30.2879,11.4962,26.9284,11.4482,8.1367,3.4813,3.3997,2.9071,6.3068,2.9625,0.1218,0.0554,8.0149,0.3028,0.4344,1.8228,1.2708,2.757,0.5391,1.1694,suzukit,2012-12-28T16:19:24Z
