Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0012G-1R-1, 73.0 cm",NULL,515.73,515.73,515.73,515.73,"C0012G-1R-1, 75.0 cm",NULL,515.75,515.75,515.75,515.75,"C0012G-1R-1 W, 73.0--75.0 cm",CKY000000000004888400,PP,NULL,5,hugh333,NULL,CKY,2011-01-05T21:30:25Z,426,glass beaker,6.254,2.796,13.5321,6.4009,7.2781,426,glass beaker,6.254,2.796,12.1275,5.0024,5.8735,1.4555,1.4214,2.1835,3.6049,2.2064,0.0509,0.0229,5.8226,0.2,0.25,2.0189,1.6152,2.6666,0.3943,0.651,sakaguchim,2011-01-09T22:55:15Z
"C0012G-1R-2, 4.0 cm",NULL,516.05,516.05,516.05,516.05,"C0012G-1R-2, 6.0 cm",NULL,516.07,516.07,516.07,516.07,"C0012G-1R-2 W, 4.0--6.0 cm",CKY000000000004888500,PP,NULL,5,hugh333,NULL,CKY,2011-01-05T21:30:25Z,190,glass beaker,6.059,2.715,14.2401,6.5256,8.1811,190,glass beaker,6.059,2.715,12.9609,5.252,6.9019,1.3256,1.2945,2.5161,3.8106,2.537,0.0464,0.0209,6.8555,0.162,0.1934,2.1469,1.7991,2.7247,0.3397,0.5145,sakaguchim,2011-01-09T22:55:16Z
"C0012G-1R-3, 49.0 cm",NULL,517.08,517.08,517.08,517.08,"C0012G-1R-3, 51.0 cm",NULL,517.1,517.1,517.1,517.1,"C0012G-1R-3 WR, 49.0--51.0 cm",CKY000000000004885200,PP,NULL,3,bora333,NULL,CKY,2011-01-05T10:23:40Z,446,glass beaker,6.331,2.849,13.7364,6.4635,7.4054,446,glass beaker,6.331,2.849,12.2968,5.0302,5.9658,1.4918,1.4568,2.1577,3.6145,2.1812,0.0522,0.0235,5.9136,0.2014,0.2523,2.0488,1.6361,2.7407,0.403,0.6752,sakaguchim,2011-01-09T22:55:15Z
"C0012G-1R-4, 51.0 cm",NULL,517.61,517.61,517.61,517.61,"C0012G-1R-4, 53.0 cm",NULL,517.63,517.63,517.63,517.63,"C0012G-1R-4 W, 51.0--53.0 cm",CKY000000000004888600,PP,NULL,5,hugh333,NULL,CKY,2011-01-05T21:30:25Z,116,glass beaker,6.076,2.7,14.1183,6.3506,8.0423,116,glass beaker,6.076,2.7,13.0101,5.2472,6.9341,1.1484,1.1215,2.5291,3.6506,2.5472,0.0402,0.0181,6.8939,0.1428,0.1666,2.203,1.8884,2.7258,0.3072,0.4434,sakaguchim,2011-01-09T22:55:16Z
"C0012G-1R-4, 101.5 cm",NULL,518.115,518.115,518.115,518.115,"C0012G-1R-4, 104.5 cm",NULL,518.145,518.145,518.145,518.145,"C0012G-1R-4 WR, 101.5--104.5 cm",CKY000000000004886300,PP,NULL,5,mstrasser333,NULL,CKY,2011-01-05T15:38:50Z,440,glass beaker,6.192,2.784,13.8215,6.322,7.6295,440,glass beaker,6.192,2.784,12.6378,5.1434,6.4458,1.2266,1.1979,2.3401,3.538,2.3594,0.0429,0.0193,6.4029,0.1608,0.1916,2.1564,1.8098,2.7362,0.3386,0.5119,sakaguchim,2011-01-09T22:55:15Z
"C0012G-2R-1, 27.0 cm",NULL,524.77,524.77,524.77,524.77,"C0012G-2R-1, 29.0 cm",NULL,524.79,524.79,524.79,524.79,"C0012G-2R-1 W, 27.0--29.0 cm",CKY000000000004888700,PP,NULL,5,hugh333,NULL,CKY,2011-01-05T21:34:03Z,197,glass beaker,6.029,2.684,13.4344,6.1352,7.4054,197,glass beaker,6.029,2.684,12.1889,4.8952,6.1599,1.2907,1.2604,2.1908,3.4512,2.2112,0.0452,0.0204,6.1147,0.1743,0.2111,2.1457,1.7718,2.7911,0.3652,0.5753,sakaguchim,2011-01-09T22:55:16Z
"C0012G-2R-2, 134.0 cm",NULL,526.23,526.23,526.23,526.23,"C0012G-2R-2, 136.0 cm",NULL,526.25,526.25,526.25,526.25,"C0012G-2R-2 W, 134.0--136.0 cm",CKY000000000004888300,PP,NULL,5,hugh333,NULL,CKY,2011-01-05T21:08:56Z,567,glass beaker,17.61,8.03,33.8773,14.4653,16.2673,567,glass beaker,17.61,8.03,32.6193,13.2128,15.0093,1.3036,1.273,5.1623,6.4353,5.1828,0.0456,0.0205,14.9637,0.0801,0.0871,2.5278,2.3253,2.8986,0.1978,0.2466,sakaguchim,2011-01-09T22:55:16Z
"C0012G-4R-1, 29.5 cm",NULL,543.795,543.795,543.795,543.795,"C0012G-4R-1, 31.5 cm",NULL,543.815,543.815,543.815,543.815,"C0012G-4R-1-4 W, 29.5--31.5 cm",CKY000000000004893800,PP,NULL,5,screaton333,NULL,CKY,2011-01-06T11:38:16Z,79,glass beaker,17.423,7.911,25.2889,11.3626,7.8659,79,glass beaker,17.423,7.911,24.1249,10.2037,6.7019,1.2062,1.1779,2.2737,3.4516,2.2927,0.0422,0.019,6.6597,0.1533,0.1811,2.2789,1.9295,2.929,0.3413,0.5181,sakaguchim,2011-01-09T22:55:16Z
"C0012G-5R-1, 4.0 cm",NULL,553.04,553.04,553.04,553.04,"C0012G-5R-1, 6.0 cm",NULL,553.06,553.06,553.06,553.06,"C0012G-5R-1-1 W, 4.0--6.0 cm",CKY000000000004895800,PP,NULL,5,hugh333,NULL,CKY,2011-01-06T23:24:37Z,562,glass beaker,17.372,7.854,31.8055,13.8763,14.4335,562,glass beaker,17.372,7.854,30.2368,12.3144,12.8648,1.6256,1.5875,4.4348,6.0223,4.4604,0.0569,0.0256,12.8079,0.1126,0.1269,2.3967,2.1267,2.888,0.2636,0.358,sakaguchim,2011-01-09T22:55:16Z
"C0012G-6R-CC, 7.0 cm",NULL,563.305,563.305,563.305,563.305,"C0012G-6R-CC, 9.0 cm",NULL,563.325,563.325,563.325,563.325,"C0012G-6R-CC-2 W, 7.0--9.0 cm",CKY000000000004893700,PP,NULL,5,screaton333,NULL,CKY,2011-01-06T11:35:31Z,563,glass beaker,17.022,7.717,31.0541,13.4322,14.0321,563,glass beaker,17.022,7.717,29.8128,12.1963,12.7908,1.2863,1.2562,4.459,5.7152,4.4793,0.045,0.0203,12.7458,0.0917,0.1009,2.4552,2.2302,2.8584,0.2198,0.2817,sakaguchim,2011-01-09T22:55:16Z
