Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0012A-1R-1, 63.0 cm",NULL,0.63,0.63,0.63,0.63,"C0012A-1R-1, 64.0 cm",NULL,0.64,0.64,0.64,0.64,"C0012A-1R-1 W, 63.0--64.0 cm",CKY000000000000548110,PP,NULL,7,yohei322,NULL,CKY,2009-09-26T02:50:18Z,430,glass beaker,6.265,2.769,10.7275,5.8478,4.4625,430,glass beaker,6.265,2.769,8.6114,3.7409,2.3464,2.1928,2.1414,0.9374,3.0788,0.9719,0.0767,0.0345,2.2697,0.4914,0.9661,1.4494,0.7372,2.4213,0.6955,2.2844,yohei322,2009-09-27T19:16:17Z
"C0012A-2R-3, 79.5 cm",NULL,63.625,63.625,63.625,63.625,"C0012A-2R-3, 80.5 cm",NULL,63.635,63.635,63.635,63.635,"C0012A-2R-3 W, 79.5--80.5 cm",CKY000000000000549810,PP,NULL,7,huaichun322,NULL,CKY,2009-09-26T06:46:24Z,162,glass beaker,5.994,2.699,10.5851,5.6925,4.5911,162,glass beaker,5.994,2.699,8.5263,3.6426,2.5323,2.1335,2.0835,0.91,2.9935,0.9436,0.0747,0.0336,2.4576,0.4647,0.8681,1.5337,0.821,2.7007,0.696,2.2896,fuway,2010-08-17T03:19:01Z
"C0012A-2R-4, 29.0 cm",NULL,64.135,64.135,64.135,64.135,"C0012A-2R-4, 30.0 cm",NULL,64.145,64.145,64.145,64.145,"C0012A-2R-4 W, 29.0--30.0 cm",CKY000000000000550910,PP,NULL,7,yohei322,NULL,CKY,2009-09-26T07:04:47Z,402,glass beaker,6.148,2.766,11.7866,6.3413,5.6386,402,glass beaker,6.148,2.766,9.3443,3.9096,3.1963,2.5309,2.4716,1.1037,3.5753,1.1436,0.0886,0.0399,3.1077,0.4489,0.8144,1.5771,0.8692,2.8157,0.6913,2.2394,yohei322,2009-09-27T19:16:17Z
"C0012A-3R-1, 75.0 cm",NULL,70.25,70.25,70.25,70.25,"C0012A-3R-1, 76.0 cm",NULL,70.26,70.26,70.26,70.26,"C0012A-3R-1 W, 75.0--76.0 cm",CKY000000000000552510,PP,NULL,7,yohei322,NULL,CKY,2009-09-26T08:39:40Z,170,glass beaker,6.05,2.735,10.4313,5.4995,4.3813,170,glass beaker,6.05,2.735,8.5818,3.658,2.5318,1.9166,1.8717,0.8928,2.7645,0.923,0.0671,0.0302,2.4647,0.4375,0.7776,1.5848,0.8916,2.7606,0.677,2.0964,fuway,2010-08-17T03:19:03Z
"C0012A-3R-3, 21.0 cm",NULL,71.595,71.595,71.595,71.595,"C0012A-3R-3, 22.0 cm",NULL,71.605,71.605,71.605,71.605,"C0012A-3R-3 W, 21.0--22.0 cm",CKY000000000000552610,PP,NULL,7,yohei322,NULL,CKY,2009-09-26T08:52:37Z,189,glass beaker,6.045,2.767,10.9307,5.9469,4.8857,189,glass beaker,6.045,2.767,8.7488,3.7745,2.7038,2.261,2.208,0.9719,3.1799,1.0075,0.0791,0.0356,2.6247,0.4628,0.8614,1.5364,0.8254,2.7006,0.6944,2.2718,yohei322,2009-09-27T19:16:17Z
"C0012A-4R-1, 81.0 cm",NULL,79.81,79.81,79.81,79.81,"C0012A-4R-1, 82.0 cm",NULL,79.82,79.82,79.82,79.82,"C0012A-4R-1 W, 81.0--82.0 cm",CKY000000000000554410,PP,NULL,7,yohei322,NULL,CKY,2009-09-26T10:57:56Z,132,glass beaker,6.072,2.757,11.2122,5.8163,5.1402,132,glass beaker,6.072,2.757,9.2632,3.8757,3.1912,2.0197,1.9724,1.0869,3.0593,1.1187,0.0707,0.0318,3.1205,0.3929,0.6472,1.6802,1.02,2.871,0.6447,1.8147,fuway,2010-08-17T03:18:58Z
"C0012A-4R-2, 25.0 cm",NULL,80.255,80.255,80.255,80.255,"C0012A-4R-2, 26.0 cm",NULL,80.265,80.265,80.265,80.265,"C0012A-4R-2 W, 25.0--26.0 cm",CKY000000000000554510,PP,NULL,7,yohei322,NULL,CKY,2009-09-26T10:57:56Z,197,glass beaker,6.03,2.721,11.4158,5.8663,5.3858,197,glass beaker,6.03,2.721,9.4639,3.9229,3.4339,2.0227,1.9753,1.17,3.1453,1.2019,0.0708,0.0319,3.3631,0.3756,0.6014,1.7123,1.0692,2.8744,0.628,1.6883,yohei322,2009-09-27T19:16:17Z
"C0012A-5R-1, 25.0 cm",NULL,88.75,88.75,88.75,88.75,"C0012A-5R-1, 26.0 cm",NULL,88.76,88.76,88.76,88.76,"C0012A-5R-1 W, 25.0--26.0 cm",CKY000000000000564310,PP,NULL,5,glenn322,NULL,CKY,2009-09-26T13:02:15Z,443,glass beaker,6.205,2.858,12.2411,6.6733,6.0361,443,glass beaker,6.205,2.858,9.6065,4.0502,3.4015,2.7302,2.6662,1.1491,3.8153,1.1922,0.0956,0.0431,3.3059,0.4523,0.8259,1.5821,0.8665,2.8769,0.6988,2.3203,fuway,2010-08-17T03:19:09Z
"C0012A-5R-1, 85.0 cm",NULL,89.35,89.35,89.35,89.35,"C0012A-5R-1, 86.0 cm",NULL,89.36,89.36,89.36,89.36,"C0012A-5R-1 W, 85.0--86.0 cm",CKY000000000000564410,PP,NULL,5,glenn322,NULL,CKY,2009-09-26T13:02:16Z,157,glass beaker,6.039,2.731,11.5207,6.1847,5.4817,157,glass beaker,6.039,2.731,9.2242,3.8982,3.1852,2.3798,2.324,1.1297,3.4537,1.1672,0.0833,0.0375,3.1019,0.4341,0.7672,1.5872,0.8981,2.7458,0.6729,2.0572,yohei322,2009-09-27T19:16:18Z
"C0012A-5R-2, 25.0 cm",NULL,89.675,89.675,89.675,89.675,"C0012A-5R-2, 27.0 cm",NULL,89.695,89.695,89.695,89.695,"C0012A-5R-2 WR, 25.0--27.0 cm",CKY000000000000555810,PP,NULL,5,katerina322,NULL,CKY,2009-09-26T11:05:53Z,439,glass beaker,6.274,2.824,9.1511,4.5495,2.8771,439,glass beaker,6.274,2.824,8.0827,3.4857,1.8087,1.1072,1.0813,0.6442,1.7255,0.6617,0.0388,0.0175,1.7699,0.3848,0.6256,1.6674,1.0257,2.7474,0.6267,1.6785,fuway,2010-08-17T03:19:08Z
