Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0009A;1187.700,NULL,1187.7,NULL,NULL,1187.7,NULL,NULL,C0009A;1192.700,NULL,1192.7,NULL,NULL,1192.7,C0009A-106SMW W,CKY000000000001943800,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:55:41Z,452,glass beaker,18.858,8.537,34.8451,18.641,15.9871,452,glass beaker,18.858,8.537,28.9971,12.8184,10.1391,6.0601,5.9181,4.1859,10.104,4.2814,0.2121,0.0955,9.927,0.3791,0.6105,1.5823,0.9825,2.3715,0.5857,1.4138,dboutt319,2009-07-06T05:26:04Z
NULL,NULL,C0009A;1192.700,NULL,1192.7,NULL,NULL,1192.7,NULL,NULL,C0009A;1197.700,NULL,1197.7,NULL,NULL,1197.7,C0009A-107SMW W,CKY000000000001943700,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:55:41Z,486,glass beaker,18.964,8.543,35.9424,18.9261,16.9784,486,glass beaker,18.964,8.543,30.0931,13.1023,11.1291,6.0615,5.9194,4.4637,10.3831,4.5593,0.2122,0.0956,10.9169,0.357,0.5552,1.6352,1.0514,2.4457,0.5701,1.3261,dboutt319,2009-07-06T05:26:04Z
NULL,NULL,C0009A;1197.700,NULL,1197.7,NULL,NULL,1197.7,NULL,NULL,C0009A;1202.700,NULL,1202.7,NULL,NULL,1202.7,C0009A-108SMW W,CKY000000000001943600,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:55:41Z,482,glass beaker,18.945,8.546,35.6614,18.888,16.7164,482,glass beaker,18.945,8.546,29.8968,13.1485,10.9518,5.9737,5.8337,4.5083,10.342,4.6025,0.2091,0.0942,10.7427,0.3574,0.5561,1.6164,1.0387,2.3829,0.5641,1.294,dboutt319,2009-07-06T05:26:04Z
NULL,NULL,C0009A;1197.700,NULL,1197.7,NULL,NULL,1197.7,NULL,NULL,C0009A;1202.700,NULL,1202.7,NULL,NULL,1202.7,C0009A-108SMW W,CKY000000000002045100,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:44Z,81,glass cell,17.689,8,43.1545,21.3872,25.4655,81,glass cell,17.689,8,37.1832,15.4419,19.4942,6.1879,6.0429,7.3443,13.3872,7.4419,0.2166,0.0976,19.2776,0.243,0.321,1.9022,1.44,2.6248,0.4514,0.8228,dboutt319,2009-07-19T06:04:55Z
NULL,NULL,C0009A;1197.700,NULL,1197.7,NULL,NULL,1197.7,NULL,NULL,C0009A;1202.700,NULL,1202.7,NULL,NULL,1202.7,C0009A-108SMW W,CKY000000000002045200,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:45Z,264,glass beaker,18.122,8.212,37.2303,19.5444,19.1083,264,glass beaker,18.122,8.212,31.0347,13.3758,12.9127,6.4203,6.2698,5.0626,11.3324,5.1638,0.2247,0.1012,12.688,0.336,0.506,1.6862,1.1196,2.5062,0.5533,1.2385,fuway,2009-07-23T03:02:07Z
NULL,NULL,C0009A;1202.700,NULL,1202.7,NULL,NULL,1202.7,NULL,NULL,C0009A;1207.700,NULL,1207.7,NULL,NULL,1207.7,C0009A-109SMW W,CKY000000000001943500,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:55:41Z,487,glass beaker,19.127,8.629,36.2514,18.9438,17.1244,487,glass beaker,19.127,8.629,30.3243,13.0425,11.1973,6.1421,5.9981,4.3167,10.3148,4.4135,0.215,0.0968,10.9823,0.3587,0.5593,1.6602,1.0647,2.5441,0.5815,1.3895,mailinh319,2009-07-05T23:00:51Z
NULL,NULL,C0009A;1207.700,NULL,1207.7,NULL,NULL,1207.7,NULL,NULL,C0009A;1212.700,NULL,1212.7,NULL,NULL,1212.7,C0009A-110SMW W,CKY000000000001943400,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:49:04Z,67,glass cell,17.182,7.835,33.4216,17.2624,16.2396,67,glass cell,17.182,7.835,28.2446,12.1079,11.0626,5.3648,5.2391,4.1883,9.4274,4.2729,0.1878,0.0846,10.8748,0.3304,0.4933,1.7226,1.1535,2.5965,0.5557,1.2509,mailinh319,2009-07-05T23:00:51Z
NULL,NULL,C0009A;1212.700,NULL,1212.7,NULL,NULL,1212.7,NULL,NULL,C0009A;1217.700,NULL,1217.7,NULL,NULL,1217.7,C0009A-111SMW W,CKY000000000001943300,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:49:04Z,479,glass beaker,18.904,8.492,38.6453,20.4063,19.7413,479,glass beaker,18.904,8.492,31.7607,13.5517,12.8567,7.1343,6.9671,4.9472,11.9143,5.0597,0.2497,0.1125,12.607,0.3614,0.5659,1.6569,1.0581,2.5483,0.5848,1.4083,mailinh319,2009-07-05T23:00:51Z
NULL,NULL,C0009A;1217.700,NULL,1217.7,NULL,NULL,1217.7,NULL,NULL,C0009A;1222.700,NULL,1222.7,NULL,NULL,1222.7,C0009A-112SMW W,CKY000000000001943200,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:49:04Z,451,glass beaker,18.673,8.384,38.5943,20.3562,19.9213,451,glass beaker,18.673,8.384,31.6155,13.4078,12.9425,7.2319,7.0624,4.9098,11.9722,5.0238,0.2531,0.114,12.6894,0.363,0.5699,1.664,1.0599,2.5845,0.5899,1.4384,mailinh319,2009-07-05T23:00:51Z
NULL,NULL,C0009A;1222.700,NULL,1222.7,NULL,NULL,1222.7,NULL,NULL,C0009A;1227.700,NULL,1227.7,NULL,NULL,1227.7,C0009A-114SMW W,CKY000000000001943100,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:49:04Z,481,glass beaker,18.86,8.505,41.2935,21.8836,22.4335,481,glass beaker,18.86,8.505,33.766,14.3889,14.906,7.8005,7.6177,5.7609,13.3786,5.8839,0.273,0.123,14.633,0.3477,0.5331,1.6768,1.0938,2.5401,0.5694,1.3223,mailinh319,2009-07-05T23:54:41Z
