Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0009A;1257.700,NULL,1257.7,NULL,NULL,1257.7,NULL,NULL,C0009A;1262.700,NULL,1262.7,NULL,NULL,1262.7,C0009A-121SMW W,CKY000000000001942400,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T15:10:08Z,285,glass beaker,18.215,8.207,35.2872,18.0761,17.0722,285,glass beaker,18.215,8.207,29.7154,12.5285,11.5004,5.7739,5.6386,4.2305,9.8691,4.3215,0.2021,0.091,11.2983,0.3382,0.511,1.7299,1.1448,2.6707,0.5713,1.3328,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1262.700,NULL,1262.7,NULL,NULL,1262.7,NULL,NULL,C0009A;1267.700,NULL,1267.7,NULL,NULL,1267.7,C0009A-122SMW W,CKY000000000001942300,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T14:56:24Z,283,glass beaker,18.151,8.227,38.9188,20.2629,20.7678,283,glass beaker,18.151,8.227,32.2853,13.6583,14.1343,6.8741,6.713,5.3229,12.0359,5.4313,0.2406,0.1084,13.8937,0.331,0.4948,1.7255,1.1544,2.6102,0.5577,1.2612,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1267.700,NULL,1267.7,NULL,NULL,1267.7,NULL,NULL,C0009A;1272.700,NULL,1272.7,NULL,NULL,1272.7,C0009A-123SMW W,CKY000000000001942200,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T14:44:00Z,209,glass beaker,18.809,8.544,38.9391,20.3531,20.1301,209,glass beaker,18.809,8.544,32.2235,13.6667,13.4145,6.9592,6.7961,5.013,11.8091,5.1227,0.2436,0.1097,13.1709,0.3457,0.5284,1.7046,1.1153,2.6273,0.5755,1.3557,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1267.700,NULL,1267.7,NULL,NULL,1267.7,NULL,NULL,C0009A;1272.700,NULL,1272.7,NULL,NULL,1272.7,C0009A-123SMW W,CKY000000000002045700,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:49Z,238,glass beaker,18.184,8.265,48.5082,23.9257,30.3242,238,glass beaker,18.184,8.265,41.6341,17.0816,23.4501,7.1234,6.9564,8.7043,15.6607,8.8166,0.2493,0.1123,23.2008,0.2349,0.307,1.9363,1.4815,2.6654,0.4442,0.7992,dboutt319,2009-07-19T06:14:55Z
NULL,NULL,C0009A;1267.700,NULL,1267.7,NULL,NULL,1267.7,NULL,NULL,C0009A;1272.700,NULL,1272.7,NULL,NULL,1272.7,C0009A-123SMW W,CKY000000000002045800,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:49Z,85,glass cell,17.461,7.889,50.1767,26.9198,32.7157,85,glass cell,17.461,7.889,39.5955,16.3847,22.1345,10.965,10.708,8.3228,19.0308,8.4957,0.3838,0.1729,21.7507,0.3352,0.5041,1.7191,1.1429,2.6134,0.5627,1.2866,fuway,2009-07-23T03:02:07Z
NULL,NULL,C0009A;1272.700,NULL,1272.7,NULL,NULL,1272.7,NULL,NULL,C0009A;1277.700,NULL,1277.7,NULL,NULL,1277.7,C0009A-124SMW W,CKY000000000001942100,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T14:34:24Z,69,glass cell,17.303,7.898,35.384,18.3746,18.081,69,glass cell,17.303,7.898,29.5079,12.5241,12.2049,6.0892,5.9465,4.5301,10.4766,4.6261,0.2131,0.096,11.9918,0.3368,0.5078,1.7258,1.1446,2.6471,0.5676,1.3127,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1277.700,NULL,1277.7,NULL,NULL,1277.7,NULL,NULL,C0009A;1282.700,NULL,1282.7,NULL,NULL,1282.7,C0009A-125SMW W,CKY000000000001942000,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T14:28:21Z,74,glass cell,17.282,7.818,35.9562,18.7452,18.6742,74,glass cell,17.282,7.818,29.8496,12.6652,12.5676,6.3281,6.1798,4.7474,10.9272,4.8472,0.2215,0.0998,12.3461,0.3389,0.5126,1.709,1.1299,2.6006,0.5655,1.3017,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1282.700,NULL,1282.7,NULL,NULL,1282.7,NULL,NULL,C0009A;1287.700,NULL,1287.7,NULL,NULL,1287.7,C0009A-126SMW W,CKY000000000001941800,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T13:55:27Z,232,glass beaker,18.58,8.457,37.9768,19.5924,19.3968,232,glass beaker,18.58,8.457,31.729,13.3718,13.149,6.4744,6.3227,4.8127,11.1354,4.9148,0.2266,0.1021,12.9224,0.3338,0.501,1.7419,1.1605,2.6851,0.5678,1.3138,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1287.700,NULL,1287.7,NULL,NULL,1287.7,NULL,NULL,C0009A;1292.700,NULL,1292.7,NULL,NULL,1292.7,C0009A-127SMW W,CKY000000000001941900,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T14:06:33Z,292,glass beaker,18.733,8.522,32.7735,16.5676,14.0405,292,glass beaker,18.733,8.522,28.2013,12.0153,9.4683,4.738,4.627,3.4186,8.0456,3.4933,0.1658,0.0747,9.3025,0.3375,0.5093,1.7451,1.1562,2.7211,0.5751,1.3535,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1292.700,NULL,1292.7,NULL,NULL,1292.7,NULL,NULL,C0009A;1297.700,NULL,1297.7,NULL,NULL,1297.7,C0009A-128SMW W,CKY000000000001941200,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T13:36:53Z,60,glass cell,17.281,7.851,41.835,21.3756,24.554,60,glass cell,17.281,7.851,34.871,14.4419,17.59,7.2166,7.0475,6.4771,13.5246,6.5909,0.2526,0.1138,17.3374,0.2939,0.4162,1.8155,1.2819,2.6767,0.5211,1.0881,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1292.700,NULL,1292.7,NULL,NULL,1292.7,NULL,NULL,C0009A;1297.700,NULL,1297.7,NULL,NULL,1297.7,C0009A-128SMW W,CKY000000000002045900,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:50Z,478,glass beaker,18.977,8.554,52.1664,25.9678,33.1894,478,glass beaker,18.977,8.554,44.5592,18.3938,25.5822,7.8831,7.6983,9.7155,17.4138,9.8398,0.2759,0.1243,25.3063,0.2375,0.3115,1.9059,1.4532,2.6047,0.4421,0.7924,dboutt319,2009-07-19T06:04:55Z
NULL,NULL,C0009A;1292.700,NULL,1292.7,NULL,NULL,1292.7,NULL,NULL,C0009A;1297.700,NULL,1297.7,NULL,NULL,1297.7,C0009A-128SMW W,CKY000000000002046000,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:51Z,209,glass beaker,18.809,8.544,49.271,25.7091,30.462,209,glass beaker,18.809,8.544,40.2986,16.7758,21.4896,9.2978,9.0799,8.0852,17.1651,8.2318,0.3254,0.1466,21.1642,0.3052,0.4393,1.7746,1.233,2.6176,0.529,1.123,fuway,2009-07-23T03:02:08Z
NULL,NULL,C0009A;1297.700,NULL,1297.7,NULL,NULL,1297.7,NULL,NULL,C0009A;1302.700,NULL,1302.7,NULL,NULL,1302.7,C0009A-129SMW W,CKY000000000001941100,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T13:26:38Z,250,glass beaker,18.031,8.116,45.0564,23.7196,27.0254,250,glass beaker,18.031,8.116,36.3509,15.052,18.3199,9.0212,8.8098,6.7938,15.6036,6.936,0.3157,0.1422,18.0042,0.3338,0.5011,1.732,1.1538,2.6501,0.5646,1.2967,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1302.700,NULL,1302.7,NULL,NULL,1302.7,NULL,NULL,C0009A;1307.700,NULL,1307.7,NULL,NULL,1307.7,C0009A-130SMW W,CKY000000000001941000,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T11:11:04Z,290,glass beaker,18.814,8.53,42.6824,22.4531,23.8684,290,glass beaker,18.814,8.53,34.8006,14.6056,15.9866,8.1677,7.9763,5.9468,13.9231,6.0756,0.2859,0.1288,15.7007,0.3422,0.5202,1.7143,1.1277,2.6402,0.5729,1.3413,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1307.700,NULL,1307.7,NULL,NULL,1307.7,NULL,NULL,C0009A;1312.700,NULL,1312.7,NULL,NULL,1312.7,C0009A-131SMW W,CKY000000000001940900,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T11:11:04Z,52,glass cell,17.249,7.834,38.9908,20.0758,21.7418,52,glass cell,17.249,7.834,32.5288,13.6419,15.2798,6.6964,6.5395,5.7023,12.2418,5.8079,0.2344,0.1056,15.0454,0.308,0.4451,1.776,1.229,2.6385,0.5342,1.1468,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1312.700,NULL,1312.7,NULL,NULL,1312.7,NULL,NULL,C0009A;1317.700,NULL,1317.7,NULL,NULL,1317.7,C0009A-132SMW W,CKY000000000001940800,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T11:11:04Z,246,glass beaker,18.63,8.475,40.168,20.4632,21.538,246,glass beaker,18.63,8.475,33.9023,14.2248,15.2723,6.493,6.3408,5.6474,11.9882,5.7498,0.2273,0.1024,15.045,0.3015,0.4316,1.7966,1.255,2.6641,0.5289,1.1228,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1317.700,NULL,1317.7,NULL,NULL,1317.7,NULL,NULL,C0009A;1322.700,NULL,1322.7,NULL,NULL,1322.7,C0009A-134SMW W,CKY000000000001940700,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T11:11:04Z,210,glass beaker,18.133,8.273,42.097,22.0329,23.964,210,glass beaker,18.133,8.273,34.4108,14.3802,16.2778,7.965,7.7783,5.9816,13.7599,6.1072,0.2788,0.1256,15.999,0.3324,0.4978,1.7416,1.1627,2.6747,0.5653,1.3004,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1317.700,NULL,1317.7,NULL,NULL,1317.7,NULL,NULL,C0009A;1322.700,NULL,1322.7,NULL,NULL,1322.7,C0009A-134SMW W,CKY000000000002046100,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:51Z,488,glass beaker,18.85,8.475,47.1302,23.1456,28.2802,488,glass beaker,18.85,8.475,40.853,16.8958,22.003,6.5049,6.3524,8.3182,14.6706,8.4208,0.2277,0.1026,21.7753,0.23,0.2987,1.9277,1.4843,2.6178,0.433,0.7637,dboutt319,2009-07-19T06:14:55Z
NULL,NULL,C0009A;1317.700,NULL,1317.7,NULL,NULL,1317.7,NULL,NULL,C0009A;1322.700,NULL,1322.7,NULL,NULL,1322.7,C0009A-134SMW W,CKY000000000002046200,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:52Z,455,glass beaker,18.828,8.467,44.4879,22.7262,25.6599,455,glass beaker,18.828,8.467,37.4317,15.7008,18.6037,7.3121,7.1407,7.1185,14.2592,7.2338,0.2559,0.1153,18.3478,0.285,0.3985,1.7995,1.2867,2.5775,0.5008,1.0031,fuway,2009-07-23T03:02:08Z
NULL,NULL,C0009A;1322.700,NULL,1322.7,NULL,NULL,1322.7,NULL,NULL,C0009A;1327.700,NULL,1327.7,NULL,NULL,1327.7,C0009A-135SMW W,CKY000000000001934000,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:22:00Z,450,glass beaker,18.963,8.577,42.6386,22.3799,23.6756,450,glass beaker,18.963,8.577,34.7514,14.5271,15.7884,8.1733,7.9817,5.8212,13.8029,5.9501,0.2861,0.1289,15.5023,0.3452,0.5272,1.7153,1.1231,2.6631,0.5783,1.3711,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1327.700,NULL,1327.7,NULL,NULL,1327.7,NULL,NULL,C0009A;1332.700,NULL,1332.7,NULL,NULL,1332.7,C0009A-136SMW W,CKY000000000001934100,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:15Z,459,glass beaker,19.08,8.596,36.2986,18.0372,17.2186,459,glass beaker,19.08,8.596,31.6638,13.4226,12.5838,4.8029,4.6903,4.7509,9.4412,4.8266,0.1681,0.0757,12.4157,0.2789,0.3868,1.8238,1.3151,2.6133,0.4968,0.9872,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1327.700,NULL,1327.7,NULL,NULL,1327.7,NULL,NULL,C0009A;1332.700,NULL,1332.7,NULL,NULL,1332.7,C0009A-136SMW W,CKY000000000001941300,PP,NULL,35,hiranos,Test for meas. >4mm,CKY,2009-07-04T13:49:55Z,299,glass beaker,18.29,8.228,39.4361,19.0177,21.1461,299,glass beaker,18.29,8.228,34.9038,14.5052,16.6138,4.6967,4.5866,6.2031,10.7897,6.2772,0.1644,0.0741,16.4494,0.2221,0.2855,1.9598,1.5245,2.6518,0.4251,0.7394,dboutt319,2009-07-05T12:22:29Z
NULL,NULL,C0009A;1332.700,NULL,1332.7,NULL,NULL,1332.7,NULL,NULL,C0009A;1337.700,NULL,1337.7,NULL,NULL,1337.7,C0009A-137SMW W,CKY000000000001934200,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:15Z,451,glass beaker,18.673,8.384,38.8679,19.5796,20.1949,451,glass beaker,18.673,8.384,33.1117,13.8485,14.4387,5.965,5.8252,5.3704,11.1956,5.4645,0.2088,0.0941,14.2299,0.2954,0.4192,1.8038,1.271,2.6497,0.5203,1.0847,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1337.700,NULL,1337.7,NULL,NULL,1337.7,NULL,NULL,C0009A;1342.700,NULL,1342.7,NULL,NULL,1342.7,C0009A-138SMW W,CKY000000000001934300,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:15Z,481,glass beaker,18.86,8.505,41.0969,20.8038,22.2369,481,glass beaker,18.86,8.505,34.8946,14.6285,16.0346,6.4273,6.2767,6.0221,12.2988,6.1235,0.225,0.1014,15.8096,0.289,0.4065,1.8081,1.2855,2.6253,0.5104,1.0423,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1337.700,NULL,1337.7,NULL,NULL,1337.7,NULL,NULL,C0009A;1342.700,NULL,1342.7,NULL,NULL,1342.7,C0009A-138SMW W,CKY000000000002046300,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:53Z,485,glass beaker,18.996,8.569,50.2263,24.3327,31.2303,485,glass beaker,18.996,8.569,44.0063,18.1398,25.0103,6.4456,6.2945,9.4692,15.7637,9.5708,0.2256,0.1016,24.7847,0.2064,0.2601,1.9812,1.5723,2.6174,0.3993,0.6647,dboutt319,2009-07-19T06:04:55Z
NULL,NULL,C0009A;1337.700,NULL,1337.7,NULL,NULL,1337.7,NULL,NULL,C0009A;1342.700,NULL,1342.7,NULL,NULL,1342.7,C0009A-138SMW W,CKY000000000002046400,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:53Z,450,glass beaker,18.963,8.577,43.4041,22.2155,24.4411,450,glass beaker,18.963,8.577,36.5007,15.3422,17.5377,7.1538,6.9861,6.6524,13.6385,6.7652,0.2504,0.1128,17.2873,0.2927,0.4138,1.7921,1.2675,2.5987,0.5122,1.0502,fuway,2009-07-23T03:02:08Z
NULL,NULL,C0009A;1342.700,NULL,1342.7,NULL,NULL,1342.7,NULL,NULL,C0009A;1347.700,NULL,1347.7,NULL,NULL,1347.7,C0009A-139SMW W,CKY000000000001934400,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:15Z,486,glass beaker,18.964,8.543,41.5446,21.5451,22.5806,486,glass beaker,18.964,8.543,34.3323,14.3642,15.3683,7.4739,7.2987,5.7034,13.0021,5.8212,0.2616,0.1178,15.1067,0.331,0.4947,1.7367,1.1619,2.6487,0.5613,1.2797,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1347.700,NULL,1347.7,NULL,NULL,1347.7,NULL,NULL,C0009A;1352.700,NULL,1352.7,NULL,NULL,1352.7,C0009A-140SMW W,CKY000000000001934500,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:15Z,487,glass beaker,19.127,8.629,42.2292,21.473,23.1022,487,glass beaker,19.127,8.629,35.6571,14.9295,16.5301,6.8105,6.6509,6.1931,12.844,6.3005,0.2384,0.1074,16.2917,0.2948,0.418,1.7987,1.2684,2.6306,0.5178,1.0739,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1352.700,NULL,1352.7,NULL,NULL,1352.7,NULL,NULL,C0009A;1357.700,NULL,1357.7,NULL,NULL,1357.7,C0009A-141SMW W,CKY000000000001934600,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:15Z,458,glass beaker,18.877,8.537,45.4014,22.7904,26.5244,458,glass beaker,18.877,8.537,38.4718,15.891,19.5948,7.1809,7.0126,7.2408,14.2534,7.354,0.2513,0.1132,19.3435,0.2707,0.3712,1.8609,1.3571,2.6715,0.492,0.9685,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1357.700,NULL,1357.7,NULL,NULL,1357.7,NULL,NULL,C0009A;1362.700,NULL,1362.7,NULL,NULL,1362.7,C0009A-142SMW W,CKY000000000001934700,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,461,glass beaker,19.13,8.664,40.1022,20.1073,20.9722,461,glass beaker,19.13,8.664,34.3894,14.4193,15.2594,5.92,5.7813,5.662,11.4433,5.7553,0.2072,0.0933,15.0522,0.2823,0.3933,1.8327,1.3154,2.6585,0.5052,1.0211,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1362.700,NULL,1362.7,NULL,NULL,1362.7,NULL,NULL,C0009A;1367.700,NULL,1367.7,NULL,NULL,1367.7,C0009A-143SMW W,CKY000000000001934800,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,480,glass beaker,19.067,8.609,41.0099,20.8788,21.9429,480,glass beaker,19.067,8.609,34.6566,14.5532,15.5896,6.5837,6.4294,5.8404,12.2698,5.9442,0.2304,0.1038,15.3592,0.3,0.4286,1.7884,1.2518,2.6298,0.524,1.1008,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1362.700,NULL,1362.7,NULL,NULL,1362.7,NULL,NULL,C0009A;1367.700,NULL,1367.7,NULL,NULL,1367.7,C0009A-143SMW W,CKY000000000002046500,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:54Z,227,glass beaker,18.078,8.28,48.3712,23.4772,30.2932,227,glass beaker,18.078,8.28,42.1374,17.2705,24.0594,6.4599,6.3085,8.8887,15.1972,8.9905,0.2261,0.1018,23.8333,0.2132,0.271,1.9933,1.5683,2.6813,0.4151,0.7097,dboutt319,2009-07-19T06:14:55Z
NULL,NULL,C0009A;1362.700,NULL,1362.7,NULL,NULL,1362.7,NULL,NULL,C0009A;1367.700,NULL,1367.7,NULL,NULL,1367.7,C0009A-143SMW W,CKY000000000002046600,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:55Z,303,glass beaker,18.138,8.193,45.7889,22.857,27.6509,303,glass beaker,18.138,8.193,39.1309,16.228,20.9929,6.8995,6.7378,7.9262,14.664,8.035,0.2415,0.1088,20.7514,0.2495,0.3325,1.8856,1.4151,2.6181,0.4595,0.8501,fuway,2009-07-23T03:02:08Z
NULL,NULL,C0009A;1367.700,NULL,1367.7,NULL,NULL,1367.7,NULL,NULL,C0009A;1372.700,NULL,1372.7,NULL,NULL,1372.7,C0009A-144SMW W,CKY000000000001934900,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,73,glass cell,16.784,7.56,39.055,20.0732,22.271,73,glass cell,16.784,7.56,32.437,13.484,15.653,6.858,6.6973,5.8159,12.5132,5.924,0.24,0.1081,15.413,0.3079,0.4449,1.7798,1.2317,2.6501,0.5352,1.1516,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1372.700,NULL,1372.7,NULL,NULL,1372.7,NULL,NULL,C0009A;1377.700,NULL,1377.7,NULL,NULL,1377.7,C0009A-145SMW W,CKY000000000001935000,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,485,glass beaker,18.996,8.569,43.7168,21.7443,24.7208,485,glass beaker,18.996,8.569,37.6002,15.6544,18.6042,6.3384,6.1898,6.9855,13.1753,7.0854,0.2218,0.0999,18.3824,0.2564,0.3448,1.8763,1.3952,2.6315,0.4698,0.8861,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1377.700,NULL,1377.7,NULL,NULL,1377.7,NULL,NULL,C0009A;1382.700,NULL,1382.7,NULL,NULL,1382.7,C0009A-146SMW W,CKY000000000001935100,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,488,glass beaker,18.85,8.475,43.6378,21.9288,24.7878,488,glass beaker,18.85,8.475,37.1053,15.4248,18.2553,6.7694,6.6107,6.8431,13.4538,6.9498,0.2369,0.1067,18.0184,0.2731,0.3757,1.8424,1.3393,2.6331,0.4914,0.966,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1377.700,NULL,1377.7,NULL,NULL,1377.7,NULL,NULL,C0009A;1382.700,NULL,1382.7,NULL,NULL,1382.7,C0009A-146SMW W,CKY000000000001941400,PP,NULL,35,hiranos,Test for meas. >4mm,CKY,2009-07-04T13:49:56Z,251,glass beaker,18.201,8.208,35.4778,17.3953,17.2768,251,glass beaker,18.201,8.208,31.2346,13.1706,13.0336,4.3971,4.294,4.8933,9.1873,4.9626,0.1539,0.0693,12.8797,0.2545,0.3414,1.8805,1.4019,2.6321,0.4674,0.8775,dboutt319,2009-07-05T12:22:29Z
NULL,NULL,C0009A;1382.700,NULL,1382.7,NULL,NULL,1382.7,NULL,NULL,C0009A;1387.700,NULL,1387.7,NULL,NULL,1387.7,C0009A-147SMW W,CKY000000000001935200,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,484,glass beaker,18.948,8.507,38.3861,19.4572,19.4381,484,glass beaker,18.948,8.507,32.5917,13.688,13.6437,6.0046,5.8639,5.0863,10.9502,5.181,0.2102,0.0947,13.4335,0.3089,0.447,1.7751,1.2268,2.6411,0.5355,1.1529,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1387.700,NULL,1387.7,NULL,NULL,1387.7,NULL,NULL,C0009A;1392.700,NULL,1392.7,NULL,NULL,1392.7,C0009A-148SMW W,CKY000000000001935300,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,489,glass beaker,19.063,8.59,40.5005,20.6675,21.4375,489,glass beaker,19.063,8.59,34.0386,14.2337,14.9756,6.6963,6.5394,5.5381,12.0775,5.6437,0.2344,0.1056,14.7412,0.3124,0.4543,1.775,1.2206,2.6618,0.5415,1.1808,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1387.700,NULL,1387.7,NULL,NULL,1387.7,NULL,NULL,C0009A;1392.700,NULL,1392.7,NULL,NULL,1392.7,C0009A-148SMW W,CKY000000000002046700,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:55Z,480,glass beaker,19.067,8.609,47.0381,22.8643,27.9711,480,glass beaker,19.067,8.609,41.0804,16.9325,22.0134,6.1738,6.0291,8.2262,14.2553,8.3235,0.2161,0.0973,21.7973,0.2207,0.2832,1.9622,1.5291,2.6497,0.4229,0.7329,dboutt319,2009-07-19T06:14:55Z
NULL,NULL,C0009A;1387.700,NULL,1387.7,NULL,NULL,1387.7,NULL,NULL,C0009A;1392.700,NULL,1392.7,NULL,NULL,1392.7,C0009A-148SMW W,CKY000000000002046800,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:56Z,457,glass beaker,19.101,8.608,48.8647,24.6506,29.7637,457,glass beaker,19.101,8.608,41.1778,16.9972,22.0768,7.9657,7.779,8.2636,16.0426,8.3892,0.2788,0.1256,21.798,0.2676,0.3654,1.8553,1.3588,2.6378,0.4849,0.9414,fuway,2009-07-23T03:02:08Z
NULL,NULL,C0009A;1392.700,NULL,1392.7,NULL,NULL,1392.7,NULL,NULL,C0009A;1397.700,NULL,1397.7,NULL,NULL,1397.7,C0009A-149SMW W,CKY000000000001935400,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,452,glass beaker,18.858,8.537,42.3881,21.1632,23.5301,452,glass beaker,18.858,8.537,36.2161,15.0181,17.3581,6.3959,6.246,6.3802,12.6262,6.4811,0.2239,0.1009,17.1342,0.2718,0.3733,1.8636,1.357,2.6855,0.4947,0.979,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1397.700,NULL,1397.7,NULL,NULL,1397.7,NULL,NULL,C0009A;1402.700,NULL,1402.7,NULL,NULL,1402.7,C0009A-150SMW W,CKY000000000001935500,PP,NULL,35,maedal,NULL,CKY,2009-07-02T20:28:16Z,457,glass beaker,19.101,8.608,40.1709,20.2447,21.0699,457,glass beaker,19.101,8.608,34.273,14.3725,15.172,6.1118,5.9686,5.6681,11.6367,5.7645,0.2139,0.0964,14.9581,0.2901,0.4086,1.8106,1.2854,2.639,0.5129,1.053,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1397.700,NULL,1397.7,NULL,NULL,1397.7,NULL,NULL,C0009A;1402.700,NULL,1402.7,NULL,NULL,1402.7,C0009A-150SMW W,CKY000000000002046900,PP,NULL,35,fuway,Test meas.1-4mm,CKY,2009-07-16T01:26:57Z,482,glass beaker,18.945,8.546,47.912,24.4731,28.967,482,glass beaker,18.945,8.546,39.8581,16.4543,20.9131,8.346,8.1504,7.7767,15.9271,7.9083,0.2921,0.1316,20.621,0.2881,0.4047,1.8187,1.2947,2.6516,0.5117,1.0481,fuway,2009-07-23T03:02:08Z
