Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0012C-1H-1, 49.0 cm",NULL,0.462,0.49,0.462,0.49,"C0012C-1H-1, 51.0 cm",NULL,0.481,0.51,0.481,0.51,"C0012C-1H-1 W, 49.0--51.0 cm",CKY000000000004690200,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,173,glass beaker,5.984,2.673,10.659,5.8615,4.675,173,glass beaker,5.984,2.673,8.3897,3.6021,2.4057,2.3516,2.2965,0.892,3.1885,0.9291,0.0823,0.0371,2.3234,0.503,1.0121,1.4662,0.7287,2.6047,0.7202,2.5746,kidoyo,2011-01-01T13:49:04Z
"C0012C-1H-1, 119.0 cm",NULL,1.122,1.19,1.122,1.19,"C0012C-1H-1, 121.0 cm",NULL,1.14,1.21,1.14,1.21,"C0012C-1H-1 W, 119.0--121.0 cm",CKY000000000004690300,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,411,glass beaker,6.29,2.825,10.841,5.9009,4.551,411,glass beaker,6.29,2.825,8.711,3.7801,2.421,2.2073,2.1556,0.9203,3.0759,0.9551,0.0773,0.0348,2.3437,0.485,0.9418,1.4796,0.762,2.5467,0.7008,2.3423,kidoyo,2011-01-01T13:49:04Z
"C0012C-1H-2, 39.0 cm",NULL,1.692,1.795,1.692,1.795,"C0012C-1H-2, 41.0 cm",NULL,1.711,1.815,1.711,1.815,"C0012C-1H-2 W, 39.0--41.0 cm",CKY000000000004690400,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,632,glass beaker,6.187,2.805,12.9745,7.3534,6.7875,632,glass beaker,6.187,2.805,9.8285,4.2211,3.6415,3.2601,3.1837,1.3647,4.5484,1.4161,0.1141,0.0514,3.5274,0.4803,0.9242,1.4923,0.7755,2.5847,0.7,2.3329,kidoyo,2011-01-01T13:49:04Z
"C0012C-1H-2, 90.0 cm",NULL,2.172,2.305,2.172,2.305,"C0012C-1H-2, 92.0 cm",NULL,2.191,2.325,2.191,2.325,"C0012C-1H-2 W, 90.0--92.0 cm",CKY000000000004690500,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,629,glass beaker,6.237,2.832,13.0174,7.7169,6.7804,629,glass beaker,6.237,2.832,9.9183,4.6313,3.6813,3.2115,3.1362,1.7487,4.8849,1.7993,0.1124,0.0506,3.5689,0.4736,0.8999,1.388,0.7306,2.0409,0.642,1.7934,kidoyo,2011-01-01T13:49:04Z
"C0012C-1H-3, 39.0 cm",NULL,3.006,3.19,3.006,3.19,"C0012C-1H-3, 41.0 cm",NULL,3.025,3.21,3.025,3.21,"C0012C-1H-3 W, 39.0--41.0 cm",CKY000000000004690000,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,13,glass beaker,4.51,2.012,9.1118,4.9015,4.6018,13,glass beaker,4.51,2.012,7.2252,3.0231,2.7152,1.955,1.9092,0.9803,2.8895,1.0111,0.0684,0.0308,2.6468,0.4248,0.7386,1.5926,0.916,2.7,0.6607,1.9476,kidoyo,2011-01-01T13:49:04Z
"C0012C-1H-3, 102.0 cm",NULL,3.6,3.82,3.6,3.82,"C0012C-1H-3, 104.0 cm",NULL,3.619,3.84,3.619,3.84,"C0012C-1H-3 W, 102.0--104.0 cm",CKY000000000004689900,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,8,glass beaker,4.555,2.039,11.5175,6.6371,6.9625,8,glass beaker,4.555,2.039,8.358,3.4913,3.803,3.2741,3.1974,1.4007,4.5981,1.4523,0.1146,0.0516,3.6884,0.4702,0.8877,1.5142,0.8022,2.6333,0.6954,2.2827,kidoyo,2011-01-01T13:49:04Z
"C0012C-1H-4, 11.5 cm",NULL,4.081,4.33,4.081,4.33,"C0012C-1H-4, 13.5 cm",NULL,4.1,4.35,4.1,4.35,"C0012C-1H-4 W, 11.5--13.5 cm",CKY000000000004690100,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,624,glass beaker,6.121,2.757,12.6514,6.987,6.5304,624,glass beaker,6.121,2.757,9.764,4.1122,3.643,2.9921,2.922,1.308,4.23,1.3552,0.1047,0.0472,3.5383,0.4582,0.8456,1.5438,0.8365,2.7051,0.6908,2.2339,kidoyo,2011-01-01T13:49:04Z
"C0012C-2H-1, 29.0 cm",NULL,4.774,4.79,4.774,4.79,"C0012C-2H-1, 31.0 cm",NULL,4.793,4.81,4.793,4.81,"C0012C-2H-1 W, 29.0--31.0 cm",CKY000000000004690600,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,166,glass beaker,6.106,2.721,13.3263,7.5358,7.2203,166,glass beaker,6.106,2.721,10.051,4.2747,3.945,3.3941,3.3146,1.5002,4.8148,1.5537,0.1188,0.0535,3.8262,0.4701,0.8871,1.4996,0.7947,2.5505,0.6884,2.2094,kidoyo,2011-01-01T13:49:04Z
"C0012C-2H-1, 105.0 cm",NULL,5.492,5.55,5.492,5.55,"C0012C-2H-1, 107.0 cm",NULL,5.51,5.57,5.51,5.57,"C0012C-2H-1 W, 105.0--107.0 cm",CKY000000000004690700,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,107,glass beaker,6.089,2.699,12.7236,7.1024,6.6346,107,glass beaker,6.089,2.699,9.705,4.0969,3.616,3.1281,3.0548,1.3486,4.4034,1.3979,0.1095,0.0493,3.5065,0.4715,0.8921,1.5067,0.7963,2.6001,0.6937,2.2652,kidoyo,2011-01-01T13:49:04Z
"C0012C-2H-2, 29.0 cm",NULL,6.11,6.205,6.11,6.205,"C0012C-2H-2, 31.0 cm",NULL,6.129,6.225,6.129,6.225,"C0012C-2H-2 W, 29.0--31.0 cm",CKY000000000004690900,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,195,glass beaker,6.067,2.73,12.3606,6.8149,6.2936,195,glass beaker,6.067,2.73,9.5652,4.0317,3.4982,2.8968,2.8289,1.256,4.0849,1.3017,0.1014,0.0457,3.3968,0.4603,0.8528,1.5407,0.8316,2.7045,0.6925,2.2523,kidoyo,2011-01-01T13:49:05Z
"C0012C-2H-2, 104.5 cm",NULL,6.823,6.96,6.823,6.96,"C0012C-2H-2, 106.5 cm",NULL,6.842,6.98,6.842,6.98,"C0012C-2H-2 W, 104.5--106.5 cm",CKY000000000004691000,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,204,glass beaker,6.057,2.704,12.139,6.679,6.082,204,glass beaker,6.057,2.704,9.4333,3.9851,3.3763,2.8038,2.7381,1.2369,3.975,1.2811,0.0981,0.0442,3.2782,0.461,0.8553,1.5301,0.8247,2.6503,0.6888,2.2137,kidoyo,2011-01-01T13:49:05Z
"C0012C-2H-3, 29.0 cm",NULL,7.437,7.61,7.437,7.61,"C0012C-2H-3, 31.0 cm",NULL,7.456,7.63,7.456,7.63,"C0012C-2H-3 W, 29.0--31.0 cm",CKY000000000004690800,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,638,glass beaker,6.13,2.739,12.18,6.5564,6.05,638,glass beaker,6.13,2.739,9.6732,4.0605,3.5432,2.5977,2.5368,1.2806,3.8174,1.3215,0.0909,0.0409,3.4523,0.4294,0.7525,1.5848,0.9044,2.6958,0.6645,1.9809,kidoyo,2011-01-01T13:49:04Z
"C0012C-2H-4, 28.0 cm",NULL,8.754,9.005,8.754,9.005,"C0012C-2H-4, 30.0 cm",NULL,8.773,9.025,8.773,9.025,"C0012C-2H-4 W, 28.0--30.0 cm",CKY000000000004691100,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,423,glass beaker,6.232,2.815,11.8434,6.3836,5.6114,423,glass beaker,6.232,2.815,9.4453,3.9959,3.2133,2.4851,2.4269,1.1417,3.5686,1.1809,0.087,0.0392,3.1263,0.4429,0.7949,1.5724,0.8761,2.7383,0.6801,2.1257,kidoyo,2011-01-01T13:49:05Z
"C0012C-2H-4, 74.0 cm",NULL,9.189,9.465,9.189,9.465,"C0012C-2H-4, 76.0 cm",NULL,9.208,9.485,9.208,9.485,"C0012C-2H-4 W, 74.0--76.0 cm",CKY000000000004691200,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,135,glass beaker,6.057,2.718,11.9825,6.5053,5.9255,135,glass beaker,6.057,2.718,9.4593,3.9931,3.4023,2.6147,2.5534,1.2339,3.7873,1.2751,0.0915,0.0412,3.3108,0.4413,0.7897,1.5646,0.8742,2.6832,0.6742,2.0694,kidoyo,2011-01-01T13:49:05Z
"C0012C-2H-5, 29.0 cm",NULL,10.1,10.43,10.1,10.43,"C0012C-2H-5, 31.0 cm",NULL,10.119,10.45,10.119,10.45,"C0012C-2H-5 W, 29.0--31.0 cm",CKY000000000004691300,PP,NULL,10,screaton333,NULL,CKY,2010-12-29T14:36:06Z,190,glass beaker,6.059,2.715,10.2111,5.351,4.1521,190,glass beaker,6.059,2.715,8.4276,3.5752,2.3686,1.8482,1.8049,0.8311,2.636,0.8602,0.0647,0.0291,2.3039,0.4451,0.8022,1.5752,0.874,2.7721,0.6847,2.1717,kidoyo,2011-01-01T13:49:05Z
