Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0017C-1H-1, 45.0 cm",NULL,18.733,18.75,18.733,18.75,"C0017C-1H-1, 47.0 cm",NULL,18.752,18.77,18.752,18.77,"C0017C-1H-1 W, 45.0--47.0 cm",CKY000000000003541200,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T14:59:44Z,427,glass beaker,6.344,2.867,12.5702,6.1749,6.2262,427,glass beaker,6.344,2.867,11.1509,4.7618,4.8069,1.4708,1.4363,1.8716,3.3079,1.8948,0.0515,0.0232,4.7554,0.2362,0.3093,1.8822,1.4376,2.5408,0.4342,0.7674,fuway,2010-09-29T07:07:11Z
"C0017C-1H-2, 101.0 cm",NULL,20.628,20.72,20.628,20.72,"C0017C-1H-2, 103.0 cm",NULL,20.647,20.74,20.647,20.74,"C0017C-1H-2 W, 101.0--103.0 cm",CKY000000000003541300,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T15:00:06Z,206,glass beaker,6.02,2.762,11.6678,5.9443,5.6478,206,glass beaker,6.02,2.762,9.9575,4.2414,3.9375,1.7723,1.7308,1.4515,3.1823,1.4794,0.062,0.0279,3.8755,0.3138,0.4573,1.7748,1.2178,2.67,0.5439,1.1924,fuway,2010-09-29T07:07:11Z
"C0017C-1H-3, 80.0 cm",NULL,21.778,21.915,21.778,21.915,"C0017C-1H-3, 82.0 cm",NULL,21.797,21.935,21.797,21.935,"C0017C-1H-3 W, 80.0--82.0 cm",CKY000000000003541400,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T15:00:30Z,199,glass beaker,6.017,2.706,11.1259,5.9042,5.1089,199,glass beaker,6.017,2.706,9.0105,3.798,2.9935,2.1921,2.1407,1.0575,3.1982,1.092,0.0767,0.0345,2.9168,0.4291,0.7515,1.5974,0.912,2.7582,0.6693,2.0243,fuway,2010-09-29T07:07:11Z
"C0017C-1H-4, 67.0 cm",NULL,23.009,23.195,23.009,23.195,"C0017C-1H-4, 69.0 cm",NULL,23.028,23.215,23.028,23.215,"C0017C-1H-4 W, 67.0--69.0 cm",CKY000000000003541500,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T15:00:49Z,192,glass beaker,5.93,2.665,12.5323,6.081,6.6023,192,glass beaker,5.93,2.665,11.0571,4.6122,5.1271,1.5287,1.4929,1.9231,3.416,1.9472,0.0535,0.0241,5.0736,0.2315,0.3013,1.9328,1.4852,2.6382,0.437,0.7763,fuway,2010-09-29T07:07:11Z
"C0017C-1H-5, 54.0 cm",NULL,24.241,24.475,24.241,24.475,"C0017C-1H-5, 56.0 cm",NULL,24.26,24.495,24.26,24.495,"C0017C-1H-5 W, 54.0--56.0 cm",CKY000000000003541600,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T15:01:09Z,417,glass beaker,6.171,2.771,11.8919,6.3709,5.7209,417,glass beaker,6.171,2.771,9.5425,4.0318,3.3715,2.4346,2.3775,1.2224,3.5999,1.2608,0.0852,0.0384,3.2863,0.4256,0.7408,1.5892,0.9129,2.6884,0.6604,1.9449,fuway,2010-09-29T07:07:11Z
"C0017C-1H-6, 29.0 cm",NULL,25.357,25.635,25.357,25.635,"C0017C-1H-6, 31.0 cm",NULL,25.376,25.655,25.376,25.655,"C0017C-1H-6 W, 29.0--31.0 cm",CKY000000000003541700,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T15:01:28Z,202,glass beaker,6.012,2.727,10.7975,5.8585,4.7855,202,glass beaker,6.012,2.727,8.5718,3.6426,2.5598,2.3064,2.2523,0.8792,3.1315,0.9156,0.0807,0.0364,2.4791,0.482,0.9303,1.5282,0.7917,2.8197,0.7192,2.5618,fuway,2010-09-29T07:07:11Z
"C0017C-1H-6, 99.0 cm",NULL,26.03,26.335,26.03,26.335,"C0017C-1H-6, 101.0 cm",NULL,26.049,26.355,26.049,26.355,"C0017C-1H-6 W, 99.0--101.0 cm",CKY000000000003541800,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T15:01:44Z,194,glass beaker,6.047,2.718,10.3936,5.7828,4.3466,194,glass beaker,6.047,2.718,8.0781,3.4773,2.0311,2.3995,2.3433,0.7215,3.0648,0.7593,0.084,0.0378,1.9471,0.552,1.2323,1.4182,0.6353,2.6987,0.7646,3.2478,fuway,2010-09-29T07:07:11Z
"C0017C-2H-1, 14.0 cm",NULL,27.94,27.94,27.94,27.94,"C0017C-2H-1, 16.0 cm",NULL,27.96,27.96,27.96,27.96,"C0017C-2H-1 W, 14.0--16.0 cm",CKY000000000003543400,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T17:33:59Z,121,glass beaker,6.077,2.741,12.721,6.2413,6.644,121,glass beaker,6.077,2.741,11.5219,5.0474,5.4449,1.2426,1.2135,2.2868,3.5003,2.3064,0.0435,0.0196,5.4014,0.187,0.2301,1.8981,1.5431,2.362,0.3467,0.5307,fuway,2010-09-29T07:07:11Z
"C0017C-2H-1, 121.0 cm",NULL,29.01,29.01,29.01,29.01,"C0017C-2H-1, 123.0 cm",NULL,29.03,29.03,29.03,29.03,"C0017C-2H-1 W, 121.0--123.0 cm",CKY000000000003543500,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T17:34:13Z,509,glass beaker,4.605,2.094,8.426,4.9732,3.821,509,glass beaker,4.605,2.094,6.1186,2.6758,1.5136,2.3911,2.3351,0.5441,2.8792,0.5818,0.0837,0.0377,1.4299,0.6258,1.6722,1.3271,0.4966,2.628,0.811,4.2917,fuway,2010-09-29T07:07:11Z
"C0017C-2H-2, 99.0 cm",NULL,30.19,30.19,30.19,30.19,"C0017C-2H-2, 101.0 cm",NULL,30.21,30.21,30.21,30.21,"C0017C-2H-2 W, 99.0--101.0 cm",CKY000000000003543600,PP,NULL,10,yuka331,NULL,CKY,2010-09-27T17:34:32Z,140,glass beaker,6.004,2.723,10.8014,5.9463,4.7974,140,glass beaker,6.004,2.723,8.4265,3.5818,2.4225,2.461,2.4033,0.82,3.2233,0.8588,0.0861,0.0388,2.3364,0.513,1.0533,1.4884,0.7248,2.8493,0.7456,2.9309,fuway,2010-09-29T07:07:11Z
