Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0006F-4R-1, 100.0 cm",NULL,424.5,424.5,424.5,424.5,"C0006F-4R-1, 102.0 cm",NULL,424.52,424.52,424.52,424.52,"C0006F-4R-1 W, 100.0--102.0 cm",CKY000000000001259800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T14:48:16Z,NULL,141,glass beaker,6.013,2.714,11.962,5.559261,5.949,141,glass beaker,6.013,2.714,10.874,4.476,4.861,1.127461,1.101036,1.744225,2.845261,1.762,0.03946117,0.0177753,4.821539,0.1895211,0.2338385,2.090845,1.694586,2.764288,0.386972,0.6312468,david_goldsby316,2008-01-14T13:57:54Z
"C0006F-4R-2, 33.0 cm",NULL,425.235,425.235,425.235,425.235,"C0006F-4R-2, 34.5 cm",NULL,425.25,425.25,425.25,425.25,"C0006F-4R-2 WR, 33.0--34.5 cm",CKY000000000001260200,PP,NULL,8,chesterf316,NULL,CKY,2008-01-09T14:59:21Z,NULL,27,glass cell,4.648,2.08,11.877,6.047275,7.229,27,glass cell,4.648,2.08,9.874,4.053,5.226,2.075648,2.027,1.940276,3.967275,1.973,0.07264772,0.0327242,5.153353,0.2871279,0.4027762,1.822157,1.298965,2.65599,0.5109299,1.044697,tsutsumi316,2008-01-11T22:28:14Z
"C0006F-5R-1, 12.0 cm",NULL,433.12,433.12,433.12,433.12,"C0006F-5R-1, 13.0 cm",NULL,433.13,433.13,433.13,433.13,"C0006F-5R-1 W, 12.0--13.0 cm",CKY000000000001298000,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:17Z,NULL,4,glass cell,4.67,2.076,12.177,6.036979,7.507,4,glass cell,4.67,2.076,10.565,4.432,5.895,1.670466,1.631315,2.329664,3.960979,2.356,0.05846637,0.0263362,5.836534,0.2225212,0.2862086,1.895239,1.473508,2.505312,0.4118464,0.7002361,tsutsumi316,2008-01-11T22:28:15Z
"C0006F-5R-1, 78.0 cm",NULL,433.78,433.78,433.78,433.78,"C0006F-5R-1, 79.0 cm",NULL,433.79,433.79,433.79,433.79,"C0006F-5R-1 W, 78.0--79.0 cm",CKY000000000001298100,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:17Z,NULL,187,glass beaker,6.12,2.752,12.352,5.774126,6.232,187,glass beaker,6.12,2.752,11.233,4.66,5.113,1.159586,1.132408,1.889718,3.022126,1.908,0.04058552,0.01828177,5.072415,0.1860696,0.2286062,2.062125,1.678426,2.684217,0.3747057,0.5992468,tsutsumi316,2008-01-11T22:28:15Z
"C0006F-5R-1, 117.0 cm",NULL,434.17,434.17,434.17,434.17,"C0006F-5R-1, 118.5 cm",NULL,434.185,434.185,434.185,434.185,"C0006F-5R-1 WR, 117.0--118.5 cm",CKY000000000001260700,PP,NULL,8,chesterf316,integrated over length,CKY,2008-01-09T15:02:12Z,NULL,205,glass beaker,6.087,2.728,11.562,5.518769,5.475,205,glass beaker,6.087,2.728,10.361,4.323,4.274,1.24456,1.21539,1.575379,2.790769,1.595,0.04355962,0.01962145,4.23044,0.2273168,0.2941915,1.961825,1.515869,2.685349,0.4355037,0.7714909,tsutsumi316,2008-01-11T22:28:14Z
"C0006F-6R-1, 24.0 cm",NULL,438.24,438.24,438.24,438.24,"C0006F-6R-1, 26.0 cm",NULL,438.26,438.26,438.26,438.26,"C0006F-6R-1 W, 24.0--26.0 cm",CKY000000000001298200,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:17Z,NULL,203,glass beaker,6.041,2.699,12.579,5.955063,6.538,203,glass beaker,6.041,2.699,11.216,4.598,5.175,1.412435,1.379331,1.876732,3.256063,1.899,0.04943527,0.02226814,5.125565,0.2160348,0.2755668,2.007946,1.57416,2.731112,0.4236193,0.7349645,tsutsumi316,2008-01-11T22:28:15Z
"C0006F-6R-1, 106.0 cm",NULL,439.06,439.06,439.06,439.06,"C0006F-6R-1, 108.0 cm",NULL,439.08,439.08,439.08,439.08,"C0006F-6R-1 W, 106.0--108.0 cm",CKY000000000001298300,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:18Z,NULL,119,glass beaker,6.098,2.792,12.632,6.144804,6.534,119,glass beaker,6.098,2.792,10.98,4.5,4.882,1.711917,1.671794,1.68101,3.352804,1.708,0.05991714,0.0269897,4.822083,0.2620014,0.3550161,1.948816,1.438224,2.868562,0.4986256,0.9945174,tsutsumi316,2008-01-11T22:28:16Z
"C0006F-6R-1, 120.0 cm",NULL,439.2,439.2,439.2,439.2,"C0006F-6R-1, 121.5 cm",NULL,439.215,439.215,439.215,439.215,"C0006F-6R-1 WR, 120.0--121.5 cm",CKY000000000001261200,PP,NULL,8,chesterf316,Integrated over length,CKY,2008-01-09T15:04:22Z,NULL,174,glass beaker,6.02,2.725,12.063,5.755399,6.043,174,glass beaker,6.02,2.725,10.777,4.475,4.757,1.332643,1.301409,1.72899,3.030399,1.75,0.04664252,0.02101015,4.710357,0.2205266,0.2829175,1.994127,1.554369,2.724341,0.4294513,0.7526988,tsutsumi316,2008-01-11T22:28:14Z
"C0006F-7R-1, 23.0 cm",NULL,447.73,447.73,447.73,447.73,"C0006F-7R-1, 25.0 cm",NULL,447.75,447.75,447.75,447.75,"C0006F-7R-1 W, 23.0--25.0 cm",CKY000000000001298400,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:18Z,NULL,13,glass cell,4.522,2.05,10.297,4.953669,5.775,13,glass cell,4.522,2.05,9.073,3.735,4.551,1.268394,1.238666,1.665003,2.903669,1.685,0.04439382,0.01999721,4.506606,0.2196353,0.2814521,1.988863,1.552039,2.706666,0.4265865,0.7439422,tsutsumi316,2008-01-11T22:28:16Z
"C0006F-7R-1, 90.0 cm",NULL,448.4,448.4,448.4,448.4,"C0006F-7R-1, 91.5 cm",NULL,448.415,448.415,448.415,448.415,"C0006F-7R-1 WR, 90.0--91.5 cm",CKY000000000001262200,PP,NULL,8,arito316,NULL,CKY,2008-01-09T15:51:22Z,NULL,143,glass beaker,5.963,2.679,14.631,7.544488,8.668,143,glass beaker,5.963,2.679,11.988,4.913,6.025,2.73886,2.674668,2.19082,4.865488,2.234,0.09586018,0.04318026,5.92914,0.3159737,0.4619321,1.781527,1.218612,2.706357,0.5497225,1.220853,tsutsumi316,2008-01-11T22:28:13Z
"C0006F-7R-2, 27.0 cm",NULL,449.18,449.18,449.18,449.18,"C0006F-7R-2, 30.0 cm",NULL,449.21,449.21,449.21,449.21,"C0006F-7R-2 W, 27.0--30.0 cm",CKY000000000001298500,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:18Z,NULL,129,glass beaker,6.074,2.747,12.246,5.977754,6.172,129,glass beaker,6.074,2.747,10.812,4.55,4.738,1.48601,1.451182,1.779572,3.230754,1.803,0.0520104,0.02342811,4.68599,0.2407664,0.3171177,1.91039,1.450432,2.633212,0.4491775,0.8154669,tsutsumi316,2008-01-11T22:28:16Z
"C0006F-7R-CC, 23.0 cm",NULL,449.9,449.9,449.9,449.9,"C0006F-7R-CC, 25.0 cm",NULL,449.92,449.92,449.92,449.92,"C0006F-7R-CC W, 23.0--25.0 cm",CKY000000000001298600,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-11T02:19:19Z,NULL,126,glass beaker,6.042,2.703,12.767,6.162384,6.725,126,glass beaker,6.042,2.703,11.248,4.65,5.206,1.574093,1.5372,1.922183,3.459384,1.947,0.05509331,0.0248168,5.150907,0.2340659,0.3055954,1.943988,1.488967,2.679717,0.4443567,0.7997159,tsutsumi316,2008-01-11T22:28:16Z
"C0006F-8R-1, 12.5 cm",NULL,457.125,457.125,457.125,457.125,"C0006F-8R-1, 14.0 cm",NULL,457.14,457.14,457.14,457.14,"C0006F-8R-1 WR, 12.5--14.0 cm",CKY000000000001269300,PP,NULL,8,arito316,NULL,CKY,2008-01-09T23:59:28Z,NULL,3,glass beaker,4.512,2.03,11.704,5.6392,7.192,3,glass beaker,4.512,2.03,10.153,4.095,5.641,1.6073,1.5696,2.0396,3.6092,2.065,0.0563,0.0254,5.5847,0.2235,0.2878,1.9927,1.5474,2.7381,0.4349,0.7696,fujikit,2010-08-10T11:47:45Z
"C0006F-8R-1, 30.0 cm",NULL,457.3,457.3,457.3,457.3,"C0006F-8R-1, 32.0 cm",NULL,457.32,457.32,457.32,457.32,"C0006F-8R-1 W, 30.0--32.0 cm",CKY000000000001274800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T06:53:46Z,NULL,139,glass beaker,6.097,2.688,11.079,5.14774,4.982,139,glass beaker,6.097,2.688,10.101,4.174,4.004,1.013472,0.9897182,1.470022,2.45974,1.486,0.03547153,0.01597817,3.968528,0.2034266,0.2553772,2.025417,1.613393,2.699639,0.402367,0.6732677,david_goldsby316,2008-01-14T13:57:55Z
"C0006F-8R-1, 91.0 cm",NULL,457.91,457.91,457.91,457.91,"C0006F-8R-1, 93.0 cm",NULL,457.93,457.93,457.93,457.93,"C0006F-8R-1 W, 91.0--93.0 cm",CKY000000000001274900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T06:53:46Z,NULL,151,glass beaker,5.999,2.718,9.403,4.379986,3.404,151,glass beaker,5.999,2.718,8.711,3.691,2.712,0.7170985,0.7002914,0.9616944,1.661986,0.973,0.02509847,0.01130561,2.686901,0.2106635,0.2668868,2.048152,1.616681,2.793924,0.4213582,0.728185,david_goldsby316,2008-01-14T13:57:55Z
"C0006F-8R-1, 103.0 cm",NULL,458.03,458.03,458.03,458.03,"C0006F-8R-1, 104.5 cm",NULL,458.045,458.045,458.045,458.045,"C0006F-8R-1 WR, 103.0--104.5 cm",CKY000000000001264100,PP,NULL,8,arito316,NULL,CKY,2008-01-09T19:32:41Z,NULL,137,glass beaker,6.089,2.707,14.107,7.355601,8.018,137,glass beaker,6.089,2.707,11.49,4.75,5.401,2.711917,2.648356,2.000245,4.648601,2.043,0.09491717,0.04275548,5.306083,0.3382286,0.5110959,1.72482,1.141436,2.652717,0.5697104,1.324016,tsutsumi316,2008-01-11T22:28:18Z
"C0006F-8R-2, 23.0 cm",NULL,458.64,458.64,458.64,458.64,"C0006F-8R-2, 25.0 cm",NULL,458.66,458.66,458.66,458.66,"C0006F-8R-2 W, 23.0--25.0 cm",CKY000000000001275000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T06:53:46Z,NULL,198,glass beaker,6.067,2.732,10.096,4.694367,4.029,198,glass beaker,6.067,2.732,9.262,3.864,3.195,0.8642487,0.8439929,1.118374,1.962367,1.132,0.03024873,0.01362555,3.164751,0.214507,0.2730858,2.053132,1.612721,2.829778,0.4300891,0.7546604,david_goldsby316,2008-01-14T13:57:55Z
"C0006F-8R-2, 42.5 cm",NULL,458.835,458.835,458.835,458.835,"C0006F-8R-2, 44.0 cm",NULL,458.85,458.85,458.85,458.85,"C0006F-8R-2 WR, 42.5--44.0 cm",CKY000000000001264500,PP,NULL,8,arito316,NULL,CKY,2008-01-09T19:32:42Z,NULL,202,glass beaker,6.017,2.685,11.791,5.706867,5.774,202,glass beaker,6.017,2.685,10.383,4.305,4.366,1.459067,1.42487,1.596997,3.021867,1.62,0.0510674,0.02300333,4.314932,0.2526961,0.3381437,1.910739,1.427903,2.701904,0.4715199,0.8922188,tsutsumi316,2008-01-11T22:28:18Z
"C0006F-9R-1, 20.0 cm",NULL,466.7,466.7,466.7,466.7,"C0006F-9R-1, 22.0 cm",NULL,466.72,466.72,466.72,466.72,"C0006F-9R-1 W, 20.0--22.0 cm",CKY000000000001281400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T12:46:27Z,NULL,167,glass beaker,6.068,2.721,11.54,5.608155,5.472,167,glass beaker,6.068,2.721,10.198,4.272,4.13,1.390674,1.35808,1.529075,2.887155,1.551,0.04867361,0.02192505,4.081327,0.2541436,0.3407406,1.895292,1.413616,2.669147,0.4703869,0.8881707,david_goldsby316,2008-01-14T13:57:51Z
"C0006F-9R-1, 53.5 cm",NULL,467.035,467.035,467.035,467.035,"C0006F-9R-1, 55.0 cm",NULL,467.05,467.05,467.05,467.05,"C0006F-9R-1 WR, 53.5--55.0 cm",CKY000000000001267500,PP,NULL,8,arito316,NULL,CKY,2008-01-09T22:05:45Z,NULL,26,glass cell,4.589,2.068,11.919,6.07828,7.33,26,glass cell,4.589,2.068,9.917,4.085,5.328,2.074611,2.025988,1.984292,4.01028,2.017,0.07261146,0.03270786,5.255388,0.2830302,0.3947589,1.827803,1.310479,2.648495,0.5051986,1.021013,tsutsumi316,2008-01-11T22:28:17Z
"C0006F-9R-1, 105.5 cm",NULL,467.555,467.555,467.555,467.555,"C0006F-9R-1, 106.0 cm",NULL,467.56,467.56,467.56,467.56,"C0006F-9R-1 WR, 105.5--106.0 cm",CKY000000000001267900,PP,NULL,8,arito316,NULL,CKY,2008-01-09T22:27:09Z,NULL,24,glass cell,4.638,2.026,11.591,5.659375,6.953,24,glass cell,4.638,2.026,10.07,4.145,5.432,1.576166,1.539224,2.094151,3.633375,2.119,0.05516585,0.02484948,5.376834,0.2266886,0.2931401,1.913648,1.479846,2.567549,0.4236349,0.7350113,tsutsumi316,2008-01-11T22:28:17Z
"C0006F-9R-2, 41.5 cm",NULL,468.415,468.415,468.415,468.415,"C0006F-9R-2, 43.0 cm",NULL,468.43,468.43,468.43,468.43,"C0006F-9R-2 WR, 41.5--43.0 cm",CKY000000000001272000,PP,NULL,8,arito316,NULL,CKY,2008-01-10T02:20:58Z,NULL,16,glass cell,4.613,2.072,12.606,6.595906,7.993,16,glass cell,4.613,2.072,10.059,4.06,5.446,2.639378,2.577518,1.946388,4.523906,1.988,0.09237831,0.04161185,5.353622,0.3302112,0.493008,1.766836,1.183407,2.750542,0.5697549,1.324257,tsutsumi316,2008-01-11T22:28:19Z
"C0006F-9R-2, 53.0 cm",NULL,468.53,468.53,468.53,468.53,"C0006F-9R-2, 56.0 cm",NULL,468.56,468.56,468.56,468.56,"C0006F-9R-2 W, 53.0--56.0 cm",CKY000000000001281500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T12:46:27Z,NULL,200,glass beaker,6.013,2.72,10.756,5.170856,4.743,200,glass beaker,6.013,2.72,9.575,3.995,3.562,1.223834,1.195151,1.255705,2.450856,1.275,0.04283423,0.0192947,3.519166,0.2580296,0.3477626,1.935242,1.435893,2.802541,0.4876462,0.9517763,david_goldsby316,2008-01-14T13:57:51Z
"C0006F-10R-1, 27.5 cm",NULL,476.275,476.275,476.275,476.275,"C0006F-10R-1, 29.0 cm",NULL,476.29,476.29,476.29,476.29,"C0006F-10R-1 WR, 27.5--29.0 cm",CKY000000000001276000,PP,NULL,8,chesterf316,NULL,CKY,2008-01-10T08:14:25Z,NULL,165,glass beaker,5.978,2.651,9.909,4.713653,3.931,165,glass beaker,5.978,2.651,8.911,3.72,2.933,1.034197,1.009958,1.052695,2.062653,1.069,0.03619692,0.01630492,2.896803,0.2630875,0.3570132,1.905798,1.404406,2.751797,0.4896402,0.9594021,david_goldsby316,2008-01-14T13:57:51Z
"C0006F-10R-1, 95.0 cm",NULL,476.95,476.95,476.95,476.95,"C0006F-10R-1, 97.0 cm",NULL,476.97,476.97,476.97,476.97,"C0006F-10R-1 W, 95.0--97.0 cm",CKY000000000001280800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T12:42:53Z,NULL,130,glass beaker,6.116,2.721,10.628,5.014026,4.512,130,glass beaker,6.116,2.721,9.486,3.877,3.37,1.18342,1.155683,1.137342,2.293026,1.156,0.04141972,0.01865753,3.32858,0.2622827,0.3555329,1.967706,1.45161,2.92663,0.5039993,1.016126,david_goldsby316,2008-01-14T13:57:50Z
"C0006F-10R-1, 124.5 cm",NULL,477.245,477.245,477.245,477.245,"C0006F-10R-1, 126.0 cm",NULL,477.26,477.26,477.26,477.26,"C0006F-10R-1 WR, 124.5--126.0 cm",CKY000000000001271300,PP,NULL,8,arito316,NULL,CKY,2008-01-10T01:16:27Z,NULL,37,glass cell,4.613,2.084,10.678,5.288575,6.065,37,glass cell,4.613,2.084,9.203,3.82,4.59,1.528497,1.492673,1.711902,3.204575,1.736,0.05349745,0.02409795,4.536503,0.2520194,0.336933,1.892607,1.415633,2.649978,0.4657944,0.8719385,tsutsumi316,2008-01-11T22:28:17Z
"C0006F-10R-2, 20.0 cm",NULL,477.71,477.71,477.71,477.71,"C0006F-10R-2, 22.0 cm",NULL,477.73,477.73,477.73,477.73,"C0006F-10R-2 W, 20.0--22.0 cm",CKY000000000001280900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T12:42:53Z,NULL,110,glass beaker,5.992,2.65,10.601,5.083791,4.609,110,glass beaker,5.992,2.65,9.405,3.893,3.413,1.239378,1.21033,1.22346,2.433791,1.243,0.04337827,0.01953976,3.369622,0.2689039,0.3678093,1.893754,1.384516,2.754173,0.4973026,0.9892682,david_goldsby316,2008-01-14T13:57:50Z
"C0006F-11R-1, 36.0 cm",NULL,485.86,485.86,485.86,485.86,"C0006F-11R-1, 38.0 cm",NULL,485.88,485.88,485.88,485.88,"C0006F-11R-1 W, 36.0--38.0 cm",CKY000000000001284800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-10T15:01:35Z,NULL,135,glass beaker,6.058,2.7,10.489,5.0023,4.431,135,glass beaker,6.058,2.7,9.413,3.931,3.355,1.115,1.0889,1.2134,2.3023,1.231,0.039,0.0176,3.316,0.2516,0.3362,1.9246,1.4403,2.7328,0.473,0.8974,fujikit,2010-08-10T11:47:44Z
