Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0006F-1R-1, 6.0 cm",NULL,395.06,395.06,395.06,395.06,"C0006F-1R-1, 8.0 cm",NULL,395.08,395.08,395.08,395.08,"C0006F-1R-1 W, 6.0--8.0 cm",CKY000000000001252400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T04:11:46Z,NULL,180,glass beaker,6.067,2.748,11.863,5.494505,5.796,180,glass beaker,6.067,2.748,10.831,4.467,4.764,1.06943,1.044365,1.70214,2.746505,1.719,0.03743008,0.0168604,4.72657,0.1845117,0.2262592,2.110319,1.72094,2.77684,0.3802525,0.6135603,david_goldsby316,2008-01-14T13:57:53Z
"C0006F-1R-1, 104.0 cm",NULL,396.04,396.04,396.04,396.04,"C0006F-1R-1, 105.0 cm",NULL,396.05,396.05,396.05,396.05,"C0006F-1R-1 W, 104.0--105.0 cm",CKY000000000001252500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T04:11:46Z,NULL,118,glass beaker,5.99,2.716,11.811,5.457426,5.821,118,glass beaker,5.99,2.716,10.761,4.412,4.771,1.088083,1.062581,1.678846,2.741426,1.696,0.03808293,0.01715447,4.732917,0.1869237,0.2298969,2.123347,1.726443,2.81915,0.3876015,0.6329236,david_goldsby316,2008-01-14T13:57:53Z
"C0006F-1R-2, 23.0 cm",NULL,396.635,396.635,396.635,396.635,"C0006F-1R-2, 25.0 cm",NULL,396.655,396.655,396.655,396.655,"C0006F-1R-2 WR, 23.0--25.0 cm",CKY000000000001252600,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T04:11:46Z,NULL,175,glass beaker,6.139,2.807,11.317,5.25971,5.178,175,glass beaker,6.139,2.807,10.332,4.279,4.193,1.020725,0.9968021,1.455907,2.45271,1.472,0.03572542,0.01609253,4.157275,0.1971273,0.2455275,2.111135,1.694972,2.855453,0.4064085,0.6846603,david_goldsby316,2008-01-14T13:57:53Z
"C0006F-2R-1, 20.0 cm",NULL,404.7,404.7,404.7,404.7,"C0006F-2R-1, 22.0 cm",NULL,404.72,404.72,404.72,404.72,"C0006F-2R-1 W, 20.0--22.0 cm",CKY000000000001254800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T08:40:25Z,NULL,157,glass beaker,6.049,2.679,11.407,5.237071,5.358,157,glass beaker,6.049,2.679,10.505,4.339,4.456,0.9347151,0.9128076,1.645263,2.558071,1.66,0.03271505,0.01473651,4.423285,0.1744522,0.2113169,2.094547,1.729149,2.688497,0.3568343,0.5548094,david_goldsby316,2008-01-14T13:57:52Z
"C0006F-2R-2, 0.0 cm",NULL,405.52,405.52,405.52,405.52,"C0006F-2R-2, 1.5 cm",NULL,405.535,405.535,405.535,405.535,"C0006F-2R-2 WR, 0.0--1.5 cm",CKY000000000001251000,PP,NULL,8,arito316,NULL,CKY,2008-01-08T22:38:59Z,NULL,17,glass cell,4.589,2.052,15.041,7.191605,10.452,17,glass cell,4.589,2.052,12.884,5.044,8.295,2.235233,2.182845,2.95676,5.139605,2.992,0.07823322,0.03524019,8.216767,0.213857,0.2720332,2.033619,1.598716,2.778977,0.4247107,0.7382557,tsutsumi316,2008-01-11T22:28:13Z
"C0006F-2R-3, 44.0 cm",NULL,406.35,406.35,406.35,406.35,"C0006F-2R-3, 46.0 cm",NULL,406.37,406.37,406.37,406.37,"C0006F-2R-3 W, 44.0--46.0 cm",CKY000000000001254900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T08:40:26Z,NULL,144,glass beaker,6.092,2.717,12.011,5.576618,5.919,144,glass beaker,6.092,2.717,11.005,4.575,4.913,1.042487,1.018054,1.841564,2.859618,1.858,0.03648707,0.01643562,4.876513,0.1761255,0.2137772,2.069857,1.705302,2.648027,0.3560104,0.5528201,david_goldsby316,2008-01-14T13:57:53Z
"C0006F-3R-1, 0.0 cm",NULL,414,414,414,414,"C0006F-3R-1, 1.5 cm",NULL,414.015,414.015,414.015,414.015,"C0006F-3R-1 WR, 0.0--1.5 cm",CKY000000000001252000,PP,NULL,8,arito316,NULL,CKY,2008-01-09T02:20:31Z,NULL,179,glass beaker,6.039,2.697,13.194,6.140629,7.155,179,glass beaker,6.039,2.697,11.961,4.913,5.922,1.27772,1.247774,2.195856,3.443629,2.216,0.04472024,0.02014425,5.87728,0.1785773,0.2173999,2.07775,1.706711,2.676533,0.3623426,0.5682402,tsutsumi316,2008-01-11T22:28:13Z
"C0006F-3R-2, 20.0 cm",NULL,414.59,414.59,414.59,414.59,"C0006F-3R-2, 22.0 cm",NULL,414.61,414.61,414.61,414.61,"C0006F-3R-2 W, 20.0--22.0 cm",CKY000000000001251600,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T02:20:25Z,NULL,108,glass beaker,6.035,2.701,11.297,5.262457,5.262,108,glass beaker,6.035,2.701,10.254,4.224,4.219,1.080829,1.055497,1.50596,2.561457,1.523,0.03782904,0.01704011,4.181171,0.2054027,0.2584991,2.0543,1.632341,2.776416,0.412069,0.7008799,david_goldsby316,2008-01-14T13:57:54Z
"C0006F-3R-2, 71.0 cm",NULL,415.1,415.1,415.1,415.1,"C0006F-3R-2, 73.0 cm",NULL,415.12,415.12,415.12,415.12,"C0006F-3R-2 W, 71.0--73.0 cm",CKY000000000001257200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T13:20:34Z,NULL,169,glass beaker,6.051,2.751,11.873,5.53237,5.822,169,glass beaker,6.051,2.751,10.81,4.474,4.759,1.101554,1.075737,1.705633,2.78137,1.723,0.03855443,0.01736686,4.720445,0.1892055,0.2333582,2.093213,1.697166,2.767562,0.3867651,0.6306964,david_goldsby316,2008-01-14T13:57:54Z
"C0006F-4R-1, 20.0 cm",NULL,423.7,423.7,423.7,423.7,"C0006F-4R-1, 22.0 cm",NULL,423.72,423.72,423.72,423.72,"C0006F-4R-1 W, 20.0--22.0 cm",CKY000000000001259700,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-09T14:47:43Z,NULL,107,glass beaker,6.084,2.677,10.482,4.80465,4.398,107,glass beaker,6.084,2.677,9.713,4.039,3.629,0.7968912,0.778214,1.349436,2.12765,1.362,0.02789121,0.01256361,3.601109,0.181194,0.2212905,2.067069,1.692528,2.668602,0.3657622,0.5766956,david_goldsby316,2008-01-14T13:57:54Z
