Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0013F-1H-2, 60.0 cm",NULL,0.669,0.785,0.669,0.785,"C0013F-1H-2, 62.0 cm",NULL,0.686,0.805,0.686,0.805,"C0013F-1H-2 W, 60.0--62.0 cm",CKY000000000003462700,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T09:47:22Z,425,glass beaker,6.259,2.81,15.4949,8.4812,9.2359,425,glass beaker,6.259,2.81,11.9018,4.9038,5.6428,3.7234,3.6361,2.0351,5.6712,2.0938,0.1303,0.0587,5.5125,0.4031,0.6754,1.6286,0.972,2.7087,0.6412,1.7867,fuway,2010-09-26T11:37:49Z
"C0013F-1H-3, 11.0 cm",NULL,1.103,1.295,1.103,1.295,"C0013F-1H-3, 13.0 cm",NULL,1.12,1.315,1.12,1.315,"C0013F-1H-3 W, 11.0--13.0 cm",CKY000000000003462800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T09:47:45Z,148,glass beaker,6.087,2.743,11.4695,5.6737,5.3825,148,glass beaker,6.087,2.743,9.8323,4.0437,3.7453,1.6966,1.6568,1.2739,2.9307,1.3007,0.0594,0.0268,3.6859,0.3152,0.4603,1.8366,1.2577,2.8934,0.5653,1.3006,fuway,2010-09-26T11:37:49Z
"C0013F-1H-3, 89.0 cm",NULL,1.768,2.075,1.768,2.075,"C0013F-1H-3, 91.0 cm",NULL,1.785,2.095,1.785,2.095,"C0013F-1H-3 W, 89.0--91.0 cm",CKY000000000003462900,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T09:48:03Z,152,glass beaker,6.061,2.735,14.3767,6.9321,8.3157,152,glass beaker,6.061,2.735,11.8655,4.4318,5.8045,2.6023,2.5413,1.6558,4.1971,1.6968,0.0911,0.041,5.7134,0.3129,0.4555,1.9813,1.3613,3.4505,0.6055,1.5348,fuway,2010-09-26T11:37:49Z
"C0013F-1H-4, 54.0 cm",NULL,2.321,2.725,2.321,2.725,"C0013F-1H-4, 56.0 cm",NULL,2.338,2.745,2.338,2.745,"C0013F-1H-4 W, 54.0--56.0 cm",CKY000000000003463000,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T09:48:22Z,440,glass beaker,6.196,2.796,14.531,7.6434,8.335,440,glass beaker,6.196,2.796,11.3218,4.4481,5.1258,3.3256,3.2477,1.5997,4.8474,1.6521,0.1164,0.0524,5.0094,0.399,0.6639,1.7195,1.0334,3.1315,0.67,2.0302,fuway,2010-09-26T11:37:49Z
"C0013F-1H-5, 29.0 cm",NULL,2.934,3.445,2.934,3.445,"C0013F-1H-5, 31.0 cm",NULL,2.951,3.465,2.951,3.465,"C0013F-1H-5 W, 29.0--31.0 cm",CKY000000000003463100,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T09:48:39Z,111,glass beaker,6.064,2.728,14.5583,7.3291,8.4943,111,glass beaker,6.064,2.728,11.6795,4.4628,5.6155,2.9832,2.9133,1.6878,4.6011,1.7348,0.1044,0.047,5.5111,0.3512,0.5413,1.8461,1.1978,3.2653,0.6332,1.7261,fuway,2010-09-26T11:37:49Z
"C0013F-1H-6, 44.0 cm",NULL,3.914,4.595,3.914,4.595,"C0013F-1H-6, 46.0 cm",NULL,3.931,4.615,3.931,4.615,"C0013F-1H-6 W, 44.0--46.0 cm",CKY000000000003463200,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T09:48:55Z,421,glass beaker,6.218,2.794,14.8092,7.6927,8.5912,421,glass beaker,6.218,2.794,11.7773,4.6739,5.5593,3.1419,3.0683,1.8304,4.8987,1.8799,0.11,0.0495,5.4493,0.3657,0.5766,1.7538,1.1124,2.9771,0.6263,1.6763,fuway,2010-09-26T11:37:49Z
"C0013F-1H-7, 66.0 cm",NULL,4.962,5.825,4.962,5.825,"C0013F-1H-7, 68.0 cm",NULL,4.979,5.845,4.979,5.845,"C0013F-1H-7 W, 66.0--68.0 cm",CKY000000000003463300,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T10:15:37Z,129,glass beaker,6.07,2.729,11.3563,6.0543,5.2863,129,glass beaker,6.07,2.729,8.977,3.6854,2.907,2.4656,2.4078,0.9175,3.3253,0.9564,0.0863,0.0389,2.8207,0.4664,0.8741,1.5897,0.8483,3.0743,0.7241,2.6243,fuway,2010-09-26T11:37:49Z
"C0013F-1H-8, 27.0 cm",NULL,5.486,6.44,5.486,6.44,"C0013F-1H-8, 29.0 cm",NULL,5.503,6.46,5.503,6.46,"C0013F-1H-8 W, 27.0--29.0 cm",CKY000000000003463400,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T10:15:53Z,116,glass beaker,6.073,2.733,11.1061,5.7407,5.0331,116,glass beaker,6.073,2.733,9.0229,3.6666,2.9499,2.1588,2.1082,0.8995,3.0077,0.9336,0.0756,0.0341,2.8743,0.4289,0.7511,1.6734,0.9556,3.1954,0.7009,2.3437,fuway,2010-09-26T11:37:49Z
"C0013F-1H-9, 63.0 cm",NULL,6.648,7.805,6.648,7.805,"C0013F-1H-9, 65.0 cm",NULL,6.665,7.825,6.665,7.825,"C0013F-1H-9 W, 63.0--65.0 cm",CKY000000000003463500,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T10:34:55Z,419,glass beaker,6.2,2.775,12.1839,5.9423,5.9839,419,glass beaker,6.2,2.775,10.4598,4.2258,4.2598,1.7866,1.7447,1.4226,3.1673,1.4508,0.0625,0.0282,4.1973,0.2986,0.4257,1.8893,1.3252,2.9504,0.5508,1.2264,fuway,2010-09-26T11:37:49Z
"C0013F-1H-CC, 49.0 cm",NULL,7.385,8.67,7.385,8.67,"C0013F-1H-CC, 51.0 cm",NULL,7.402,8.69,7.402,8.69,"C0013F-1H-CC W, 49.0--51.0 cm",CKY000000000003463600,PP,NULL,5,hilairy331,NULL,CKY,2010-09-24T10:35:30Z,113,glass beaker,5.987,2.719,12.9102,6.1624,6.9232,113,glass beaker,5.987,2.719,11.1926,4.4523,5.2056,1.7799,1.7382,1.7052,3.4434,1.7333,0.0623,0.0281,5.1433,0.2571,0.3461,2.0106,1.4937,3.0162,0.5048,1.0194,fuway,2010-09-26T11:37:49Z
