Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0007D-3R-1, 27.5 cm",NULL,190.275,190.275,190.275,190.275,"C0007D-3R-1, 29.5 cm",NULL,190.295,190.295,190.295,190.295,"C0007D-3R-1 W, 27.5--29.5 cm",CKY000000000001445800,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-21T17:16:13Z,NULL,154,glass beaker,6.043,2.67,14.783,6.9869,8.74,154,glass beaker,6.043,2.67,13.153,5.364,7.11,1.689119,1.64953,2.66737,4.3169,2.694,0.05911922,0.02663028,7.050881,0.1932631,0.2395615,2.024601,1.63332,2.643383,0.3821099,0.6184109,tsutsumi316,2008-01-23T20:24:02Z
"C0007D-3R-1, 100.0 cm",NULL,191,191,191,191,"C0007D-3R-1, 102.5 cm",NULL,191.025,191.025,191.025,191.025,"C0007D-3R-1 W, 100.0--102.5 cm",CKY000000000001445900,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-21T17:16:14Z,NULL,133,glass beaker,6.022,2.692,13.977,6.796134,7.955,133,glass beaker,6.022,2.692,12.171,4.998,6.149,1.871503,1.827639,2.276494,4.104134,2.306,0.06550264,0.02950569,6.083498,0.2352612,0.307636,1.93829,1.482285,2.67231,0.4453167,0.8028306,tsutsumi316,2008-01-23T20:24:02Z
"C0007D-3R-2, 0.0 cm",NULL,191.42,191.42,191.42,191.42,"C0007D-3R-2, 1.5 cm",NULL,191.435,191.435,191.435,191.435,"C0007D-3R-2 WR, 0.0--1.5 cm",CKY000000000001417400,PP,NULL,8,chesterf316,NULL,CKY,2008-01-19T14:54:03Z,NULL,168,glass beaker,6.088,2.784,15.241,7.306846,9.153,168,glass beaker,6.088,2.784,13.369,5.443,7.281,1.939896,1.89443,2.628416,4.522846,2.659,0.06789643,0.03058398,7.213104,0.211941,0.2689406,2.023726,1.594815,2.744278,0.4188579,0.7207497,tsutsumi316,2008-01-23T20:24:00Z
"C0007D-3R-3, 26.0 cm",NULL,192.02,192.02,192.02,192.02,"C0007D-3R-3, 28.0 cm",NULL,192.04,192.04,192.04,192.04,"C0007D-3R-3 W, 26.0--28.0 cm",CKY000000000001446000,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-21T17:16:14Z,NULL,121,glass beaker,6.069,2.709,13,6.299196,6.931,121,glass beaker,6.069,2.709,11.438,4.744,5.369,1.618653,1.580716,2.009481,3.590196,2.035,0.05665289,0.02551932,5.312347,0.2335381,0.3046964,1.930535,1.479682,2.643642,0.4402867,0.7866289,tsutsumi316,2008-01-23T20:24:03Z
"C0007D-3R-3, 69.0 cm",NULL,192.45,192.45,192.45,192.45,"C0007D-3R-3, 70.5 cm",NULL,192.465,192.465,192.465,192.465,"C0007D-3R-3 WR, 69.0--70.5 cm",CKY000000000001423500,PP,NULL,8,arito316,NULL,CKY,2008-01-19T22:01:05Z,NULL,117,glass beaker,6.089,2.724,13.725,6.758681,7.636,117,glass beaker,6.089,2.724,11.815,4.857,5.726,1.979275,1.932885,2.101795,4.034681,2.133,0.06927467,0.0312048,5.656725,0.2592031,0.3498976,1.892591,1.402026,2.691378,0.4790678,0.9196354,tsutsumi316,2008-01-23T20:24:01Z
"C0007D-4R-1, 17.0 cm",NULL,199.67,199.67,199.67,199.67,"C0007D-4R-1, 20.0 cm",NULL,199.7,199.7,199.7,199.7,"C0007D-4R-1 W, 17.0--20.0 cm",CKY000000000001428000,PP,NULL,10,mwknuth316,NULL,CKY,2008-01-20T06:33:28Z,NULL,139,glass beaker,6.097,2.688,12.325,5.713934,6.228,139,glass beaker,6.097,2.688,11.162,4.556,5.065,1.205181,1.176935,1.848999,3.025934,1.868,0.04218138,0.01900062,5.022818,0.1935102,0.2399413,2.058207,1.659923,2.716506,0.3889493,0.6365253,david_goldsby316,2008-02-01T01:49:38Z
"C0007D-4R-1, 20.0 cm",NULL,199.7,199.7,199.7,199.7,"C0007D-4R-1, 22.0 cm",NULL,199.72,199.72,199.72,199.72,"C0007D-4R-1 W, 20.0--22.0 cm",CKY000000000001434200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-20T14:09:19Z,NULL,189,glass beaker,6.03,2.678,12.838,6.008403,6.808,189,glass beaker,6.03,2.678,11.553,4.729,5.523,1.331606,1.300397,2.030006,3.330403,2.051,0.04660625,0.02099381,5.476394,0.1955943,0.2431539,2.044197,1.644364,2.697723,0.3904623,0.6405875,tsutsumi316,2008-01-27T21:46:30Z
"C0007D-4R-1, 37.0 cm",NULL,199.87,199.87,199.87,199.87,"C0007D-4R-1, 38.5 cm",NULL,199.885,199.885,199.885,199.885,"C0007D-4R-1 WR, 37.0--38.5 cm",CKY000000000001418500,PP,NULL,8,arito316,NULL,CKY,2008-01-19T16:46:24Z,NULL,143,glass beaker,5.963,2.679,12.718,6.095501,6.755,143,glass beaker,5.963,2.679,11.226,4.61,5.263,1.546114,1.509877,1.906624,3.416501,1.931,0.05411403,0.02437569,5.208886,0.2288844,0.2968224,1.977169,1.524626,2.731994,0.4419366,0.7919111,tsutsumi316,2008-01-23T20:24:00Z
"C0007D-4R-1, 90.0 cm",NULL,200.4,200.4,200.4,200.4,"C0007D-4R-1, 92.0 cm",NULL,200.42,200.42,200.42,200.42,"C0007D-4R-1 W, 90.0--92.0 cm",CKY000000000001434300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-20T14:09:19Z,NULL,181,glass beaker,6.057,2.713,12.695,6.01578,6.638,181,glass beaker,6.057,2.713,11.267,4.594,5.21,1.479793,1.44511,1.85767,3.30278,1.881,0.05179279,0.02333008,5.158207,0.2229275,0.2868812,2.009822,1.561777,2.776708,0.4375435,0.7779154,tsutsumi316,2008-01-27T21:46:31Z
"C0007D-5R-1, 0.0 cm",NULL,209,209,209,209,"C0007D-5R-1, 1.5 cm",NULL,209.015,209.015,209.015,209.015,"C0007D-5R-1 WR, 0.0--1.5 cm",CKY000000000001421800,PP,NULL,8,arito316,NULL,CKY,2008-01-19T20:06:48Z,NULL,179,glass beaker,6.039,2.697,14.01,6.940306,7.971,179,glass beaker,6.039,2.697,12.014,4.953,5.975,2.068394,2.019916,2.22339,4.243306,2.256,0.07239384,0.03260984,5.902606,0.2594899,0.3504204,1.878488,1.391039,2.654777,0.4760241,0.9084846,tsutsumi316,2008-01-23T20:24:01Z
