Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0013C-1H-1, 36.0 cm",NULL,3.352,3.36,3.352,3.36,"C0013C-1H-1, 38.0 cm",NULL,3.372,3.38,3.372,3.38,"C0013C-1H-1 W, 36.0--38.0 cm",CKY000000000002912800,PP,NULL,10,junichiro331,NULL,CKY,2010-09-11T15:36:19Z,443,glass beaker,6.192,2.791,12.833,6.351,6.641,443,glass beaker,6.192,2.791,10.973,4.4991,4.781,1.9275,1.8823,1.6777,3.56,1.7081,0.0675,0.0304,4.7135,0.2902,0.4089,1.8654,1.324,2.8095,0.5287,1.122,suzukit,2010-09-13T23:09:29Z
"C0013C-1H-2, 6.0 cm",NULL,3.499,3.51,3.499,3.51,"C0013C-1H-2, 8.0 cm",NULL,3.519,3.53,3.519,3.53,"C0013C-1H-2 W, 6.0--8.0 cm",CKY000000000002950500,PP,NULL,10,yuka331,NULL,CKY,2010-09-13T01:00:02Z,143,glass beaker,5.967,2.736,11.4277,5.8853,5.4607,143,glass beaker,5.967,2.736,9.2668,3.7338,3.2998,2.2393,2.1868,0.9625,3.1493,0.9978,0.0784,0.0353,3.2214,0.4101,0.6951,1.7339,1.0229,3.3469,0.6944,2.272,fuway,2010-09-16T05:00:29Z
"C0013C-1H-3, 23.0 cm",NULL,4.654,4.69,4.654,4.69,"C0013C-1H-3, 25.0 cm",NULL,4.674,4.71,4.674,4.71,"C0013C-1H-3 W, 23.0--25.0 cm",CKY000000000002950600,PP,NULL,10,yuka331,NULL,CKY,2010-09-13T01:00:21Z,137,glass beaker,6.093,2.746,11.3676,5.799,5.2746,137,glass beaker,6.093,2.746,9.3638,3.8039,3.2708,2.0765,2.0278,1.0252,3.053,1.0579,0.0727,0.0327,3.1981,0.3937,0.6493,1.7277,1.0475,3.1195,0.6642,1.978,fuway,2010-09-15T05:21:34Z
"C0013C-1H-4, 53.0 cm",NULL,5.217,5.265,5.217,5.265,"C0013C-1H-4, 55.0 cm",NULL,5.237,5.285,5.237,5.285,"C0013C-1H-4 W, 53.0--55.0 cm",CKY000000000002950700,PP,NULL,10,yuka331,NULL,CKY,2010-09-13T01:00:42Z,123,glass beaker,6.062,2.742,11.7624,6.0376,5.7004,123,glass beaker,6.062,2.742,9.7301,4.0142,3.6681,2.106,2.0566,1.239,3.2956,1.2722,0.0737,0.0332,3.5944,0.3694,0.5859,1.7297,1.0907,2.901,0.624,1.6599,fuway,2010-09-15T05:21:34Z
"C0013C-1H-5, 39.0 cm",NULL,6.46,6.535,6.46,6.535,"C0013C-1H-5, 41.0 cm",NULL,6.48,6.555,6.48,6.555,"C0013C-1H-5 W, 39.0--41.0 cm",CKY000000000002950800,PP,NULL,10,yuka331,NULL,CKY,2010-09-13T01:01:07Z,173,glass beaker,5.987,2.71,11.487,5.4845,5.5,173,glass beaker,5.987,2.71,9.9301,3.9344,3.9431,1.6134,1.5756,1.1989,2.7745,1.2244,0.0565,0.0255,3.8866,0.2933,0.4151,1.9823,1.4008,3.2418,0.5679,1.3142,fuway,2010-09-15T06:44:56Z
"C0013C-1H-6, 8.0 cm",NULL,6.862,6.945,6.862,6.945,"C0013C-1H-6, 10.0 cm",NULL,6.881,6.965,6.881,6.965,"C0013C-1H-6 W, 8.0--10.0 cm",CKY000000000002950900,PP,NULL,10,yuka331,NULL,CKY,2010-09-13T01:01:29Z,119,glass beaker,6.094,2.751,9.9732,4.7233,3.8792,119,glass beaker,6.094,2.751,8.9586,3.7131,2.8646,1.0514,1.0268,0.9455,1.9723,0.9621,0.0368,0.0166,2.8278,0.271,0.3718,1.9668,1.4338,2.9908,0.5206,1.086,fuway,2010-09-15T05:21:34Z
"C0013C-1H-10, 8.0 cm",NULL,7.087,7.175,7.087,7.175,"C0013C-1H-10, 10.0 cm",NULL,7.106,7.195,7.106,7.195,"C0013C-1H-10 W, 8.0--10.0 cm",CKY000000000002951000,PP,NULL,10,yuka331,NULL,CKY,2010-09-13T01:01:48Z,170,glass beaker,6.056,2.705,12.4366,5.6056,6.3806,170,glass beaker,6.056,2.705,11.3477,4.5214,5.2917,1.1284,1.102,1.7986,2.9006,1.8164,0.0395,0.0178,5.2522,0.1768,0.2148,2.1998,1.8107,2.9202,0.3799,0.6127,fuway,2010-09-15T05:21:34Z
"C0013C-1H-11, 29.0 cm",NULL,7.655,7.755,7.655,7.755,"C0013C-1H-11, 31.0 cm",NULL,7.674,7.775,7.674,7.775,"C0013C-1H-11 W, 29.0--31.0 cm",CKY000000000002912900,PP,NULL,10,junichiro331,NULL,CKY,2010-09-11T15:43:57Z,134,glass beaker,6.039,2.725,14.1941,6.6578,8.1551,134,glass beaker,6.039,2.725,12.394,4.8655,6.355,1.8654,1.8217,2.1111,3.9328,2.1405,0.0653,0.0294,6.2897,0.2287,0.2966,2.0736,1.5993,2.9793,0.4632,0.8629,suzukit,2010-09-13T23:09:29Z
"C0013C-1H-12, 14.0 cm",NULL,8.301,8.415,8.301,8.415,"C0013C-1H-12, 16.0 cm",NULL,8.32,8.435,8.32,8.435,"C0013C-1H-12 W, 14.0--16.0 cm",CKY000000000002913000,PP,NULL,10,junichiro331,NULL,CKY,2010-09-11T15:44:39Z,4,glass beaker,4.669,2.146,10.4052,5.4601,5.7362,4,glass beaker,4.669,2.146,8.1875,3.2521,3.5185,2.2981,2.2442,1.0699,3.3141,1.1061,0.0804,0.0362,3.4381,0.4006,0.6684,1.7308,1.0374,3.2135,0.6772,2.0976,suzukit,2010-09-13T23:09:29Z
"C0013C-1H-13, 6.0 cm",NULL,9.054,9.185,9.054,9.185,"C0013C-1H-13, 8.0 cm",NULL,9.074,9.205,9.074,9.205,"C0013C-1H-13 W, 6.0--8.0 cm",CKY000000000002913100,PP,NULL,10,junichiro331,NULL,CKY,2010-09-11T15:45:23Z,26,glass beaker,4.594,2.075,10.0087,4.2511,5.4147,26,glass beaker,4.594,2.075,9.3689,3.6141,4.7749,0.663,0.6475,1.5286,2.1761,1.5391,0.0232,0.0105,4.7517,0.1224,0.1395,2.4883,2.1836,3.1085,0.2976,0.4236,suzukit,2010-09-13T23:09:29Z
"C0013C-1H-13, 32.0 cm",NULL,9.309,9.445,9.309,9.445,"C0013C-1H-13, 34.0 cm",NULL,9.328,9.465,9.328,9.465,"C0013C-1H-13 W, 32.0--34.0 cm",CKY000000000002913200,PP,NULL,10,junichiro331,NULL,CKY,2010-09-11T15:45:57Z,122,glass beaker,5.972,2.732,14.1068,7.2261,8.1348,122,glass beaker,5.972,2.732,11.501,4.6317,5.529,2.7003,2.637,1.8571,4.4941,1.8997,0.0945,0.0426,5.4345,0.3319,0.4969,1.8101,1.2093,2.9263,0.5868,1.42,suzukit,2010-09-13T23:09:29Z
"C0013C-1H-13, 110.0 cm",NULL,10.072,10.225,10.072,10.225,"C0013C-1H-13, 112.0 cm",NULL,10.092,10.245,10.092,10.245,"C0013C-1H-13 W, 110.0--112.0 cm",CKY000000000002913300,PP,NULL,10,junichiro331,NULL,CKY,2010-09-11T15:46:26Z,436,glass beaker,6.243,2.805,13.7254,7.7619,7.4824,436,glass beaker,6.243,2.805,10.315,4.3663,4.072,3.5341,3.4513,1.5056,4.9569,1.5613,0.1237,0.0557,3.9483,0.4723,0.8951,1.5095,0.7965,2.6224,0.6963,2.2923,suzukit,2010-09-13T23:09:29Z
