Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011C-1H-1, 36.0 cm",NULL,0.346,0.36,0.346,0.36,"C0011C-1H-1, 38.0 cm",NULL,0.365,0.38,0.365,0.38,"C0011C-1H-1 W, 36.0--38.0 cm",CKY000000000004152600,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:07:56Z,137,glass beaker,6.088,2.745,10.6725,5.9308,4.5845,137,glass beaker,6.088,2.745,8.3005,3.5691,2.2125,2.458,2.4004,0.7854,3.1858,0.8241,0.086,0.0387,2.1265,0.5362,1.1559,1.439,0.6675,2.7075,0.7535,3.0563,kidoyo,2010-12-24T15:49:52Z
"C0011C-1H-2, 20.0 cm",NULL,0.792,0.825,0.792,0.825,"C0011C-1H-2, 22.0 cm",NULL,0.811,0.845,0.811,0.845,"C0011C-1H-2 WR, 20.0--22.0 cm",CKY000000000003973200,PP,NULL,3,bora333,NULL,CKY,2010-12-18T13:34:56Z,14,glass beaker,4.564,2.025,8.8162,4.8529,4.2522,14,glass beaker,4.564,2.025,6.9735,3.0183,2.4095,1.9095,1.8647,0.9632,2.8279,0.9933,0.0668,0.0301,2.3427,0.4491,0.8151,1.5037,0.8284,2.4322,0.6594,1.9359,kidoyo,2010-12-24T15:49:51Z
"C0011C-1H-3, 4.0 cm",NULL,0.85,0.885,0.85,0.885,"C0011C-1H-3, 6.0 cm",NULL,0.869,0.905,0.869,0.905,"C0011C-1H-3 W, 4.0--6.0 cm",CKY000000000004152700,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:07:56Z,125,glass beaker,6.084,2.735,10.2453,5.3711,4.1613,125,glass beaker,6.084,2.735,8.5306,3.6638,2.4466,1.7769,1.7353,0.9008,2.6361,0.9288,0.0622,0.028,2.3844,0.427,0.7452,1.5786,0.9045,2.647,0.6583,1.9264,kidoyo,2010-12-24T15:49:52Z
"C0011C-1H-3, 44.0 cm",NULL,1.234,1.285,1.234,1.285,"C0011C-1H-3, 46.0 cm",NULL,1.253,1.305,1.253,1.305,"C0011C-1H-3 W, 44.0--46.0 cm",CKY000000000004152800,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:07:56Z,130,glass beaker,6.103,2.696,11.249,5.926,5.146,130,glass beaker,6.103,2.696,9.2066,3.8925,3.1036,2.1165,2.0669,1.1631,3.23,1.1965,0.0741,0.0334,3.0295,0.4113,0.6986,1.5932,0.9379,2.6047,0.6399,1.7771,kidoyo,2010-12-24T15:49:52Z
"C0011C-1H-3, 90.0 cm",NULL,1.676,1.745,1.676,1.745,"C0011C-1H-3, 92.0 cm",NULL,1.695,1.765,1.695,1.765,"C0011C-1H-3 W, 90.0--92.0 cm",CKY000000000004152900,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:07:56Z,631,glass beaker,5.985,2.726,11.5248,6.1095,5.5398,631,glass beaker,5.985,2.726,9.3741,3.9681,3.3891,2.2287,2.1765,1.207,3.3835,1.2421,0.078,0.0351,3.3111,0.4023,0.6731,1.6373,0.9786,2.7432,0.6433,1.8032,kidoyo,2010-12-24T15:49:52Z
"C0011C-1H-4, 19.5 cm",NULL,1.973,2.055,1.973,2.055,"C0011C-1H-4, 21.5 cm",NULL,1.993,2.075,1.993,2.075,"C0011C-1H-4 WR, 19.5--21.5 cm",CKY000000000003974000,PP,NULL,3,bora333,NULL,CKY,2010-12-18T13:49:02Z,126,glass beaker,6.042,2.701,10.0825,5.4096,4.0405,126,glass beaker,6.042,2.701,8.2611,3.5961,2.2191,1.8875,1.8433,0.8653,2.7086,0.8951,0.0661,0.0298,2.153,0.4671,0.8767,1.4917,0.7949,2.4882,0.6805,2.1302,kidoyo,2010-12-24T15:49:51Z
"C0011C-1H-5, 27.0 cm",NULL,2.252,2.345,2.252,2.345,"C0011C-1H-5, 29.0 cm",NULL,2.271,2.365,2.271,2.365,"C0011C-1H-5 W, 27.0--29.0 cm",CKY000000000004153000,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:07:56Z,1,glass beaker,4.601,2.091,9.4351,5.2277,4.8341,1,glass beaker,4.601,2.091,7.2757,3.0777,2.6747,2.2377,2.1853,0.9514,3.1367,0.9867,0.0783,0.0353,2.5964,0.4629,0.8618,1.5411,0.8277,2.729,0.6967,2.2969,kidoyo,2010-12-24T15:49:52Z
"C0011C-1H-5, 75.0 cm",NULL,2.713,2.825,2.713,2.825,"C0011C-1H-5, 77.0 cm",NULL,2.732,2.845,2.732,2.845,"C0011C-1H-5 W, 75.0--77.0 cm",CKY000000000004153100,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:07:56Z,126,glass beaker,6.042,2.701,9.5059,5.0399,3.4639,126,glass beaker,6.042,2.701,7.8756,3.4167,1.8336,1.6894,1.6498,0.6891,2.3389,0.7157,0.0591,0.0266,1.7745,0.4877,0.952,1.481,0.7587,2.5751,0.7054,2.3941,kidoyo,2010-12-24T15:49:52Z
"C0011C-1H-5, 108.5 cm",NULL,3.034,3.16,3.034,3.16,"C0011C-1H-5, 110.5 cm",NULL,3.054,3.18,3.054,3.18,"C0011C-1H-5 WR, 108.5--110.5 cm",CKY000000000004007000,PP,NULL,10,marion333,NULL,CKY,2010-12-18T23:27:49Z,167,glass beaker,6.076,2.774,10.2627,5.407,4.1867,167,glass beaker,6.076,2.774,8.5614,3.7131,2.4854,1.763,1.7217,0.9113,2.633,0.9391,0.0617,0.0278,2.4237,0.4211,0.7274,1.5901,0.9205,2.6596,0.6539,1.8893,kidoyo,2010-12-24T15:49:51Z
"C0011C-2H-1, 24.0 cm",NULL,3.731,3.74,3.731,3.74,"C0011C-2H-1, 26.0 cm",NULL,3.75,3.76,3.75,3.76,"C0011C-2H-1 W, 24.0--26.0 cm",CKY000000000004153200,PP,NULL,5,yasunagam,NULL,CKY,2010-12-21T00:11:45Z,110,glass beaker,5.992,2.719,10.7244,5.6849,4.7324,110,glass beaker,5.992,2.719,8.7959,3.7648,2.8039,1.9984,1.9516,1.0143,2.9659,1.0458,0.0699,0.0315,2.734,0.4223,0.7309,1.5956,0.9218,2.6955,0.658,1.9241,kidoyo,2010-12-24T15:49:52Z
