Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0004D-7R-3, 7.0 cm",NULL,153.335,153.335,153.335,153.335,"C0004D-7R-3, 9.0 cm",NULL,153.355,153.355,153.355,153.355,"C0004D-7R-3 W, 7.0--9.0 cm",CKY000000000000835200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-23T10:24:13Z,NULL,4,glass cell,4.67,2.076,12.948,6.581269,8.278,4,glass cell,4.67,2.076,10.714,4.357,6.044,2.315026,2.260767,2.244502,4.505269,2.281,0.08102597,0.03649818,5.962974,0.2796601,0.3882335,1.837404,1.323556,2.656703,0.5018052,1.007247,david_goldsby316,2007-12-25T07:40:21Z
"C0004D-8R-1, 23.0 cm",NULL,156.23,156.23,156.23,156.23,"C0004D-8R-1, 24.0 cm",NULL,156.24,156.24,156.24,156.24,"C0004D-8R-1 W, 23.0--24.0 cm",CKY000000000000836500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-23T11:43:09Z,NULL,111,glass beaker,6.065,2.702,11.805,5.83324,5.74,111,glass beaker,6.065,2.702,10.253,4.288,4.188,1.60829,1.570596,1.560644,3.13124,1.586,0.0562902,0.02535595,4.13171,0.2801899,0.3892554,1.83314,1.319512,2.647439,0.5015891,1.006377,david_goldsby316,2007-12-25T07:40:22Z
"C0004D-9R-CC, 25.0 cm",NULL,163.26,163.26,163.26,163.26,"C0004D-9R-CC, 26.0 cm",NULL,163.27,163.27,163.27,163.27,"C0004D-9R-CC W, 25.0--26.0 cm",CKY000000000000836600,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-23T12:19:16Z,NULL,114,glass beaker,6.061,2.735,10.71,5.219413,4.649,111,glass beaker,6.065,2.702,9.546,4.0235,3.481,1.210363,1.181995,1.302418,2.484413,1.3215,0.04236273,0.01908231,3.438637,0.2603491,0.3519891,1.871267,1.384085,2.640195,0.4757644,0.9075391,david_goldsby316,2007-12-25T07:40:22Z
"C0004D-10R-CC, 9.0 cm",NULL,165.09,165.09,165.09,165.09,"C0004D-10R-CC, 10.0 cm",NULL,165.1,165.1,165.1,165.1,"C0004D-10R-CC W, 9.0--10.0 cm",CKY000000000000836700,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-23T12:53:14Z,NULL,151,glass beaker,5.999,2.718,10.315,5.107531,4.316,151,glass beaker,5.999,2.718,8.784,3.5832,2.785,1.586529,1.549344,0.8401871,2.389531,0.8652,0.05552854,0.02501286,2.729471,0.3675923,0.5812585,1.806212,1.142262,3.248647,0.6483883,1.844047,david_goldsby316,2008-01-26T08:04:02Z
"C0004D-12R-1, 37.0 cm",NULL,174.37,174.37,174.37,174.37,"C0004D-12R-1, 39.0 cm",NULL,174.39,174.39,174.39,174.39,"C0004D-12R-1 W, 37.0--39.0 cm",CKY000000000000845200,PP,NULL,20,laurentlouis316,NULL,CKY,2007-12-23T22:01:40Z,NULL,31,glass cell,4.61,2.055,9.916,4.94975,5.306,31,glass cell,4.61,2.055,8.481,3.521,3.871,1.487047,1.452194,1.442556,2.89475,1.466,0.05204667,0.02344445,3.818953,0.2802576,0.3893859,1.832974,1.319269,2.647353,0.5016648,1.006681,tsutsumi316,2007-12-25T02:42:58Z
"C0004D-12R-1, 97.0 cm",NULL,174.97,174.97,174.97,174.97,"C0004D-12R-1, 99.0 cm",NULL,174.99,174.99,174.99,174.99,"C0004D-12R-1 W, 97.0--99.0 cm",CKY000000000000845400,PP,NULL,20,laurentlouis316,NULL,CKY,2007-12-23T22:06:38Z,NULL,144,glass beaker,6.092,2.717,11.402,5.651889,5.31,144,glass beaker,6.092,2.717,9.999,4.255,3.907,1.453886,1.419811,1.515078,2.934889,1.538,0.05088605,0.02292164,3.856114,0.2738015,0.377034,1.809268,1.313888,2.545158,0.4837698,0.9371202,tsutsumi316,2007-12-25T02:42:58Z
"C0004D-13R-1, 5.0 cm",NULL,178.55,178.55,178.55,178.55,"C0004D-13R-1, 7.0 cm",NULL,178.57,178.57,178.57,178.57,"C0004D-13R-1 W, 5.0--7.0 cm",CKY000000000000845700,PP,NULL,10,laurentlouis316,NULL,CKY,2007-12-23T22:06:38Z,NULL,132,glass beaker,6.078,2.705,10.46,4.9958,4.382,132,glass beaker,6.078,2.705,9.3388,3.8794,3.2608,1.1619,1.1347,1.1561,2.2908,1.1744,0.0407,0.0183,3.2201,0.2652,0.3608,1.9129,1.4057,2.7853,0.4953,0.9815,fujikit,2010-08-11T01:44:22Z
"C0004D-13R-2, 14.0 cm",NULL,179.535,179.535,179.535,179.535,"C0004D-13R-2, 15.0 cm",NULL,179.545,179.545,179.545,179.545,"C0004D-13R-2 WR, 14.0--15.0 cm",CKY000000000000833700,PP,NULL,8,chesterf316,NULL,CKY,2007-12-23T08:21:14Z,NULL,113,glass beaker,5.985,2.629,11.222,5.440773,5.237,113,glass beaker,5.985,2.629,9.953,4.1773,3.968,1.315026,1.284205,1.527568,2.811773,1.5483,0.04602594,0.02073241,3.921974,0.2511029,0.335297,1.862526,1.39484,2.567463,0.4567243,0.8406862,david_goldsby316,2007-12-25T07:42:54Z
"C0004D-16R-1, 31.0 cm",NULL,202.31,202.31,202.31,202.31,"C0004D-16R-1, 33.0 cm",NULL,202.33,202.33,202.33,202.33,"C0004D-16R-1 W, 31.0--33.0 cm",CKY000000000000858100,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T20:46:56Z,NULL,134,glass beaker,6.038,2.73,10.49,5.138547,4.452,134,glass beaker,6.038,2.73,9.238,3.892,3.2,1.297409,1.267001,1.141545,2.408547,1.162,0.04540936,0.02045467,3.154591,0.2914217,0.4112766,1.848418,1.309749,2.763439,0.5260439,1.1099,tsutsumi316,2007-12-27T02:15:50Z
"C0004D-16R-1, 93.0 cm",NULL,202.93,202.93,202.93,202.93,"C0004D-16R-1, 95.0 cm",NULL,202.95,202.95,202.95,202.95,"C0004D-16R-1 W, 93.0--95.0 cm",CKY000000000000858200,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T20:46:56Z,NULL,24,glass cell,4.638,2.026,11.371,5.828328,6.733,24,glass cell,4.638,2.026,9.38,3.846,4.742,2.063212,2.014856,1.787472,3.802328,1.82,0.07221249,0.03252815,4.669787,0.3064329,0.4418215,1.770757,1.228139,2.61251,0.5299006,1.12721,tsutsumi316,2007-12-26T16:52:37Z
"C0004D-16R-2, 13.5 cm",NULL,203.26,203.26,203.26,203.26,"C0004D-16R-2, 15.0 cm",NULL,203.275,203.275,203.275,203.275,"C0004D-16R-2 WR, 13.5--15.0 cm",CKY000000000000841400,PP,NULL,8,chesterf316,NULL,CKY,2007-12-23T14:23:24Z,NULL,108,glass beaker,6.035,2.701,10.946,5.415081,4.911,108,glass beaker,6.035,2.701,9.587,4.062,3.552,1.40829,1.375283,1.338797,2.714081,1.361,0.04929019,0.02220279,3.50271,0.2867624,0.4020573,1.809453,1.29057,2.616311,0.5067216,1.027253,david_goldsby316,2007-12-26T04:29:21Z
"C0004D-19R-2, 1.0 cm",NULL,226.665,226.665,226.665,226.665,"C0004D-19R-2, 1.5 cm",NULL,226.67,226.67,226.67,226.67,"C0004D-19R-2 WR, 1.0--1.5 cm",CKY000000000000844000,PP,NULL,8,arito316,NULL,CKY,2007-12-23T16:47:38Z,NULL,6,glass cell,4.527,2.039,12.958,6.893961,8.431,6,glass cell,4.527,2.039,10.194,4.142,5.667,2.864249,2.797118,2.057843,4.854961,2.103,0.1002488,0.04515711,5.566751,0.3397282,0.5145279,1.736574,1.146611,2.705139,0.576136,1.359248,tsutsumi316,2007-12-25T02:42:59Z
"C0004D-21R-1, 23.0 cm",NULL,238.23,238.23,238.23,238.23,"C0004D-21R-1, 25.0 cm",NULL,238.25,238.25,238.25,238.25,"C0004D-21R-1 W, 23.0--25.0 cm",CKY000000000000858300,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T20:46:56Z,NULL,33,glass cell,4.621,2.028,10.44,5.181131,5.819,33,glass cell,4.621,2.028,8.863,3.611,4.242,1.634197,1.595895,1.557236,3.153131,1.583,0.05719694,0.02576439,4.184803,0.2808381,0.3905075,1.845467,1.32719,2.687328,0.5061304,1.024826,tsutsumi316,2007-12-26T16:52:38Z
"C0004D-23R-1, 97.0 cm",NULL,247.97,247.97,247.97,247.97,"C0004D-23R-1, 98.5 cm",NULL,247.985,247.985,247.985,247.985,"C0004D-23R-1 WR, 97.0--98.5 cm",CKY000000000000847500,PP,NULL,8,arito316,NULL,CKY,2007-12-23T23:21:21Z,NULL,35,glass cell,4.599,2.052,15.524,8.491683,10.925,35,glass cell,4.599,2.052,11.778,4.762,7.179,3.881865,3.790884,2.648799,6.439683,2.71,0.1358654,0.06120063,7.043135,0.3553195,0.5511559,1.696512,1.093708,2.658991,0.5886755,1.431171,tsutsumi316,2007-12-27T02:14:02Z
"C0004D-23R-CC, 11.0 cm",NULL,249.212,249.212,249.212,249.212,"C0004D-23R-CC, 13.0 cm",NULL,249.232,249.232,249.232,249.232,"C0004D-23R-CC W, 11.0--13.0 cm",CKY000000000000847000,PP,NULL,7,david_goldsby316,NULL,CKY,2007-12-23T22:36:09Z,NULL,110,glass beaker,5.992,2.65,11.187,5.534824,5.195,110,glass beaker,5.992,2.65,9.769,4.123,3.777,1.46943,1.43499,1.449833,2.884824,1.473,0.05143009,0.02316671,3.72557,0.2828547,0.3944175,1.800803,1.291438,2.569654,0.4974274,0.9897622,david_goldsby316,2007-12-26T04:29:21Z
"C0004D-24R-1, 29.0 cm",NULL,251.79,251.79,251.79,251.79,"C0004D-24R-1, 31.0 cm",NULL,251.81,251.81,251.81,251.81,"C0004D-24R-1 W, 29.0--31.0 cm",CKY000000000000854000,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-24T07:26:39Z,NULL,175,glass beaker,6.139,2.807,10.413,5.10086,4.274,175,glass beaker,6.139,2.807,9.233,3.926,3.094,1.222798,1.194139,1.099722,2.29386,1.119,0.04279796,0.01927836,3.051202,0.2861015,0.4007594,1.863235,1.33016,2.774522,0.5205804,1.085855,david_goldsby316,2007-12-26T04:29:22Z
"C0004D-24R-1, 110.0 cm",NULL,252.6,252.6,252.6,252.6,"C0004D-24R-1, 112.0 cm",NULL,252.62,252.62,252.62,252.62,"C0004D-24R-1 W, 110.0--112.0 cm",CKY000000000000854100,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-24T07:26:39Z,NULL,196,glass beaker,6.1,2.757,11.049,5.355777,4.949,196,glass beaker,6.1,2.757,9.85,4.162,3.75,1.242487,1.213366,1.385411,2.598777,1.405,0.04348708,0.01958877,3.706513,0.2510582,0.3352172,1.904357,1.426253,2.675388,0.4668989,0.8758167,david_goldsby316,2007-12-26T04:29:22Z
"C0004D-24R-2, 30.0 cm",NULL,253.205,253.205,253.205,253.205,"C0004D-24R-2, 33.0 cm",NULL,253.235,253.235,253.235,253.235,"C0004D-24R-2 W, 30.0--33.0 cm",CKY000000000000855300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-24T10:43:01Z,NULL,199,glass beaker,6.006,2.699,11.237,5.554911,5.231,199,glass beaker,6.006,2.699,9.839,4.163,3.833,1.448705,1.414751,1.44116,2.855911,1.464,0.0507047,0.02283996,3.782295,0.276946,0.3830226,1.83164,1.324374,2.62448,0.4953764,0.9816749,david_goldsby316,2007-12-26T04:29:22Z
"C0004D-25R-1, 96.0 cm",NULL,256.96,256.96,256.96,256.96,"C0004D-25R-1, 98.0 cm",NULL,256.98,256.98,256.98,256.98,"C0004D-25R-1 W, 96.0--98.0 cm",CKY000000000000917900,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-27T13:06:30Z,NULL,124,glass beaker,5.982,2.656,11.71,5.75138,5.728,124,glass beaker,5.982,2.656,10.236,4.2838,4.254,1.527461,1.491661,1.603719,3.09538,1.6278,0.05346118,0.02408161,4.200539,0.2666657,0.3636346,1.8505,1.357035,2.61925,0.4818993,0.9301266,david_goldsby316,2008-01-03T03:28:51Z
"C0004D-25R-2, 16.0 cm",NULL,257.57,257.57,257.57,257.57,"C0004D-25R-2, 18.0 cm",NULL,257.59,257.59,257.59,257.59,"C0004D-25R-2 W, 16.0--18.0 cm",CKY000000000000918000,PP,NULL,175,david_goldsby316,NULL,CKY,2007-12-27T13:06:30Z,NULL,15,glass cell,4.558,2.072,10.388,5.146366,5.83,15,glass cell,4.558,2.072,8.865,3.63,4.307,1.578238,1.541248,1.533118,3.074366,1.558,0.05523838,0.02488216,4.251762,0.2707098,0.3711964,1.896326,1.382972,2.773278,0.5013223,1.005303,david_goldsby316,2008-01-03T03:28:50Z
"C0004D-26R-1, 20.0 cm",NULL,260.7,260.7,260.7,260.7,"C0004D-26R-1, 22.0 cm",NULL,260.72,260.72,260.72,260.72,"C0004D-26R-1 W, 20.0--22.0 cm",CKY000000000000956100,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-28T22:46:09Z,NULL,118,glass beaker,5.99,2.716,12.629,6.083909,6.639,118,glass beaker,5.99,2.716,11.001,4.463,5.011,1.687047,1.647506,1.720402,3.367909,1.747,0.05904668,0.0265976,4.951954,0.2541116,0.3406831,1.971253,1.470335,2.878369,0.4891779,0.9576285,tsutsumi316,2007-12-28T23:51:55Z
"C0004D-26R-1, 106.0 cm",NULL,261.56,261.56,261.56,261.56,"C0004D-26R-1, 108.0 cm",NULL,261.58,261.58,261.58,261.58,"C0004D-26R-1 W, 106.0--108.0 cm",CKY000000000000956200,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-28T22:46:10Z,NULL,200,glass beaker,6.013,2.72,12.377,6.179521,6.364,200,glass beaker,6.013,2.72,10.66,4.47,4.647,1.779275,1.737573,1.721948,3.459521,1.75,0.06227466,0.02805165,4.584725,0.2795843,0.3880875,1.839561,1.325249,2.662522,0.5022582,1.009074,tsutsumi316,2007-12-28T23:51:56Z
"C0004D-26R-2, 23.0 cm",NULL,262.142,262.142,262.142,262.142,"C0004D-26R-2, 25.0 cm",NULL,262.162,262.162,262.162,262.162,"C0004D-26R-2 W, 23.0--25.0 cm",CKY000000000000956300,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-28T22:46:10Z,NULL,114,glass beaker,6.061,2.735,12.524,6.186761,6.463,114,glass beaker,6.061,2.735,10.862,4.532,4.801,1.72228,1.681914,1.769847,3.451761,1.797,0.06027984,0.02715308,4.74072,0.266483,0.363295,1.872378,1.373421,2.678605,0.4872626,0.950316,tsutsumi316,2007-12-28T23:51:56Z
"C0004D-26R-3, 0.0 cm",NULL,262.586,262.586,262.586,262.586,"C0004D-26R-3, 1.5 cm",NULL,262.601,262.601,262.601,262.601,"C0004D-26R-3 WR, 0.0--1.5 cm",CKY000000000000850000,PP,NULL,8,arito316,NULL,CKY,2007-12-24T02:10:07Z,NULL,187,glass beaker,6.12,2.752,14.966,7.862294,8.846,187,glass beaker,6.12,2.752,12.049,4.958,5.929,3.022798,2.951951,2.158343,5.110294,2.206,0.105798,0.04765676,5.823202,0.3417135,0.5190955,1.731016,1.139504,2.697996,0.577648,1.367693,tsutsumi316,2007-12-26T16:52:38Z
"C0004D-27R-1, 109.0 cm",NULL,266.09,266.09,266.09,266.09,"C0004D-27R-1, 111.0 cm",NULL,266.11,266.11,266.11,266.11,"C0004D-27R-1 W, 109.0--111.0 cm",CKY000000000000942500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-28T12:33:51Z,NULL,31,glass cell,4.61,2.055,10.334,5.143323,5.724,31,glass cell,4.61,2.055,8.847,3.6628,4.237,1.540933,1.504817,1.583506,3.088323,1.6078,0.05393268,0.024294,4.183067,0.2692056,0.3683739,1.853433,1.354478,2.641649,0.4872602,0.9503071,david_goldsby316,2008-01-03T03:40:27Z
"C0004D-27R-2, 6.0 cm",NULL,266.47,266.47,266.47,266.47,"C0004D-27R-2, 8.0 cm",NULL,266.49,266.49,266.49,266.49,"C0004D-27R-2 W, 6.0--8.0 cm",CKY000000000001066300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-01T11:15:55Z,"Measured by ""3"" runs average, instead of ""5."" ",182,glass beaker,6.113,2.799,11.767,5.572846,5.654,182,glass beaker,6.113,2.799,10.446,4.2576,4.333,1.368912,1.336828,1.437018,2.773846,1.4586,0.04791195,0.02158196,4.285088,0.2421139,0.3194595,2.038325,1.544818,2.981931,0.4819403,0.9302793,david_goldsby316,2008-01-26T08:06:02Z
"C0004D-27R-2, 95.5 cm",NULL,267.365,267.365,267.365,267.365,"C0004D-27R-2, 97.0 cm",NULL,267.38,267.38,267.38,267.38,"C0004D-27R-2 WR, 95.5--97.0 cm",CKY000000000001062900,PP,NULL,8,screaton316,NULL,CKY,2008-01-01T02:51:43Z,"Measured by ""3"" runs average, instead of ""5."" ",4,glass cell,4.67,2.076,9.793,4.804021,5.123,4,glass cell,4.67,2.076,8.535,3.5515,3.865,1.303627,1.273073,1.454947,2.728021,1.4755,0.04562698,0.02055269,3.819373,0.2544655,0.3413196,1.877918,1.400053,2.625094,0.4666655,0.874996,david_goldsby316,2008-01-04T03:12:01Z
"C0004D-28R-1, 20.0 cm",NULL,269.7,269.7,269.7,269.7,"C0004D-28R-1, 22.0 cm",NULL,269.72,269.72,269.72,269.72,"C0004D-28R-1 W, 20.0--22.0 cm",CKY000000000001064700,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-01T05:57:08Z,NULL,169,glass beaker,6.051,2.751,14.602,7.4708,8.551,169,glass beaker,6.051,2.751,12.038,4.918,5.987,2.657,2.5947,2.1251,4.7198,2.167,0.093,0.0419,5.894,0.3107,0.4508,1.8117,1.2488,2.7735,0.5497,1.221,fujikit,2010-10-05T03:03:06Z
