Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0004D-1R-1, 26.0 cm",NULL,100.26,100.26,100.26,100.26,"C0004D-1R-1, 28.0 cm",NULL,100.28,100.28,100.28,100.28,"C0004D-1R-1 W, 26.0--28.0 cm",CKY000000000000857400,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T19:58:53Z,NULL,160,glass beaker,6.045,2.676,13.567,7.171401,7.522,160,glass beaker,6.045,2.676,10.904,4.52,4.859,2.759586,2.694908,1.800493,4.495401,1.844,0.09658557,0.04350701,4.762414,0.3668686,0.579451,1.673266,1.059397,2.645061,0.5994811,1.496761,tsutsumi316,2007-12-24T20:15:09Z
"C0004D-1R-1, 99.0 cm",NULL,100.99,100.99,100.99,100.99,"C0004D-1R-1, 101.0 cm",NULL,101.01,101.01,101.01,101.01,"C0004D-1R-1 W, 99.0--101.0 cm",CKY000000000000857500,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T19:58:54Z,NULL,17,glass cell,4.589,2.052,12.337,6.680057,7.748,17,glass cell,4.589,2.052,9.595,3.95,5.006,2.841451,2.774854,1.853202,4.628057,1.898,0.09945085,0.04479768,4.906549,0.3667335,0.5791139,1.674137,1.060175,2.647606,0.5995722,1.497329,tsutsumi316,2007-12-24T20:15:10Z
"C0004D-1R-2, 23.0 cm",NULL,101.64,101.64,101.64,101.64,"C0004D-1R-2, 25.0 cm",NULL,101.66,101.66,101.66,101.66,"C0004D-1R-2 W, 23.0--25.0 cm",CKY000000000000857600,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T19:58:54Z,NULL,195,glass beaker,6.061,2.75,13.526,7.200418,7.465,195,glass beaker,6.061,2.75,10.867,4.553,4.806,2.75544,2.69086,1.759558,4.450418,1.803,0.09644049,0.04344166,4.70956,0.3691146,0.5850739,1.677371,1.058229,2.676558,0.6046308,1.529281,tsutsumi316,2007-12-24T20:15:10Z
"C0004D-1R-2, 98.0 cm",NULL,102.39,102.39,102.39,102.39,"C0004D-1R-2, 100.0 cm",NULL,102.41,102.41,102.41,102.41,"C0004D-1R-2 W, 98.0--100.0 cm",CKY000000000000857700,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T19:58:54Z,NULL,182,glass beaker,6.113,2.799,12.765,6.438532,6.652,182,glass beaker,6.113,2.799,10.821,4.503,4.708,2.014508,1.967293,1.67224,3.639532,1.704,0.07050783,0.03176028,4.637492,0.3028424,0.4343959,1.827707,1.2742,2.773222,0.5405345,1.176442,tsutsumi316,2007-12-24T20:15:10Z
"C0004D-1R-3, 24.0 cm",NULL,103.05,103.05,103.05,103.05,"C0004D-1R-3, 26.0 cm",NULL,103.07,103.07,103.07,103.07,"C0004D-1R-3 W, 24.0--26.0 cm",CKY000000000000857800,PP,NULL,5,tsutsumi316,NULL,CKY,2007-12-24T19:58:55Z,NULL,149,glass beaker,6.046,2.771,12.842,6.499336,6.796,149,glass beaker,6.046,2.771,10.853,4.519,4.807,2.06114,2.012832,1.715505,3.728336,1.748,0.07213995,0.03249547,4.73486,0.3032872,0.4353117,1.822797,1.269966,2.760039,0.539874,1.173318,tsutsumi316,2007-12-24T20:15:10Z
"C0004D-2R-1, 105.0 cm",NULL,110.55,110.55,110.55,110.55,"C0004D-2R-1, 107.0 cm",NULL,110.57,110.57,110.57,110.57,"C0004D-2R-1 W, 105.0--107.0 cm",CKY000000000000831100,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-23T04:40:53Z,NULL,179,glass beaker,6.039,2.697,11.884,5.918813,5.845,179,glass beaker,6.039,2.697,10.234,4.276,4.195,1.709845,1.66977,1.552043,3.221813,1.579,0.05984461,0.02695703,4.135155,0.2925312,0.4134898,1.814196,1.283487,2.66433,0.5182703,1.075853,david_goldsby316,2007-12-25T07:34:09Z
"C0004D-3R-3, 25.5 cm",NULL,120.355,120.355,120.355,120.355,"C0004D-3R-3, 28.0 cm",NULL,120.38,120.38,120.38,120.38,"C0004D-3R-3 W, 25.5--28.0 cm",CKY000000000000831200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-23T05:13:06Z,NULL,194,glass beaker,6.04,2.751,11.355,5.602467,5.315,194,glass beaker,6.04,2.751,9.901,4.1548,3.861,1.506736,1.471422,1.380045,2.851467,1.4038,0.05273579,0.02375486,3.808264,0.2834874,0.395649,1.863953,1.335546,2.759522,0.5160227,1.066213,david_goldsby316,2007-12-25T07:35:31Z
"C0004D-4R-2, 0.0 cm",NULL,129.07,129.07,129.07,129.07,"C0004D-4R-2, 1.5 cm",NULL,129.085,129.085,129.085,129.085,"C0004D-4R-2 WR, 0.0--1.5 cm",CKY000000000000810400,PP,NULL,8,chesterf316,NULL,CKY,2007-12-22T11:23:03Z,NULL,157,glass beaker,6.049,2.679,14.108,7.319871,8.059,157,glass beaker,6.049,2.679,11.622,4.8447,5.573,2.576166,2.515787,2.125085,4.640871,2.1657,0.09016587,0.04061526,5.482834,0.3196632,0.4698602,1.736527,1.181423,2.580055,0.5420936,1.183853,david_goldsby316,2007-12-25T07:46:21Z
"C0004D-5R-3, 0.0 cm",NULL,139.54,139.54,139.54,139.54,"C0004D-5R-3, 1.5 cm",NULL,139.555,139.555,139.555,139.555,"C0004D-5R-3 WR, 0.0--1.5 cm",CKY000000000000811000,PP,NULL,8,chesterf316,NULL,CKY,2007-12-22T11:25:04Z,NULL,118,glass beaker,5.99,2.716,13.217,6.684223,7.227,118,glass beaker,5.99,2.716,11.202,4.678,5.212,2.088083,2.039143,1.92908,3.968223,1.962,0.07308296,0.03292025,5.138917,0.288928,0.4063274,1.821218,1.295017,2.663922,0.5138681,1.057055,david_goldsby316,2007-12-25T07:45:24Z
"C0004D-7R-2, 0.0 cm",NULL,152.905,152.905,152.905,152.905,"C0004D-7R-2, 1.5 cm",NULL,152.92,152.92,152.92,152.92,"C0004D-7R-2 WR, 0.0--1.5 cm",CKY000000000000812000,PP,NULL,8,chesterf316,NULL,CKY,2007-12-22T13:34:35Z,NULL,137,glass beaker,6.089,2.707,12.525,6.336898,6.436,137,glass beaker,6.089,2.707,10.573,4.3934,4.484,2.022798,1.975389,1.654509,3.629898,1.6864,0.07079798,0.03189098,4.413202,0.3142943,0.4583516,1.773053,1.215792,2.667378,0.5441995,1.193942,david_goldsby316,2007-12-25T07:44:15Z
