Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0018A-1H-1, 27.0 cm",NULL,0.263,0.27,0.263,0.27,"C0018A-1H-1, 29.0 cm",NULL,0.282,0.29,0.282,0.29,"C0018A-1H-1 W, 27.0--29.0 cm",CKY000000000003722400,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T05:32:50Z,109,glass beaker,6.01,2.699,12.233,7.1267,6.223,109,glass beaker,6.01,2.699,8.9192,3.8273,2.9092,3.434,3.3535,1.0742,4.4277,1.1283,0.1202,0.0541,2.789,0.5518,1.2313,1.4055,0.6299,2.5964,0.7574,3.1219,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-1, 73.0 cm",NULL,0.71,0.73,0.71,0.73,"C0018A-1H-1, 75.0 cm",NULL,0.73,0.75,0.73,0.75,"C0018A-1H-1 W, 73.0--75.0 cm",CKY000000000003722500,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T05:32:50Z,112,glass beaker,6.019,2.67,12.5244,7.2865,6.5054,112,glass beaker,6.019,2.67,9.1084,3.8854,3.0894,3.5399,3.4569,1.1596,4.6165,1.2154,0.1239,0.0558,2.9655,0.5441,1.1937,1.4092,0.6424,2.5573,0.7488,2.9811,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-2, 21.5 cm",NULL,0.978,1.005,0.978,1.005,"C0018A-1H-2, 22.5 cm",NULL,0.988,1.015,0.988,1.015,"C0018A-1H-2 WR, 21.5--22.5 cm",CKY000000000003682900,PP,NULL,2,marion333,NULL,CKY,2010-12-12T17:53:29Z,421,glass beaker,6.215,2.784,10.8227,5.9794,4.6077,421,glass beaker,6.215,2.784,8.5053,3.6721,2.2903,2.4015,2.3452,0.8502,3.1954,0.8881,0.0841,0.0379,2.2062,0.5212,1.0885,1.442,0.6904,2.5949,0.7339,2.7584,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-3, 26.0 cm",NULL,1.241,1.275,1.241,1.275,"C0018A-1H-3, 28.0 cm",NULL,1.26,1.295,1.26,1.295,"C0018A-1H-3 W, 26.0--28.0 cm",CKY000000000003722600,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T05:42:33Z,115,glass beaker,6.024,2.661,10.7402,5.8961,4.7162,115,glass beaker,6.024,2.661,8.4509,3.6168,2.4269,2.3723,2.3167,0.9184,3.2351,0.9558,0.083,0.0374,2.3439,0.503,1.0121,1.4578,0.7245,2.5522,0.7161,2.5225,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-3, 99.0 cm",NULL,1.951,2.005,1.951,2.005,"C0018A-1H-3, 101.0 cm",NULL,1.97,2.025,1.97,2.025,"C0018A-1H-3 W, 99.0--101.0 cm",CKY000000000003722700,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T05:42:33Z,107,glass beaker,6.089,2.699,11.2987,5.9502,5.2097,107,glass beaker,6.089,2.699,9.1785,3.8392,3.0895,2.1971,2.1456,1.1056,3.2512,1.1402,0.0769,0.0346,3.0126,0.4217,0.7293,1.6024,0.9266,2.7249,0.6599,1.9407,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-4, 27.0 cm",NULL,2.622,2.695,2.622,2.695,"C0018A-1H-4, 29.0 cm",NULL,2.642,2.715,2.642,2.715,"C0018A-1H-4 W, 27.0--29.0 cm",CKY000000000003722800,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T05:52:24Z,116,glass beaker,6.076,2.7,9.6471,5.0076,3.5711,116,glass beaker,6.076,2.7,8.0903,3.4576,2.0143,1.6133,1.5755,0.7321,2.3076,0.7576,0.0565,0.0255,1.9578,0.4518,0.824,1.5475,0.8484,2.6742,0.6827,2.152,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-4, 61.0 cm",NULL,2.953,3.035,2.953,3.035,"C0018A-1H-4, 63.0 cm",NULL,2.972,3.055,2.972,3.055,"C0018A-1H-4 W, 61.0--63.0 cm",CKY000000000003771200,PP,NULL,5,mstrasser333,co-located with 333MS2,CKY,2010-12-15T07:01:40Z,123,glass beaker,6.061,2.721,10.2478,5.5185,4.1868,123,glass beaker,6.061,2.721,8.3764,3.6553,2.3154,1.9393,1.8938,0.9037,2.7975,0.9343,0.0679,0.0306,2.2475,0.4632,0.8629,1.4966,0.8034,2.487,0.677,2.0956,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-4, 66.0 cm",NULL,3.002,3.085,3.002,3.085,"C0018A-1H-4, 68.0 cm",NULL,3.021,3.105,3.021,3.105,"C0018A-1H-4 W, 66.0--68.0 cm",CKY000000000003771300,PP,NULL,5,mstrasser333,co-located with 333MS2,CKY,2010-12-15T07:01:40Z,117,glass beaker,6.088,2.718,9.665,5.1362,3.577,117,glass beaker,6.088,2.718,8.0833,3.5614,1.9953,1.6391,1.6007,0.8175,2.4182,0.8434,0.0574,0.0259,1.9379,0.4582,0.8458,1.4792,0.8014,2.3705,0.6619,1.958,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-4, 100.0 cm",NULL,3.332,3.425,3.332,3.425,"C0018A-1H-4, 102.0 cm",NULL,3.352,3.445,3.352,3.445,"C0018A-1H-4 W, 100.0--102.0 cm",CKY000000000003722900,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T05:52:24Z,118,glass beaker,5.991,2.673,11.3462,6.1725,5.3552,118,glass beaker,5.991,2.673,8.9679,3.8046,2.9769,2.4646,2.4068,1.0927,3.4995,1.1316,0.0863,0.0389,2.8906,0.4602,0.8526,1.5303,0.826,2.6454,0.6878,2.2026,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-4, 103.0 cm",NULL,3.362,3.455,3.362,3.455,"C0018A-1H-4, 105.0 cm",NULL,3.381,3.475,3.381,3.475,"C0018A-1H-4 W, 103.0--105.0 cm",CKY000000000003771400,PP,NULL,5,mstrasser333,co-located with 333MS2,CKY,2010-12-15T07:01:40Z,122,glass beaker,5.967,2.709,10.2281,5.4694,4.2611,122,glass beaker,5.967,2.709,8.4148,3.6639,2.4478,1.8791,1.8351,0.9253,2.7604,0.9549,0.0658,0.0296,2.382,0.441,0.7889,1.5437,0.8629,2.5743,0.6648,1.9832,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-4, 107.0 cm",NULL,3.4,3.495,3.4,3.495,"C0018A-1H-4, 109.0 cm",NULL,3.42,3.515,3.42,3.515,"C0018A-1H-4 W, 107.0--109.0 cm",CKY000000000003771500,PP,NULL,5,mstrasser333,co-located with 333MS2,CKY,2010-12-15T07:01:40Z,125,glass beaker,6.084,2.735,9.381,4.965,3.297,125,glass beaker,6.084,2.735,7.8675,3.4581,1.7835,1.5684,1.5316,0.6984,2.23,0.7231,0.0549,0.0247,1.7286,0.4757,0.9073,1.4785,0.7752,2.4751,0.6868,2.193,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-5, 26.0 cm",NULL,3.984,4.095,3.984,4.095,"C0018A-1H-5, 28.0 cm",NULL,4.004,4.115,4.004,4.115,"C0018A-1H-5 W, 26.0--28.0 cm",CKY000000000003723700,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T06:04:12Z,113,glass beaker,5.98,2.642,10.9787,5.9964,4.9987,113,glass beaker,5.98,2.642,8.7506,3.778,2.7706,2.3089,2.2548,1.0996,3.3544,1.136,0.0808,0.0364,2.6898,0.4619,0.8584,1.4902,0.8019,2.4462,0.6722,2.0506,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-6, 22.0 cm",NULL,4.597,4.725,4.597,4.725,"C0018A-1H-6, 23.0 cm",NULL,4.607,4.735,4.607,4.735,"C0018A-1H-6 WR, 22.0--23.0 cm",CKY000000000003683500,PP,NULL,2,marion333,NULL,CKY,2010-12-12T17:58:19Z,204,glass beaker,6.057,2.704,11.3793,6.2609,5.3223,204,glass beaker,6.057,2.704,8.9808,3.8729,2.9238,2.4855,2.4272,1.1297,3.5569,1.1689,0.087,0.0392,2.8368,0.467,0.8762,1.4963,0.7975,2.5111,0.6824,2.1485,kidoyo,2010-12-24T14:35:31Z
"C0018A-1H-7, 26.0 cm",NULL,4.86,4.995,4.86,4.995,"C0018A-1H-7, 28.0 cm",NULL,4.879,5.015,4.879,5.015,"C0018A-1H-7 W, 26.0--28.0 cm",CKY000000000003724400,PP,NULL,5,yasunagam,NULL,CKY,2010-12-14T06:28:04Z,635,glass beaker,6.212,2.812,9.9093,5.176,3.6973,635,glass beaker,6.212,2.812,8.3455,3.619,2.1335,1.6205,1.5825,0.7815,2.364,0.807,0.0567,0.0255,2.0768,0.4383,0.7803,1.564,0.8785,2.6575,0.6694,2.025,kidoyo,2010-12-24T14:35:31Z
