Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0007C-1H-1, 26.0 cm",NULL,12.89,12.9,12.89,12.9,"C0007C-1H-1, 28.0 cm",NULL,12.909,12.92,12.909,12.92,"C0007C-1H-1 W, 26.0--28.0 cm",CKY000000000001401000,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:16Z,NULL,156,glass beaker,5.934,2.659,14.667,7.444037,8.733,156,glass beaker,5.934,2.659,12.15,4.938,6.216,2.60829,2.547158,2.237878,4.785037,2.279,0.09129023,0.04112172,6.12471,0.2986706,0.4258635,1.825064,1.279971,2.736838,0.5323174,1.138202,tsutsumi316,2008-01-18T18:16:59Z
"C0007C-1H-1, 60.0 cm",NULL,13.216,13.24,13.216,13.24,"C0007C-1H-1, 61.5 cm",NULL,13.231,13.255,13.231,13.255,"C0007C-1H-1 WR, 60.0--61.5 cm",CKY000000000001347600,PP,NULL,8,chesterf316,NULL,CKY,2008-01-15T14:49:54Z,NULL,141,glass beaker,6.013,2.714,13.397,6.359153,7.384,141,glass beaker,6.013,2.714,11.825,4.794,5.812,1.629016,1.590835,2.054317,3.645153,2.08,0.05701559,0.0256827,5.754984,0.2206142,0.2830617,2.025704,1.578805,2.80141,0.4364249,0.7743864,david_goldsby316,2008-01-26T13:18:16Z
"C0007C-1H-1, 99.0 cm",NULL,13.591,13.63,13.591,13.63,"C0007C-1H-1, 101.0 cm",NULL,13.61,13.65,13.61,13.65,"C0007C-1H-1 W, 99.0--101.0 cm",CKY000000000001401100,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:16Z,NULL,113,glass beaker,5.985,2.629,14.003,7.12069,8.018,113,glass beaker,5.985,2.629,11.636,4.764,5.651,2.45285,2.395361,2.096329,4.49169,2.135,0.08584981,0.03867108,5.56515,0.3059179,0.4407518,1.785074,1.238988,2.654712,0.5332873,1.142646,tsutsumi316,2008-01-18T18:17:00Z
"C0007C-1H-2, 0.0 cm",NULL,13.994,14.05,13.994,14.05,"C0007C-1H-2, 1.5 cm",NULL,14.008,14.065,14.008,14.065,"C0007C-1H-2 WR, 0.0--1.5 cm",CKY000000000001338200,PP,NULL,5,arito316,NULL,CKY,2008-01-14T21:16:54Z,NULL,125,glass beaker,6.079,2.718,13.916,6.695595,7.837,125,glass beaker,6.079,2.718,12.216,5.003,6.137,1.761658,1.720369,2.257226,3.977595,2.285,0.06165808,0.02777391,6.075342,0.2247873,0.2899685,1.970286,1.527391,2.691508,0.4325149,0.7621608,tsutsumi316,2008-01-18T18:16:57Z
"C0007C-1H-3, 50.5 cm",NULL,14.704,14.79,14.704,14.79,"C0007C-1H-3, 52.5 cm",NULL,14.724,14.81,14.724,14.81,"C0007C-1H-3 W, 50.5--52.5 cm",CKY000000000001401200,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:16Z,NULL,138,glass beaker,5.99,2.626,16,7.93847,10.01,138,glass beaker,5.99,2.626,13.353,5.303,7.363,2.743005,2.678716,2.633754,5.31247,2.677,0.09600526,0.04324561,7.266995,0.2740265,0.3774607,1.884246,1.367913,2.759177,0.5042317,1.017071,tsutsumi316,2008-01-18T18:17:00Z
"C0007C-1H-4, 23.5 cm",NULL,15.588,15.71,15.588,15.71,"C0007C-1H-4, 25.5 cm",NULL,15.607,15.73,15.607,15.73,"C0007C-1H-4 W, 23.5--25.5 cm",CKY000000000001401300,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:17Z,NULL,118,glass beaker,5.99,2.716,15.957,8.219386,9.967,118,glass beaker,5.99,2.716,13.061,5.336,7.071,3.001036,2.930699,2.572686,5.503386,2.62,0.1050364,0.04731367,6.965964,0.3010972,0.4308142,1.811067,1.26576,2.707662,0.5325266,1.139159,tsutsumi316,2008-01-18T18:17:00Z
"C0007C-1H-4, 123.0 cm",NULL,16.543,16.705,16.543,16.705,"C0007C-1H-4, 125.0 cm",NULL,16.562,16.725,16.562,16.725,"C0007C-1H-4 W, 123.0--125.0 cm",CKY000000000001401400,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:17Z,NULL,190,glass beaker,6.064,2.72,13.321,6.80633,7.257,190,glass beaker,6.064,2.72,11.101,4.596,5.037,2.300518,2.2466,1.839731,4.08633,1.876,0.0805182,0.03626946,4.956482,0.3170068,0.4641434,1.775921,1.212942,2.694135,0.5497842,1.221157,tsutsumi316,2008-01-18T18:17:01Z
"C0007C-1H-5, 0.0 cm",NULL,16.721,16.89,16.721,16.89,"C0007C-1H-5, 1.5 cm",NULL,16.735,16.905,16.735,16.905,"C0007C-1H-5 WR, 0.0--1.5 cm",CKY000000000001339000,PP,NULL,5,arito316,NULL,CKY,2008-01-14T21:25:42Z,NULL,195,glass beaker,6.061,2.75,14.547,6.963447,8.486,195,glass beaker,6.061,2.75,12.813,5.237,6.752,1.796891,1.754777,2.458671,4.213447,2.487,0.06289124,0.02832939,6.689109,0.2117477,0.2686294,2.014028,1.587562,2.72062,0.4164705,0.7137095,tsutsumi316,2008-01-18T18:16:57Z
"C0007C-1H-6, 23.5 cm",NULL,17.167,17.355,17.167,17.355,"C0007C-1H-6, 25.5 cm",NULL,17.186,17.375,17.186,17.375,"C0007C-1H-6 W, 23.5--25.5 cm",CKY000000000001401500,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:17Z,NULL,187,glass beaker,6.12,2.752,14.518,7.309165,8.398,187,glass beaker,6.12,2.752,12.26,5.061,6.14,2.339896,2.285055,2.27211,4.557165,2.309,0.08189644,0.03689029,6.058104,0.2786254,0.3862424,1.842813,1.329358,2.66629,0.5014203,1.005697,tsutsumi316,2008-01-18T18:17:01Z
"C0007C-1H-7, 23.0 cm",NULL,18.31,18.545,18.31,18.545,"C0007C-1H-7, 25.0 cm",NULL,18.329,18.565,18.329,18.565,"C0007C-1H-7 W, 23.0--25.0 cm",CKY000000000001401600,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:18Z,NULL,17,glass cell,4.589,2.052,13.336,8.08754,8.747,17,glass cell,4.589,2.052,10.705,5.468,6.116,2.726425,2.662524,3.373016,6.03554,3.416,0.09542494,0.04298421,6.020575,0.3116983,0.4528513,1.449249,0.9975205,1.784923,0.441141,0.7893601,tsutsumi316,2008-01-26T18:14:46Z
"C0007C-1H-7, 103.0 cm",NULL,19.078,19.345,19.078,19.345,"C0007C-1H-7, 105.0 cm",NULL,19.097,19.365,19.097,19.365,"C0007C-1H-7 W, 103.0--105.0 cm",CKY000000000001401700,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:18Z,NULL,188,glass beaker,6.014,2.74,16.162,7.051231,10.148,188,glass beaker,6.014,2.74,13.46,4.361,7.446,2.8,2.734375,1.576856,4.311231,1.621,0.09800008,0.04414418,7.348,0.2759164,0.3810561,2.353852,1.704386,4.659906,0.6342446,1.734068,tsutsumi316,2008-01-26T18:14:46Z
"C0007C-1H-8, 26.0 cm",NULL,19.688,19.98,19.688,19.98,"C0007C-1H-8, 28.0 cm",NULL,19.707,20,19.707,20,"C0007C-1H-8 W, 26.0--28.0 cm",CKY000000000001401800,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:18Z,NULL,173,glass beaker,5.972,2.711,15.501,7.843997,9.529,173,glass beaker,5.972,2.711,12.975,5.329,7.003,2.617617,2.556266,2.576731,5.132997,2.618,0.09161665,0.04126876,6.911383,0.2747,0.3787399,1.85642,1.346461,2.682229,0.4980065,0.9920577,tsutsumi316,2008-01-18T18:17:02Z
"C0007C-3H-1, 66.0 cm",NULL,30.72,30.75,30.72,30.75,"C0007C-3H-1, 68.0 cm",NULL,30.739,30.77,30.739,30.77,"C0007C-3H-1 W, 66.0--68.0 cm",CKY000000000001401900,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:18Z,NULL,144,glass beaker,6.092,2.717,14.35,7.122836,8.258,144,glass beaker,6.092,2.717,12.246,5.028,6.154,2.180311,2.12921,2.276626,4.405836,2.311,0.07631094,0.0343743,6.077689,0.2640241,0.3587401,1.874332,1.379463,2.669604,0.4832704,0.9352481,tsutsumi316,2008-01-18T18:17:04Z
"C0007C-3H-2, 0.0 cm",NULL,31.43,31.495,31.43,31.495,"C0007C-3H-2, 1.5 cm",NULL,31.444,31.51,31.444,31.51,"C0007C-3H-2 WR, 0.0--1.5 cm",CKY000000000001342400,PP,NULL,8,arito316,NULL,CKY,2008-01-15T05:08:54Z,NULL,115,glass beaker,6.019,2.682,14.735,7.114254,8.716,115,glass beaker,6.019,2.682,12.727,5.115,6.708,2.080829,2.03206,2.400194,4.432254,2.433,0.07282907,0.03280589,6.635171,0.2387367,0.313606,1.966494,1.49702,2.764431,0.4584709,0.846623,david_goldsby316,2008-01-26T13:18:16Z
"C0007C-3H-2, 29.0 cm",NULL,31.707,31.785,31.707,31.785,"C0007C-3H-2, 31.0 cm",NULL,31.726,31.805,31.726,31.805,"C0007C-3H-2 W, 29.0--31.0 cm",CKY000000000001402000,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:19Z,NULL,201,glass beaker,6.063,2.712,14.89,7.4775,8.827,201,glass beaker,6.063,2.712,12.482,5.08,6.419,2.4953,2.4368,2.3287,4.7655,2.368,0.0873,0.0393,6.3317,0.2827,0.3941,1.8523,1.3287,2.719,0.5113,1.0464,fujikit,2010-08-10T11:47:46Z
"C0007C-3H-2, 100.0 cm",NULL,32.384,32.495,32.384,32.495,"C0007C-3H-2, 102.0 cm",NULL,32.403,32.515,32.403,32.515,"C0007C-3H-2 W, 100.0--102.0 cm",CKY000000000001402100,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:19Z,NULL,165,glass beaker,5.978,2.651,13.27,6.6104,7.292,165,glass beaker,5.978,2.651,11.301,4.65,5.323,2.0404,1.9926,1.9668,3.9594,1.999,0.0714,0.0322,5.2516,0.2798,0.3885,1.8417,1.3264,2.6701,0.5033,1.0131,fujikit,2010-08-10T11:47:45Z
"C0007C-3H-3, 103.0 cm",NULL,32.632,32.755,32.632,32.755,"C0007C-3H-3, 104.5 cm",NULL,32.646,32.77,32.646,32.77,"C0007C-3H-3 WR, 103.0--104.5 cm",CKY000000000001356300,PP,NULL,8,arito316,NULL,CKY,2008-01-15T19:59:49Z,NULL,167,glass beaker,6.068,2.721,14.691,7.295879,8.623,167,glass beaker,6.068,2.721,12.597,5.211,6.529,2.169948,2.11909,2.455789,4.574879,2.49,0.07594825,0.03421092,6.453052,0.2516466,0.336267,1.884859,1.41054,2.62769,0.4632013,0.8628958,tsutsumi316,2008-01-18T18:17:02Z
"C0007C-3H-4, 0.0 cm",NULL,32.789,32.92,32.789,32.92,"C0007C-3H-4, 1.5 cm",NULL,32.804,32.935,32.804,32.935,"C0007C-3H-4 WR, 0.0--1.5 cm",CKY000000000001343500,PP,NULL,8,chesterf316,NULL,CKY,2008-01-15T05:48:08Z,NULL,107,glass beaker,6.084,2.677,13.616,6.617094,7.532,107,glass beaker,6.084,2.677,11.801,4.81,5.717,1.880829,1.836747,2.103347,3.940094,2.133,0.06582907,0.02965273,5.651171,0.2497118,0.3328211,1.911629,1.434273,2.686751,0.4661683,0.8732495,david_goldsby316,2008-01-26T13:18:15Z
"C0007C-3H-5, 37.0 cm",NULL,33.352,33.51,33.352,33.51,"C0007C-3H-5, 39.0 cm",NULL,33.371,33.53,33.371,33.53,"C0007C-3H-5 W, 37.0--39.0 cm",CKY000000000001402200,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:19Z,NULL,181,glass beaker,6.057,2.713,13.844,6.729251,7.787,181,glass beaker,6.057,2.713,12.065,4.958,6.008,1.843523,1.800316,2.215935,4.016251,2.245,0.06452337,0.02906458,5.943476,0.2367437,0.3101759,1.938873,1.479857,2.682152,0.4482578,0.8124405,tsutsumi316,2008-01-18T18:17:04Z
"C0007C-3H-5, 60.0 cm",NULL,33.571,33.74,33.571,33.74,"C0007C-3H-5, 61.5 cm",NULL,33.586,33.755,33.586,33.755,"C0007C-3H-5 WR, 60.0--61.5 cm",CKY000000000001358400,PP,NULL,8,arito316,NULL,CKY,2008-01-15T20:40:10Z,NULL,158,glass beaker,6.019,2.709,14.669,7.100951,8.65,158,glass beaker,6.019,2.709,12.821,5.261,6.802,1.915026,1.870142,2.521808,4.391951,2.552,0.06702596,0.03019187,6.734974,0.2213903,0.2843405,1.969512,1.533481,2.670692,0.4258114,0.7415879,tsutsumi316,2008-01-18T18:17:03Z
"C0007C-3H-6, 23.0 cm",NULL,34.363,34.57,34.363,34.57,"C0007C-3H-6, 25.0 cm",NULL,34.382,34.59,34.382,34.59,"C0007C-3H-6 A, 23.0--25.0 cm",CKY000000000001402300,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:19Z,NULL,175,glass beaker,6.139,2.807,13.307,6.933452,7.168,175,glass beaker,6.139,2.807,11.115,4.751,4.976,2.271503,2.218264,1.908188,4.126452,1.944,0.07950265,0.03581201,4.896497,0.3168949,0.4639036,1.737085,1.186612,2.566046,0.5375718,1.162498,tsutsumi316,2008-01-18T18:17:04Z
"C0007C-3H-7, 23.0 cm",NULL,35.694,35.965,35.694,35.965,"C0007C-3H-7, 25.0 cm",NULL,35.713,35.985,35.713,35.985,"C0007C-3H-7 A, 23.0--25.0 cm",CKY000000000001402400,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:20Z,NULL,108,glass beaker,6.035,2.701,14.746,7.3706,8.711,108,glass beaker,6.035,2.701,12.588,5.222,6.553,2.236269,2.183857,2.485743,4.6696,2.521,0.07826949,0.03525653,6.474731,0.2567179,0.3453842,1.86547,1.386571,2.604746,0.4676753,0.8785528,tsutsumi316,2008-01-18T18:17:05Z
"C0007C-3H-8, 23.0 cm",NULL,37.053,37.39,37.053,37.39,"C0007C-3H-8, 25.0 cm",NULL,37.072,37.41,37.072,37.41,"C0007C-3H-8 A, 23.0--25.0 cm",CKY000000000001402500,PP,NULL,5,tsutsumi316,NULL,CKY,2008-01-17T01:34:20Z,NULL,157,glass beaker,6.049,2.679,13.582,6.766641,7.533,157,glass beaker,6.049,2.679,11.663,4.856,5.614,1.988601,1.941993,2.145648,4.087641,2.177,0.06960109,0.03135184,5.544399,0.2639853,0.3586685,1.842872,1.356381,2.584021,0.4750889,0.9050846,tsutsumi316,2008-01-18T18:17:05Z
"C0007C-5X-CC, 19.0 cm",NULL,43.38,43.38,43.38,43.38,"C0007C-5X-CC, 21.0 cm",NULL,43.4,43.4,43.4,43.4,"C0007C-5X-CC W, 19.0--21.0 cm",CKY000000000001373500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:24:59Z,NULL,155,glass beaker,6.039,2.701,13.377,5.847191,7.338,155,glass beaker,6.039,2.701,12.732,5.205,6.693,0.6683938,0.6527283,2.493462,3.146191,2.504,0.0233938,0.01053775,6.669606,0.09108665,0.1002149,2.332344,2.119899,2.674837,0.2074662,0.2617759,david_goldsby316,2008-01-26T13:18:15Z
"C0007C-6X-1, 20.0 cm",NULL,52.79,52.79,52.79,52.79,"C0007C-6X-1, 22.0 cm",NULL,52.81,52.81,52.81,52.81,"C0007C-6X-1 W, 20.0--22.0 cm",CKY000000000001379000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T11:39:01Z,sand,185,glass beaker,5.861,2.618,14.652,6.914608,8.791,185,glass beaker,5.861,2.618,12.955,5.225,7.094,1.758549,1.717333,2.579275,4.296608,2.607,0.06154927,0.0277249,7.032451,0.2000397,0.2500621,2.046032,1.636745,2.726522,0.3996951,0.6658201,david_goldsby316,2008-01-26T13:58:51Z
"C0007C-6X-1, 125.0 cm",NULL,53.84,53.84,53.84,53.84,"C0007C-6X-1, 127.0 cm",NULL,53.86,53.86,53.86,53.86,"C0007C-6X-1 W, 125.0--127.0 cm",CKY000000000001379100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T11:39:01Z,NULL,145,glass beaker,5.966,2.637,15.274,7.341271,9.308,145,glass beaker,5.966,2.637,13.27,5.346,7.304,2.076684,2.028012,2.676259,4.704271,2.709,0.07268399,0.03274054,7.231316,0.2231074,0.2871793,1.978627,1.537181,2.702023,0.4311001,0.7577784,david_goldsby316,2008-01-26T13:36:52Z
"C0007C-6X-2, 20.0 cm",NULL,54.195,54.195,54.195,54.195,"C0007C-6X-2, 22.0 cm",NULL,54.215,54.215,54.215,54.215,"C0007C-6X-2 W, 20.0--22.0 cm",CKY000000000001379200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T11:39:01Z,NULL,142,glass beaker,6.096,2.792,14.067,6.743482,7.971,142,glass beaker,6.096,2.792,12.341,5.025,6.245,1.788601,1.746681,2.204801,3.951482,2.233,0.06260108,0.02819869,6.182399,0.2243885,0.2893054,2.017218,1.564577,2.804062,0.4420318,0.7922168,david_goldsby316,2008-01-26T13:36:52Z
"C0007C-6X-2, 75.5 cm",NULL,54.75,54.75,54.75,54.75,"C0007C-6X-2, 77.0 cm",NULL,54.765,54.765,54.765,54.765,"C0007C-6X-2 WR, 75.5--77.0 cm",CKY000000000001367700,PP,NULL,8,arito316,NULL,CKY,2008-01-16T02:30:42Z,NULL,153,glass beaker,6.069,2.733,13.707,6.808083,7.638,153,glass beaker,6.069,2.733,11.637,4.7471,5.568,2.145078,2.094802,1.980281,4.075083,2.0141,0.07507778,0.03381882,5.492922,0.2808429,0.3905167,1.874317,1.347929,2.77381,0.5140514,1.057831,david_goldsby316,2008-01-26T13:18:16Z
"C0007C-6X-2, 100.0 cm",NULL,54.995,54.995,54.995,54.995,"C0007C-6X-2, 102.0 cm",NULL,55.015,55.015,55.015,55.015,"C0007C-6X-2 W, 100.0--102.0 cm",CKY000000000001379300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T11:39:01Z,clayey sand,114,glass beaker,6.061,2.735,15.873,7.662001,9.812,114,glass beaker,6.061,2.735,13.807,5.605,7.746,2.140933,2.090754,2.836247,4.927001,2.87,0.0749327,0.03375347,7.671067,0.2181953,0.2790919,1.991475,1.556945,2.704655,0.4243463,0.7371554,david_goldsby316,2008-01-26T13:58:51Z
"C0007C-6X-3, 0.0 cm",NULL,55.175,55.175,55.175,55.175,"C0007C-6X-3, 1.5 cm",NULL,55.19,55.19,55.19,55.19,"C0007C-6X-3 WR, 0.0--1.5 cm",CKY000000000001348800,PP,NULL,8,arito316,NULL,CKY,2008-01-15T15:25:11Z,NULL,204,glass beaker,6.059,2.716,14.689,7.037247,8.63,204,glass beaker,6.059,2.716,12.909,5.265,6.85,1.84456,1.801328,2.519919,4.321247,2.549,0.06455964,0.02908092,6.78544,0.2137381,0.2718408,1.997109,1.570251,2.692722,0.4168537,0.7148355,tsutsumi316,2008-01-18T18:16:59Z
"C0007C-6X-4, 20.0 cm",NULL,55.595,55.595,55.595,55.595,"C0007C-6X-4, 22.0 cm",NULL,55.615,55.615,55.615,55.615,"C0007C-6X-4 W, 20.0--22.0 cm",CKY000000000001379400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T11:39:02Z,sand,117,glass beaker,6.089,2.724,15.519,7.266573,9.43,117,glass beaker,6.089,2.724,13.814,5.569,7.725,1.766839,1.725429,2.817144,4.542573,2.845,0.06183943,0.0278556,7.66316,0.1873637,0.2305628,2.075916,1.686965,2.720187,0.3798351,0.6124745,david_goldsby316,2008-01-26T13:58:51Z
"C0007C-6X-4, 55.5 cm",NULL,55.95,55.95,55.95,55.95,"C0007C-6X-4, 57.0 cm",NULL,55.965,55.965,55.965,55.965,"C0007C-6X-4 WR, 55.5--57.0 cm",CKY000000000001368200,PP,NULL,8,arito316,NULL,CKY,2008-01-16T02:43:08Z,NULL,121,glass beaker,6.069,2.709,13.991,6.733626,7.922,121,glass beaker,6.069,2.709,12.298,5.048,6.229,1.754404,1.713285,2.31134,4.024626,2.339,0.06140419,0.02765955,6.167596,0.2214598,0.2844551,1.968382,1.532465,2.668407,0.4257005,0.7412518,david_goldsby316,2008-01-26T13:36:49Z
"C0007C-6X-CC, 22.5 cm",NULL,56.47,56.47,56.47,56.47,"C0007C-6X-CC, 24.0 cm",NULL,56.485,56.485,56.485,56.485,"C0007C-6X-CC WR, 22.5--24.0 cm",CKY000000000001368900,PP,NULL,8,arito316,NULL,CKY,2008-01-16T02:58:31Z,NULL,176,glass beaker,5.97,2.665,13.335,6.479168,7.365,176,glass beaker,5.97,2.665,11.537,4.689,5.567,1.863212,1.819543,1.994625,3.814168,2.024,0.06521249,0.02937499,5.501788,0.252982,0.3386558,1.930958,1.442461,2.758307,0.4770485,0.9122233,david_goldsby316,2008-01-26T13:36:48Z
