Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0001E-1H-2, 23.0 cm",NULL,0.283,0.31,0.283,0.31,"C0001E-1H-2, 24.0 cm",NULL,0.292,0.32,0.292,0.32,"C0001E-1H-2 W, 23.0--24.0 cm",CKY000000000000239900,PP,NULL,5,henry315,NULL,CKY,2007-11-20T17:06:22Z,140,glass beaker,6.001,2.695,10.616,5.510168,4.615,140,glass beaker,6.001,2.695,8.818,3.72,2.817,1.863212,1.819543,0.995625,2.815168,1.025,0.06521249,0.02937499,2.751788,0.4037297,0.6770917,1.639334,0.977486,2.76388,0.6463355,1.827539,ishimori,2007-11-25T17:47:42Z
"C0001E-1H-2, 100.0 cm",NULL,0.985,1.08,0.985,1.08,"C0001E-1H-2, 101.0 cm",NULL,0.994,1.09,0.994,1.09,"C0001E-1H-2 W, 100.0--101.0 cm",CKY000000000000240000,PP,NULL,5,henry315,NULL,CKY,2007-11-20T17:06:23Z,169,glass beaker,6.051,2.751,11.943,6.259461,5.892,169,glass beaker,6.051,2.751,9.753,4.079,3.702,2.26943,2.21624,1.292221,3.508461,1.328,0.07943011,0.03577933,3.62257,0.3851714,0.6264697,1.679369,1.032524,2.803368,0.6316845,1.715063,ishimori,2007-11-25T17:47:45Z
"C0001E-1H-2, 149.0 cm",NULL,1.432,1.57,1.432,1.57,"C0001E-1H-2, 150.0 cm",NULL,1.441,1.58,1.441,1.58,"C0001E-1H-2 W, 149.0--150.0 cm",CKY000000000000269500,PP,NULL,8,ishimori,NULL,CKY,2007-11-22T03:06:11Z,204,glass beaker,6.059,2.716,12.54,6.646742,6.481,204,glass beaker,6.059,2.716,10.185,4.302,4.126,2.440415,2.383217,1.547525,3.930742,1.586,0.08541457,0.03847503,4.040585,0.3765491,0.6039755,1.648798,1.027945,2.610999,0.6063021,1.540019,ishimori,2007-11-22T03:13:11Z
"C0001E-1H-3, 24.0 cm",NULL,1.669,1.83,1.669,1.83,"C0001E-1H-3, 26.0 cm",NULL,1.687,1.85,1.687,1.85,"C0001E-1H-3 W, 24.0--26.0 cm",CKY000000000000257700,PP,NULL,5,akopf315,NULL,CKY,2007-11-21T18:11:10Z,179,glass beaker,6.039,2.697,12.733,6.928882,6.694,179,glass beaker,6.039,2.697,9.951,4.159,3.912,2.882902,2.815333,1.416549,4.231882,1.462,0.1009016,0.04545119,3.811098,0.4306695,0.756449,1.581802,0.9005681,2.690411,0.6652674,1.98746,ishimori,2007-11-25T17:47:43Z
"C0001E-1H-3, 100.0 cm",NULL,2.362,2.59,2.362,2.59,"C0001E-1H-3, 101.5 cm",NULL,2.376,2.605,2.376,2.605,"C0001E-1H-3 WR, 100.0--101.5 cm",CKY000000000000239300,PP,NULL,8,wzhu315,NULL,CKY,2007-11-20T16:56:26Z,124,glass beaker,5.982,2.656,11.886,6.281065,5.904,124,glass beaker,5.982,2.656,9.605,4.01,3.623,2.363731,2.308331,1.316734,3.625065,1.354,0.08273063,0.03726605,3.540269,0.4003609,0.6676697,1.628661,0.9766087,2.688675,0.6367695,1.753073,ishimori,2007-11-25T17:47:43Z
"C0001E-1H-4, 19.0 cm",NULL,2.8,3.07,2.8,3.07,"C0001E-1H-4, 20.0 cm",NULL,2.809,3.08,2.809,3.08,"C0001E-1H-4 W, 19.0--20.0 cm",CKY000000000000233200,PP,NULL,8,henry315,NULL,CKY,2007-11-20T02:36:22Z,161,glass beaker,6.097,2.722,12.187,6.277075,6.09,161,glass beaker,6.097,2.722,10.138,4.237,4.041,2.123316,2.073551,1.481524,3.555075,1.515,0.07431612,0.03347573,3.966684,0.3486562,0.5352875,1.713044,1.115781,2.677434,0.583265,1.399606,ishimori,2007-11-25T17:47:43Z
"C0001E-1H-5, 24.0 cm",NULL,3.056,3.35,3.056,3.35,"C0001E-1H-5, 26.0 cm",NULL,3.074,3.37,3.074,3.37,"C0001E-1H-5 W, 24.0--26.0 cm",CKY000000000000257900,PP,NULL,5,akopf315,NULL,CKY,2007-11-21T18:11:10Z,115,glass beaker,6.019,2.682,10.702,5.612321,4.683,115,glass beaker,6.019,2.682,8.939,3.857,2.92,1.826943,1.784124,1.146197,2.930321,1.175,0.06394305,0.02880318,2.856057,0.3901224,0.6396732,1.598119,0.9746567,2.491768,0.6088494,1.55656,ishimori,2007-11-25T17:47:43Z
"C0001E-1H-6, 0.0 cm",NULL,3.462,3.795,3.462,3.795,"C0001E-1H-6, 1.0 cm",NULL,3.471,3.805,3.471,3.805,"C0001E-1H-6 WR, 0.0--1.0 cm",CKY000000000000233300,PP,NULL,8,henry315,NULL,CKY,2007-11-20T02:36:22Z,120,glass beaker,6.112,2.707,12.065,6.397134,5.953,120,glass beaker,6.112,2.707,9.8,4.142,3.688,2.34715,2.292139,1.397995,3.690134,1.435,0.08215032,0.03700465,3.60585,0.3942802,0.6509285,1.61322,0.9771595,2.5793,0.6211533,1.63959,ishimori,2007-11-21T23:34:23Z
"C0001E-1H-7, 0.0 cm",NULL,3.671,4.025,3.671,4.025,"C0001E-1H-7, 1.0 cm",NULL,3.68,4.035,3.68,4.035,"C0001E-1H-7 WR, 0.0--1.0 cm",CKY000000000000233400,PP,NULL,8,henry315,NULL,CKY,2007-11-20T02:36:23Z,167,glass beaker,6.068,2.721,11.517,6.158857,5.449,167,glass beaker,6.068,2.721,9.418,4.069,3.35,2.17513,2.12415,1.313707,3.437857,1.348,0.07612959,0.03429261,3.273871,0.3991796,0.6643908,1.584999,0.9522997,2.492085,0.6178703,1.616912,ishimori,2007-11-22T03:13:12Z
"C0001E-2H-1, 24.0 cm",NULL,4.323,4.34,4.323,4.34,"C0001E-2H-1, 25.0 cm",NULL,4.333,4.35,4.333,4.35,"C0001E-2H-1 W, 24.0--25.0 cm",CKY000000000000258000,PP,NULL,5,akopf315,NULL,CKY,2007-11-21T18:11:11Z,193,glass beaker,6.048,2.69,10.636,5.56665,4.588,193,glass beaker,6.048,2.69,8.719,3.658,2.671,1.986529,1.939969,0.9366808,2.87665,0.968,0.06952855,0.03131917,2.601472,0.4329835,0.7636172,1.594911,0.9043407,2.77733,0.6743848,2.07111,ishimori,2007-11-25T17:47:45Z
