Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0013D-2H-3, 34.5 cm",NULL,14.865,14.865,14.865,14.865,"C0013D-2H-3, 36.5 cm",NULL,14.885,14.885,14.885,14.885,"C0013D-2H-3 W, 34.5--36.5 cm",CKY000000000002925600,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:01:42Z,407,glass beaker,6.253,2.81,13.1425,6.7698,6.8895,407,glass beaker,6.253,2.81,10.79,4.4275,4.537,2.4378,2.3807,1.5791,3.9598,1.6175,0.0853,0.0384,4.4517,0.3538,0.5476,1.7399,1.1242,2.8191,0.6012,1.5076,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-4, 13.0 cm",NULL,15.66,15.66,15.66,15.66,"C0013D-2H-4, 15.0 cm",NULL,15.68,15.68,15.68,15.68,"C0013D-2H-4 W, 13.0--15.0 cm",CKY000000000002925700,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:03:50Z,178,glass beaker,6.072,2.731,12.9985,6.8881,6.9265,178,glass beaker,6.072,2.731,10.3304,4.2316,4.2584,2.7649,2.7001,1.457,4.1571,1.5006,0.0968,0.0436,4.1616,0.3992,0.6644,1.6662,1.0011,2.8563,0.6495,1.8532,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-5, 19.0 cm",NULL,16.615,16.615,16.615,16.615,"C0013D-2H-5, 21.0 cm",NULL,16.635,16.635,16.635,16.635,"C0013D-2H-5 W, 19.0--21.0 cm",CKY000000000002925800,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:06:11Z,118,glass beaker,5.992,2.737,12.4223,6.4837,6.4303,118,glass beaker,5.992,2.737,10.0631,4.1348,4.0711,2.4448,2.3875,1.3592,3.7467,1.3978,0.0856,0.0386,3.9855,0.3802,0.6134,1.7163,1.0637,2.9322,0.6372,1.7565,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-6, 82.0 cm",NULL,18.65,18.65,18.65,18.65,"C0013D-2H-6, 84.0 cm",NULL,18.67,18.67,18.67,18.67,"C0013D-2H-6 W, 82.0--84.0 cm",CKY000000000002925900,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:08:41Z,424,glass beaker,6.205,2.847,14.2747,7.3519,8.0697,424,glass beaker,6.205,2.847,11.5516,4.6406,5.3466,2.8219,2.7558,1.7491,4.5049,1.7936,0.0988,0.0445,5.2478,0.3497,0.5377,1.7913,1.1649,3.0003,0.6117,1.5756,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-7, 81.0 cm",NULL,20.05,20.05,20.05,20.05,"C0013D-2H-7, 83.0 cm",NULL,20.07,20.07,20.07,20.07,"C0013D-2H-7 W, 81.0--83.0 cm",CKY000000000002926000,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:10:56Z,171,glass beaker,5.99,2.735,11.2745,5.6532,5.2845,171,glass beaker,5.99,2.735,9.6552,4.0409,3.6652,1.678,1.6387,1.2795,2.9182,1.3059,0.0587,0.0264,3.6065,0.3175,0.4653,1.8109,1.2359,2.8187,0.5615,1.2807,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-8, 27.0 cm",NULL,20.915,20.915,20.915,20.915,"C0013D-2H-8, 29.0 cm",NULL,20.935,20.935,20.935,20.935,"C0013D-2H-8 W, 27.0--29.0 cm",CKY000000000002926100,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:13:32Z,113,glass beaker,5.987,2.719,13.8164,7.1613,7.8294,113,glass beaker,5.987,2.719,11.2562,4.6122,5.2692,2.6531,2.5909,1.8514,4.4423,1.8932,0.0929,0.0418,5.1763,0.3389,0.5125,1.7625,1.1652,2.7959,0.5832,1.3994,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-CC, 21.0 cm",NULL,21.385,21.385,21.385,21.385,"C0013D-2H-CC, 23.0 cm",NULL,21.405,21.405,21.405,21.405,"C0013D-2H-CC W, 21.0--23.0 cm",CKY000000000002926200,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T06:17:21Z,204,glass beaker,6.061,2.738,12.2784,6.3357,6.2174,204,glass beaker,6.061,2.738,10.0916,4.1584,4.0306,2.2661,2.213,1.3847,3.5977,1.4204,0.0793,0.0357,3.9513,0.3645,0.5735,1.7282,1.0983,2.8535,0.6151,1.5982,suzukit,2010-09-13T23:09:30Z
"C0013D-3T-1, 9.0 cm",NULL,22.09,22.09,22.09,22.09,"C0013D-3T-1, 11.0 cm",NULL,22.11,22.11,22.11,22.11,"C0013D-3T-1 W, 9.0--11.0 cm",CKY000000000002946900,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T15:17:51Z,205,glass beaker,6.085,2.718,12.3531,6.3032,6.2681,205,glass beaker,6.085,2.718,10.1548,4.1145,4.0698,2.278,2.2246,1.3606,3.5852,1.3965,0.0797,0.0359,3.9901,0.3634,0.5709,1.7483,1.1129,2.9326,0.6205,1.635,fuway,2010-09-15T05:39:34Z
"C0013D-3T-1, 20.0 cm",NULL,22.2,22.2,22.2,22.2,"C0013D-3T-1, 21.0 cm",NULL,22.21,22.21,22.21,22.21,"C0013D-3T-1 W, 20.0--21.0 cm",CKY000000000002947100,PP,NULL,8,yuka331,NULL,CKY,2010-09-12T15:47:15Z,479,glass beaker,18.908,8.567,26.7313,11.2629,7.8233,479,glass beaker,18.908,8.567,26.5375,11.07,7.6295,0.2008,0.1961,2.4998,2.6959,2.503,0.007,0.0032,7.6225,0.0257,0.0263,2.9019,2.8274,3.0492,0.0727,0.0784,fuway,2010-09-15T05:21:34Z
"C0013D-4X-1, 4.0 cm",NULL,26.04,26.04,26.04,26.04,"C0013D-4X-1, 6.0 cm",NULL,26.06,26.06,26.06,26.06,"C0013D-4X-1 W, 4.0--6.0 cm",CKY000000000002947000,PP,NULL,8,yuka331,NULL,CKY,2010-09-12T15:19:45Z,463,glass beaker,19.021,8.652,36.7024,16.4905,17.6814,463,glass beaker,19.021,8.652,34.9552,14.7509,15.9342,1.8106,1.7682,6.0703,7.8385,6.0989,0.0634,0.0286,15.8708,0.1024,0.1141,2.2557,2.0247,2.6145,0.2256,0.2913,fuway,2010-09-15T05:21:34Z
