Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0013D-1H-1, 40.0 cm",NULL,3.4,3.4,3.4,3.4,"C0013D-1H-1, 42.0 cm",NULL,3.42,3.42,3.42,3.42,"C0013D-1H-1 W, 40.0--42.0 cm",CKY000000000002919000,PP,NULL,10,yuka331,NULL,CKY,2010-09-11T23:41:36Z,17,glass beaker,4.585,2.083,11.4273,5.7706,6.8423,17,glass beaker,4.585,2.083,9.1007,3.4541,4.5157,2.411,2.3545,1.3331,3.6876,1.3711,0.0844,0.038,4.4313,0.3524,0.5441,1.8555,1.2017,3.3241,0.6385,1.7662,suzukit,2010-09-13T23:09:29Z
"C0013D-1H-2, 91.0 cm",NULL,4.685,4.685,4.685,4.685,"C0013D-1H-2, 93.0 cm",NULL,4.705,4.705,4.705,4.705,"C0013D-1H-2 W, 91.0--93.0 cm",CKY000000000002919100,PP,NULL,10,yuka331,NULL,CKY,2010-09-11T23:42:39Z,107,glass beaker,6.086,2.715,12.3717,6.2599,6.2857,107,glass beaker,6.086,2.715,10.1414,4.0393,4.0554,2.3112,2.257,1.2879,3.5449,1.3243,0.0809,0.0364,3.9745,0.3677,0.5815,1.7732,1.1212,3.086,0.6367,1.7525,suzukit,2010-09-13T23:09:29Z
"C0013D-1H-3, 91.0 cm",NULL,5.69,5.69,5.69,5.69,"C0013D-1H-3, 93.0 cm",NULL,5.71,5.71,5.71,5.71,"C0013D-1H-3 W, 91.0--93.0 cm",CKY000000000002919200,PP,NULL,10,yuka331,NULL,CKY,2010-09-11T23:43:12Z,513,glass beaker,4.592,2.088,10.9939,5.9191,6.4019,513,glass beaker,4.592,2.088,8.5599,3.4957,3.9679,2.5223,2.4632,1.3679,3.8311,1.4077,0.0883,0.0398,3.8796,0.394,0.6501,1.671,1.0127,2.8362,0.6429,1.8007,suzukit,2010-09-13T23:09:30Z
"C0013D-1H-4, 129.0 cm",NULL,7.495,7.495,7.495,7.495,"C0013D-1H-4, 131.0 cm",NULL,7.515,7.515,7.515,7.515,"C0013D-1H-4 W, 129.0--131.0 cm",CKY000000000002919300,PP,NULL,10,yuka331,NULL,CKY,2010-09-11T23:43:45Z,110,glass beaker,5.994,2.678,11.7174,6.0434,5.7234,110,glass beaker,5.994,2.678,9.6261,3.9612,3.6321,2.1672,2.1164,1.249,3.3654,1.2832,0.0759,0.0342,3.5562,0.3787,0.6094,1.7007,1.0567,2.8472,0.6289,1.6945,suzukit,2010-09-13T23:09:30Z
"C0013D-1H-5, 113.0 cm",NULL,8.745,8.745,8.745,8.745,"C0013D-1H-5, 115.0 cm",NULL,8.765,8.765,8.765,8.765,"C0013D-1H-5 W, 113.0--115.0 cm",CKY000000000002920700,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T01:58:28Z,145,glass beaker,5.973,2.688,12.0868,5.0884,6.1138,145,glass beaker,5.973,2.688,11.5882,4.592,5.6152,0.5167,0.5046,1.8958,2.4004,1.904,0.0181,0.0082,5.5971,0.0845,0.0923,2.547,2.3317,2.9524,0.2102,0.2662,suzukit,2010-09-13T23:09:30Z
"C0013D-1H-CC, 8.0 cm",NULL,11.77,11.77,11.77,11.77,"C0013D-1H-CC, 10.0 cm",NULL,11.79,11.79,11.79,11.79,"C0013D-1H-CC W, 8.0--10.0 cm",CKY000000000002920800,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T01:59:22Z,412,glass beaker,6.181,2.831,12.0451,5.9863,5.8641,412,glass beaker,6.181,2.831,10.2674,4.2164,4.0864,1.8422,1.799,1.3563,3.1553,1.3854,0.0645,0.0291,4.0219,0.3141,0.458,1.8585,1.2746,2.9653,0.5702,1.3264,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-1, 11.0 cm",NULL,12.61,12.61,12.61,12.61,"C0013D-2H-1, 13.0 cm",NULL,12.63,12.63,12.63,12.63,"C0013D-2H-1 W, 11.0--13.0 cm",CKY000000000002925200,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T05:46:42Z,432,glass beaker,6.183,2.793,11.9777,6.1113,5.7947,432,glass beaker,6.183,2.793,10.0418,4.1838,3.8588,2.0061,1.9591,1.3592,3.3183,1.3908,0.0702,0.0316,3.7886,0.3462,0.5295,1.7463,1.1417,2.7874,0.5904,1.4414,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-1, 65.0 cm",NULL,13.15,13.15,13.15,13.15,"C0013D-2H-1, 67.0 cm",NULL,13.17,13.17,13.17,13.17,"C0013D-2H-1 W, 65.0--67.0 cm",CKY000000000002925300,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T05:51:15Z,166,glass beaker,6.115,2.753,10.069,5.1324,3.954,166,glass beaker,6.115,2.753,8.4094,3.48,2.2944,1.7198,1.6795,0.6999,2.3794,0.727,0.0602,0.0271,2.2342,0.435,0.7698,1.6618,0.939,3.1922,0.7059,2.3996,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-2, 29.0 cm",NULL,13.81,13.81,13.81,13.81,"C0013D-2H-2, 31.0 cm",NULL,13.83,13.83,13.83,13.83,"C0013D-2H-2 W, 29.0--31.0 cm",CKY000000000002925400,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T05:54:50Z,147,glass beaker,6.025,2.695,12.9469,7.1843,6.9219,147,glass beaker,6.025,2.695,9.8074,4.0585,3.7824,3.2534,3.1771,1.3122,4.4893,1.3635,0.1139,0.0513,3.6685,0.47,0.8868,1.5419,0.8172,2.7957,0.7077,2.4212,suzukit,2010-09-13T23:09:30Z
"C0013D-2H-2, 79.0 cm",NULL,14.31,14.31,14.31,14.31,"C0013D-2H-2, 81.0 cm",NULL,14.33,14.33,14.33,14.33,"C0013D-2H-2 W, 79.0--81.0 cm",CKY000000000002925500,PP,NULL,5,hilairy331,NULL,CKY,2010-09-12T05:58:07Z,403,glass beaker,6.142,2.77,13.3366,7.2226,7.1946,403,glass beaker,6.142,2.77,10.4691,4.3675,4.3271,2.9715,2.9019,1.5507,4.4526,1.5975,0.104,0.0468,4.2231,0.413,0.7036,1.6158,0.9485,2.7234,0.6517,1.8713,suzukit,2010-09-13T23:09:30Z
