Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0006E-1H-1, 20.0 cm",NULL,0.198,0.2,0.198,0.2,"C0006E-1H-1, 22.0 cm",NULL,0.218,0.22,0.218,0.22,"C0006E-1H-1 W, 20.0--22.0 cm",CKY000000000000968000,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T07:54:27Z,NULL,23,glass cell,4.622,2.06,9.932,5.610211,5.31,23,glass cell,4.622,2.06,7.409,3.0982,2.787,2.614508,2.55323,0.9969803,3.550211,1.0382,0.09150784,0.04121975,2.695492,0.4923744,0.9699557,1.495686,0.7592485,2.703656,0.7191771,2.560963,david_goldsby316,2008-01-14T05:09:12Z
"C0006E-1H-1, 100.0 cm",NULL,0.991,1,0.991,1,"C0006E-1H-1, 102.0 cm",NULL,1.011,1.02,1.011,1.02,"C0006E-1H-1 W, 100.0--102.0 cm",CKY000000000000968100,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T07:54:27Z,NULL,172,glass beaker,6.038,2.688,14.014,7.447665,7.976,172,glass beaker,6.038,2.688,11.182,4.628,5.144,2.934715,2.865933,1.893732,4.759665,1.94,0.1027151,0.04626807,5.041285,0.3679432,0.5821363,1.675748,1.059168,2.66209,0.6021291,1.513378,david_goldsby316,2008-01-14T05:15:33Z
"C0006E-1H-2, 0.0 cm",NULL,1.195,1.205,1.195,1.205,"C0006E-1H-2, 1.5 cm",NULL,1.21,1.22,1.21,1.22,"C0006E-1H-2 WR, 0.0--1.5 cm",CKY000000000000948400,PP,NULL,8,arito316,NULL,CKY,2007-12-28T16:05:44Z,NULL,187,glass beaker,6.12,2.752,14.787,7.816972,8.667,187,glass beaker,6.12,2.752,11.796,4.839,5.676,3.099482,3.026838,2.038134,5.064972,2.087,0.1084819,0.04886574,5.567518,0.3576188,0.556708,1.711164,1.09922,2.731674,0.5976021,1.485102,tsutsumi316,2007-12-30T22:23:08Z
"C0006E-1H-3, 20.0 cm",NULL,1.616,1.63,1.616,1.63,"C0006E-1H-3, 22.0 cm",NULL,1.636,1.65,1.636,1.65,"C0006E-1H-3 W, 20.0--22.0 cm",CKY000000000000968200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T07:54:28Z,NULL,170,glass beaker,6.055,2.712,13.187,6.945958,7.132,170,glass beaker,6.055,2.712,10.652,4.422,4.597,2.626943,2.565374,1.668584,4.233958,1.71,0.09194308,0.0414158,4.505057,0.3683319,0.5831098,1.684476,1.06403,2.699928,0.6059044,1.537456,david_goldsby316,2008-01-14T05:15:34Z
"C0006E-1H-4, 20.0 cm",NULL,3.004,3.03,3.004,3.03,"C0006E-1H-4, 22.0 cm",NULL,3.024,3.05,3.024,3.05,"C0006E-1H-4 W, 20.0--22.0 cm",CKY000000000000968300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T07:54:28Z,NULL,163,glass beaker,6.086,2.738,13.99,7.413682,7.904,163,glass beaker,6.086,2.738,11.162,4.598,5.076,2.93057,2.861885,1.813797,4.675682,1.86,0.10257,0.04620271,4.97343,0.3707705,0.5892453,1.690449,1.06368,2.741999,0.6120786,1.577842,david_goldsby316,2008-01-14T05:15:34Z
"C0006E-1H-4, 69.5 cm",NULL,3.495,3.525,3.495,3.525,"C0006E-1H-4, 71.0 cm",NULL,3.51,3.54,3.51,3.54,"C0006E-1H-4 WR, 69.5--71.0 cm",CKY000000000000965700,PP,NULL,8,arito316,NULL,CKY,2007-12-29T01:36:30Z,NULL,135,glass beaker,6.058,2.7,13.471,7.078767,7.413,135,glass beaker,6.058,2.7,10.892,4.511,4.834,2.672539,2.609901,1.768865,4.378767,1.811,0.09353893,0.04213465,4.740461,0.3605206,0.563772,1.692942,1.082602,2.679945,0.5960357,1.475466,tsutsumi316,2007-12-30T22:23:16Z
"C0006E-1H-4, 111.0 cm",NULL,3.906,3.94,3.906,3.94,"C0006E-1H-4, 113.0 cm",NULL,3.926,3.96,3.926,3.96,"C0006E-1H-4 W, 111.0--113.0 cm",CKY000000000000968400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T07:54:28Z,NULL,112,glass beaker,6.02,2.652,12.965,6.763365,6.945,112,glass beaker,6.02,2.652,10.753,4.561,4.733,2.292228,2.238504,1.872861,4.111365,1.909,0.08022804,0.03613876,4.652772,0.3300544,0.4926586,1.68922,1.131685,2.484312,0.5444673,1.195232,david_goldsby316,2008-01-14T05:15:34Z
"C0006E-1H-5, 0.0 cm",NULL,4.204,4.24,4.204,4.24,"C0006E-1H-5, 1.5 cm",NULL,4.218,4.255,4.218,4.255,"C0006E-1H-5 WR, 0.0--1.5 cm",CKY000000000000949400,PP,NULL,8,arito316,NULL,CKY,2007-12-28T16:18:48Z,NULL,6,glass cell,4.527,2.039,13.482,6.869729,8.955,6,glass cell,4.527,2.039,11.124,4.522,6.597,2.443523,2.386253,2.444476,4.830729,2.483,0.08552338,0.03852405,6.511477,0.2728669,0.3752641,1.853757,1.347928,2.663752,0.4939737,0.9761819,tsutsumi316,2007-12-30T01:56:50Z
"C0006E-1H-6, 20.0 cm",NULL,4.63,4.67,4.63,4.67,"C0006E-1H-6, 22.0 cm",NULL,4.65,4.69,4.65,4.69,"C0006E-1H-6 W, 20.0--22.0 cm",CKY000000000000968500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T07:54:28Z,NULL,127,glass beaker,5.997,2.7,15.129,7.916272,9.132,127,glass beaker,5.997,2.7,12.207,5.007,6.21,3.027979,2.957011,2.259262,5.216272,2.307,0.1059794,0.04773845,6.10402,0.331579,0.4960631,1.750675,1.170188,2.701777,0.566882,1.30884,david_goldsby316,2008-01-14T05:15:35Z
"C0006E-1H-6, 49.5 cm",NULL,4.922,4.965,4.922,4.965,"C0006E-1H-6, 51.0 cm",NULL,4.937,4.98,4.937,4.98,"C0006E-1H-6 WR, 49.5--51.0 cm",CKY000000000000966200,PP,NULL,8,arito316,NULL,CKY,2007-12-29T01:36:31Z,NULL,146,glass beaker,6.07,2.781,12.968,6.516371,6.898,146,glass beaker,6.07,2.781,10.987,4.544,4.917,2.05285,2.004736,1.730635,3.735371,1.763,0.0718498,0.03236477,4.84515,0.2976007,0.4236917,1.84667,1.2971,2.799637,0.5366899,1.158382,tsutsumi316,2007-12-30T22:23:16Z
