Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0013E-1H-1, 3.0 cm",NULL,0.03,0.03,0.03,0.03,"C0013E-1H-1, 5.0 cm",NULL,0.05,0.05,0.05,0.05,"C0013E-1H-1 W, 3.0--5.0 cm",CKY000000000002947200,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:39:05Z,NULL,425,glass beaker,6.259,2.81,10.9851,4.9639,4.7261,425,glass beaker,6.259,2.81,10.4472,4.4284,4.1882,0.5574,0.5443,1.6096,2.1539,1.6184,0.0195,0.0088,4.1687,0.1179,0.1337,2.1942,1.9354,2.5899,0.2527,0.3382,fuway,2010-09-15T05:39:34Z
"C0013E-1H-1, 11.0 cm",NULL,0.11,0.11,0.11,0.11,"C0013E-1H-1, 13.0 cm",NULL,0.13,0.13,0.13,0.13,"C0013E-1H-1 W, 11.0--13.0 cm",CKY000000000002947300,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:39:34Z,Used different beaker between mass and volume measurement. Volume data was modified from raw value.,444,glass beaker,6.205,2.806,13.1182,5.4808,6.9132,444,glass beaker,6.205,2.806,11.8751,4.2431,5.6701,1.2882,1.258,1.4168,2.6748,1.4371,0.0451,0.0203,5.625,0.1863,0.229,2.5846,2.103,3.9702,0.4703,0.8879,hatakedak,2010-09-15T23:19:47Z
"C0013E-1H-2, 69.0 cm",NULL,0.85,0.85,0.85,0.85,"C0013E-1H-2, 71.0 cm",NULL,0.87,0.87,0.87,0.87,"C0013E-1H-2 W, 69.0--71.0 cm",CKY000000000002947400,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:40:00Z,NULL,131,glass beaker,6.068,2.754,11.9746,5.2131,5.9066,131,glass beaker,6.068,2.754,10.7758,4.0195,4.7078,1.2423,1.2132,1.2459,2.4591,1.2655,0.0435,0.0196,4.6643,0.2103,0.2663,2.4019,1.8968,3.7437,0.4934,0.9738,fuway,2010-09-15T05:39:35Z
"C0013E-1H-2, 119.0 cm",NULL,1.35,1.35,1.35,1.35,"C0013E-1H-2, 121.0 cm",NULL,1.37,1.37,1.37,1.37,"C0013E-1H-2 W, 119.0--121.0 cm",CKY000000000002947500,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:40:25Z,NULL,162,glass beaker,5.997,2.698,13.0371,5.6623,7.0401,162,glass beaker,5.997,2.698,11.8035,4.4341,5.8065,1.2783,1.2483,1.716,2.9643,1.7361,0.0447,0.0201,5.7618,0.1816,0.2219,2.375,1.9437,3.3577,0.4211,0.7274,fuway,2010-09-15T05:39:35Z
"C0013E-1H-3, 17.0 cm",NULL,1.74,1.74,1.74,1.74,"C0013E-1H-3, 19.0 cm",NULL,1.76,1.76,1.76,1.76,"C0013E-1H-3 W, 17.0--19.0 cm",CKY000000000002947600,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:40:47Z,NULL,409,glass beaker,6.2,2.81,15.1392,6.1955,8.9392,409,glass beaker,6.2,2.81,13.7511,4.8135,7.5511,1.4384,1.4047,1.9808,3.3855,2.0035,0.0503,0.0227,7.5008,0.1609,0.1918,2.6404,2.2156,3.7868,0.4149,0.7092,fuway,2010-09-15T05:39:35Z
"C0013E-1H-4, 16.0 cm",NULL,2.165,2.165,2.165,2.165,"C0013E-1H-4, 18.0 cm",NULL,2.185,2.185,2.185,2.185,"C0013E-1H-4 W, 16.0--18.0 cm",CKY000000000002947700,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:41:05Z,NULL,431,glass beaker,6.33,2.848,12.8016,5.7075,6.4716,431,glass beaker,6.33,2.848,11.3261,4.2384,4.9961,1.529,1.4932,1.3663,2.8595,1.3904,0.0535,0.0241,4.9426,0.2363,0.3094,2.2632,1.7285,3.6175,0.5222,1.0929,fuway,2010-09-15T05:21:34Z
"C0013E-1H-5, 45.0 cm",NULL,3.84,3.84,3.84,3.84,"C0013E-1H-5, 47.0 cm",NULL,3.86,3.86,3.86,3.86,"C0013E-1H-5 W, 45.0--47.0 cm",CKY000000000002947800,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:41:26Z,NULL,408,glass beaker,6.232,2.804,14.0785,5.7109,7.8465,408,glass beaker,6.232,2.804,12.7835,4.4216,6.5515,1.342,1.3105,1.5964,2.9069,1.6176,0.047,0.0212,6.5045,0.171,0.2063,2.6993,2.2376,4.0745,0.4508,0.8209,fuway,2010-09-15T05:39:35Z
"C0013E-1H-6, 37.0 cm",NULL,5.075,5.075,5.075,5.075,"C0013E-1H-6, 39.0 cm",NULL,5.095,5.095,5.095,5.095,"C0013E-1H-6 W, 37.0--39.0 cm",CKY000000000002947900,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T17:41:49Z,NULL,156,glass beaker,5.936,2.664,12.4017,5.2372,6.4657,156,glass beaker,5.936,2.664,11.444,4.2837,5.508,0.9924,0.9691,1.6041,2.5732,1.6197,0.0347,0.0156,5.4733,0.1535,0.1813,2.5127,2.127,3.4121,0.3766,0.6041,fuway,2010-09-15T05:39:35Z
"C0013E-2H-1, 80.0 cm",NULL,9.29,9.3,9.29,9.3,"C0013E-2H-1, 82.0 cm",NULL,9.31,9.32,9.31,9.32,"C0013E-2H-1 W, 80.0--82.0 cm",CKY000000000002950100,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T23:34:06Z,Measured medium sample cell in pycnometer due to large volume sample,127,glass beaker,5.998,2.728,13.8799,5.9238,7.8819,127,glass beaker,5.998,2.728,12.9163,4.9644,6.9183,0.9985,0.9751,2.2207,3.1958,2.2364,0.0349,0.0157,6.8834,0.1267,0.1451,2.4663,2.1539,3.0997,0.3051,0.4391,fuway,2010-09-15T05:27:07Z
"C0013E-5H-1, 15.0 cm",NULL,16.15,16.15,16.15,16.15,"C0013E-5H-1, 17.0 cm",NULL,16.17,16.17,16.17,16.17,"C0013E-5H-1 W, 15.0--17.0 cm",CKY000000000002950200,PP,NULL,10,yuka331,NULL,CKY,2010-09-12T23:36:16Z,NULL,422,glass beaker,6.25,2.827,12.5909,6.631,6.3409,422,glass beaker,6.25,2.827,10.0738,4.1248,3.8238,2.6084,2.5473,1.2567,3.804,1.2978,0.0913,0.0411,3.7325,0.4114,0.6988,1.6669,0.9812,2.9701,0.6696,2.027,fuway,2010-09-15T05:21:34Z
