Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0006C-1H-1, 24.0 cm",NULL,0.21,0.24,0.21,0.24,"C0006C-1H-1, 26.0 cm",NULL,0.228,0.26,0.228,0.26,"C0006C-1H-1 W, 24.0--26.0 cm",CKY000000000000979500,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:37:16Z,175,glass beaker,6.139,2.807,12.785,6.644411,6.646,175,glass beaker,6.139,2.807,10.354,4.224,4.215,2.519171,2.460128,1.377283,3.837411,1.417,0.08817105,0.03971669,4.126829,0.3790507,0.6104375,1.731897,1.07542,2.996354,0.6410905,1.786218,tsutsumi316,2008-01-26T18:49:48Z
"C0006C-1H-1, 106.0 cm",NULL,0.928,1.06,0.928,1.06,"C0006C-1H-1, 108.0 cm",NULL,0.945,1.08,0.945,1.08,"C0006C-1H-1 W, 106.0--108.0 cm",CKY000000000000979600,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:37:16Z,33,glass cell,4.621,2.028,11.895,5.97155,7.274,33,glass cell,4.621,2.028,9.955,4.04,5.334,2.010363,1.963245,1.980305,3.94355,2.012,0.07036275,0.03169493,5.263637,0.2763765,0.3819341,1.844531,1.334746,2.657993,0.4978369,0.991385,tsutsumi316,2007-12-30T22:23:09Z
"C0006C-1H-2, 0.0 cm",NULL,1.107,1.265,1.107,1.265,"C0006C-1H-2, 1.5 cm",NULL,1.12,1.28,1.12,1.28,"C0006C-1H-2 WR, 0.0--1.5 cm",CKY000000000000945800,PP,NULL,8,arito316,CKY,2007-12-28T15:26:33Z,35,glass cell,4.599,2.052,13.939,7.356985,9.34,35,glass cell,4.599,2.052,10.951,4.382,6.352,3.096373,3.023802,2.281183,5.304985,2.33,0.1083731,0.04881673,6.243627,0.3315175,0.4959254,1.760608,1.176936,2.737012,0.5699925,1.325541,tsutsumi316,2007-12-30T01:56:51Z
"C0006C-1H-3, 23.0 cm",NULL,1.497,1.71,1.497,1.71,"C0006C-1H-3, 25.0 cm",NULL,1.514,1.73,1.514,1.73,"C0006C-1H-3 W, 23.0--25.0 cm",CKY000000000000979700,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:37:16Z,197,glass beaker,6.036,2.69,15.518,8.074373,9.482,197,glass beaker,6.036,2.69,12.619,5.188,6.583,3.004145,2.933735,2.450637,5.384373,2.498,0.1051452,0.04736268,6.477855,0.3168261,0.4637562,1.761022,1.203084,2.643335,0.5448611,1.197132,tsutsumi316,2007-12-30T22:23:10Z
"C0006C-1H-3, 100.5 cm",NULL,2.175,2.485,2.175,2.485,"C0006C-1H-3, 102.5 cm",NULL,2.192,2.505,2.192,2.505,"C0006C-1H-3 W, 100.5--102.5 cm",CKY000000000000979800,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:37:16Z,174,glass beaker,6.02,2.725,13.246,6.776666,7.226,174,glass beaker,6.02,2.725,11.103,4.643,5.083,2.220725,2.168677,1.882989,4.051666,1.918,0.07772545,0.03501146,5.005275,0.3073243,0.443677,1.783464,1.235362,2.658155,0.5352557,1.151721,tsutsumi316,2007-12-30T22:23:10Z
"C0006C-1H-4, 21.0 cm",NULL,2.792,3.19,2.792,3.19,"C0006C-1H-4, 23.0 cm",NULL,2.809,3.21,2.809,3.21,"C0006C-1H-4 W, 21.0--23.0 cm",CKY000000000000979900,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:40:00Z,167,glass beaker,6.068,2.721,13.674,6.702369,7.606,167,glass beaker,6.068,2.721,11.922,4.958,5.854,1.815544,1.772992,2.208377,3.981369,2.237,0.06354409,0.02862346,5.790456,0.2386989,0.3135408,1.910398,1.454388,2.622042,0.4453223,0.8028487,tsutsumi316,2007-12-30T22:23:11Z
"C0006C-1H-5, 98.5 cm",NULL,4.761,5.44,4.761,5.44,"C0006C-1H-5, 100.5 cm",NULL,4.778,5.46,4.778,5.46,"C0006C-1H-5 W, 98.5--100.5 cm",CKY000000000000980000,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:40:00Z,154,glass beaker,6.043,2.67,14.94,7.407631,8.897,154,glass beaker,6.043,2.67,12.789,5.266,6.746,2.229016,2.176773,2.560858,4.737631,2.596,0.0780156,0.03514216,6.667984,0.2505356,0.3342863,1.877943,1.407451,2.603809,0.4594645,0.8500171,tsutsumi316,2007-12-30T22:23:11Z
"C0006C-1H-6, 0.0 cm",NULL,5.225,5.97,5.225,5.97,"C0006C-1H-6, 1.5 cm",NULL,5.238,5.985,5.238,5.985,"C0006C-1H-6 WR, 0.0--1.5 cm",CKY000000000000946300,PP,NULL,8,arito316,CKY,2007-12-28T15:32:47Z,136,glass beaker,6.026,2.675,13.746,6.853088,7.72,136,glass beaker,6.026,2.675,11.7,4.816,5.674,2.120207,2.070515,2.107573,4.178088,2.141,0.07420731,0.03342672,5.599793,0.2746383,0.3786225,1.847735,1.340276,2.656986,0.4955651,0.9824165,tsutsumi316,2007-12-30T01:56:51Z
"C0006C-1H-7, 23.0 cm",NULL,5.614,6.415,5.614,6.415,"C0006C-1H-7, 25.0 cm",NULL,5.632,6.435,5.632,6.435,"C0006C-1H-7 W, 23.0--25.0 cm",CKY000000000000980100,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:40:00Z,204,glass beaker,6.059,2.716,16.306,8.253022,10.247,204,glass beaker,6.059,2.716,13.556,5.515,7.497,2.849741,2.78295,2.754072,5.537022,2.799,0.09974101,0.04492838,7.397259,0.2781049,0.3852428,1.850634,1.335964,2.685936,0.5026078,1.010486,tsutsumi316,2007-12-30T22:23:12Z
"C0006C-1H-7, 94.0 cm",NULL,6.236,7.125,6.236,7.125,"C0006C-1H-7, 96.0 cm",NULL,6.253,7.145,6.253,7.145,"C0006C-1H-7 W, 94.0--96.0 cm",CKY000000000000980200,PP,NULL,5,tsutsumi316,CKY,2007-12-29T15:40:00Z,117,glass beaker,6.089,2.724,15.953,8.011793,9.864,117,glass beaker,6.089,2.724,13.38,5.45,7.291,2.666321,2.603829,2.683963,5.287793,2.726,0.09332132,0.04203663,7.197678,0.2703083,0.3704418,1.865429,1.361188,2.681735,0.4924227,0.9701434,tsutsumi316,2007-12-30T22:23:12Z
"C0006C-1H-8, 23.0 cm",NULL,6.761,7.725,6.761,7.725,"C0006C-1H-8, 25.0 cm",NULL,6.778,7.745,6.778,7.745,"C0006C-1H-8 W, 23.0--25.0 cm",CKY000000000001018700,PP,NULL,5,tsutsumi316,CKY,2007-12-30T15:12:16Z,119,glass beaker,6.098,2.792,15.175,7.615307,9.077,119,glass beaker,6.098,2.792,12.72,5.171,6.622,2.544042,2.484415,2.338891,4.823307,2.379,0.08904152,0.04010879,6.532958,0.2802734,0.3894165,1.881904,1.354456,2.793186,0.5150855,1.062219,tsutsumi316,2007-12-30T22:23:13Z
"C0006C-1H-8, 100.0 cm",NULL,7.435,8.495,7.435,8.495,"C0006C-1H-8, 102.0 cm",NULL,7.452,8.515,7.452,8.515,"C0006C-1H-8 W, 100.0--102.0 cm",CKY000000000001018800,PP,NULL,5,tsutsumi316,CKY,2007-12-30T15:12:16Z,193,glass beaker,6.048,2.69,13.89,6.834724,7.842,193,glass beaker,6.048,2.69,11.99,4.943,5.942,1.968912,1.922766,2.221959,4.144724,2.253,0.06891197,0.03104143,5.873088,0.2510727,0.335243,1.892044,1.417003,2.643203,0.4639068,0.8653471,tsutsumi316,2007-12-30T22:23:13Z
"C0006C-1H-9, 22.0 cm",NULL,8.039,9.185,8.039,9.185,"C0006C-1H-9, 23.0 cm",NULL,8.047,9.195,8.047,9.195,"C0006C-1H-9 W, 22.0--23.0 cm",CKY000000000001018900,PP,NULL,5,tsutsumi316,CKY,2007-12-30T15:12:17Z,180,glass beaker,6.067,2.748,14.427,7.176574,8.36,180,glass beaker,6.067,2.748,12.263,5.022,6.196,2.242487,2.189929,2.238645,4.428574,2.274,0.07848711,0.03535455,6.117513,0.2682401,0.3665684,1.887741,1.381373,2.732685,0.4944997,0.9782383,tsutsumi316,2007-12-30T22:23:13Z
"C0006C-1H-10, 22.0 cm",NULL,8.739,9.985,8.739,9.985,"C0006C-1H-10, 24.0 cm",NULL,8.756,10.005,8.756,10.005,"C0006C-1H-10 W, 22.0--24.0 cm",CKY000000000001019000,PP,NULL,5,tsutsumi316,CKY,2007-12-30T15:12:17Z,145,glass beaker,5.966,2.637,14.643,7.102193,8.677,145,glass beaker,5.966,2.637,12.621,5.089,6.655,2.095337,2.046227,2.418965,4.465193,2.452,0.07333684,0.03303461,6.581663,0.2414817,0.3183598,1.943253,1.473993,2.720859,0.4582618,0.8459101,tsutsumi316,2007-12-30T22:23:14Z
