Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0008A-1H-1, 19.0 cm",NULL,0.188,0.19,0.188,0.19,"C0008A-1H-1, 21.0 cm",NULL,0.208,0.21,0.208,0.21,"C0008A-1H-1 W, 19.0--21.0 cm",CKY000000000001549200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:48Z,NULL,125,glass beaker,6.079,2.718,11.721,6.7128,5.642,125,glass beaker,6.079,2.718,8.694,3.699,2.615,3.1368,3.0633,0.9315,3.9948,0.981,0.1098,0.0495,2.5052,0.556,1.2521,1.4123,0.6271,2.6894,0.7668,3.2886,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-1, 100.0 cm",NULL,0.991,1,0.991,1,"C0008A-1H-1, 102.0 cm",NULL,1.01,1.02,1.01,1.02,"C0008A-1H-1 W, 100.0--102.0 cm",CKY000000000001549300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:48Z,NULL,201,glass beaker,6.063,2.712,13.086,7.327,7.023,201,glass beaker,6.063,2.712,9.858,4.113,3.795,3.3451,3.2667,1.3483,4.615,1.401,0.1171,0.0527,3.6779,0.4763,0.9095,1.5218,0.7969,2.7278,0.7078,2.4228,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-2, 20.0 cm",NULL,1.59,1.605,1.59,1.605,"C0008A-1H-2, 22.0 cm",NULL,1.61,1.625,1.61,1.625,"C0008A-1H-2 W, 20.0--22.0 cm",CKY000000000001549400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:48Z,NULL,158,glass beaker,6.019,2.709,11.533,6.0833,5.514,158,glass beaker,6.019,2.709,9.297,3.857,3.278,2.3171,2.2628,1.1115,3.3743,1.148,0.0811,0.0365,3.1969,0.4202,0.7248,1.6341,0.9474,2.8762,0.6706,2.0358,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-3, 0.0 cm",NULL,1.62,1.635,1.62,1.635,"C0008A-1H-3, 1.5 cm",NULL,1.635,1.65,1.635,1.65,"C0008A-1H-3 WR, 0.0--1.5 cm",CKY000000000001524500,PP,NULL,8,arito316,NULL,CKY,2008-01-26T20:25:21Z,NULL,129,glass beaker,6.074,2.747,12.462,6.721723,6.388,129,glass beaker,6.074,2.747,9.873,4.144,3.799,2.682902,2.620021,1.354702,3.974723,1.397,0.09390163,0.04229803,3.705098,0.4199909,0.7241107,1.607156,0.9321652,2.734992,0.6591707,1.93402,tsutsumi316,2008-01-31T16:49:23Z
"C0008A-1H-4, 18.0 cm",NULL,2.016,2.035,2.016,2.035,"C0008A-1H-4, 20.0 cm",NULL,2.036,2.055,2.036,2.055,"C0008A-1H-4 W, 18.0--20.0 cm",CKY000000000001549500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:49Z,NULL,130,glass beaker,6.116,2.721,13.326,7.3533,7.21,130,glass beaker,6.116,2.721,10.176,4.217,4.06,3.2642,3.1877,1.4446,4.6323,1.496,0.1142,0.0514,3.9458,0.4527,0.8273,1.5565,0.8518,2.7314,0.6881,2.2066,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-4, 96.0 cm",NULL,2.789,2.815,2.789,2.815,"C0008A-1H-4, 98.0 cm",NULL,2.809,2.835,2.809,2.835,"C0008A-1H-4 W, 96.0--98.0 cm",CKY000000000001549600,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:49Z,NULL,137,glass beaker,6.089,2.707,13.258,7.1905,7.169,137,glass beaker,6.089,2.707,10.398,4.343,4.309,2.9637,2.8942,1.5893,4.4835,1.636,0.1037,0.0467,4.2053,0.4134,0.7048,1.599,0.938,2.646,0.6455,1.8211,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-5, 20.0 cm",NULL,3.007,3.035,3.007,3.035,"C0008A-1H-5, 22.0 cm",NULL,3.027,3.055,3.027,3.055,"C0008A-1H-5 W, 20.0--22.0 cm",CKY000000000001549700,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:49Z,NULL,191,glass beaker,6.066,2.767,13.654,7.38,7.588,191,glass beaker,6.066,2.767,10.668,4.407,4.602,3.0943,3.0218,1.5912,4.613,1.64,0.1083,0.0488,4.4937,0.4078,0.6886,1.6449,0.9741,2.8241,0.6551,1.8991,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-5, 100.0 cm",NULL,3.799,3.835,3.799,3.835,"C0008A-1H-5, 102.0 cm",NULL,3.819,3.855,3.819,3.855,"C0008A-1H-5 W, 100.0--102.0 cm",CKY000000000001549800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:50Z,NULL,173,glass beaker,5.972,2.711,14.414,7.9112,8.442,173,glass beaker,5.972,2.711,11.023,4.535,5.051,3.514,3.4316,1.7686,5.2002,1.824,0.123,0.0554,4.928,0.4163,0.7131,1.6234,0.9477,2.7864,0.6599,1.9403,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-6, 20.0 cm",NULL,4.399,4.44,4.399,4.44,"C0008A-1H-6, 22.0 cm",NULL,4.419,4.46,4.419,4.46,"C0008A-1H-6 W, 20.0--22.0 cm",CKY000000000001549900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:50Z,NULL,204,glass beaker,6.059,2.716,12.38,6.6049,6.321,204,glass beaker,6.059,2.716,9.818,4.054,3.759,2.6549,2.5927,1.2962,3.8889,1.338,0.0929,0.0418,3.6661,0.42,0.7242,1.6254,0.9427,2.8283,0.6667,2.0002,fujikit,2010-08-10T11:47:46Z
"C0008A-1H-6, 100.0 cm",NULL,5.191,5.24,5.191,5.24,"C0008A-1H-6, 102.0 cm",NULL,5.211,5.26,5.211,5.26,"C0008A-1H-6 W, 100.0--102.0 cm",CKY000000000001550000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:50Z,NULL,151,glass beaker,5.999,2.718,12.602,6.7891,6.603,151,glass beaker,5.999,2.718,10.09,4.288,4.091,2.6031,2.5421,1.529,4.0711,1.57,0.0911,0.041,3.9999,0.3942,0.6508,1.6219,0.9825,2.616,0.6244,1.6626,fujikit,2010-08-10T11:47:46Z
