Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0021B-10H-4, 37.0 cm",NULL,158.5,158.815,158.5,158.815,"C0021B-10H-4, 39.0 cm",NULL,158.518,158.835,158.518,158.835,"C0021B-10H-4 W, 37.0--39.0 cm",KCC000000000002986001,PP,NULL,10,yabukit,NULL,KCC,2013-04-27T07:15:31Z,NULL,18.849,8.4799,34.6687,15.8197,29.7943,12.5789,10.9453,5.0512,4.9328,4.0186,8.9514,4.099,0.1768,0.0804,10.7685,0.3193,0.4691,1.7673,1.203,2.6797,0.5511,1.2275,fuway,2013-05-09T02:04:25Z
"C0021B-10H-5, 43.0 cm",NULL,159.647,160.065,159.647,160.065,"C0021B-10H-5, 45.0 cm",NULL,159.665,160.085,159.665,160.085,"C0021B-10H-5 W, 43.0--45.0 cm",KCC000000000002986101,PP,NULL,10,yabukit,NULL,KCC,2013-04-27T07:15:31Z,NULL,18.587,8.3642,40.1542,21.5672,33.1553,13.8212,14.5683,7.2527,7.0827,5.3416,12.4243,5.457,0.2538,0.1154,14.3145,0.3363,0.5067,1.7359,1.1521,2.6798,0.5701,1.326,fuway,2013-05-09T02:04:25Z
"C0021B-10H-6, 65.0 cm",NULL,160.537,161.035,160.537,161.035,"C0021B-10H-6, 67.0 cm",NULL,160.555,161.055,160.555,161.055,"C0021B-10H-6 W, 65.0--67.0 cm",KCC000000000002986201,PP,NULL,10,yabukit,NULL,KCC,2013-04-27T07:44:29Z,NULL,19.0136,8.5551,33.4677,14.4541,28.7495,12.2273,9.7359,4.8893,4.7747,3.5944,8.3691,3.6722,0.1711,0.0778,9.5648,0.3383,0.5112,1.7271,1.1429,2.661,0.5705,1.3284,fuway,2013-05-09T02:04:25Z
"C0021B-10H-8, 16.0 cm",NULL,161.619,162.215,161.619,162.215,"C0021B-10H-8, 19.0 cm",NULL,161.647,162.245,161.647,162.245,"C0021B-10H-8 WR, 16.0--19.0 cm",CKY000000000001815710,PP,NULL,8,kitajima338,NULL,CKY,2013-01-08T00:41:45Z,NULL,18.6911,8.4426,28.0654,9.3743,24.9331,10.7266,6.242,3.2459,3.1698,2.2324,5.4022,2.284,0.1136,0.0516,6.1284,0.3463,0.5296,1.7353,1.1344,2.7452,0.5868,1.4199,fuway,2013-05-09T02:04:25Z
"C0021B-10H-9, 107.0 cm",NULL,162.72,163.415,162.72,163.415,"C0021B-10H-9, 110.0 cm",NULL,162.748,163.445,162.748,163.445,"C0021B-10H-9 WR, 107.0--110.0 cm",CKY000000000001836810,PP,NULL,8,oohashi338,NULL,CKY,2013-01-10T11:29:30Z,NULL,18.9988,8.58,28.7645,9.7657,25.6133,10.9786,6.6145,3.2655,3.189,2.3466,5.5356,2.3986,0.1143,0.052,6.5002,0.3344,0.5024,1.7642,1.1743,2.7701,0.5761,1.359,fuway,2013-05-09T02:04:25Z
"C0021B-10H-10, 41.0 cm",NULL,163.408,164.165,163.408,164.165,"C0021B-10H-10, 43.0 cm",NULL,163.427,164.185,163.427,164.185,"C0021B-10H-10 W, 41.0--43.0 cm",KCC000000000002986301,PP,NULL,10,yabukit,NULL,KCC,2013-04-27T07:44:29Z,NULL,18.7033,8.467,38.25,19.5467,31.9851,13.3564,13.2818,6.4921,6.3399,4.7861,11.126,4.8894,0.2272,0.1033,13.0546,0.3321,0.4973,1.7568,1.1733,2.7276,0.5698,1.3246,fuway,2013-05-09T02:04:25Z
"C0021B-11H-1, 117.0 cm",NULL,165.092,165.67,165.092,165.67,"C0021B-11H-1, 119.0 cm",NULL,165.102,165.69,165.102,165.69,"C0021B-11H-1 W, 117.0--119.0 cm",KCC000000000002988101,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T00:58:32Z,NULL,18.6765,8.4511,37.7832,19.1067,32.2988,13.5059,13.6223,5.6833,5.5501,4.9644,10.5145,5.0548,0.1989,0.0904,13.4234,0.2975,0.4234,1.8172,1.2767,2.7039,0.5279,1.118,fuway,2013-05-09T02:04:25Z
"C0021B-11H-2, 10.0 cm",NULL,165.198,165.88,165.198,165.88,"C0021B-11H-2, 12.0 cm",NULL,165.208,165.9,165.208,165.9,"C0021B-11H-2 W, 10.0--12.0 cm",KCC000000000002988201,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T00:58:32Z,Sand,18.5824,8.3601,31.6208,13.0384,29.2948,12.3442,10.7124,2.4104,2.3539,3.9457,6.2996,3.9841,0.0844,0.0384,10.628,0.1849,0.2268,2.0697,1.6871,2.6936,0.3737,0.5966,fuway,2013-05-09T02:04:25Z
"C0021B-11H-3, 39.0 cm",NULL,166.052,167.57,166.052,167.57,"C0021B-11H-3, 41.0 cm",NULL,166.062,167.59,166.062,167.59,"C0021B-11H-3 W, 39.0--41.0 cm",KCC000000000002988301,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T00:58:32Z,NULL,18.7228,8.4546,35.6165,16.8937,31.2423,13.0891,12.5195,4.5328,4.4266,4.5624,8.989,4.6345,0.1586,0.0721,12.3609,0.2683,0.3667,1.8794,1.3751,2.7093,0.4924,0.9702,fuway,2013-05-09T02:04:25Z
"C0021B-11H-5, 10.0 cm",NULL,166.995,169.435,166.995,169.435,"C0021B-11H-5, 13.0 cm",NULL,167.01,169.465,167.01,169.465,"C0021B-11H-5 WR, 10.0--13.0 cm",CKY000000000001837710,PP,NULL,8,oohashi338,NULL,CKY,2013-01-10T11:45:03Z,NULL,19.294,8.6859,32.8029,13.5089,28.7031,12.1671,9.4091,4.2485,4.1489,3.4136,7.5625,3.4812,0.1487,0.0676,9.2604,0.3145,0.4588,1.7863,1.2245,2.7128,0.5486,1.2154,fuway,2013-05-09T02:04:25Z
