Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0002P;1990.500,NULL,1990.5,NULL,NULL,1990.5,NULL,NULL,C0002P;1995.500,NULL,1995.5,NULL,NULL,1995.5,C0002P-18SMW W,CKY000000000006163000,PP,NULL,30,henry348,">4mm, hand picked, shared with 348PHCT",CKY,2013-12-27T11:19:19Z,NULL,18.6809,8.4544,51.6158,32.9349,48.3318,19.2602,29.6509,3.4031,3.3233,10.7517,14.075,10.8058,0.1191,0.0541,29.5318,0.1033,0.1152,2.34,2.0982,2.7467,0.2361,0.3091,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2000.500,NULL,2000.5,NULL,NULL,2000.5,NULL,NULL,C0002P;2005.500,NULL,2005.5,NULL,NULL,2005.5,C0002P-20SMW W,CKY000000000006151900,PP,NULL,30,takahashik,"1-4mm, bulk",CKY,2013-12-18T00:30:09Z,NULL,18.9695,8.5261,40.5269,21.5574,35.8653,14.8483,16.8958,4.8307,4.7175,6.2453,10.9628,6.3222,0.1691,0.0769,16.7267,0.2241,0.2888,1.9664,1.5258,2.6783,0.4303,0.7554,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2000.500,NULL,2000.5,NULL,NULL,2000.5,NULL,NULL,C0002P;2005.500,NULL,2005.5,NULL,NULL,2005.5,C0002P-20SMW W,CKY000000000006152100,PP,NULL,30,takahashik,">4mm, bulk",CKY,2013-12-18T00:33:34Z,NULL,18.2837,8.246,46.7326,28.4489,41.3538,16.8808,23.0701,5.5739,5.4433,8.5461,13.9894,8.6348,0.1951,0.0887,22.875,0.1959,0.2437,2.0336,1.6352,2.6767,0.3891,0.6369,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2010.500,NULL,2010.5,NULL,NULL,2010.5,NULL,NULL,C0002P;2015.500,NULL,2015.5,NULL,NULL,2015.5,C0002P-25SMW W,CKY000000000006153700,PP,NULL,30,komatsuw,"1-4mm, bulk",CKY,2013-12-18T04:36:32Z,NULL,18.6182,8.399,39.9614,21.3432,35.2228,14.7163,16.6046,4.9105,4.7954,6.2392,11.0346,6.3173,0.1719,0.0781,16.4327,0.2301,0.2988,1.9342,1.4892,2.6338,0.4346,0.7686,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2010.500,NULL,2010.5,NULL,NULL,2010.5,NULL,NULL,C0002P;2015.500,NULL,2015.5,NULL,NULL,2015.5,C0002P-25SMW W,CKY000000000006153900,PP,NULL,30,komatsuw,">4mm, bulk",CKY,2013-12-18T04:49:22Z,NULL,19.2116,8.6673,43.8141,24.6025,38.6013,15.8642,19.3897,5.4019,5.2753,7.1109,12.3862,7.1969,0.1891,0.086,19.2006,0.2196,0.2813,1.9863,1.5502,2.7002,0.4259,0.7419,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2010.500,NULL,2010.5,NULL,NULL,2010.5,NULL,NULL,C0002P;2015.500,NULL,2015.5,NULL,NULL,2015.5,C0002P-25SMW W,CKY000000000006163600,PP,NULL,10,henry348,">4mm, hand picked shared with 348PHCT",CKY,2013-12-19T11:00:02Z,NULL,19.1293,8.6558,30.7436,11.6143,29.4736,12.4487,10.3443,1.3161,1.2853,3.7719,5.0572,3.7929,0.0461,0.021,10.2982,0.1133,0.1278,2.2966,2.0363,2.7302,0.2542,0.3408,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2020.500,NULL,2020.5,NULL,NULL,2020.5,NULL,NULL,C0002P;2025.500,NULL,2025.5,NULL,NULL,2025.5,C0002P-28SMW W,CKY000000000006155200,PP,NULL,30,yamaguchim,"1-4mm, bulk",CKY,2013-12-18T07:26:21Z,NULL,18.7626,8.4396,44.9126,26.15,38.6296,15.8684,19.867,6.5109,6.3583,7.3252,13.6835,7.4288,0.2279,0.1036,19.6391,0.249,0.3315,1.9111,1.4352,2.681,0.4647,0.868,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2020.500,NULL,2020.5,NULL,NULL,2020.5,NULL,NULL,C0002P;2025.500,NULL,2025.5,NULL,NULL,2025.5,C0002P-28SMW W,CKY000000000006155400,PP,NULL,30,yamaguchim,">4mm, bulk",CKY,2013-12-18T07:31:12Z,NULL,18.8658,8.4878,45.792,26.9262,40.1424,16.4084,21.2766,5.8545,5.7173,7.8275,13.5448,7.9206,0.2049,0.0931,21.0717,0.2174,0.2778,1.9879,1.5557,2.692,0.4221,0.7304,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2020.500,NULL,2020.5,NULL,NULL,2020.5,NULL,NULL,C0002P;2025.500,NULL,2025.5,NULL,NULL,2025.5,C0002P-28SMW W,CKY000000000006163300,PP,NULL,30,kitamura348,">4mm, hand picked shared with 348PHCT",CKY,2013-12-19T09:59:08Z,NULL,18.8013,8.5245,37.8419,19.0406,36.017,14.8256,17.2157,1.8911,1.8468,6.271,8.1178,6.3011,0.0662,0.0301,17.1495,0.0993,0.1103,2.3455,2.1126,2.7347,0.2275,0.2945,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2030.500,NULL,2030.5,NULL,NULL,2030.5,NULL,NULL,C0002P;2035.500,NULL,2035.5,NULL,NULL,2035.5,C0002P-30SMW W,CKY000000000006155900,PP,NULL,30,komatsuw,"1-4mm, bulk",CKY,2013-12-18T08:19:11Z,NULL,18.8729,8.4882,44.4492,25.5763,38.4809,15.6916,19.608,6.1848,6.0398,7.105,13.1448,7.2034,0.2165,0.0984,19.3915,0.2418,0.3189,1.9457,1.4752,2.7293,0.4595,0.8501,takahashik,2014-01-13T11:07:22Z
