Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-331SMW W,CKY000000000006491900,PP,NULL,30,yabukit,>4mm handpicked PP washed. shared w/ 348JSCT,CKY,2014-01-21T06:52:16Z,NULL,19.0833,8.7067,44.5237,25.4404,42.4705,17.2365,23.3872,2.1277,2.0778,8.4959,10.5737,8.5298,0.0745,0.0339,23.3127,0.0836,0.0913,2.406,2.2048,2.744,0.1965,0.2446,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-331SMW W,CKY000000000006492600,PP,NULL,30,yabukit,"1-4 mm bulk, PP washed. shared w/ 348JSCT ",CKY,2014-01-21T06:52:16Z,NULL,19.2801,8.6143,39.5908,20.3107,37.067,15.2933,17.7869,2.6153,2.554,6.6374,9.1914,6.679,0.0915,0.0416,17.6954,0.1288,0.1478,2.2098,1.9252,2.666,0.2779,0.3848,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-331SMW W,CKY000000000006492700,PP,NULL,30,yabukit,">4 mm bulk, PP washed. shared w/ 348JSCT ",CKY,2014-01-21T06:52:16Z,NULL,18.8285,8.482,49.0805,30.252,46.4091,18.7251,27.5806,2.7683,2.7034,10.1991,12.9025,10.2431,0.0969,0.044,27.4837,0.0915,0.1007,2.3447,2.1301,2.6947,0.2095,0.2651,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,C0002P-77SMW W,CKY000000000006436800,PP,NULL,30,yamaguchim,"1-4mm, bulk",CKY,2014-01-01T12:46:18Z,NULL,19.1293,8.6558,52.1123,32.983,44.876,18.2575,25.7467,7.4988,7.323,9.4824,16.8054,9.6017,0.2625,0.1193,25.4842,0.2274,0.2943,1.9626,1.5164,2.6875,0.4358,0.7723,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,C0002P-77SMW W,CKY000000000006436900,PP,NULL,30,yamaguchim,">4mm, bulk",CKY,2014-01-01T12:46:33Z,NULL,18.2406,8.241,52.3842,34.1436,47.9418,19.3224,29.7012,4.6035,4.4956,11.0082,15.5038,11.0814,0.1611,0.0732,29.5401,0.1348,0.1558,2.2023,1.9053,2.6835,0.29,0.4084,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,C0002P-77SMW W,CKY000000000006446500,PP,NULL,30,henry348,>4mm handpicked (sand) shared with 348PHCT,CKY,2014-01-07T08:36:38Z,sand,19.3269,8.7685,55.6721,36.3452,52.797,21.1055,33.4701,2.9794,2.9096,12.2896,15.1992,12.337,0.1043,0.0474,33.3658,0.082,0.0893,2.3913,2.1952,2.715,0.1914,0.2368,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,C0002P-77SMW W,CKY000000000006446600,PP,NULL,30,henry348,>4mm handpicked (mud) shared with 348PHCT,CKY,2014-01-07T08:36:38Z,mud,18.8097,8.5259,51.2871,32.4774,48.4978,19.4813,29.6881,2.8905,2.8228,10.9094,13.7322,10.9554,0.1012,0.046,29.5869,0.089,0.0977,2.3651,2.1546,2.7121,0.2056,0.2587,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-81SMW W,CKY000000000006244800,PP,NULL,30,sawadar,"1-4mm, bulk",CKY,2013-12-26T23:07:49Z,NULL,18.8241,8.493,52.2922,33.4681,46.0197,18.6597,27.1956,6.5,6.3477,10.0633,16.411,10.1667,0.2275,0.1034,26.9681,0.1942,0.241,2.0394,1.6433,2.6798,0.3868,0.6308,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-81SMW W,CKY000000000006244900,PP,NULL,30,sawadar,">4mm, bulk",CKY,2013-12-26T23:07:49Z,NULL,19.358,8.6803,57.0794,37.7214,53.4745,21.387,34.1165,3.7356,3.648,12.6473,16.2953,12.7067,0.1307,0.0594,33.9858,0.099,0.1099,2.3149,2.0856,2.6872,0.2239,0.2884,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-81SMW W,CKY000000000006284800,PP,NULL,30,henry348,">4mm, Handpicked shared wih 348 PHCT",CKY,2014-01-07T08:38:21Z,NULL,18.9194,8.5715,51.0395,32.1201,48.012,19.3326,29.0926,3.1373,3.0638,10.7112,13.775,10.7611,0.1098,0.0499,28.9828,0.0977,0.1082,2.3318,2.104,2.7058,0.2224,0.286,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-98SMW W,CKY000000000006438300,PP,NULL,30,fujiharaa,"1-4mm, bulk",CKY,2014-01-01T17:35:45Z,NULL,18.7918,8.5026,51.224,32.4322,47.4609,19.2041,28.6691,3.8996,3.8082,10.6395,14.4477,10.7015,0.1365,0.062,28.5326,0.1202,0.1367,2.2448,1.9749,2.6818,0.2636,0.3579,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-98SMW W,CKY000000000006438400,PP,NULL,30,fujiharaa,">4mm, bulk",CKY,2014-01-01T17:35:45Z,NULL,19.0435,8.5903,56.8397,37.7962,53.593,21.3857,34.5495,3.3645,3.2856,12.7419,16.0275,12.7954,0.1178,0.0535,34.4317,0.089,0.0977,2.3582,2.1483,2.7022,0.205,0.2579,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-1, 39.0 cm",NULL,NULL,NULL,2191.89,2191.89,2191.89,2191.89,"C0002P-4R-1, 44.0 cm",NULL,NULL,NULL,2191.94,2191.94,2191.94,2191.94,"C0002P-4R-1 W, 39.0--44.0 cm",CKY000000000006218000,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T09:50:14Z,NULL,19.3436,8.6999,44.9651,25.6215,42.9082,17.2983,23.5646,2.1315,2.0815,8.5645,10.646,8.5984,0.0746,0.0339,23.49,0.0832,0.0907,2.4067,2.2065,2.7427,0.1955,0.243,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-1, 75.0 cm",NULL,NULL,NULL,2192.25,2192.25,2192.25,2192.25,"C0002P-4R-1, 77.0 cm",NULL,NULL,NULL,2192.27,2192.27,2192.27,2192.27,"C0002P-4R-1 W, 75.0--77.0 cm",CKY000000000006218300,PP,NULL,30,henry348,shared w/ 348PH,CKY,2013-12-27T10:37:55Z,silty clay,18.6214,8.3738,40.7043,22.0829,38.8531,15.8473,20.2317,1.9183,1.8733,7.443,9.3163,7.4735,0.0671,0.0305,20.1646,0.0869,0.0951,2.3704,2.1644,2.7092,0.2011,0.2517,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-2, 39.0 cm",NULL,NULL,NULL,2192.995,2192.995,2192.995,2192.995,"C0002P-4R-2, 41.0 cm",NULL,NULL,NULL,2193.015,2193.015,2193.015,2193.015,"C0002P-4R-2 W, 39.0--41.0 cm",CKY000000000006221500,PP,NULL,30,henry348,shared w/ 348PH,CKY,2013-12-27T10:37:55Z,NULL,18.1856,8.1867,44.6061,26.4205,42.3577,17.0789,24.1721,2.3299,2.2753,8.8552,11.1305,8.8922,0.0815,0.037,24.0906,0.0882,0.0967,2.3737,2.1644,2.7205,0.2044,0.2569,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-2, 96.0 cm",NULL,NULL,NULL,2193.565,2193.565,2193.565,2193.565,"C0002P-4R-2, 98.0 cm",NULL,NULL,NULL,2193.585,2193.585,2193.585,2193.585,"C0002P-4R-2 W, 96.0--98.0 cm",CKY000000000006220100,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T10:59:41Z,NULL,19.3361,8.7219,45.6264,26.2903,43.3416,17.5698,24.0055,2.3677,2.3122,8.8102,11.1224,8.8479,0.0829,0.0377,23.9226,0.0901,0.099,2.3637,2.1508,2.7153,0.2079,0.2624,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-2, 135.0 cm",NULL,NULL,NULL,2193.955,2193.955,2193.955,2193.955,"C0002P-4R-2, 142.0 cm",NULL,NULL,NULL,2194.025,2194.025,2194.025,2194.025,"C0002P-4R-2 W, 135.0--142.0 cm",CKY000000000006220400,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T11:01:19Z,NULL,18.8474,8.4534,43.2557,24.4083,40.353,16.403,21.5056,3.008,2.9375,7.9017,10.8392,7.9496,0.1053,0.0479,21.4003,0.1232,0.1406,2.2519,1.9743,2.7083,0.271,0.3718,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-3, 9.0 cm",NULL,NULL,NULL,2194.14,2194.14,2194.14,2194.14,"C0002P-4R-3, 12.0 cm",NULL,NULL,NULL,2194.17,2194.17,2194.17,2194.17,"C0002P-4R-3 W, 9.0--12.0 cm",CKY000000000006221800,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T11:44:54Z,NULL,18.982,8.6242,43.035,24.053,41.0668,16.701,22.0848,2.0396,1.9918,8.0443,10.0361,8.0768,0.0714,0.0325,22.0134,0.0848,0.0927,2.3966,2.1934,2.7365,0.1985,0.2476,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-3, 73.0 cm",NULL,NULL,NULL,2194.78,2194.78,2194.78,2194.78,"C0002P-4R-3, 77.0 cm",NULL,NULL,NULL,2194.82,2194.82,2194.82,2194.82,"C0002P-4R-3 W, 73.0--77.0 cm",CKY000000000006221900,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T11:45:50Z,NULL,19.0133,8.5964,45.8584,26.8451,43.3752,17.5689,24.3619,2.5733,2.513,8.9315,11.4445,8.9725,0.0901,0.041,24.2718,0.0959,0.106,2.3457,2.1208,2.7176,0.2196,0.2814,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-4, 32.0 cm",NULL,NULL,NULL,2195.33,2195.33,2195.33,2195.33,"C0002P-4R-4, 35.0 cm",NULL,NULL,NULL,2195.36,2195.36,2195.36,2195.36,"C0002P-4R-4 W, 32.0--35.0 cm",CKY000000000006222700,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T12:53:25Z,NULL,18.7316,8.4453,43.0125,24.2809,39.8957,16.2078,21.1641,3.2298,3.1541,7.7111,10.8652,7.7625,0.113,0.0514,21.0511,0.133,0.1534,2.2347,1.9375,2.73,0.2903,0.409,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-82SMW W,CKY000000000006437000,PP,NULL,30,yamaguchim,"1-4mm, bulk",CKY,2014-01-01T13:23:42Z,NULL,19.4352,8.7822,45.1652,25.73,39.7828,16.3321,20.3476,5.5776,5.4469,7.4612,12.9081,7.5499,0.1952,0.0887,20.1524,0.2168,0.2768,1.9933,1.5612,2.701,0.422,0.73,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-82SMW W,CKY000000000006437100,PP,NULL,30,yamaguchim,">4mm, bulk",CKY,2014-01-01T13:24:04Z,NULL,18.6855,8.4484,58.3506,39.6651,53.5211,21.3861,34.8356,5.0047,4.8874,12.8581,17.7455,12.9377,0.1752,0.0796,34.6604,0.1262,0.1444,2.2352,1.9532,2.6956,0.2754,0.3801,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-82SMW W,CKY000000000006446700,PP,NULL,30,henry348,>4mm handpicked (sand) shared w 348PHCT,CKY,2014-01-07T08:39:33Z,sand,19.3061,8.7114,56.0784,36.7723,52.7168,21.1794,33.4107,3.4835,3.4019,12.4126,15.8145,12.468,0.1219,0.0554,33.2888,0.0947,0.1046,2.3252,2.105,2.6819,0.2151,0.2741,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-82SMW W,CKY000000000006446800,PP,NULL,30,henry348,>4mm handpicked (mud) shared w 348PHCT,CKY,2014-01-07T08:39:33Z,mud,19.3436,8.7168,51.504,32.1604,48.7947,19.5941,29.4511,2.8076,2.7418,10.8326,13.5744,10.8773,0.0983,0.0447,29.3528,0.0873,0.0957,2.3692,2.1624,2.7097,0.202,0.2531,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-4, 111.0 cm",NULL,NULL,NULL,2196.12,2196.12,2196.12,2196.12,"C0002P-4R-4, 113.0 cm",NULL,NULL,NULL,2196.14,2196.14,2196.14,2196.14,"C0002P-4R-4 W, 111.0--113.0 cm",CKY000000000006222800,PP,NULL,30,henry348,shared w/ 348PH,CKY,2013-12-27T10:37:55Z,NULL,19.3537,8.7183,38.8445,19.4908,37.1629,15.2364,17.8092,1.7426,1.7018,6.4904,8.1922,6.5181,0.061,0.0277,17.7482,0.0894,0.0982,2.3792,2.1665,2.7345,0.2077,0.2622,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-5, 27.0 cm",NULL,NULL,NULL,2196.655,2196.655,2196.655,2196.655,"C0002P-4R-5, 31.0 cm",NULL,NULL,NULL,2196.695,2196.695,2196.695,2196.695,"C0002P-4R-5 W, 27.0--31.0 cm",CKY000000000006224400,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T14:06:34Z,NULL,18.9712,8.5068,46.0759,27.1047,43.1459,17.4206,24.1747,3.0363,2.9651,8.8655,11.8306,8.9138,0.1063,0.0483,24.0684,0.112,0.1262,2.2911,2.0344,2.7148,0.2506,0.3345,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-5, 128.0 cm",NULL,NULL,NULL,2197.665,2197.665,2197.665,2197.665,"C0002P-4R-5, 129.0 cm",NULL,NULL,NULL,2197.675,2197.675,2197.675,2197.675,"C0002P-4R-5 W, 128.0--129.0 cm",CKY000000000006223800,PP,NULL,30,kitamura348,NULL,CKY,2013-12-25T14:03:07Z,NULL,18.8729,8.4882,46.3569,27.484,43.5219,17.6195,24.649,2.9378,2.8689,9.0846,11.9535,9.1313,0.1028,0.0467,24.5462,0.1069,0.1197,2.2992,2.0535,2.702,0.24,0.3158,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-6, 17.0 cm",NULL,NULL,NULL,2198.06,2198.06,2198.06,2198.06,"C0002P-4R-6, 24.0 cm",NULL,NULL,NULL,2198.13,2198.13,2198.13,2198.13,"C0002P-4R-6 W, 17.0--24.0 cm",CKY000000000006225100,PP,NULL,20,henry348,shared w/ 348PH,CKY,2013-12-27T10:37:55Z,NULL,18.7112,8.3779,46.8955,28.1843,44.6605,17.9959,25.9493,2.3161,2.2618,9.5811,11.8429,9.618,0.0811,0.0369,25.8682,0.0822,0.0895,2.3798,2.1843,2.6999,0.191,0.2361,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-6, 54.0 cm",NULL,NULL,NULL,2198.43,2198.43,2198.43,2198.43,"C0002P-4R-6, 60.0 cm",NULL,NULL,NULL,2198.49,2198.49,2198.49,2198.49,"C0002P-4R-6 W, 54.0--60.0 cm",CKY000000000006225300,PP,NULL,10,kitajima348,NULL,CKY,2013-12-25T17:01:29Z,NULL,19.1293,8.6558,47.7302,28.6009,45.2508,18.2898,26.1215,2.5693,2.5091,9.5931,12.1022,9.634,0.0899,0.0409,26.0316,0.0898,0.0987,2.3633,2.151,2.7136,0.2073,0.2616,takahashik,2014-01-13T11:07:22Z
"C0002P-4R-CC, 17.0 cm",NULL,NULL,NULL,2199.575,2199.575,2199.575,2199.575,"C0002P-4R-CC, 21.0 cm",NULL,NULL,NULL,2199.615,2199.615,2199.615,2199.615,"C0002P-4R-CC W, 17.0--21.0 cm",CKY000000000006225200,PP,NULL,20,kitajima348,sandy,CKY,2013-12-25T16:58:26Z,sandy,18.6826,8.4185,45.4323,26.7497,41.801,17.0734,23.1184,3.763,3.6748,8.595,12.2698,8.6549,0.1317,0.0599,22.9867,0.1407,0.1637,2.1801,1.8734,2.6744,0.2995,0.4276,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-83SMW W,CKY000000000006245600,PP,NULL,30,sawadar,"1-4mm, bulk",CKY,2013-12-27T00:49:39Z,NULL,18.7112,8.3779,45.5602,26.849,39.9852,16.3335,21.274,5.7772,5.6418,7.8637,13.5055,7.9556,0.2022,0.0919,21.0718,0.2152,0.2742,1.988,1.5602,2.6796,0.4177,0.7174,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-83SMW W,CKY000000000006245700,PP,NULL,30,sawadar,">4mm, bulk",CKY,2013-12-27T00:49:39Z,NULL,18.9712,8.5068,50.9538,31.9826,47.7535,19.271,28.7823,3.3164,3.2387,10.7114,13.9501,10.7642,0.1161,0.0528,28.6662,0.1037,0.1157,2.2926,2.0549,2.6762,0.2322,0.3024,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-83SMW W,CKY000000000006250500,PP,NULL,30,henry348,>4mm handpicked shared w 348PHCT,CKY,2014-01-07T08:47:18Z,NULL,19.1293,8.6558,33.3983,14.269,32.1599,13.4398,13.0306,1.2833,1.2532,4.7636,6.0168,4.784,0.0449,0.0204,12.9857,0.0899,0.0988,2.3715,2.1582,2.726,0.2083,0.2631,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-83SMW W,CKY000000000006284900,PP,NULL,30,henry348,">4mm, Handpicked  shared w 348PHCT",CKY,2014-01-07T08:47:18Z,NULL,18.6809,8.4544,49.9643,31.2834,47.2286,19.0153,28.5477,2.8349,2.7685,10.5158,13.2843,10.5609,0.0992,0.0451,28.4485,0.0906,0.0997,2.3549,2.1415,2.7053,0.2084,0.2633,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-100SMW W,CKY000000000006442500,PP,NULL,30,fujiharaa,"1-4mm, bulk",CKY,2014-01-01T18:06:01Z,NULL,19.2771,8.6813,54.0818,34.8047,49.7232,20.0607,30.4461,4.5167,4.4108,11.3075,15.7183,11.3794,0.1581,0.0719,30.288,0.1298,0.1491,2.2143,1.9269,2.6786,0.2806,0.3901,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-100SMW W,CKY000000000006442600,PP,NULL,30,fujiharaa,">4mm, bulk",CKY,2014-01-01T18:06:01Z,NULL,18.1338,8.1425,49.8196,31.6858,47.1335,18.9385,28.9997,2.7835,2.7183,10.7517,13.47,10.796,0.0974,0.0443,28.9023,0.0878,0.0963,2.3523,2.1457,2.6882,0.2018,0.2528,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-1, 95.0 cm",NULL,NULL,NULL,2201.95,2201.95,2201.95,2201.95,"C0002P-5R-1, 101.0 cm",NULL,NULL,NULL,2202.01,2202.01,2202.01,2202.01,"C0002P-5R-1 W, 95.0--101.0 cm",CKY000000000006227700,PP,NULL,15,henry348,shared w/ 348PH,CKY,2013-12-27T10:52:19Z,NULL,19.3092,8.6872,49.9305,30.6213,47.0663,18.9084,27.7571,2.9681,2.8985,10.174,13.0725,10.2212,0.1039,0.0472,27.6532,0.0969,0.1073,2.3424,2.1154,2.718,0.2217,0.2849,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-1, 127.0 cm",NULL,NULL,NULL,2202.27,2202.27,2202.27,2202.27,"C0002P-5R-1, 129.0 cm",NULL,NULL,NULL,2202.29,2202.29,2202.29,2202.29,"C0002P-5R-1 W, 127.0--129.0 cm",CKY000000000006226800,PP,NULL,50,kitajima348,NULL,CKY,2013-12-25T18:03:12Z,NULL,18.7333,8.4844,39.0495,20.3162,36.7823,15.0132,18.049,2.3494,2.2943,6.4914,8.7857,6.5288,0.0822,0.0374,17.9668,0.1156,0.1308,2.3124,2.045,2.7678,0.2611,0.3534,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-2, 10.0 cm",NULL,NULL,NULL,2202.54,2202.54,2202.54,2202.54,"C0002P-5R-2, 15.0 cm",NULL,NULL,NULL,2202.59,2202.59,2202.59,2202.59,"C0002P-5R-2 W, 10.0--15.0 cm",CKY000000000006226900,PP,NULL,15,kitajima348,NULL,CKY,2013-12-25T18:07:06Z,NULL,19.0833,8.7067,49.3419,30.2586,45.9751,18.4977,26.8918,3.4889,3.4071,9.7355,13.1426,9.791,0.1221,0.0555,26.7697,0.1153,0.1303,2.3023,2.0369,2.7497,0.2592,0.35,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-2, 99.0 cm",NULL,NULL,NULL,2203.43,2203.43,2203.43,2203.43,"C0002P-5R-2, 104.0 cm",NULL,NULL,NULL,2203.48,2203.48,2203.48,2203.48,"C0002P-5R-2 W, 99.0--104.0 cm",CKY000000000006227000,PP,NULL,15,kitajima348,NULL,CKY,2013-12-25T18:13:16Z,NULL,18.0343,8.1255,53.2476,35.2133,49.471,19.6623,31.4367,3.9136,3.8219,11.4745,15.2964,11.5368,0.137,0.0623,31.2997,0.1111,0.125,2.3021,2.0462,2.7278,0.2499,0.3331,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-3, 0.0 cm",NULL,NULL,NULL,2203.85,2203.85,2203.85,2203.85,"C0002P-5R-3, 7.0 cm",NULL,NULL,NULL,2203.92,2203.92,2203.92,2203.92,"C0002P-5R-3 W, 0.0--7.0 cm",CKY000000000006228400,PP,NULL,15,henry348,shared w/ 348PH,CKY,2013-12-27T10:52:19Z,NULL,18.6718,8.4453,39.5589,20.8871,37.4243,15.3361,18.7525,2.212,2.1602,6.8556,9.0158,6.8908,0.0774,0.0352,18.6751,0.1059,0.1184,2.3167,2.0714,2.7241,0.2396,0.3151,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-3, 76.0 cm",NULL,NULL,NULL,2204.61,2204.61,2204.61,2204.61,"C0002P-5R-3, 78.0 cm",NULL,NULL,NULL,2204.63,2204.63,2204.63,2204.63,"C0002P-5R-3 W, 76.0--78.0 cm",CKY000000000006228300,PP,NULL,30,kitamura348,silt,CKY,2013-12-25T19:54:19Z,"silt, sandy",19.0435,8.5903,37.8149,18.7714,34.5208,14.4548,15.4773,3.4136,3.3336,5.8102,9.1438,5.8645,0.1195,0.0543,15.3578,0.1819,0.2223,2.0529,1.6796,2.6432,0.3646,0.5737,takahashik,2014-01-13T11:07:22Z
"C0002P-5R-4, 64.0 cm",NULL,NULL,NULL,2205.275,2205.275,2205.275,2205.275,"C0002P-5R-4, 65.5 cm",NULL,NULL,NULL,2205.29,2205.29,2205.29,2205.29,"C0002P-5R-4 W, 64.0--65.5 cm",CKY000000000006489000,PP,NULL,30,kitamura348,collected during sampling party,CKY,2014-01-04T04:06:56Z,NULL,19.3092,8.6872,33.9677,14.6585,30.6106,12.9005,11.3014,3.4789,3.3974,4.1579,7.5553,4.2133,0.1218,0.0554,11.1796,0.2373,0.3112,1.9402,1.4797,2.6888,0.4497,0.8171,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,NULL,NULL,C0002P;2210.500,NULL,2210.5,NULL,NULL,2210.5,C0002P-85SMW W,CKY000000000006437200,PP,NULL,30,yamaguchim,"1-4mm, bulk",CKY,2014-01-01T13:54:32Z,NULL,18.9057,8.5532,48.4953,29.5896,42.1138,17.1199,23.2081,6.613,6.458,8.4615,14.9195,8.5667,0.2315,0.1052,22.9766,0.2235,0.2878,1.9833,1.54,2.7154,0.4329,0.7632,takahashik,2014-01-13T11:07:22Z
