Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0019E-1R-1, 101.5 cm",NULL,177.515,177.515,177.515,177.515,"C0019E-1R-1, 103.5 cm",NULL,177.535,177.535,177.535,177.535,"C0019E-1R-1 W, 101.5--103.5 cm",CKY000000000004902100,PP,NULL,5,sun343,NULL,CKY,2012-05-14T10:19:48Z,120,glass beaker,6.11,2.75,11.1315,6.0321,5.0215,120,glass beaker,6.11,2.75,8.9493,3.8594,2.8393,2.2613,2.2083,1.0738,3.2821,1.1094,0.0791,0.0356,2.7602,0.4503,0.8193,1.53,0.841,2.5705,0.6728,2.0565,morit,2012-05-15T17:05:48Z
"C0019E-1R-2, 0.0 cm",NULL,177.9,177.9,177.9,177.9,"C0019E-1R-2, 2.0 cm",NULL,177.92,177.92,177.92,177.92,"C0019E-1R-2 W, 0.0--2.0 cm",CKY000000000004902200,PP,NULL,5,sun343,NULL,CKY,2012-05-14T10:23:51Z,434,glass beaker,6.218,2.806,11.8971,6.6126,5.6791,434,glass beaker,6.218,2.806,9.3146,4.0413,3.0966,2.6762,2.6135,1.1931,3.8066,1.2353,0.0937,0.0422,3.0029,0.4712,0.8912,1.4919,0.7889,2.5169,0.6866,2.1905,morit,2012-05-15T17:05:48Z
"C0019E-1R-3, 15.0 cm",NULL,179.46,179.46,179.46,179.46,"C0019E-1R-3, 17.0 cm",NULL,179.48,179.48,179.48,179.48,"C0019E-1R-3 W, 15.0--17.0 cm",CKY000000000004902300,PP,NULL,5,sun343,NULL,CKY,2012-05-14T10:28:38Z,179,glass beaker,6.036,2.682,11.5835,6.1339,5.5475,179,glass beaker,6.036,2.682,9.5023,4.0617,3.4663,2.1567,2.1062,1.3457,3.4519,1.3797,0.0755,0.034,3.3908,0.3888,0.636,1.6071,0.9823,2.5197,0.6102,1.5651,morit,2012-05-15T17:05:48Z
"C0019E-1R-4, 0.0 cm",NULL,180.715,180.715,180.715,180.715,"C0019E-1R-4, 2.0 cm",NULL,180.735,180.735,180.735,180.735,"C0019E-1R-4 W, 0.0--2.0 cm",CKY000000000004902400,PP,NULL,5,sun343,NULL,CKY,2012-05-14T10:31:15Z,449,glass beaker,6.21,2.806,9.8488,4.9616,3.6388,449,glass beaker,6.21,2.806,8.6707,3.7886,2.4607,1.2208,1.1922,0.9634,2.1556,0.9826,0.0427,0.0192,2.418,0.3355,0.5049,1.6881,1.1217,2.5099,0.5531,1.2375,morit,2012-05-15T17:05:48Z
"C0019E-1R-5, 0.0 cm",NULL,181.785,181.785,181.785,181.785,"C0019E-1R-5, 2.0 cm",NULL,181.805,181.805,181.805,181.805,"C0019E-1R-5 W, 0.0--2.0 cm",CKY000000000004902500,PP,NULL,5,sun343,NULL,CKY,2012-05-14T10:33:52Z,190,glass beaker,6.061,2.687,11.4315,6.2765,5.3705,190,glass beaker,6.061,2.687,9.0627,3.918,3.0017,2.4547,2.3972,1.1923,3.5895,1.231,0.0859,0.0387,2.9158,0.4571,0.8419,1.4962,0.8123,2.4455,0.6678,2.0106,morit,2012-05-15T17:05:48Z
"C0019E-1R-6, 13.0 cm",NULL,183.325,183.325,183.325,183.325,"C0019E-1R-6, 15.0 cm",NULL,183.345,183.345,183.345,183.345,"C0019E-1R-6 W, 13.0--15.0 cm",CKY000000000004902600,PP,NULL,5,sun343,NULL,CKY,2012-05-14T10:37:04Z,400,glass beaker,6.355,2.879,11.3521,6.0579,4.9971,400,glass beaker,6.355,2.879,9.3241,4.0388,2.9691,2.1016,2.0523,1.1266,3.1789,1.1598,0.0736,0.0332,2.8955,0.4206,0.7258,1.572,0.9108,2.5701,0.6456,1.8217,morit,2012-05-15T17:05:48Z
"C0019E-2R-1, 90.0 cm",NULL,648.9,648.9,648.9,648.9,"C0019E-2R-1, 92.0 cm",NULL,648.92,648.92,648.92,648.92,"C0019E-2R-1 W, 90.0--92.0 cm",CKY000000000004909800,PP,NULL,5,fujikit,GRAY,CKY,2012-05-17T00:38:37Z,263,glass beaker,17.942,8.124,27.124,13.1684,9.182,263,glass beaker,17.942,8.124,24.6179,10.6732,6.6759,2.597,2.5361,2.5083,5.0444,2.5492,0.0909,0.0409,6.585,0.2828,0.3944,1.8202,1.3054,2.6253,0.5028,1.0111,kidoyo,2012-05-18T14:59:38Z
"C0019E-2R-1, 90.0 cm",NULL,648.9,648.9,648.9,648.9,"C0019E-2R-1, 92.0 cm",NULL,648.92,648.92,648.92,648.92,"C0019E-2R-1 W, 90.0--92.0 cm",CKY000000000004909900,PP,NULL,5,fujikit,BROWN,CKY,2012-05-17T00:38:37Z,222,glass beaker,18.737,8.425,25.6761,12.1227,6.9391,222,glass beaker,18.737,8.425,24.0295,10.4833,5.2925,1.7063,1.6663,2.0314,3.6977,2.0583,0.0597,0.0269,5.2328,0.2459,0.3261,1.8766,1.4151,2.576,0.4506,0.8203,kidoyo,2012-05-18T14:59:39Z
"C0019E-2R-2, 90.0 cm",NULL,650.31,650.31,650.31,650.31,"C0019E-2R-2, 92.0 cm",NULL,650.33,650.33,650.33,650.33,"C0019E-2R-2 W, 90.0--92.0 cm",CKY000000000004910000,PP,NULL,5,fujikit,brown,CKY,2012-05-17T00:38:37Z,298,glass beaker,18.728,8.46,24.8743,11.846,6.1463,298,glass beaker,18.728,8.46,23.1892,10.1682,4.4612,1.7462,1.7053,1.6807,3.386,1.7082,0.0611,0.0275,4.4001,0.2841,0.3969,1.8152,1.2995,2.618,0.5036,1.0146,kidoyo,2012-05-18T14:59:39Z
"C0019E-2R-2, 90.0 cm",NULL,650.31,650.31,650.31,650.31,"C0019E-2R-2, 92.0 cm",NULL,650.33,650.33,650.33,650.33,"C0019E-2R-2 W, 90.0--92.0 cm",CKY000000000004910100,PP,NULL,5,fujikit,gray,CKY,2012-05-17T00:38:37Z,239,glass beaker,18.184,8.18,24.031,11.4192,5.847,239,glass beaker,18.184,8.18,22.4657,9.8607,4.2817,1.6221,1.5841,1.6551,3.2392,1.6807,0.0568,0.0256,4.2249,0.2774,0.3839,1.8051,1.3043,2.5527,0.489,0.9571,kidoyo,2012-05-18T14:59:39Z
