Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0022B-1H-1, 120.0 cm",NULL,1.198,1.2,1.198,1.2,"C0022B-1H-1, 124.0 cm",NULL,1.238,1.24,1.238,1.24,"C0022B-1H-1 W, 120.0--124.0 cm",CKY000000000001585410,PP,NULL,8,hatakedak,NULL,CKY,2013-01-10T12:06:51Z,NULL,19.1858,8.6316,29.2464,10.0606,24.6781,10.7466,5.4923,4.734,4.623,2.0397,6.6627,2.115,0.1657,0.0753,5.3266,0.4705,0.8887,1.51,0.7995,2.6115,0.6939,2.2665,fuway,2013-01-12T02:19:31Z
"C0022B-1H-4, 129.0 cm",NULL,4.244,4.25,4.244,4.25,"C0022B-1H-4, 131.0 cm",NULL,4.264,4.27,4.264,4.27,"C0022B-1H-4 W, 129.0--131.0 cm",CKY000000000001571110,PP,NULL,8,kitajima338,NULL,CKY,2012-12-31T20:30:39Z,NULL,18.7209,8.4574,31.6035,12.8826,26.4399,11.3533,7.719,5.3509,5.2255,2.8108,8.0363,2.8959,0.1873,0.0851,7.5317,0.4154,0.7105,1.6031,0.9372,2.6796,0.6502,1.8591,fuway,2013-01-12T02:19:31Z
"C0022B-1H-5, 117.0 cm",NULL,5.532,5.54,5.532,5.54,"C0022B-1H-5, 120.0 cm",NULL,5.562,5.57,5.562,5.57,"C0022B-1H-5 WR, 117.0--120.0 cm",CKY000000000001566410,PP,NULL,8,esteban338,NULL,CKY,2012-12-31T13:13:55Z,NULL,18.8626,8.5056,35.0489,16.1863,28.4111,12.0841,9.5485,6.8785,6.7173,3.4691,10.1864,3.5785,0.2407,0.1094,9.3078,0.425,0.739,1.589,0.9137,2.6831,0.6594,1.9363,fuway,2013-01-12T02:19:31Z
"C0022B-1H-6, 20.0 cm",NULL,5.972,5.98,5.972,5.98,"C0022B-1H-6, 23.0 cm",NULL,6.001,6.01,6.001,6.01,"C0022B-1H-6 WR, 20.0--23.0 cm",CKY000000000001567310,PP,NULL,8,esteban338,NULL,CKY,2012-12-31T13:22:48Z,NULL,18.7936,8.4362,31.0625,12.2689,26.1529,11.2024,7.3593,5.0877,4.9685,2.6852,7.6537,2.7662,0.1781,0.081,7.1812,0.4147,0.7085,1.603,0.9383,2.6744,0.6492,1.8503,fuway,2013-01-12T02:19:31Z
"C0022B-2H-1, 10.0 cm",NULL,19.594,19.6,19.594,19.6,"C0022B-2H-1, 12.0 cm",NULL,19.612,19.62,19.612,19.62,"C0022B-2H-1 W, 10.0--12.0 cm",CKY000000000001581210,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.8329,8.4451,31.5187,12.6858,25.8038,11.0835,6.9709,5.9222,5.7834,2.5442,8.3276,2.6384,0.2073,0.0942,6.7636,0.4668,0.8756,1.5233,0.8122,2.6584,0.6945,2.2732,fuway,2013-01-12T02:19:31Z
"C0022B-2H-1, 90.0 cm",NULL,20.342,20.4,20.342,20.4,"C0022B-2H-1, 92.0 cm",NULL,20.361,20.42,20.361,20.42,"C0022B-2H-1 W, 90.0--92.0 cm",CKY000000000001581310,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.1337,8.1875,32.0057,13.872,27.0411,11.4635,8.9074,5.1447,5.0241,3.1941,8.2182,3.276,0.1801,0.0819,8.7273,0.3709,0.5895,1.688,1.0619,2.7323,0.6113,1.5729,fuway,2013-01-12T02:19:31Z
"C0022B-2H-3, 30.0 cm",NULL,20.903,21,20.903,21,"C0022B-2H-3, 32.0 cm",NULL,20.922,21.02,20.922,21.02,"C0022B-2H-3 W, 30.0--32.0 cm",CKY000000000001581410,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.262,8.2128,34.6115,16.3495,29.2135,12.2568,10.9515,5.5938,5.4627,3.955,9.4177,4.044,0.1958,0.089,10.7557,0.3421,0.5201,1.736,1.1421,2.7195,0.58,1.3812,fuway,2013-01-12T02:19:31Z
"C0022B-2H-3, 114.0 cm",NULL,21.689,21.84,21.689,21.84,"C0022B-2H-3, 116.0 cm",NULL,21.708,21.86,21.708,21.86,"C0022B-2H-3 W, 114.0--116.0 cm",CKY000000000001581510,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.8404,8.5009,38.8819,20.0415,31.1394,13.0878,12.299,8.0233,7.8353,4.4593,12.2946,4.5869,0.2808,0.1276,12.0182,0.4003,0.6676,1.6301,0.9775,2.6951,0.6373,1.7571,fuway,2013-01-12T02:19:31Z
"C0022B-2H-4, 60.0 cm",NULL,22.414,22.615,22.414,22.615,"C0022B-2H-4, 62.0 cm",NULL,22.433,22.635,22.433,22.635,"C0022B-2H-4 W, 60.0--62.0 cm",CKY000000000001581610,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.8276,8.4991,38.002,19.1744,30.923,13.0043,12.0954,7.3358,7.1639,4.3885,11.5524,4.5052,0.2568,0.1167,11.8386,0.3826,0.6197,1.6598,1.0248,2.6976,0.6201,1.6324,fuway,2013-01-12T02:19:31Z
"C0022B-2H-4, 130.0 cm",NULL,23.069,23.315,23.069,23.315,"C0022B-2H-4, 132.0 cm",NULL,23.088,23.335,23.088,23.335,"C0022B-2H-4 W, 130.0--132.0 cm",CKY000000000001581710,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.8925,8.5059,35.6508,16.7583,29.4763,12.4816,10.5838,6.3984,6.2484,3.8739,10.1223,3.9757,0.2239,0.1018,10.3599,0.3818,0.6176,1.6556,1.0235,2.6743,0.6173,1.6129,fuway,2013-01-12T02:19:31Z
"C0022B-2H-5, 18.0 cm",NULL,23.275,23.535,23.275,23.535,"C0022B-2H-5, 20.0 cm",NULL,23.294,23.555,23.294,23.555,"C0022B-2H-5 W, 18.0--20.0 cm",CKY000000000001581810,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.8305,8.5202,35.8026,16.9721,29.2251,12.3777,10.3946,6.8161,6.6563,3.749,10.4053,3.8575,0.2386,0.1085,10.156,0.4016,0.6711,1.6311,0.976,2.709,0.6397,1.7755,fuway,2013-01-12T02:19:31Z
"C0022B-2H-5, 60.0 cm",NULL,23.668,23.955,23.668,23.955,"C0022B-2H-5, 62.0 cm",NULL,23.686,23.975,23.686,23.975,"C0022B-2H-5 W, 60.0--62.0 cm",CKY000000000001581910,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.6266,8.3957,36.1502,17.5236,30.0434,12.6603,11.4168,6.3283,6.18,4.1639,10.3439,4.2646,0.2215,0.1007,11.1953,0.3611,0.5653,1.6941,1.0823,2.6887,0.5975,1.4842,fuway,2013-01-12T02:19:31Z
"C0022B-2H-6, 30.0 cm",NULL,24.627,24.98,24.627,24.98,"C0022B-2H-6, 32.0 cm",NULL,24.645,25,24.645,25,"C0022B-2H-6 W, 30.0--32.0 cm",CKY000000000001582010,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.7289,8.4207,32.9992,14.2703,27.7043,11.7815,8.9754,5.4869,5.3583,3.2735,8.6318,3.3608,0.192,0.0873,8.7834,0.3845,0.6247,1.6532,1.0176,2.6832,0.6208,1.6369,fuway,2013-01-12T02:19:31Z
"C0022B-2H-6, 100.0 cm",NULL,25.281,25.68,25.281,25.68,"C0022B-2H-6, 102.0 cm",NULL,25.3,25.7,25.3,25.7,"C0022B-2H-6 W, 100.0--102.0 cm",CKY000000000001582110,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.2569,8.194,35.7254,17.4685,29.7935,12.4572,11.5366,6.147,6.0029,4.1654,10.1683,4.2632,0.2151,0.0978,11.3215,0.3519,0.5429,1.7179,1.1134,2.718,0.5904,1.4411,fuway,2013-01-12T02:19:31Z
"C0022B-2H-7, 31.0 cm",NULL,25.899,26.34,25.899,26.34,"C0022B-2H-7, 33.0 cm",NULL,25.918,26.36,25.918,26.36,"C0022B-2H-7 W, 31.0--33.0 cm",CKY000000000001582210,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.2868,8.2637,31.9081,13.6213,27.2485,11.5714,8.9617,4.8286,4.7154,3.2309,7.9463,3.3077,0.169,0.0768,8.7927,0.3545,0.5492,1.7142,1.1065,2.7214,0.5934,1.4595,fuway,2013-01-12T02:19:31Z
"C0022B-2H-7, 100.0 cm",NULL,26.544,27.03,26.544,27.03,"C0022B-2H-7, 102.0 cm",NULL,26.563,27.05,26.563,27.05,"C0022B-2H-7 W, 100.0--102.0 cm",CKY000000000001582310,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.7225,8.4997,32.9641,14.2416,27.7405,11.7628,9.018,5.4131,5.2862,3.177,8.4632,3.2631,0.1895,0.0861,8.8285,0.3801,0.6131,1.6828,1.0432,2.7789,0.6246,1.6639,fuway,2013-01-12T02:19:31Z
