Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0007B-1H-1, 20.0 cm",NULL,3.328,3.34,3.328,3.34,"C0007B-1H-1, 22.0 cm",NULL,3.346,3.36,3.346,3.36,"C0007B-1H-1 W, 20.0--22.0 cm",CKY000000000001371700,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:07Z,161,glass beaker,6.097,2.722,14.737,7.645516,8.64,161,glass beaker,6.097,2.722,11.871,4.792,5.774,2.969948,2.90034,2.023176,4.923516,2.07,0.1039483,0.04682354,5.670052,0.343744,0.5237956,1.754843,1.151626,2.802549,0.589079,1.433558,david_goldsby316,2008-01-26T13:18:11Z
"C0007B-1H-1, 66.0 cm",NULL,3.759,3.8,3.759,3.8,"C0007B-1H-1, 67.5 cm",NULL,3.773,3.815,3.773,3.815,"C0007B-1H-1 WR, 66.0--67.5 cm",CKY000000000001346200,PP,NULL,8,chesterf316,NULL,CKY,2008-01-15T10:27:02Z,154,glass beaker,6.043,2.67,12.572,6.444953,6.529,154,glass beaker,6.043,2.67,10.449,4.3312,4.406,2.2,2.148437,1.626515,3.774953,1.6612,0.07700006,0.03468471,4.329,0.3369582,0.5082006,1.729558,1.146769,2.661518,0.5691296,1.320884,david_goldsby316,2008-01-26T13:18:17Z
"C0007B-1H-2, 20.0 cm",NULL,4.646,4.745,4.646,4.745,"C0007B-1H-2, 22.0 cm",NULL,4.665,4.765,4.665,4.765,"C0007B-1H-2 W, 20.0--22.0 cm",CKY000000000001371800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:07Z,37,glass cell,4.613,2.084,10.58,5.484715,5.967,37,glass cell,4.613,2.084,8.678,3.591,4.065,1.970985,1.924789,1.475926,3.400715,1.507,0.06898451,0.0310741,3.996016,0.3303141,0.4932374,1.754631,1.175051,2.707464,0.5659955,1.304123,david_goldsby316,2008-01-26T13:18:12Z
"C0007B-1H-3, 0.0 cm",NULL,5.57,5.73,5.57,5.73,"C0007B-1H-3, 1.5 cm",NULL,5.584,5.745,5.584,5.745,"C0007B-1H-3 WR, 0.0--1.5 cm",CKY000000000001335600,PP,NULL,8,arito316,NULL,CKY,2008-01-14T19:08:50Z,180,glass beaker,6.067,2.748,14.238,7.000084,8.171,180,glass beaker,6.067,2.748,12.191,4.962,6.124,2.121244,2.071527,2.180557,4.252084,2.214,0.07424358,0.03344305,6.049757,0.2596064,0.3506329,1.921646,1.422775,2.774409,0.4871792,0.949999,tsutsumi316,2008-01-18T18:16:56Z
"C0007B-1H-4, 20.0 cm",NULL,5.978,6.165,5.978,6.165,"C0007B-1H-4, 22.0 cm",NULL,5.997,6.185,5.997,6.185,"C0007B-1H-4 W, 20.0--22.0 cm",CKY000000000001372000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:08Z,119,glass beaker,6.098,2.792,14.583,7.150666,8.485,119,glass beaker,6.098,2.792,12.44,5.017,6.342,2.220725,2.168677,2.189989,4.358666,2.225,0.07772545,0.03501146,6.264275,0.2617237,0.3545064,1.946697,1.4372,2.860414,0.4975553,0.9902687,david_goldsby316,2008-01-26T13:18:12Z
"C0007B-1H-4, 100.0 cm",NULL,6.729,6.965,6.729,6.965,"C0007B-1H-4, 102.0 cm",NULL,6.748,6.985,6.748,6.985,"C0007B-1H-4 W, 100.0--102.0 cm",CKY000000000001372100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:08Z,150,glass beaker,6.111,2.68,13.961,7.034681,7.85,150,glass beaker,6.111,2.68,11.592,4.676,5.481,2.454922,2.397385,1.957296,4.354681,1.996,0.08592235,0.03870376,5.395078,0.312729,0.45503,1.802658,1.238914,2.756393,0.5505305,1.224845,david_goldsby316,2008-01-26T13:18:12Z
"C0007B-1H-5, 20.0 cm",NULL,7.297,7.57,7.297,7.57,"C0007B-1H-5, 22.0 cm",NULL,7.315,7.59,7.315,7.59,"C0007B-1H-5 W, 20.0--22.0 cm",CKY000000000001372200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:08Z,139,glass beaker,6.097,2.688,13.34,6.498885,7.243,139,glass beaker,6.097,2.688,11.477,4.644,5.38,1.93057,1.885322,1.925563,3.810885,1.956,0.06757,0.03043694,5.31243,0.2665429,0.3634062,1.900608,1.394015,2.758897,0.4947203,0.9791018,david_goldsby316,2008-01-26T13:18:13Z
"C0007B-1H-5, 114.0 cm",NULL,8.179,8.51,8.179,8.51,"C0007B-1H-5, 116.0 cm",NULL,8.197,8.53,8.197,8.53,"C0007B-1H-5 W, 114.0--116.0 cm",CKY000000000001372300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:09Z,206,glass beaker,6.02,2.646,13.792,7.033285,7.772,206,glass beaker,6.02,2.646,11.332,4.584,5.312,2.549223,2.489475,1.89781,4.387285,1.938,0.08922287,0.04019048,5.222777,0.3280009,0.4880972,1.771483,1.190435,2.752003,0.5674296,1.311762,david_goldsby316,2008-01-26T13:18:13Z
"C0007B-1H-6, 15.0 cm",NULL,8.563,8.92,8.563,8.92,"C0007B-1H-6, 16.5 cm",NULL,8.577,8.935,8.577,8.935,"C0007B-1H-6 WR, 15.0--16.5 cm",CKY000000000001346900,PP,NULL,8,chesterf316,NULL,CKY,2008-01-15T11:31:35Z,160,glass beaker,6.045,2.676,14.278,6.79243,8.233,160,glass beaker,6.045,2.676,12.54,5.062,6.495,1.801036,1.758824,2.357605,4.11643,2.386,0.06303632,0.02839474,6.431964,0.2187582,0.2800134,2.000034,1.56251,2.728177,0.4272694,0.7460216,david_goldsby316,2008-01-26T13:18:16Z
"C0007B-1H-6, 97.0 cm",NULL,9.333,9.74,9.333,9.74,"C0007B-1H-6, 99.0 cm",NULL,9.351,9.76,9.351,9.76,"C0007B-1H-6 W, 97.0--99.0 cm",CKY000000000001372400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-16T06:05:09Z,135,glass beaker,6.058,2.7,13.664,6.932755,7.606,135,glass beaker,6.058,2.7,11.312,4.591,5.254,2.437306,2.380181,1.852574,4.232755,1.891,0.08530577,0.03842602,5.168694,0.3204451,0.4715516,1.796938,1.221118,2.790007,0.5623243,1.284797,david_goldsby316,2008-01-26T13:18:13Z
