Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Top Core depth (below sea floor) [m CSF-B],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,C0002F;870.500,870.5,870.5,870.5,NULL,C0002F;875.500,875.5,875.5,875.5,C0002F-3SMW W,CKY000000000000980610,PP,NULL,30,yabukit,">4mm, pure cement ",CKY,2012-11-20T05:28:50Z,">4mm, pure drilling cement",19.0282,8.5576,20.8081,1.7799,20.2764,9.1074,1.2482,0.551,0.5381,0.541,1.0791,0.5498,0.0193,0.0088,1.2289,0.3096,0.4484,1.6494,1.1388,2.2715,0.4987,0.9946,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;875.500,875.5,875.5,875.5,NULL,C0002F;880.500,880.5,880.5,880.5,C0002F-7SMW W,CKY000000000000977710,PP,NULL,30,kidoyo,">4mm, bulk",CKY,2012-11-02T23:40:26Z,">4mm, drilling cement",18.7631,8.4717,39.5502,20.7871,32.7426,15.8461,13.9795,7.0545,6.8892,7.2622,14.1514,7.3744,0.2469,0.1122,13.7326,0.3394,0.5137,1.4689,0.9704,1.891,0.4868,0.9486,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;880.500,880.5,880.5,880.5,NULL,C0002F;885.500,885.5,885.5,885.5,C0002F-8SMW W,CKY000000000000978210,PP,NULL,30,kidoyo,">4mm, bulk",CKY,2012-11-02T23:40:26Z,">4mm, drilling cement",18.262,8.2128,38.8344,20.5724,32.26,15.7223,13.998,6.8128,6.6531,7.4011,14.0542,7.5095,0.2384,0.1084,13.7596,0.3312,0.4951,1.4638,0.979,1.8591,0.4734,0.8989,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;885.500,885.5,885.5,885.5,NULL,C0002F;890.500,890.5,890.5,890.5,C0002F-9SMW W,CKY000000000000978310,PP,NULL,30,hatakedak,">4mm, bulk",CKY,2012-11-03T00:47:07Z,">4mm, drilling cement",18.6548,8.4205,40.9279,22.2731,33.8136,16.3625,15.1588,7.3723,7.1995,7.8247,15.0242,7.942,0.258,0.1173,14.9008,0.331,0.4948,1.4825,0.9918,1.9043,0.4792,0.9201,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;890.500,890.5,890.5,890.5,NULL,C0002F;895.500,895.5,895.5,895.5,C0002F-14SMW W,CKY000000000000978410,PP,NULL,30,hatakedak,">4mm, bulk",CKY,2012-11-03T01:39:13Z,">4mm, drilling cement",18.7973,8.4403,40.5387,21.7414,34.0217,16.7839,15.2244,6.7534,6.5951,8.2361,14.8312,8.3436,0.2364,0.1075,14.988,0.3106,0.4506,1.4659,1.0106,1.8198,0.4447,0.8008,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;895.500,895.5,895.5,895.5,NULL,C0002F;900.500,900.5,900.5,900.5,C0002F-15SMW W,CKY000000000000978510,PP,NULL,30,hatakedak,">4mm, bulk",CKY,2012-11-03T02:14:02Z,">4mm, drilling cement",18.6163,8.3948,45.0134,26.3971,36.9005,18.0212,18.2842,8.4072,8.2102,9.4926,17.7028,9.6264,0.2943,0.1338,17.9899,0.3185,0.4673,1.4911,1.0162,1.8951,0.4638,0.8649,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;900.500,900.5,900.5,900.5,NULL,C0002F;905.500,905.5,905.5,905.5,C0002F-16SMW W,CKY000000000000978610,PP,NULL,30,moriyas,">4mm, bulk",CKY,2012-11-03T02:59:53Z,">4mm, drilling cement",18.7987,8.5074,46.3679,27.5692,38.3613,18.3948,19.5626,8.297,8.1025,9.7554,17.8579,9.8874,0.2904,0.132,19.2722,0.301,0.4305,1.5438,1.0792,1.9755,0.4537,0.8306,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;905.500,905.5,905.5,905.5,NULL,C0002F;910.500,910.5,910.5,910.5,C0002F-17SMW W,CKY000000000000979110,PP,NULL,30,moriyas,">4mm, bulk",CKY,2012-11-03T05:45:02Z,">4mm, drilling cement - mudstobne mixture",18.106,8.1537,30.7419,12.6359,27.7015,12.1495,9.5955,3.1507,3.0769,3.9457,7.0226,3.9958,0.1103,0.0501,9.4852,0.2493,0.3322,1.7993,1.3507,2.4039,0.4381,0.7798,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;910.500,910.5,910.5,910.5,NULL,C0002F;915.500,915.5,915.5,915.5,C0002F-18SMW W,CKY000000000000979610,PP,NULL,30,moriyas,"1-4mm, bulk",CKY,2012-11-03T06:27:10Z,"1-4mm, drilling cement - mudstone mixture",18.6738,8.4193,33.7597,15.0859,29.5279,13.1121,10.8541,4.3853,4.2825,4.623,8.9055,4.6928,0.1535,0.0698,10.7006,0.2907,0.4098,1.694,1.2016,2.3146,0.4809,0.9263,kidoyo,2012-11-19T15:40:09Z
NULL,C0002F;910.500,910.5,910.5,910.5,NULL,C0002F;915.500,915.5,915.5,915.5,C0002F-18SMW W,CKY000000000000979710,PP,NULL,30,moriyas,">4mm, bulk",CKY,2012-11-03T06:27:10Z,">4mm, drilling cement",18.6888,8.4642,40.4133,21.7245,34.2098,16.1605,15.521,6.4285,6.2778,7.594,13.8718,7.6963,0.225,0.1023,15.296,0.2959,0.4203,1.5661,1.1027,2.0142,0.4526,0.8267,kidoyo,2012-11-19T15:40:09Z
