Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0001F-1H-1, 10.0 cm",NULL,108.092,108.1,108.092,108.1,"C0001F-1H-1, 11.5 cm",NULL,108.106,108.115,108.106,108.115,"C0001F-1H-1 WR, 10.0--11.5 cm",CKY000000000000276300,PP,NULL,8,hirono315,NULL,CKY,2007-11-22T11:53:19Z,135,glass beaker,6.058,2.7,10.648,5.512404,4.59,135,glass beaker,6.058,2.7,8.904,3.776,2.846,1.807254,1.764896,1.047507,2.812404,1.076,0.06325394,0.02849276,2.782746,0.3937372,0.6494498,1.632056,0.9894547,2.656541,0.6275402,1.684854,ishimori,2007-11-25T19:32:37Z
"C0001F-1H-1, 24.0 cm",NULL,108.222,108.24,108.222,108.24,"C0001F-1H-1, 25.0 cm",NULL,108.231,108.25,108.231,108.25,"C0001F-1H-1 W, 24.0--25.0 cm",CKY000000000000300600,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T03:05:29Z,20,glass cell,4.62,2.048,10.351,5.534788,5.731,20,glass cell,4.62,2.048,8.236,3.429,3.616,2.19171,2.140342,1.346446,3.486788,1.381,0.0767099,0.03455401,3.53929,0.3824306,0.6192513,1.643633,1.015058,2.628617,0.6138434,1.589623,ishimori,2007-11-25T20:14:13Z
"C0001F-1H-1, 99.0 cm",NULL,108.914,108.99,108.914,108.99,"C0001F-1H-1, 100.0 cm",NULL,108.924,109,108.924,109,"C0001F-1H-1 W, 99.0--100.0 cm",CKY000000000000300700,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T03:05:30Z,131,glass beaker,6.067,2.717,13.524,7.328329,7.457,131,glass beaker,6.067,2.717,10.615,4.432,4.548,3.014508,2.943855,1.667474,4.611329,1.715,0.1055079,0.04752606,4.442492,0.4042521,0.6785623,1.617104,0.9633865,2.664205,0.6383962,1.765458,ishimori,2007-11-25T20:14:13Z
"C0001F-1H-2, 24.0 cm",NULL,109.52,109.645,109.52,109.645,"C0001F-1H-2, 25.0 cm",NULL,109.529,109.655,109.529,109.655,"C0001F-1H-2 W, 24.0--25.0 cm",CKY000000000000300800,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T03:05:30Z,111,glass beaker,6.065,2.702,11.94,6.337973,5.875,111,glass beaker,6.065,2.702,9.638,4.046,3.573,2.385492,2.329582,1.306391,3.635973,1.344,0.08349229,0.03760914,3.489508,0.4060412,0.6836186,1.615799,0.9597177,2.671105,0.6407039,1.78322,ishimori,2007-11-25T20:14:14Z
"C0001F-1H-2, 90.0 cm",NULL,110.129,110.305,110.129,110.305,"C0001F-1H-2, 91.0 cm",NULL,110.138,110.315,110.138,110.315,"C0001F-1H-2 W, 90.0--91.0 cm",CKY000000000000300900,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T03:05:31Z,175,glass beaker,6.139,2.807,13.349,7.318029,7.21,175,glass beaker,6.139,2.807,10.371,4.353,4.232,3.08601,3.013682,1.497347,4.511029,1.546,0.1080104,0.04865335,4.12399,0.4280181,0.748307,1.598305,0.9142016,2.754198,0.6680698,2.012682,ishimori,2007-11-25T20:14:15Z
"C0001F-1H-3, 19.0 cm",NULL,110.78,111.01,110.78,111.01,"C0001F-1H-3, 20.0 cm",NULL,110.79,111.02,110.79,111.02,"C0001F-1H-3 W, 19.0--20.0 cm",CKY000000000000301500,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T03:08:54Z,32,glass cell,4.594,2.062,11.117,6.151331,6.523,32,glass cell,4.594,2.062,8.438,3.484,3.844,2.776166,2.711099,1.378232,4.089331,1.422,0.09716588,0.04376841,3.746834,0.4255965,0.7409364,1.595126,0.9162463,2.718581,0.6629689,1.967085,ishimori,2007-11-25T20:14:19Z
"C0001F-1H-3, 99.0 cm",NULL,111.519,111.81,111.519,111.81,"C0001F-1H-3, 100.0 cm",NULL,111.528,111.82,111.528,111.82,"C0001F-1H-3 W, 99.0--100.0 cm",CKY000000000000301100,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T03:08:52Z,128,glass beaker,6.025,2.648,12.076,6.286092,6.051,128,glass beaker,6.025,2.648,10.031,4.25,4.006,2.119171,2.069503,1.56859,3.638092,1.602,0.07417104,0.03341038,3.931829,0.3502183,0.5389785,1.663234,1.080739,2.506601,0.5688428,1.31934,ishimori,2007-11-25T20:14:16Z
"C0001F-1H-4, 0.0 cm",NULL,111.686,111.99,111.686,111.99,"C0001F-1H-4, 1.0 cm",NULL,111.695,112,111.695,112,"C0001F-1H-4 WR, 0.0--1.0 cm",CKY000000000000250100,PP,NULL,8,hassy315,NULL,CKY,2007-11-21T07:44:48Z,145,glass beaker,5.966,2.637,10.151,5.191523,4.185,145,glass beaker,5.966,2.637,8.664,3.711,2.698,1.540933,1.504817,1.049706,2.554523,1.074,0.05393268,0.024294,2.644067,0.3682038,0.5827888,1.638271,1.035053,2.518865,0.5890794,1.43356,ishimori,2007-11-25T18:05:43Z
"C0001F-1H-5, 24.0 cm",NULL,112.134,112.475,112.134,112.475,"C0001F-1H-5, 25.0 cm",NULL,112.143,112.485,112.143,112.485,"C0001F-1H-5 W, 24.0--25.0 cm",CKY000000000000321800,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T11:33:46Z,25,glass cell,4.536,1.982,10.31,5.429875,5.774,25,glass cell,4.536,1.982,8.215,3.344,3.679,2.170985,2.120102,1.327773,3.447875,1.362,0.07598451,0.03422726,3.603016,0.3759931,0.6025465,1.674655,1.044996,2.713579,0.6149011,1.596736,ishimori,2007-11-25T20:50:51Z
"C0001F-1H-5, 114.0 cm",NULL,112.965,113.375,112.965,113.375,"C0001F-1H-5, 115.0 cm",NULL,112.974,113.385,112.974,113.385,"C0001F-1H-5 W, 114.0--115.0 cm",CKY000000000000321900,PP,NULL,5,akopf315,NULL,CKY,2007-11-23T11:33:47Z,33,glass cell,4.621,2.028,10.428,5.390885,5.807,33,glass cell,4.621,2.028,8.565,3.536,3.944,1.93057,1.885322,1.477563,3.362885,1.508,0.06757,0.03043694,3.87643,0.3324556,0.4980278,1.726791,1.15271,2.623529,0.5606264,1.275967,ishimori,2007-11-25T20:50:51Z
