Leg	Site	H	Age Model Type           	Depth (mbsf)	    Age (Ma)	Control Point Comment

101	 628	A	Post Moratorium          	     154.380	   26.299999	FO Paragloborotalia pseudokugleri
101	 628	A	Post Moratorium          	     214.280	   30.000000	LO Chiloguembelina (common)
101	 628	A	Post Moratorium          	     228.650	   31.600000	FO Globigerina angulisuturalis
101	 628	A	Post Moratorium          	     228.660	   32.000000	LO Subbotina angiporoides
101	 628	A	Post Moratorium          	     228.670	   32.799999	LO "Turborotalia" ampliapertura
101	 628	A	Post Moratorium          	     233.030	   34.000000	LO Pseudohastigerina spp.
101	 628	A	Post Moratorium          	     257.780	   36.599998	LO Turborotalia cerroazulensis gr.
101	 628	A	Post Moratorium          	     257.790	   36.599998	LO Hantkenina spp.
104	 642	B	Initial Reports          	      37.110	    0.730000	Brunhes/Matuyama
104	 642	B	Initial Reports          	      41.960	    0.910000	Top Jaramillo
104	 642	B	Initial Reports          	      45.560	    0.980000	Base Jaramillo
104	 642	B	Initial Reports          	      52.750	    1.660000	Top Olduvai
104	 642	B	Initial Reports          	      55.150	    1.880000	Base Olduvai
104	 642	B	Initial Reports          	      64.650	    2.470000	Matuyama/Gauss
104	 642	B	Initial Reports          	      69.990	    3.400000	Gauss/Gilbert
104	 642	B	Initial Reports          	      79.760	    5.350000	Gilbert/Epoch 5
104	 642	B	Initial Reports          	      83.350	    5.890000	Epoch 5/Epoch 6
104	 642	B	Initial Reports          	      95.330	    6.700000	Epoch 6/Epoch 7
104	 642	B	Initial Reports          	     113.020	    7.410000	Epoch 7/Epoch 8
104	 642	C	Initial Reports          	      33.570	    0.730000	Brunhes/Mattuyama
104	 642	C	Initial Reports          	      39.570	    0.910000	Top Jaramillo
104	 642	C	Initial Reports          	      42.970	    0.980000	Base Jaramillo
104	 642	C	Initial Reports          	      51.050	    1.660000	Top Olduvai
104	 642	C	Initial Reports          	      53.920	    1.880000	Base Olduvai
104	 642	C	Initial Reports          	      60.110	    2.470000	Matuyama/Gauss
104	 642	C	Initial Reports          	      79.760	    5.350000	Gilbert /Epoch 5
104	 642	C	Initial Reports          	      84.760	    5.890000	Epoch 5/Epoch 6
104	 642	C	Initial Reports          	      94.260	    6.700000	Epoch 6/Epoch 7
104	 642	C	Initial Reports          	     114.760	    7.410000	Epoch 7/Epoch 8
104	 643	A	Initial Reports          	      26.560	    0.730000	Brunhes /Matuyama
104	 643	A	Initial Reports          	      29.940	    0.910000	Top Jaramillo
104	 643	A	Initial Reports          	      31.460	    0.980000	Base Jaramillo
104	 643	A	Initial Reports          	      49.710	    1.660000	Top Olduvai
104	 643	A	Initial Reports          	      54.340	    1.880000	Base Olduvai
104	 643	A	Initial Reports          	      63.200	    2.470000	Matuyama/Gauss
104	 643	A	Initial Reports          	      77.860	    3.400000	Gauss /Gilbert
104	 643	A	Initial Reports          	      87.110	    5.350000	Gilbert /Epoch 5
104	 644	A	Initial Reports          	      22.000	    0.135000	FO Emiliania huxleyi
104	 644	A	Initial Reports          	      51.000	    0.350000	LO Pseudoemiliania lacunosa
104	 644	A	Initial Reports          	      81.770	    0.730000	Brunhes /Matuyama
104	 644	A	Initial Reports          	     103.810	    0.910000	Top Jaramillo
104	 644	A	Initial Reports          	     111.220	    0.980000	Base Jaramillo
104	 644	A	Initial Reports          	     166.310	    1.660000	Top Olduvai
104	 644	A	Initial Reports          	     180.810	    1.880000	Base Olduvai
104	 644	A	Initial Reports          	     225.210	    2.470000	Matuyama /Gauss
105	 645	B	Initial Reports          	      95.000	    0.730000	Brunhes /Matuyama
105	 645	B	Initial Reports          	     115.000	    0.910000	Top Jaramillo
105	 645	B	Initial Reports          	     126.000	    0.980000	Base Jaramillo
105	 645	B	Initial Reports          	     242.000	    1.660000	Top Olduvai
105	 645	B	Initial Reports          	     269.500	    2.500000	FO Neogloboquadrina pachyderma
105	 645	D	Initial Reports          	     459.000	    3.400000	Base Gauss
105	 645	E	Initial Reports          	     613.000	    8.920000	Top Chron C-11
105	 645	E	Initial Reports          	     679.000	   10.420000	Base Chron C-11
105	 645	E	Initial Reports          	     782.000	   16.500000	FO Reticulofenestra pseudoumbilica
105	 645	E	Initial Reports          	    1055.000	   20.549999	FO Globigerina praebulloides
105	 645	E	Initial Reports          	    1111.500	   20.600000	LO Distatodinium paradoxum
105	 646	A	Initial Reports          	      18.550	    0.247000	FO Emiliania huxleyi
105	 646	A	Initial Reports          	      28.950	    0.260000	LO Rhizosolenia curvirostris
105	 646	A	Initial Reports          	      35.440	    0.475000	LO Pseudoemiliania lacunosa
105	 646	A	Initial Reports          	      58.870	    0.730000	Brunhes /Matuyama
105	 646	A	Initial Reports          	      72.240	    0.910000	Top Jaramillo
105	 646	B	Initial Reports          	      62.980	    0.730000	Brunhes /Matuyama
105	 646	B	Initial Reports          	      77.300	    0.910000	Top Jaramillo
105	 646	B	Initial Reports          	      82.450	    0.980000	Bottom Jaramillo
105	 646	B	Initial Reports          	     144.950	    1.750000	LO Neogloboquadrina atlantica
105	 646	B	Initial Reports          	     207.850	    2.400000	LO Discoaster surculus
105	 646	B	Initial Reports          	     271.750	    3.500000	LCO Reticulofenestra pseudoumbilica
105	 646	B	Initial Reports          	     349.950	    4.100000	Bottom Nunivak
105	 646	B	Initial Reports          	     386.150	    4.400000	FO Globorotalia punticulata
105	 646	B	Initial Reports          	     417.150	    4.770000	Bottom Chron C1
105	 646	B	Initial Reports          	     502.000	    5.600000	LO Discoaster quinqueramus
105	 646	B	Initial Reports          	     521.350	    5.610000	FO Globorotalia margarita
105	 646	B	Initial Reports          	     577.390	    6.370000	Chron C6 Top N1
105	 646	B	Initial Reports          	     584.950	    6.500000	FO Amaurolithus primus
105	 646	B	Initial Reports          	     637.470	    6.850000	Chron C7 Top N1
105	 646	B	Initial Reports          	     666.120	    7.280000	Chron C7 Bottom N3
105	 646	B	Initial Reports          	     680.190	    7.900000	Chron C9 Top N1
105	 646	B	Initial Reports          	     710.520	    8.210000	Chron C9 Bottom N1
105	 646	B	Initial Reports          	     718.550	    8.410000	Chron C9 Top N2
105	 646	B	Initial Reports          	     733.070	    8.800000	Chron C10 Bottom N1
105	 646	B	Initial Reports          	     737.110	    8.920000	Chron C11 Top N1
105	 647	A	Initial Reports          	       9.150	    0.247000	FO Emiliania huxleyi (N)
105	 647	A	Initial Reports          	      29.250	    0.475000	LO Pseudoemiliania lacunosa (N)
105	 647	A	Initial Reports          	      32.970	    0.730000	Brunhes /Matuyama
105	 647	A	Initial Reports          	      42.370	    0.910000	Top Jaramillo
105	 647	A	Initial Reports          	      46.990	    0.980000	Base Jaramillo
105	 647	A	Initial Reports          	      72.800	    1.900000	FO Globorotalia truncatulinoides
105	 647	A	Initial Reports          	      92.200	    1.910000	LO Discoaster brouweri (N)
105	 647	A	Initial Reports          	      97.400	    2.100000	Reunion
105	 647	A	Initial Reports          	     107.100	    2.200000	LO Discoaster pentaradiatus (N)
105	 647	A	Initial Reports          	     110.250	    2.400000	LO Discoaster surculus (N)
105	 647	A	Initial Reports          	     221.900	   34.000000	LO Cestodiscus reticulatus
105	 647	A	Initial Reports          	     250.750	   35.099998	LO Ericsonia formosa
105	 647	A	Initial Reports          	     288.800	   36.700001	LO Discoaster barbadiensis
105	 647	A	Initial Reports          	     336.100	   37.000000	LO Globigerinatheka (F)
105	 647	A	Initial Reports          	     390.250	   38.500000	LO Nuttallides truempyi (F)
105	 647	A	Initial Reports          	     434.250	   39.700001	FO Chiasmolithus oamaruensis (N)
105	 647	A	Initial Reports          	     452.000	   41.110001	Base Chron C17
105	 647	A	Initial Reports          	     490.200	   42.230000	Chron C18 Base N2
105	 647	A	Initial Reports          	     578.800	   45.000000	LO Globigerinatheka index (F)
105	 647	A	Initial Reports          	     680.250	   55.299999	FO Discoaster lodoensis
105	 647	B	Initial Reports          	      32.970	    0.730000	Brunhes /Matuyama
105	 647	B	Initial Reports          	      42.370	    0.910000	Top Jaramillo
105	 647	B	Initial Reports          	      46.990	    0.980000	Bottom Jaramillo
105	 647	B	Initial Reports          	      80.330	    1.660000	Top Olduvai
105	 647	B	Initial Reports          	      86.710	    1.880000	Bottom Olduvai
108	 657	A	Post Moratorium          	       2.100	    0.270000	FO Emiliania huxleyi
108	 657	A	Post Moratorium          	       2.150	    0.460000	LO Pseudoemiliania lacunosa
108	 657	A	Post Moratorium          	      50.600	    1.450000	LO Calcidiscus macintyrei
108	 657	A	Post Moratorium          	      57.650	    1.830000	FO Globorotalia truncatulinoides
108	 657	A	Post Moratorium          	      57.700	    1.840000	LO Globigerinoides obliquus
108	 657	A	Post Moratorium          	      58.200	    1.890000	LO Discoaster brouweri
108	 657	A	Post Moratorium          	      62.350	    2.070000	FO acme Discoaster triradiatus
108	 657	A	Post Moratorium          	      64.100	    2.350000	LO Discoaster pentaradiatus
108	 657	A	Post Moratorium          	      74.000	    2.650000	LO Discoaster tamalis
108	 657	A	Post Moratorium          	      83.850	    3.010000	LO Dentogloboquadrina altispira
108	 657	A	Post Moratorium          	     100.750	    3.700000	LO Amaurolithus spp.
108	 657	A	Post Moratorium          	     111.700	    3.770000	LO Globorotalia margarita
108	 657	A	Post Moratorium          	     133.100	    4.420000	FO Globorotalia crassaformis
108	 657	A	Post Moratorium          	     140.850	    4.600000	FO Ceratolithus rugosus
108	 657	A	Post Moratorium          	     145.200	    5.480000	FO Globorotalia margaritae
108	 657	A	Post Moratorium          	     145.600	    5.600000	LO Amaurolithus amplificus
108	 657	A	Post Moratorium          	     149.050	    5.900000	FO Amaurolithus amplificus
108	 657	A	Post Moratorium          	     152.400	    6.500000	FO Amaurolithus primus
108	 657	A	Post Moratorium          	     154.800	    8.200000	FO Discoaster  quinqueramus
108	 657	B	Initial Reports          	       2.100	    0.280000	FO Emiliania huxleyi
108	 657	B	Initial Reports          	       2.200	    0.470000	LO Pseudoemiliania lacunosa
108	 657	B	Initial Reports          	      29.000	    0.730000	Brunhes/Matuyama (C1-C1r)
108	 657	B	Initial Reports          	      34.400	    0.910000	Top Jaramillo (C1r-1)
108	 657	B	Initial Reports          	      40.500	    0.980000	Base Jaramillo (C1r-1)
108	 657	B	Initial Reports          	      50.600	    1.450000	LO Calcidiscus macintyrei
108	 657	B	Initial Reports          	      58.200	    1.890000	LO Discoaster brouweri
108	 657	B	Initial Reports          	      61.900	    2.000000	FO Globorotalia inflata
108	 657	B	Initial Reports          	      62.340	    2.070000	FO Discoaster triradiatus acme
108	 657	B	Initial Reports          	      64.100	    2.350000	LO Discoaster pentaradiatus
108	 657	B	Initial Reports          	      72.300	    2.470000	Top Gauss (C2/C2A)
108	 657	B	Initial Reports          	      74.000	    2.650000	LO Discoaster tamalis
108	 657	B	Initial Reports          	      80.250	    2.900000	LO Discoaster altispira
108	 657	B	Initial Reports          	      83.300	    3.000000	LO Sphaeroidinellopsis seminulina
108	 657	B	Initial Reports          	      99.500	    3.400000	Base Gauss (C2A/C2Ar)
108	 657	B	Initial Reports          	     100.400	    3.400000	LO Globorotalia margaritae
108	 657	B	Initial Reports          	     100.650	    3.700000	LO Amaurolithus tricorniculatus
108	 657	B	Initial Reports          	     119.600	    3.900000	LO Globigerina nepenthes
108	 657	B	Initial Reports          	     129.450	    4.150000	FO Globigerina puncticulata
108	 657	B	Initial Reports          	     140.850	    4.600000	FO Ceratolithus rugosus
108	 657	B	Initial Reports          	     140.900	    5.600000	LO Discoaster quinqueramus
108	 657	B	Initial Reports          	     147.050	    6.370000	Top C3B
108	 657	B	Initial Reports          	     148.200	    6.500000	C3B/C3B-r
108	 657	B	Initial Reports          	     150.250	    6.700000	Top C4
108	 658	A	Initial Reports          	      15.200	    0.090000	Emiliania huxleyi acme
108	 658	A	Initial Reports          	      38.950	    0.280000	FO Emiliania huxleyi
108	 658	A	Initial Reports          	      69.450	    0.470000	LO Pseudoemiliania lacunosa
108	 658	A	Initial Reports          	      99.250	    1.450000	LO Calcidiscus macintyrei
108	 658	A	Initial Reports          	     109.500	    1.660000	Matuyama/Olduvai
108	 658	A	Initial Reports          	     125.700	    1.890000	LO Discoaster brouweri
108	 658	A	Initial Reports          	     141.700	    2.070000	Discoaster triradiatus acme
108	 658	A	Initial Reports          	     156.500	    2.200000	LO Globorotalia miocenica
108	 658	A	Initial Reports          	     157.800	    2.200000	LO Thalassiosira convexa
108	 658	A	Initial Reports          	     166.550	    2.450000	LO Discoaster surculus
108	 658	A	Initial Reports          	     200.350	    2.650000	LO Discoaster tamalis
108	 658	A	Initial Reports          	     210.150	    2.650000	LO Nitzschia jouseae
108	 658	A	Initial Reports          	     219.650	    2.900000	LO Dentogloboquadrina altispira
108	 658	A	Initial Reports          	     274.500	    3.400000	Gauss/Gilbert
108	 658	A	Initial Reports          	     286.150	    3.560000	LO Reticulofenestra pseudoumbilica
108	 658	A	Post Moratorium          	      38.950	    0.270000	FO Emiliania huxleyi
108	 658	A	Post Moratorium          	      69.450	    0.460000	LO Pseudoemiliania lacunosa
108	 658	A	Post Moratorium          	      95.950	    1.040000	LO Globigerinoides obliquus
108	 658	A	Post Moratorium          	      99.250	    1.450000	LO Calcidiscus macintyrei
108	 658	A	Post Moratorium          	     125.800	    1.890000	LO Discoaster brouweri
108	 658	A	Post Moratorium          	     140.000	    2.070000	FO acme Discoaster triradiatus
108	 658	A	Post Moratorium          	     156.500	    2.200000	LO Globorotalia miocenica
108	 658	A	Post Moratorium          	     165.500	    2.350000	LO Discoaster pentaradiatus
108	 658	A	Post Moratorium          	     166.000	    2.450000	LO Discoaster surculus
108	 658	A	Post Moratorium          	     199.500	    2.650000	LO Discoaster tamalis
108	 658	A	Post Moratorium          	     219.900	    2.900000	LO Dendroglobigerina altispira
108	 658	A	Post Moratorium          	     229.150	    3.040000	LO Sphaeroidinellopsis seminulina
108	 658	A	Post Moratorium          	     286.150	    3.450000	LO Sphenolithus spp.
108	 658	A	Post Moratorium          	     295.650	    3.650000	LO Globorotalia margaritae
108	 659	A	Initial Reports          	      22.800	    0.730000	Brunhes/Matuyama
108	 659	A	Initial Reports          	      28.600	    0.910000	Matuyama/Jaramillo
108	 659	A	Initial Reports          	      50.550	    1.450000	LO Calcidiscus macintyrei
108	 659	A	Initial Reports          	      55.600	    1.890000	LO Discoaster brouweri
108	 659	A	Initial Reports          	      60.550	    2.070000	FO Discoaster triradiatus acme
108	 659	A	Initial Reports          	      65.200	    2.200000	LO Globorotalia miocenica
108	 659	A	Initial Reports          	      70.250	    2.350000	LO Discoaster pentaradiatus
108	 659	A	Initial Reports          	      82.800	    2.650000	LO Discoaster tamalis
108	 659	A	Initial Reports          	      84.300	    2.900000	LO Dendrogloboquadrina altispira
108	 659	A	Initial Reports          	      89.000	    3.000000	LO Sphaeroidinellopsis seminulina
108	 659	A	Initial Reports          	     123.650	    3.400000	LO Globorotalia margaritae
108	 659	A	Initial Reports          	     124.050	    3.700000	LO Amaurolithus spp.
108	 659	A	Initial Reports          	     136.050	    3.900000	LO Globigerina nepenthes
108	 659	A	Initial Reports          	     139.750	    4.600000	FO Ceratolithus rugosus
108	 659	A	Initial Reports          	     149.950	    5.600000	LO Discoaster quinqueramus
108	 659	A	Initial Reports          	     183.700	    8.200000	FO Discoaster quinqueramus
108	 659	A	Initial Reports          	     186.200	    8.300000	LO Discoaster bollii
108	 659	A	Initial Reports          	     190.000	    8.750000	LO Catinaster calyculus
108	 659	A	Initial Reports          	     190.050	    8.850000	LO Discoaster hamatus
108	 659	A	Initial Reports          	     190.100	    9.000000	LO Catinaster coalitus
108	 659	A	Initial Reports          	     195.400	   10.000000	FO Discoaster hamatus
108	 659	A	Initial Reports          	     199.900	   10.800000	FO Catinaster coalitus
108	 659	A	Initial Reports          	     212.050	   11.300000	FO Globigerina nepenthes
108	 659	A	Initial Reports          	     213.650	   14.400000	LO Sphenolithus heteromorphus
108	 659	A	Initial Reports          	     240.550	   17.100000	FO Sphenolithus heteromorphus
108	 659	A	Initial Reports          	     240.560	   17.400000	LO Sphenolithus belemnos
108	 659	A	Initial Reports          	     247.650	   23.200001	FO Discoaster drugii
108	 659	A	Initial Reports          	     253.100	   23.700001	LO Discoaster bisectus
108	 659	A	Post Moratorium          	       7.950	    0.460000	LO Pseudoemiliania lacunosa
108	 659	A	Post Moratorium          	      50.550	    1.450000	LO Calcidiscus macintyrei
108	 659	A	Post Moratorium          	      55.300	    1.890000	LO Discoaster brouweri
108	 659	A	Post Moratorium          	      60.550	    2.070000	FO acme Discoaster triradiatus
108	 659	A	Post Moratorium          	      70.700	    2.350000	LO Discoaster pentaradiatus
108	 659	A	Post Moratorium          	      71.000	    2.450000	LO Discoaster surculus
108	 659	A	Post Moratorium          	      79.250	    2.650000	LO Discoaster tamalis
108	 659	A	Post Moratorium          	     108.250	    3.450000	LO Sphenolithus spp.
108	 659	A	Post Moratorium          	     124.050	    3.700000	LO Amaurolithus spp.
108	 659	A	Post Moratorium          	     139.750	    4.600000	FO Ceratolithus rugosus
108	 659	A	Post Moratorium          	     149.950	    5.000000	FO Ceratolithus acutus
108	 659	A	Post Moratorium          	     169.300	    6.500000	FO Amaurolithus primus
108	 659	A	Post Moratorium          	     183.700	    8.200000	FO Discoaster quinqueramus
108	 659	A	Post Moratorium          	     190.000	    8.900000	LO Discoaster hamatus
108	 659	A	Post Moratorium          	     195.400	   10.000000	FO Catinaster calyculus
108	 659	A	Post Moratorium          	     199.900	   10.800000	FO Catinaster coalitus
108	 659	A	Post Moratorium          	     212.300	   11.600000	LO Cyclicargolithus floridanus
108	 659	A	Post Moratorium          	     213.650	   14.400000	LO Sphenolithus heteromorphus
108	 659	A	Post Moratorium          	     230.700	   16.000000	LO Helicosphaera ampliaperta
108	 659	A	Post Moratorium          	     240.550	   17.100000	FO Sphenolithus heteromorphus
108	 659	A	Post Moratorium          	     246.000	   21.500000	FO Sphenolithus belemnos
108	 659	A	Post Moratorium          	     247.650	   23.200001	FO Discoaster druggii
108	 659	A	Post Moratorium          	     253.450	   25.200001	LO Sphenolithus ciperoensis
108	 660	A	Initial Reports          	      13.900	    0.470000	LO Pseudoemiliania lacunosa
108	 660	A	Initial Reports          	      19.100	    0.730000	Brunhes/Matuyama
108	 660	A	Initial Reports          	      22.900	    0.910000	Matuyama/Jaramillo
108	 660	A	Initial Reports          	      32.700	    1.450000	LO Calcidiscus macintyrei
108	 660	A	Initial Reports          	      36.300	    1.660000	Matuyama/Olduvai
108	 660	A	Initial Reports          	      40.350	    1.890000	LO Discoaster brouweri
108	 660	A	Initial Reports          	      42.150	    2.070000	FO Discoaster triradiatus acme
108	 660	A	Initial Reports          	      44.600	    2.200000	LO Globorotalia miocenica
108	 660	A	Initial Reports          	      46.450	    2.350000	LO Discoaster pentaradiatus
108	 660	A	Initial Reports          	      47.950	    2.450000	LO Discoaster surculus
108	 660	A	Initial Reports          	      49.350	    2.470000	Matuyama/Gauss
108	 660	A	Initial Reports          	      53.750	    2.650000	LO Discoaster tamalis
108	 660	A	Initial Reports          	      54.850	    2.920000	Gauss/Kaena
108	 660	A	Initial Reports          	      57.700	    3.000000	LO Sphaeroidinellopsis seminulina
108	 660	A	Initial Reports          	      58.750	    3.180000	Mammoth/Gauss
108	 660	A	Initial Reports          	      62.600	    3.450000	LO Sphenolithus spp.
108	 660	A	Initial Reports          	      64.150	    3.560000	LO Reticulofenestra pseudoumbillica
108	 660	A	Initial Reports          	      70.750	    3.900000	LO Globigerina nepenthes
108	 660	A	Initial Reports          	      73.400	    4.600000	FO Ceratolithus rugosus present
108	 660	A	Post Moratorium          	      13.900	    0.460000	LO Pseudoemiliania lacunosa
108	 660	A	Post Moratorium          	      32.700	    1.450000	LO Calcidiscus macintyrei
108	 660	A	Post Moratorium          	      40.350	    1.890000	LO Discoaster brouweri
108	 660	A	Post Moratorium          	      42.150	    2.070000	FO acme Discoaster triradiatus
108	 660	A	Post Moratorium          	      46.450	    2.350000	LO Discoaster pentaradiatus
108	 660	A	Post Moratorium          	      47.950	    2.450000	LO Discoaster surculus
108	 660	A	Post Moratorium          	      53.750	    2.650000	LO Discoaster tamalis
108	 660	A	Post Moratorium          	      62.650	    3.450000	LO Sphenolithus spp.
108	 660	A	Post Moratorium          	      64.150	    3.560000	LO Reticulofenestra pseudoumbilica
108	 660	A	Post Moratorium          	      73.200	    4.600000	FO Ceratolithus rugosus
108	 660	A	Post Moratorium          	      75.500	    5.600000	LO Discoaster quinqueramus
108	 661	A	Initial Reports          	       6.900	    0.470000	LO Pseudoemiliania lacunosa
108	 661	A	Initial Reports          	      11.600	    0.730000	Brunhes/Matuyama
108	 661	A	Initial Reports          	      14.800	    0.910000	Matuyama/Jaramillo
108	 661	A	Initial Reports          	      22.150	    1.450000	LO Calcidiscus macintyrei
108	 661	A	Initial Reports          	      27.400	    1.660000	Olduvai/Matuyama
108	 661	A	Initial Reports          	      28.300	    1.890000	LO Discoaster brouweri
108	 661	A	Initial Reports          	      30.450	    2.070000	FO Discoaster triradiatus acme
108	 661	A	Initial Reports          	      32.900	    2.200000	LO Globorotalia miocenica
108	 661	A	Initial Reports          	      34.650	    2.350000	LO Discoaster pentaradiatus
108	 661	A	Initial Reports          	      36.750	    2.470000	Matuyama/Gauss
108	 661	A	Initial Reports          	      41.150	    2.650000	LO Discoaster tamalis
108	 661	A	Initial Reports          	      42.400	    2.900000	LO Discoaster altispira
108	 661	A	Initial Reports          	      45.400	    3.000000	LO Sphaeroidinellopsis seminulina
108	 661	A	Initial Reports          	      59.250	    3.400000	LO Globorotalia margaritae
108	 661	A	Initial Reports          	      61.100	    3.900000	LO Globigerina nepenthes
108	 661	A	Initial Reports          	      66.050	    4.600000	FO Ceratolithus rugosus
108	 661	A	Initial Reports          	      68.600	    5.600000	LO Discoaster quuinqueramus
108	 661	A	Initial Reports          	      78.500	    8.200000	FO Discoaster berggrenii
108	 661	A	Initial Reports          	      82.000	    8.900000	LO Discoaster hamatus
108	 661	A	Initial Reports          	     107.300	   66.599998	FO Micula prinsii
108	 661	A	Initial Reports          	     115.900	   68.699997	FO Micula murus
108	 661	A	Initial Reports          	     125.100	   72.300003	LO Tetralithus trifidus
108	 661	A	Post Moratorium          	       6.900	    0.460000	LO Pseudoemiliania lacunosa
108	 661	A	Post Moratorium          	      22.150	    1.450000	LO Calcidiscus macintyrei
108	 661	A	Post Moratorium          	      28.300	    1.890000	LO Discoaster brouweri
108	 661	A	Post Moratorium          	      30.450	    2.070000	FO acme Discoaster triradiatus
108	 661	A	Post Moratorium          	      34.650	    2.350000	LO Discoaster pentaradiatus
108	 661	A	Post Moratorium          	      36.150	    2.450000	LO Discoaster surculus
108	 661	A	Post Moratorium          	      41.050	    2.650000	LO Discoaster tamalis
108	 661	A	Post Moratorium          	      51.950	    3.450000	LO Sphenolithus spp.
108	 661	A	Post Moratorium          	      53.750	    3.560000	LO Reticulofenestra pseudoumbilica
108	 661	A	Post Moratorium          	      55.300	    3.700000	LO Amaurolithus spp.
108	 661	A	Post Moratorium          	      66.050	    4.600000	FO Ceratolithus rugosus
108	 661	A	Post Moratorium          	      68.000	    5.000000	FO Ceratolithus acutus
108	 661	A	Post Moratorium          	      70.300	    5.600000	LO Amaurolithus amplificus
108	 661	A	Post Moratorium          	      72.350	    5.900000	FO Amaurolithus amplificus
108	 661	A	Post Moratorium          	      75.350	    6.500000	FO Amaurolithus primus
108	 661	A	Post Moratorium          	      78.500	    8.200000	FO Discoaster quinqueramus
108	 661	A	Post Moratorium          	      82.000	    8.900000	LO Discoaster hamatus
108	 661	A	Post Moratorium          	      82.600	   10.000000	FO Catinaster calyculus
108	 661	A	Post Moratorium          	     107.300	   66.599998	FO Micula prinsii
108	 661	A	Post Moratorium          	     115.050	   68.699997	FO Micula murus
108	 661	A	Post Moratorium          	     124.450	   72.300003	LO Quadrum trifidum
108	 662	A	Post Moratorium          	       4.450	    0.270000	FO Emiliania huxleyi
108	 662	A	Post Moratorium          	      21.950	    0.460000	LO Pseudoemiliania lacunosa
108	 662	A	Post Moratorium          	     107.650	    1.450000	LO Calcidiscus macintyrei
108	 662	A	Post Moratorium          	     122.700	    1.890000	LO Discoaster brouweri
108	 662	A	Post Moratorium          	     131.950	    2.070000	FO acme Discoaster triradiatus
108	 662	A	Post Moratorium          	     150.200	    2.350000	LO Discoaster pentaradiatus
108	 662	A	Post Moratorium          	     151.400	    2.450000	LO Discoaster surculus
108	 662	A	Post Moratorium          	     160.000	    2.650000	LO Discoaster tamalis
108	 662	A	Post Moratorium          	     191.800	    3.450000	LO Sphenolithus spp.
108	 662	A	Post Moratorium          	     195.300	    3.560000	LO Reticulofenestra pseudoumbilica
108	 663	A	Initial Reports          	      15.150	    0.470000	LO Pseudoemiliania lacunosa
108	 663	A	Initial Reports          	      47.050	    1.450000	LO Calcidiscus macintyrei
108	 663	A	Initial Reports          	      64.900	    1.890000	LO Discoaster brouweri
108	 663	A	Initial Reports          	      72.250	    2.070000	FO Discoaster triradiatus acme
108	 663	A	Initial Reports          	      78.250	    2.200000	LO Globorotalia miocenica
108	 663	A	Initial Reports          	      85.500	    2.350000	LO Discoaster pentaradiatus
108	 663	A	Initial Reports          	      93.900	    2.650000	LO Discoaster tamalis
108	 663	A	Post Moratorium          	       5.050	    0.270000	FO Emiliania huxleyi
108	 663	A	Post Moratorium          	      15.150	    0.460000	LO Pseudoemiliania lacunosa
108	 663	A	Post Moratorium          	      55.050	    1.450000	LO Calcidiscus macintyrei
108	 663	A	Post Moratorium          	     103.400	    1.890000	LO Discoaster brouweri
108	 663	A	Post Moratorium          	     110.750	    2.070000	FO acme Discoaster triradiatus
108	 663	A	Post Moratorium          	     134.000	    2.350000	LO Discoaster pentaradiatus
108	 663	A	Post Moratorium          	     136.800	    2.450000	LO Discoaster surculus
108	 663	A	Post Moratorium          	     142.400	    2.650000	LO Discoaster tamalis
108	 664	B	Initial Reports          	      14.000	    0.470000	LO Pseudoemiliania lacunosa
108	 664	B	Initial Reports          	      27.000	    0.730000	Brunhes /Matuyama
108	 664	B	Initial Reports          	      35.000	    0.910000	Matuyama/Jaramillo
108	 664	B	Initial Reports          	      56.000	    0.960000	LO Calcidiscus macintyrei
108	 664	B	Initial Reports          	      58.000	    2.280000	G. miocenica (p) & D. pentaradiatus (a)
108	 664	B	Initial Reports          	      67.500	    2.400000	D. pentaradiatus (p) & D. surculus (a)
108	 664	B	Initial Reports          	      87.500	    2.950000	D. altispira (p) & S. seminulina (a)
108	 664	B	Initial Reports          	     111.800	    3.730000	R. pseudoumbilica (p) & G. nepenthes (a)
108	 664	B	Initial Reports          	     126.300	    4.050000	G. nepenthes (p) & G. crassaformis (a)
108	 664	B	Initial Reports          	     135.800	    4.400000	G. crassaformis (p) & C. rugosus (a)
108	 664	B	Initial Reports          	     145.300	    4.600000	C. rugosus (p) & C. acutus (a)
108	 664	D	Initial Reports          	      15.650	    0.470000	LO Pseudoemiliania lacunosa
108	 664	D	Initial Reports          	      27.950	    0.730000	Brunhes /Matuyama
108	 664	D	Initial Reports          	      35.800	    0.910000	Top Jaramillo
108	 664	D	Initial Reports          	      38.300	    0.990000	Base Jaramillo
108	 664	D	Initial Reports          	      64.050	    1.450000	LO Calcidiscus macintyrei
108	 664	D	Initial Reports          	      73.550	    1.890000	LO Discoaster brouweri
108	 664	D	Initial Reports          	      91.100	    2.070000	FO D. triradiatus acme
108	 664	D	Initial Reports          	     102.050	    2.200000	LO Globorotalia miocenica
108	 664	D	Initial Reports          	     121.050	    2.650000	LO Discoaster tamalis
108	 664	D	Initial Reports          	     130.550	    3.000000	LO Sphaerodinellopsis seminulina
108	 664	D	Initial Reports          	     158.500	    3.450000	LO Sphenolithus abies
108	 664	D	Initial Reports          	     163.400	    3.560000	LO Reticulofenestra pseudoumbilica
108	 664	D	Initial Reports          	     187.550	    3.900000	LO Globigerina nepenthes
