"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014B-1H-1, 25.0 cm",,0.233,0.250,0.233,0.250,"C0014B-1H-1, 35.0 cm",,0.327,0.350,0.327,0.350,"C0014B-1H-1 WR, 25.0--35.0 cm",CKY000000000003151200,IWIC,,4.0,james331,,CKY,2010-09-19T22:04:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,2.329,"pore water chemistry/alkalinity full result/C0014B-1H-1 WR, 25.0--35.0 cm IWIC (1).pdf",kames,2010-09-21T23:40:00Z
"C0014B-1H-1, 30.0 cm",,0.280,0.300,0.280,0.300,"C0014B-1H-1, 30.0 cm",,0.280,0.300,0.280,0.300,,,,,,,,,,1.33936,544.7604794,46.77627,461.2625065,2.51,0.012258642,469.9250621,51.67050326,207.8513454,0.560996467,2.6051082,29.08913778,11.74749127,10.41114858,4.119928943,1.043976735,323.6799752,0.855710516,1874.976082,84.75088103,397.8068239,6.56185222,0.456249284,17.16451746,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-1H-1, 112.0 cm",,1.045,1.120,1.045,1.120,"C0014B-1H-1, 122.0 cm",,1.139,1.220,1.139,1.220,"C0014B-1H-1 WR, 112.0--122.0 cm",CKY000000000003153700,IWIC,,4.0,james331,,CKY,2010-09-19T22:21:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.305,"pore water chemistry/alkalinity full result/C0014B-1H-1 WR, 112.0--122.0 cm IWIC (1).pdf",kames,2010-09-21T23:48:43Z
"C0014B-1H-1, 117.0 cm",,1.092,1.170,1.092,1.170,"C0014B-1H-1, 117.0 cm",,1.092,1.170,1.092,1.170,,,,,,,,,,1.33939,548.1396327,49.66312488,550.4358253,3.28,0.015843517,473.4991893,51.29100555,265.018704,0.442503306,2.901509145,31.80006371,11.28764484,10.53805712,7.179886646,0.947195496,312.7034257,1.084374206,1448.479228,86.20195164,218.4501061,3.700172621,0.617997124,16.71584952,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-1H-2, 100.0 cm",,2.258,2.420,2.258,2.420,"C0014B-1H-2, 110.0 cm",,2.352,2.520,2.352,2.520,"C0014B-1H-2 WR, 100.0--110.0 cm",CKY000000000003158700,IWIC,,4.0,yabukit,,CKY,2010-09-19T22:33:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,32.681,"pore water chemistry/alkalinity full result/C0014B-1H-2 WR, 100.0--110.0 cm IWIC (1).pdf",kames,2010-09-21T23:48:44Z
"C0014B-1H-2, 105.0 cm",,2.305,2.470,2.305,2.470,"C0014B-1H-2, 105.0 cm",,2.305,2.470,2.305,2.470,,,,,,,,,,1.33951,534.7254179,61.6370167,524.7571732,,0.045281218,460.2798566,51.33878366,760.193599,1.581367763,26.37016359,16.3654011,11.8440337,12.80758337,18.43850085,0.679889979,154.198578,0.895654789,2486.34354,92.75200556,0,4.775839677,1.201172399,5.953286794,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-1H-2, 111.0 cm",,2.361,2.530,2.361,2.530,"C0014B-1H-2, 111.0 cm",,2.361,2.530,2.361,2.530,,,,,,,,,,,,,,30.83,,,,,,,,,,,,,,,,,,,,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-1H-3, 92.0 cm",,3.481,3.730,3.481,3.730,"C0014B-1H-3, 105.0 cm",,3.602,3.860,3.602,3.860,"C0014B-1H-3 WR, 92.0--105.0 cm",CKY000000000003175400,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,45.355,"pore water chemistry/alkalinity full result/C0014B-1H-3 WR, 92.0--105.0 cm IWIC (1).pdf",hitomiy,2010-09-22T02:38:48Z
"C0014B-1H-3, 98.5 cm",,3.542,3.795,3.542,3.795,"C0014B-1H-3, 98.5 cm",,3.542,3.795,3.542,3.795,,,,,,,,,,1.33952,552.6451705,91.77758378,505.0057806,40.9,0.125893482,464.306962,52.68509739,896.524168,0.911707177,23.52628979,8.883726343,13.90290448,13.07894363,13.15565268,0.996515102,132.2866651,0.881249262,4208.768116,95.67326168,0,23.72352957,1.366009812,31.5826604,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-1H-4, 100.0 cm",,4.881,5.230,4.881,5.230,"C0014B-1H-4, 110.0 cm",,4.974,5.330,4.974,5.330,"C0014B-1H-4 WR, 100.0--110.0 cm",CKY000000000003176400,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,43.348,"pore water chemistry/alkalinity full result/C0014B-1H-4 WR, 100.0--110.0 cm IWIC (1).pdf",hitomiy,2010-09-22T02:38:50Z
