"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014G-1H-1, 18.0 cm",,0.174,0.180,0.174,0.180,"C0014G-1H-1, 28.0 cm",,0.271,0.280,0.271,0.280,"C0014G-1H-1 WR, 18.0--28.0 cm",CKY000000000003368300,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:34:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,3.278,"pore water chemistry/alkalinity full result/C0014G-1H-1 WR, 18.0--28.0 cm IWIC (1).pdf",kames,2010-09-23T21:56:31Z
"C0014G-1H-1, 23.0 cm",,0.223,0.230,0.223,0.230,"C0014G-1H-1, 23.0 cm",,0.223,0.230,0.223,0.230,,,,,,,,,,1.33936,540.1463516,45.03126978,571.1752288,3.07,0.045803068,467.6279681,49.83471091,335.8948837,0.316845631,4.124754991,29.39202949,11.88198378,10.33512293,15.27236813,0.623710434,190.8391516,0.904422509,1386.803735,87.54035986,173.7327189,5.478784669,0.435126206,17.7521121,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-1H-2, 35.0 cm",,1.714,1.770,1.714,1.770,"C0014G-1H-2, 45.0 cm",,1.811,1.870,1.811,1.870,"C0014G-1H-2 WR, 35.0--45.0 cm",CKY000000000003369400,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:38:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28,3.415,"pore water chemistry/alkalinity full result/C0014G-1H-2 WR, 35.0--45.0 cm IWIC (1).pdf",kames,2010-09-23T21:56:33Z
"C0014G-1H-2, 40.0 cm",,1.763,1.820,1.763,1.820,"C0014G-1H-2, 40.0 cm",,1.763,1.820,1.763,1.820,,,,,,,,,,1.33935,547.3310066,44.73633444,479.4716413,3.25,0.070295328,467.3552115,50.96490246,454.397993,0.439936545,5.427287607,29.15035563,11.40022386,10.40689037,6.891999954,0.781303449,461.3012107,0.861253764,1785.815681,85.58779403,288.273667,14.72370254,0.484492985,42.1638268,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-1H-3, 90.0 cm",,3.612,3.730,3.612,3.730,"C0014G-1H-3, 100.0 cm",,3.709,3.830,3.709,3.830,"C0014G-1H-3 WR, 90.0--100.0 cm",CKY000000000003370400,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:41:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.902,"pore water chemistry/alkalinity full result/C0014G-1H-3 WR, 90.0--100.0 cm IWIC (1).pdf",kames,2010-09-23T21:56:33Z
"C0014G-1H-3, 95.0 cm",,3.661,3.780,3.661,3.780,"C0014G-1H-3, 95.0 cm",,3.661,3.780,3.661,3.780,,,,,,,,,,1.33939,550.6239734,58.06585771,440.2750169,7.52,0.052355822,470.6685122,51.85433893,795.3758639,0.781666098,5.783197108,28.1171036,11.86593885,12.43374217,11.62278389,2.531789642,132.707954,0.854728396,2801.330707,88.70493427,322.4346733,69.12584785,0.601348039,8.758152144,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-1H-4, 20.0 cm",,4.285,4.425,4.285,4.425,"C0014G-1H-4, 30.0 cm",,4.382,4.525,4.382,4.525,"C0014G-1H-4 WR, 20.0--30.0 cm",CKY000000000003371400,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:44:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,6.423,"pore water chemistry/alkalinity full result/C0014G-1H-4 WR, 20.0--30.0 cm IWIC (1).pdf",kames,2010-09-23T21:56:34Z
"C0014G-1H-4, 25.0 cm",,4.334,4.475,4.334,4.475,"C0014G-1H-4, 25.0 cm",,4.334,4.475,4.334,4.475,,,,,,,,,,1.33937,545.2354822,66.90616796,430.8812997,6.93,0.051779648,465.0817277,51.03192745,722.4793065,0.707571031,1.093354933,27.67515562,11.71265323,11.95891881,23.71334874,0.667036301,204.2443662,0.859446481,3622.801835,87.54487892,4066.892082,95.09518227,0.951901816,82.48368991,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-1H-5, 32.0 cm",,5.772,5.960,5.772,5.960,"C0014G-1H-5, 42.0 cm",,5.869,6.060,5.869,6.060,"C0014G-1H-5 WR, 32.0--42.0 cm",CKY000000000003372400,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:47:11Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,4.315,"pore water chemistry/alkalinity full result/C0014G-1H-5 WR, 32.0--42.0 cm IWIC (1).pdf",kames,2010-09-23T21:56:35Z
"C0014G-1H-5, 37.0 cm",,5.820,6.010,5.820,6.010,"C0014G-1H-5, 37.0 cm",,5.820,6.010,5.820,6.010,,,,,,,,,,1.33936,552.3203503,62.57865284,406.6608476,4.95,0.05083238,465.9215635,51.73007591,703.931838,0.691510634,2.205498806,28.60581481,11.10760916,11.03330674,12.98653091,8.722876142,111.0186524,0.877818693,3474.37325,86.66853058,282.798292,93.029159,0.690690207,50.93768243,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-1H-6, 95.0 cm",,7.747,8.000,7.747,8.000,"C0014G-1H-6, 105.0 cm",,7.844,8.100,7.844,8.100,"C0014G-1H-6 WR, 95.0--105.0 cm",CKY000000000003373400,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:49:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,3.148,"pore water chemistry/alkalinity full result/C0014G-1H-6 WR, 95.0--105.0 cm IWIC (1).pdf",kames,2010-09-25T01:59:32Z
