"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0012D-1H-2, 0.0 cm",,0.597,0.605,0.597,0.605,"C0012D-1H-2, 19.0 cm",,0.784,0.795,0.784,0.795,"C0012D-1H-2 WR, 0.0--19.0 cm",CKY000000000004563000,IWIC,,4.0,miyabes,,CKY,2010-12-27T08:25:05Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,3.582,"pore water chemistry/alkalinity full result/C0012D-1H-2 WR, 0.0--19.0 cm IWIC (1).pdf",kawait,2010-12-28T06:07:10Z
"C0012D-1H-2, 9.5 cm",,0.690,0.700,0.690,0.700,"C0012D-1H-2, 9.5 cm",,0.690,0.700,0.690,0.700,,,,,,,,,,1.3394,548.994744,44.3879668,458.355524,0.024773468,457.9642037,49.98097061,494.6229662,3.6189494,28.43296102,10.97080504,10.47602349,37.8534862,7.79241239,0,2588.26103,1451.713048,0.919554309,1671.673734,86.62223654,142.1093863,3.566873709,0.49965791,2.879947868,5.902871864,kames,2011-01-09T04:41:07Z,,,,,
"C0012D-2H-3, 0.0 cm",,119.507,119.785,119.507,119.785,"C0012D-2H-3, 26.5 cm",,119.730,120.050,119.730,120.050,"C0012D-2H-3 WR, 0.0--26.5 cm",CKY000000000004584900,IWIC,,4.0,yu333,,CKY,2010-12-27T16:19:58Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,1.86,"pore water chemistry/alkalinity full result/C0012D-2H-3 WR, 0.0--26.5 cm IWIC (1).pdf",kawait,2010-12-28T06:07:11Z
"C0012D-2H-3, 13.3 cm",,119.619,119.918,119.619,119.918,"C0012D-2H-3, 13.3 cm",,119.619,119.918,119.619,119.918,,,,,,,,,,1.33924,563.9618854,194.4288337,264.4947011,0.576639728,482.1398953,23.21435778,282.9315577,0.896289383,14.22121842,4.276376465,34.87720832,25.19314105,71.69301453,0,3522.276241,676.2629129,0.807027678,505.6201009,146.9903725,211.4519863,1.616353445,1.118489961,2.404131689,3.792141554,kames,2011-01-09T04:41:07Z,,,,,
"C0012D-3H-3, 0.0 cm",,129.198,129.335,129.198,129.335,"C0012D-3H-3, 28.5 cm",,129.470,129.620,129.470,129.620,"C0012D-3H-3 WR, 0.0--28.5 cm",CKY000000000004586200,IWIC,,4.0,yu333,,CKY,2010-12-27T16:28:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,2.077,"pore water chemistry/alkalinity full result/C0012D-3H-3 WR, 0.0--28.5 cm IWIC (1).pdf",kawait,2010-12-28T06:07:13Z
"C0012D-3H-3, 14.3 cm",,129.334,129.478,129.334,129.478,"C0012D-3H-3, 14.3 cm",,129.334,129.478,129.334,129.478,,,,,,,,,,1.33921,556.2787528,203.0033692,269.5331523,0.589261494,408.1150585,16.53161551,361.78839,0.389577532,12.51642322,3.188492037,30.57829548,24.2653585,94.58802775,0,528.0235044,1318.42208,0.812267401,458.3604844,157.264256,244.3734451,1.633012642,1.433218588,2.73201724,1.769446901,kames,2011-01-09T04:41:07Z,,,,,
"C0012D-4H-4, 0.0 cm",,137.291,137.940,137.291,137.940,"C0012D-4H-4, 29.5 cm",,137.538,138.235,137.538,138.235,"C0012D-4H-4 WR, 0.0--29.5 cm",CKY000000000004614200,IWIC,,4.0,kawait,,CKY,2010-12-28T05:09:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,2.56,"pore water chemistry/alkalinity full result/C0012D-4H-4 WR, 0.0--29.5 cm IWIC (1).pdf",kawait,2010-12-28T06:17:05Z
"C0012D-4H-4, 14.8 cm",,137.415,138.088,137.415,138.088,"C0012D-4H-4, 14.8 cm",,137.415,138.088,137.415,138.088,,,,,,,,,,1.3392,560.8686762,208.3333563,365.3828736,0.567295328,461.5463426,16.69890803,490.2814632,0.556506049,11.00747304,3.333344818,36.41671116,25.02660405,121.5700076,0.945465642,617.918987,1238.166803,0.802370406,407.6440992,159.0400477,200.7643233,1.455413696,1.400538074,2.259393477,0.781688534,kames,2011-01-09T04:41:07Z,,,,,
"C0012D-5H-4, 0.0 cm",,144.358,144.730,144.358,144.730,"C0012D-5H-4, 30.0 cm",,144.628,145.030,144.628,145.030,"C0012D-5H-4 WR, 0.0--30.0 cm",CKY000000000004615500,IWIC,,4.0,kawait,,CKY,2010-12-28T05:18:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,2.494,"pore water chemistry/alkalinity full result/C0012D-5H-4 WR, 0.0--30.0 cm IWIC (1).pdf",kawait,2010-12-28T06:17:07Z
"C0012D-5H-4, 15.0 cm",,144.493,144.880,144.493,144.880,"C0012D-5H-4, 15.0 cm",,144.493,144.880,144.493,144.880,,,,,,,,,,1.33914,560.8686762,215.3138573,337.0236252,0.576269073,464.5126662,15.25860203,363.431607,0.747012448,10.14828972,3.096193063,38.43037623,26.17516368,109.2541862,0,4081.775003,1501.627042,0.908001614,390.5275567,161.4982123,230.4656,1.535339818,1.45182937,2.419534903,2.286882989,kames,2011-01-09T04:41:07Z,,,,,
