"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0013E-1H-2, 15.0 cm",,0.310,0.310,0.310,0.310,"C0013E-1H-2, 24.0 cm",,0.400,0.400,0.400,0.400,"C0013E-1H-2 WR, 15.0--24.0 cm",CKY000000000002942600,IWIC,,4.0,sebastian331,,CKY,2010-09-12T12:27:57Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,9.079,"pore water chemistry/alkalinity full result/C0013E-1H-2 WR, 15.0--24.0 cm IWIC (1).pdf",kames,2010-09-13T18:46:36Z
"C0013E-1H-2, 19.5 cm",,0.355,0.355,0.355,0.355,"C0013E-1H-2, 19.5 cm",,0.355,0.355,0.355,0.355,,,,,,,,,,1.33889,472.5058075,34.96741683,317.4913303,0.857997298,400.8616685,43.14749785,898.9631577,0.960240851,3.694033424,34.9365973,9.092564859,26.83573594,23.60585084,0.734008975,18957.62997,0.72441051,2769.023626,116.8688092,1121.713723,29.76982975,0.90819649,143.3433215,moriyas,2010-12-03T02:29:36Z,,,,,
"C0013E-1H-5, 76.0 cm",,4.150,4.150,4.150,4.150,"C0013E-1H-5, 86.0 cm",,4.250,4.250,4.250,4.250,"C0013E-1H-5 WR, 76.0--86.0 cm",CKY000000000002943100,IWIC,,4.0,sebastian331,,CKY,2010-09-12T12:31:58Z,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.825,"pore water chemistry/alkalinity full result/C0013E-1H-5 WR, 76.0--86.0 cm IWIC (1).pdf",kames,2010-09-13T18:46:37Z
"C0013E-1H-5, 81.0 cm",,4.200,4.200,4.200,4.200,"C0013E-1H-5, 81.0 cm",,4.200,4.200,4.200,4.200,,,,,,,,,,1.33873,504.4775732,762.5692481,588.236257,0.827314348,416.3580638,40.17498891,2170.012031,2.16977231,1.828456541,14.59211983,28.05557973,11.63940869,148.0208129,8.126768806,2944.654785,0.747003458,7601.229184,50.92769318,350.1783047,21.5019211,1.400172367,0.260476871,moriyas,2010-12-03T02:29:36Z,,,,,
"C0013E-1H-6, 62.0 cm",,5.325,5.325,5.325,5.325,"C0013E-1H-6, 72.0 cm",,5.425,5.425,5.425,5.425,"C0013E-1H-6 WR, 62.0--72.0 cm",CKY000000000002944200,IWIC,,4.0,sebastian331,,CKY,2010-09-12T12:33:57Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,12.462,"pore water chemistry/alkalinity full result/C0013E-1H-6 WR, 62.0--72.0 cm IWIC (1).pdf",kames,2010-09-13T18:46:38Z
"C0013E-1H-6, 67.0 cm",,5.375,5.375,5.375,5.375,"C0013E-1H-6, 67.0 cm",,5.375,5.375,5.375,5.375,,,,,,,,,,1.3381,367.8802535,845.6551584,703.7606342,2.222755134,312.2988353,22.58156506,1159.411275,1.228465365,3.068134862,40.80111403,42.77213253,42.55350518,8.854610033,0.474265484,1605.270589,0.608630079,69219.63555,163.2188403,1182.056092,1633.797428,3.27214456,9.774987479,moriyas,2010-12-03T02:29:37Z,,,,,
"C0013E-5H-1, 88.0 cm",,16.880,16.880,16.880,16.880,"C0013E-5H-1, 96.0 cm",,16.960,16.960,16.960,16.960,"C0013E-5H-1 WR, 88.0--96.0 cm",CKY000000000002944900,IWIC,,4.0,sebastian331,,CKY,2010-09-12T12:36:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,22.198,"pore water chemistry/alkalinity full result/C0013E-5H-1 WR, 88.0--96.0 cm IWIC (1).pdf",kames,2010-09-13T18:46:40Z
"C0013E-5H-1, 92.0 cm",,16.920,16.920,16.920,16.920,"C0013E-5H-1, 92.0 cm",,16.920,16.920,16.920,16.920,,,,,,,,,,1.34007,622.5271699,1420.164349,1703.410165,1.45983842,478.1420594,7.274515511,3131.77465,3.932633346,3.913973659,13.43419809,81.08691321,48.36624012,298.5452337,1.36935881,101.2784774,1.071178455,124777.8846,117.7596302,42.0197704,1654.127577,4.609622822,5.915424342,moriyas,2010-12-03T02:29:37Z,,,,,
