"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0008C-1H-2, 0.0 cm",,1.402,1.430,1.402,1.430,"C0008C-1H-2, 23.5 cm",,1.632,1.665,1.632,1.665,"C0008C-1H-2 WR, 0.0--23.5 cm",KCC000000000002791600,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.87,6.166,kames,2010-07-06T04:49:27Z
"C0008C-1H-2, 11.7 cm",,1.517,1.547,1.517,1.547,"C0008C-1H-2, 11.7 cm",,1.517,1.547,1.517,1.547,,,,,,,,,,1.33933,35.22222,554.7234,22.91873,504.3076,231.8182,530.5985,485.8331,47.41146,609.0606,11.48463,24.69964,24.69431,31.18396,553.8513,11.41389,8.648416,5.271933,2.981857,0.8721698,81.4959,0,maedal,2008-06-09T01:44:10Z,,,,
"C0008C-1H-5, 0.0 cm",,4.186,4.270,4.186,4.270,"C0008C-1H-5, 22.0 cm",,4.402,4.490,4.402,4.490,"C0008C-1H-5 WR, 0.0--22.0 cm",KCC000000000002791700,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,8.33,20.572,kames,2010-07-06T04:49:27Z
"C0008C-1H-5, 11.0 cm",,4.294,4.380,4.294,4.380,"C0008C-1H-5, 11.0 cm",,4.294,4.380,4.294,4.380,,,,,,,,,,1.3391,33.94444,558.3031,18.77319,485.2047,550,543.6674,487.6647,39.92308,648.043,37.64341,4.623033,4.438983,5.132655,557.402,11.26699,4.063495,0.40855,0.3685926,0.9010659,79.6757,1.668754,maedal,2008-06-09T01:44:10Z,,,,
"C0008C-2H-2, 0.0 cm",,6.728,6.820,6.728,6.820,"C0008C-2H-2, 23.0 cm",,6.942,7.050,6.942,7.050,"C0008C-2H-2 WR, 0.0--23.0 cm",KCC000000000002791800,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,8.29,22.753,kames,2010-07-06T04:49:28Z
"C0008C-2H-2, 11.5 cm",,6.835,6.935,6.835,6.935,"C0008C-2H-2, 11.5 cm",,6.835,6.935,6.835,6.935,,,,,,,,,,1.33904,33.61111,563.9385,16.26,479.5621,951.5151,548.3137,494.0623,36.3305,601.8207,26.62919,0,0.4644517,0.3927109,563.0048,11.40354,3.362024,0.3566613,0.2340645,0.9336765,84.11179,112.5119,maedal,2008-06-09T01:44:12Z,,,,
"C0008C-2H-7, 0.0 cm",,11.719,12.190,11.719,12.190,"C0008C-2H-7, 24.0 cm",,11.943,12.430,11.943,12.430,"C0008C-2H-7 WR, 0.0--24.0 cm",KCC000000000002791900,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,8.32,18.139,kames,2010-07-06T04:49:28Z
"C0008C-2H-7, 12.0 cm",,11.831,12.310,11.831,12.310,"C0008C-2H-7, 12.0 cm",,11.831,12.310,11.831,12.310,,,,,,,,,,1.33896,33.16667,560.4305,17.49253,461.8742,1368.182,563.6447,499.775,29.46593,618.1377,32.1363,0,0.3738157,0.2276457,559.4688,11.0364,3.308644,0.2343618,0.08012275,0.9617003,84.12977,96.4616,maedal,2008-06-09T01:44:12Z,,,,
"C0008C-3H-3, 0.0 cm",,17.404,17.725,17.404,17.725,"C0008C-3H-3, 25.0 cm",,17.624,17.975,17.624,17.975,"C0008C-3H-3 WR, 0.0--25.0 cm",KCC000000000002792000,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.99,15.146,kames,2010-07-06T04:49:28Z
"C0008C-3H-3, 12.5 cm",,17.514,17.850,17.514,17.850,"C0008C-3H-3, 12.5 cm",,17.514,17.850,17.514,17.850,,,,,,,,,,1.33896,33.16667,564.184,15.9114,447.5401,1943.939,571.3807,508.4037,25.06465,628.7406,32.1363,0,0.3847203,0.186375,563.186,10.47472,3.810925,0.2017724,0.3560383,0.997946,82.9908,63.32784,maedal,2008-06-09T01:44:12Z,,,,
