"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0004C-1H-3, 0.0 cm",,2.620,2.620,2.620,2.620,"C0004C-1H-3, 21.5 cm",,2.835,2.835,2.835,2.835,"C0004C-1H-3 WR, 0.0--21.5 cm",KCC000000000002775300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T01:45:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,4.452,kames,2010-07-06T01:22:56Z
"C0004C-1H-3, 10.8 cm",,2.728,2.728,2.728,2.728,"C0004C-1H-3, 10.8 cm",,2.728,2.728,2.728,2.728,,,,,,,,,,1.33937,34.49189,555.023,24.34363,497.5213,146.0478,465.1287,484.5104,47.78513,624.6836,15.1554,25.31192,25.31192,,554.1337,12.20887,8.570148,53.80338,2.462411,2.516776,258.5961,0.8893216,2.001587,84.15322,23.16794,,0.4531945,0.2081557,15.45153,miyabes,2008-02-04T21:40:18Z,,,,
"C0004C-1H-6, 0.0 cm",,5.435,5.435,5.435,5.435,"C0004C-1H-6, 21.5 cm",,5.650,5.650,5.650,5.650,"C0004C-1H-6 WR, 0.0--21.5 cm",KCC000000000002775400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T01:45:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,6.987,kames,2010-07-06T01:22:56Z
"C0004C-1H-6, 10.8 cm",,5.543,5.543,5.543,5.543,"C0004C-1H-6, 10.8 cm",,5.543,5.543,5.543,5.543,,,,,,,,,,1.33931,34.16757,557.0601,23.9903,519.1087,29.5203,481.0909,479.484,45.90658,675.5994,13.71655,17.19121,20.07236,17.19121,556.1141,11.99752,7.280716,21.66122,1.291223,0.1785753,973.4925,0.9459925,1.715176,83.12923,10.90704,,0.4389687,0.3402432,15.62794,miyabes,2008-02-04T21:40:18Z,,,,
"C0004C-2H-3, 0.0 cm",,8.805,8.982,8.805,8.982,"C0004C-2H-3, 21.5 cm",,9.006,9.197,9.006,9.197,"C0004C-2H-3 WR, 0.0--21.5 cm",KCC000000000002775800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:29:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.31,6.009,kames,2010-07-06T01:22:56Z
"C0004C-2H-3, 10.8 cm",,8.906,9.090,8.906,9.090,"C0004C-2H-3, 10.8 cm",,8.906,9.090,8.906,9.090,,,,,,,,,,1.33929,34.05946,565.9069,25.24142,477.6365,320.839,464.6604,485.9778,44.79254,694.8341,26.66619,13.91257,13.91257,17.63739,565.0006,11.54674,5.90317,7.88987,0.5531617,0.1101794,50.16913,0.9063228,1.638047,86.32543,5.871004,,0.6730032,0.4332753,2.396482,miyabes,2008-02-04T21:40:18Z,,,,
"C0004C-2H-7, 0.0 cm",,12.807,13.275,12.807,13.275,"C0004C-2H-7, 21.5 cm",,13.007,13.490,13.007,13.490,"C0004C-2H-7 WR, 0.0--21.5 cm",KCC000000000002775900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:29:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,11.246,kames,2010-07-06T01:22:56Z
"C0004C-2H-7, 10.8 cm",,12.908,13.383,12.908,13.383,"C0004C-2H-7, 10.8 cm",,12.908,13.383,12.908,13.383,,,,,,,,,,1.33922,33.68108,568.7395,23.32832,501.6132,427.6559,454.5722,490.5146,41.12634,682.1553,33.86043,6.937354,6.937354,10.89652,567.8073,11.27164,4.432903,14.26695,0.2819897,0.978669,510.7433,0.9322296,1.595772,84.29979,6.393247,,1.286881,1.583706,3.133881,miyabes,2008-02-04T21:40:18Z,,,,
"C0004C-3H-5, 0.0 cm",,19.644,19.903,19.644,19.903,"C0004C-3H-5, 21.5 cm",,19.845,20.118,19.845,20.118,"C0004C-3H-5 WR, 0.0--21.5 cm",KCC000000000002777100,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,13.932,kames,2010-07-06T01:22:56Z
"C0004C-3H-5, 10.8 cm",,19.745,20.011,19.745,20.011,"C0004C-3H-5, 10.8 cm",,19.745,20.011,19.745,20.011,,,,,,,,,,1.33916,33.35676,578.1393,18.90749,445.6595,563.6046,478.3936,498.5179,38.39707,685.7697,33.86043,0.8629273,0.8629273,1.087434,577.1811,11.18139,3.088358,6.196792,0.130456,0,787.351,0.9581363,1.384964,90.01366,5.689261,,49.50832,0.4155099,5.357073,miyabes,2008-02-04T21:40:19Z,,,,
