"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0002B-1R-2, 0.0 cm",,476.415,476.415,476.415,476.415,"C0002B-1R-2, 32.0 cm",,476.735,476.735,476.735,476.735,"C0002B-1R-2 WR, 0.0--32.0 cm",CKY000000000002783900,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,18.743,kawait,2010-07-07T02:37:29Z
"C0002B-1R-2, 16.0 cm",,476.575,476.575,476.575,476.575,"C0002B-1R-2, 16.0 cm",,476.575,476.575,476.575,476.575,,,,,,,,,,1.33706,370.1781,51.87075,199.6152,9733.971,346.593,10.99636,935.9036,21.24044,0.975037812,5.499473,4.138664,16.03701,4.215627,87.5588,3718.849,2765.559,806.4863333,741.413,56.79088,503.2904,3.767947,20.21714,3.293224,0.724359,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-4R-2, 0.0 cm",,504.595,504.595,504.595,504.595,"C0002B-4R-2, 32.5 cm",,504.920,504.920,504.920,504.920,"C0002B-4R-2 WR, 0.0--32.5 cm",CKY000000000002784000,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,16.852,kawait,2010-07-07T02:37:29Z
"C0002B-4R-2, 16.2 cm",,504.757,504.757,504.757,504.757,"C0002B-4R-2, 16.2 cm",,504.757,504.757,504.757,504.757,,,,,,,,,,1.33698,366.9395,35.6495,202.9464,8906.657,339.1492,10.27514,670.8175,10.71275,0.890870429,5.620772,4.493136,14.57959,1.630461,37.82803,1293.931,3846.726,808.8427517,926.0836,54.62115,140.0019,5.258298,15.18931,2.059737,0.925123,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-8R-2, 0.0 cm",,534.410,534.410,534.410,534.410,"C0002B-8R-2, 31.5 cm",,534.725,534.725,534.725,534.725,"C0002B-8R-2 WR, 0.0--31.5 cm",CKY000000000002784100,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,17.356,kawait,2010-07-07T02:45:44Z
"C0002B-8R-2, 15.7 cm",,534.567,534.567,534.567,534.567,"C0002B-8R-2, 15.7 cm",,534.567,534.567,534.567,534.567,,,,,,,,,,1.33748,403.7764,38.46314,180.8975,8376.228,397.9051,13.21529,830.1357,8.920801,0.664385275,5.918634,5.874211,26.19597,3.439351,44.52333,6869.886,5820.062,161.7113567,1026.787,69.91251,333.6676,5.161286,18.12487,0.9659718,2.370597,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-9R-3, 0.0 cm",,544.990,544.990,544.990,544.990,"C0002B-9R-3, 31.5 cm",,545.305,545.305,545.305,545.305,"C0002B-9R-3 WR, 0.0--31.5 cm",CKY000000000002784200,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,17.724,kawait,2010-07-07T02:45:44Z
"C0002B-9R-3, 15.7 cm",,545.147,545.147,545.147,545.147,"C0002B-9R-3, 15.7 cm",,545.147,545.147,545.147,545.147,,,,,,,,,,1.3373,395.4795,52.72839,165.8503,8245.6,366.5627,11.75921,785.1381,8.24882,1.254787385,5.601569,5.585648,23.87704,2.542557,34.79893,13142.97,4040.299,854.4819936,868.4962,67.47974,236.7383,3.980606,19.02121,0.5383108,2.314785,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-10R-2, 0.0 cm",,553.405,553.405,553.405,553.405,"C0002B-10R-2, 31.5 cm",,553.720,553.720,553.720,553.720,"C0002B-10R-2 WR, 0.0--31.5 cm",CKY000000000002784300,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,17.545,kawait,2010-07-07T02:45:44Z
"C0002B-10R-2, 15.7 cm",,553.562,553.562,553.562,553.562,"C0002B-10R-2, 15.7 cm",,553.562,553.562,553.562,553.562,,,,,,,,,,1.33718,381.5471,56.3069,171.6784,8000.176,356.7748,10.25464,969.4962,12.72869,1.621972642,5.268786,5.189328,14.67952,3.113534,48.11813,993.8557,3344.351,814.7501616,903.4452,65.25041,397.9015,4.249692,19.65168,0.8735009,1.851466,kuriharar,2010-09-29T08:28:59Z,,,,
"C0002B-11R-3, 0.0 cm",,564.317,564.317,564.317,564.317,"C0002B-11R-3, 31.5 cm",,564.632,564.632,564.632,564.632,"C0002B-11R-3 WR, 0.0--31.5 cm",CKY000000000002784400,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,15.976,kawait,2010-07-07T02:45:44Z
"C0002B-11R-3, 15.7 cm",,564.474,564.474,564.474,564.474,"C0002B-11R-3, 15.7 cm",,564.474,564.474,564.474,564.474,,,,,,,,,,1.33775,414.4409,63.65313,177.7088,8253.516,399.5673,12.66517,978.9172,6.456873,3.248833591,6.141403,6.014603,30.86905,3.309106,39.67242,6583.637,3750.448,864.3494955,1029.755,75.3844,401.5766,4.80394,22.61375,2.098495,3.082428,kuriharar,2010-09-29T08:28:59Z,,,,
"C0002B-13R-2, 0.0 cm",,581.910,581.910,581.910,581.910,"C0002B-13R-2, 32.0 cm",,582.230,582.230,582.230,582.230,"C0002B-13R-2 WR, 0.0--32.0 cm",CKY000000000002784500,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,16.727,kawait,2010-07-07T02:45:44Z
