"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0001F-1H-4, 0.0 cm",,111.686,111.990,111.686,111.990,"C0001F-1H-4, 24.5 cm",,111.912,112.235,111.912,112.235,"C0001F-1H-4 WR, 0.0--24.5 cm",CKY000000000002778500,IWIC,,4.0,arakaway,,KCC,2010-07-05T03:01:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,16.911,kawait,2010-07-07T02:14:04Z
"C0001F-1H-4, 12.3 cm",,111.799,112.113,111.799,112.113,"C0001F-1H-4, 12.3 cm",,111.799,112.113,111.799,112.113,,,,,,,,,,1.33881,543.884,32.00871,332.4764,2884.673,475.0966,24.163,965.7973,22.1519,0.111142482,9.046983,3.638661,13.92939,3.108659,50.52616,116.1636,707.2305,944.5415917,1024.721,113.0252,142.6702,3.459632,150.245,2.07015,0.9234003,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-2H-5, 0.0 cm",,122.537,122.935,122.537,122.935,"C0001F-2H-5, 21.5 cm",,122.737,123.150,122.737,123.150,"C0001F-2H-5 WR, 0.0--21.5 cm",CKY000000000002778600,IWIC,,4.0,arakaway,,KCC,2010-07-05T03:01:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,15.603,kawait,2010-07-07T02:14:04Z
"C0001F-2H-5, 10.8 cm",,122.637,123.043,122.637,123.043,"C0001F-2H-5, 10.8 cm",,122.637,123.043,122.637,123.043,,,,,,,,,,1.33879,546.2014,32.84985,305.5353,2826.059,483.7023,25.16034,960.5283,35.44304,0.13917185,9.411423,3.559294,21.55121,2.389923,42.86567,64.45908,3685.705,1018.887164,1053.772,112.5719,215.4697,3.839168,167.1287,2.352061,2.493193,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-4H-3, 0.0 cm",,139.095,139.095,139.095,139.095,"C0001F-4H-3, 21.5 cm",,139.310,139.310,139.310,139.310,"C0001F-4H-3 WR, 0.0--21.5 cm",CKY000000000002778700,IWIC,,4.0,arakaway,,KCC,2010-07-05T03:03:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,16.124,kawait,2010-07-07T02:14:04Z
"C0001F-4H-3, 10.8 cm",,139.203,139.203,139.203,139.203,"C0001F-4H-3, 10.8 cm",,139.203,139.203,139.203,139.203,,,,,,,,,,1.33914,546.403,33.81717,311.922,2958.638,476.4849,23.82218,993.9605,28.48101,0.290977577,9.23043,3.42828,23.63373,2.544675,58.63613,48.30993,904.9916,1070.890962,987.0396,114.9847,423.815,3.370592,233.6213,2.109852,2.511338,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-5H-4, 0.0 cm",,149.622,149.875,149.622,149.875,"C0001F-5H-4, 21.5 cm",,149.822,150.090,149.822,150.090,"C0001F-5H-4 WR, 0.0--21.5 cm",CKY000000000002778800,IWIC,,4.0,arakaway,,KCC,2010-07-05T03:03:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,15.714,kawait,2010-07-07T02:20:46Z
"C0001F-5H-4, 10.8 cm",,149.722,149.983,149.722,149.983,"C0001F-5H-4, 10.8 cm",,149.722,149.983,149.722,149.983,,,,,,,,,,1.3382,547.3098,39.97564,284.0794,2863.739,475.1707,21.83322,965.3007,31.01266,0.187486939,8.864536,3.780788,19.04434,3.241443,81.16251,896.387,921.7373,1056.943229,933.5877,120.9678,433.0701,3.007164,280.3269,1.167767,5.638682,kuriharar,2010-09-29T08:28:59Z,,,,
"C0001F-6H-4, 0.0 cm",,158.216,158.440,158.216,158.440,"C0001F-6H-4, 21.5 cm",,158.415,158.655,158.415,158.655,"C0001F-6H-4 WR, 0.0--21.5 cm",CKY000000000002778900,IWIC,,4.0,arakaway,,KCC,2010-07-05T03:03:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,15.884,kawait,2010-07-07T02:20:46Z
"C0001F-6H-4, 10.8 cm",,158.316,158.548,158.316,158.548,"C0001F-6H-4, 10.8 cm",,158.316,158.548,158.316,158.548,,,,,,,,,,1.33878,547.0075,36.72639,290.3761,2987.945,483.7023,25.16034,1143.182,37.02532,0.079806542,9.411423,3.559294,16.75509,2.755276,53.66017,522.132,2040.616,1074.250887,1008.067,117.2921,250.9652,3.475936,315.2968,1.437189,1.210414,kuriharar,2010-09-29T08:28:59Z,,,,
"C0001F-7H-12, 0.0 cm",,167.429,167.935,167.429,167.935,"C0001F-7H-12, 21.5 cm",,167.627,168.150,167.627,168.150,"C0001F-7H-12 WR, 0.0--21.5 cm",CKY000000000002779000,IWIC,,4.0,arakaway,,KCC,2010-07-05T03:03:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,15.618,kawait,2010-07-07T02:20:46Z
"C0001F-7H-12, 10.8 cm",,167.528,168.043,167.528,168.043,"C0001F-7H-12, 10.8 cm",,167.528,168.043,167.528,168.043,,,,,,,,,,1.33882,545.3915,37.70246,265.5341,2849.783,480.0121,21.52347,998.3318,26.26582,0.14674585,9.154371,4.277288,26.77916,3.134711,76.38657,1431.174,1251.87,1095.253309,978.7534,120.3954,425.8302,3.311835,352.8394,1.657437,1.596179,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-8H-4, 0.0 cm",,174.688,174.995,174.688,174.995,"C0001F-8H-4, 21.5 cm",,174.887,175.210,174.887,175.210,"C0001F-8H-4 WR, 0.0--21.5 cm",CKY000000000002779100,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:36:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,14.44,kawait,2010-07-07T02:20:46Z
"C0001F-8H-4, 10.8 cm",,174.788,175.103,174.788,175.103,"C0001F-8H-4, 10.8 cm",,174.788,175.103,174.788,175.103,,,,,,,,,,1.33879,549.3725,38.96604,256.3821,2986.55,470.9004,20.88393,975.5835,22.1519,0.153429066,9.148965,4.254451,13.74971,2.493517,37.86465,1209.826,1979.374,1047.455939,1026.017,119.9471,258.6446,3.743306,377.1048,10.06397,1.964581,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-9H-4, 0.0 cm",,183.488,183.890,183.488,183.890,"C0001F-9H-4, 21.5 cm",,183.682,184.105,183.682,184.105,"C0001F-9H-4 WR, 0.0--21.5 cm",CKY000000000002779200,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,16.307,kawait,2010-07-07T02:20:47Z
"C0001F-9H-4, 10.8 cm",,183.585,183.998,183.585,183.998,"C0001F-9H-4, 10.8 cm",,183.585,183.998,183.585,183.998,,,,,,,,,,1.33881,548.4655,44.16694,283.705,2764.654,502.3961,21.61372,980.5576,11.39241,0.163672152,8.74091,4.722392,14.92096,3.729867,87.33366,428.2906,1708.295,1087.844228,958.8455,121.191,383.2308,3.40978,419.7675,1.969453,1.704189,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-10H-10, 0.0 cm",,193.245,193.245,193.245,193.245,"C0001F-10H-10, 21.5 cm",,193.460,193.460,193.460,193.460,"C0001F-10H-10 WR, 0.0--21.5 cm",CKY000000000002779300,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,16.522,kawait,2010-07-07T02:20:47Z
"C0001F-10H-10, 10.8 cm",,193.353,193.353,193.353,193.353,"C0001F-10H-10, 10.8 cm",,193.353,193.353,193.353,193.353,,,,,,,,,,1.33882,548.8686,47.00895,266.7897,2775.818,466.8945,21.54582,1025.18,23.10126,0.198527897,8.714056,4.779832,14.80856,4.939893,85.55229,238.6147,1239.873,1105.674221,980.08,122.1231,452.502,3.917481,435.6285,5.250525,3.954592,miyabes,2010-08-11T06:59:07Z,,,,
"C0001F-13H-2, 0.0 cm",,203.083,203.125,203.083,203.125,"C0001F-13H-2, 21.5 cm",,203.287,203.340,203.287,203.340,"C0001F-13H-2 WR, 0.0--21.5 cm",CKY000000000002779400,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,16.227,kawait,2010-07-07T02:20:47Z
