"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0006D-1H-2, 0.0 cm",,1.104,1.210,1.104,1.210,"C0006D-1H-2, 21.5 cm",,1.300,1.425,1.300,1.425,"C0006D-1H-2 WR, 0.0--21.5 cm",KCC000000000002787200,IWIC,,4.0,yasunagam,KCC,2010-07-05T05:38:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,17.052,kames,2010-07-06T02:00:28Z
"C0006D-1H-2, 10.8 cm",,1.202,1.318,1.202,1.318,"C0006D-1H-2, 10.8 cm",,1.202,1.318,1.202,1.318,,,,,,,,,1.33914,33.88889,558.4117,20.54899,493.7602,1000.617,488.374,42.70195,613.4724,42.0137,9.58815,1.655393,557.5494,11.78253,5.980473,6.637028,0.586119,0.2693365,263.0786,0.8623878,1.676866,74.42049,49.14783,3.93762,2.436574,0,15.92645,miyabes,2008-02-04T22:16:12Z,,,,
"C0006D-1H-5, 0.0 cm",,3.685,4.040,3.685,4.040,"C0006D-1H-5, 21.5 cm",,3.881,4.255,3.881,4.255,"C0006D-1H-5 WR, 0.0--21.5 cm",KCC000000000002787300,IWIC,,4.0,yasunagam,KCC,2010-07-05T05:38:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,20.987,kuriharar,2010-09-29T07:40:26Z
"C0006D-1H-5, 10.8 cm",,3.784,4.148,3.784,4.148,"C0006D-1H-5, 10.8 cm",,3.784,4.148,3.784,4.148,,,,,,,,,1.33895,32.83333,558.4603,14.53065,460.9158,2458.951,465.5278,34.80611,763.9988,68.0411,0.4633312,,557.5819,10.15408,3.672698,15.4001,0.5364286,0.2781899,86.06598,0.8783348,1.59429,69.96575,67.65061,6.048571,10.8335,0,0,miyabes,2008-02-04T22:16:13Z,,,,
