"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::pmH full result::file","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0018A-27T-5, 12.0 cm",,223.535,223.535,223.535,223.535,"C0018A-27T-5, 12.0 cm",,223.535,223.535,223.535,223.535,,,,,,,,,,1.33918,572.4121326,39.31259659,174.6048354,9.561532311,509.6548383,29.1930148,565.3702097,78.1044418,0.666710002,10.63050805,5.187570481,55.35802994,1.06205754,0.932887208,676.2255197,1438.173022,1.022769981,1212.204413,78.28297116,160.4779664,5.569379704,26.27455483,1.321996461,1.362206999,kames,2011-01-09T03:15:34Z,,,,,,
"C0018A-28T-4, 0.0 cm",,232.605,232.605,232.605,232.605,"C0018A-28T-4, 26.0 cm",,232.865,232.865,232.865,232.865,"C0018A-28T-4 WR, 0.0--26.0 cm",CKY000000000003794900,IWIC,,4.0,kames,,CKY,2010-12-15T16:14:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,,24.437,"pore water chemistry/alkalinity full result/C0018A-28T-4 WR, 0.0--26.0 cm IWIC (1).pdf",kames,2010-12-16T16:34:03Z
"C0018A-28T-4, 13.0 cm",,232.735,232.735,232.735,232.735,"C0018A-28T-4, 13.0 cm",,232.735,232.735,232.735,232.735,,,,,,,,,,1.33929,572.0119144,45.16529738,189.5942819,9.382783825,498.2896172,29.09756513,688.3898014,94.43991069,0.884549121,9.136430756,5.274452855,41.52131067,1.458549352,1.421522614,2017.604123,1107.272918,1.048406901,1164.505189,79.03620437,138.4426576,4.940585592,23.53991057,0.795977009,1.473531043,kames,2011-01-09T03:15:34Z,,,,,,
"C0018A-29T-6, 0.0 cm",,243.750,243.750,243.750,243.750,"C0018A-29T-6, 30.0 cm",,244.050,244.050,244.050,244.050,"C0018A-29T-6 WR, 0.0--30.0 cm",CKY000000000003799900,IWIC,,4.0,kames,,CKY,2010-12-15T18:45:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,,23.542,"pore water chemistry/alkalinity full result/C0018A-29T-6 WR, 0.0--30.0 cm IWIC (1).pdf",kames,2010-12-16T16:34:04Z
"C0018A-29T-6, 15.0 cm",,243.900,243.900,243.900,243.900,"C0018A-29T-6, 15.0 cm",,243.900,243.900,243.900,243.900,,,,,,,,,,1.33915,570.7112051,44.8173118,170.7184504,9.022150916,489.5553243,28.81493991,575.1543036,69.32220696,1.002501404,9.133862403,5.496057852,49.36930755,1.745953378,4.395007546,728.9242333,1898.50519,1.072090809,1478.486603,79.71036459,102.461842,8.528878051,20.97089408,0.486392813,1.575839039,kames,2011-01-09T03:15:34Z,,,,,,
"C0018A-31X-4, 0.0 cm",,260.520,260.520,260.520,260.520,"C0018A-31X-4, 31.5 cm",,260.835,260.835,260.835,260.835,"C0018A-31X-4 WR, 0.0--31.5 cm",CKY000000000003823300,IWIC,,4.0,korayekinci333,,CKY,2010-12-15T23:33:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,,24.47,"pore water chemistry/alkalinity full result/C0018A-31X-4 WR, 0.0--31.5 cm IWIC (1).pdf",kames,2010-12-16T16:34:05Z
"C0018A-31X-4, 15.8 cm",,260.678,260.678,260.678,260.678,"C0018A-31X-4, 15.8 cm",,260.678,260.678,260.678,260.678,,,,,,,,,,1.33927,577.4148606,42.49770172,185.4168627,9.074285891,503.9084349,29.59370108,676.1509385,69.48863415,0.699553257,9.105932064,5.824515817,54.98302518,1.501069176,2.480022475,334.2697697,3645.876067,1.074699017,1276.24592,84.02439744,150.8690924,5.936936737,22.32858334,0.73097416,1.935870554,kames,2011-01-09T03:15:35Z,,,,,,
"C0018A-33X-6, 0.0 cm",,281.020,281.020,281.020,281.020,"C0018A-33X-6, 25.5 cm",,281.275,281.275,281.275,281.275,"C0018A-33X-6 WR, 0.0--25.5 cm",CKY000000000003839000,IWIC,,4.0,kawait,,CKY,2010-12-16T07:03:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,24.542,"pore water chemistry/alkalinity full result/C0018A-33X-6 WR, 0.0--25.5 cm IWIC (1).pdf",kames,2010-12-16T16:37:36Z
"C0018A-33X-6, 12.8 cm",,281.148,281.148,281.148,281.148,"C0018A-33X-6, 12.8 cm",,281.148,281.148,281.148,281.148,,,,,,,,,,1.3392,576.414315,40.69653017,143.2385746,8.724694098,494.0083987,29.27040666,631.2687042,59.27520456,0.58646688,8.574442686,6.304242121,50.45317122,1.230871697,1.232730674,1133.0264,2259.890512,1.112377313,1202.126897,88.62491722,41.89117251,6.51087098,24.27531072,0.672312024,1.449953833,kames,2011-01-09T03:15:35Z,,,,,,
"C0018A-34X-6, 0.0 cm",,289.925,289.925,289.925,289.925,"C0018A-34X-6, 24.0 cm",,290.165,290.165,290.165,290.165,"C0018A-34X-6 WR, 0.0--24.0 cm",CKY000000000003844400,IWIC,,4.0,kawait,,CKY,2010-12-16T09:14:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,"pore water chemistry/pmH full result/C0018A-34X-6 WR, 0.0--24.0 cm IWIC (1).pdf",22.307,"pore water chemistry/alkalinity full result/C0018A-34X-6 WR, 0.0--24.0 cm IWIC (1).pdf",kames,2010-12-16T16:14:08Z
"C0018A-34X-6, 12.0 cm",,290.045,290.045,290.045,290.045,"C0018A-34X-6, 12.0 cm",,290.045,290.045,290.045,290.045,,,,,,,,,,1.3392,577.8150788,45.68492449,171.5458311,8.666613907,507.6439378,29.69689078,620.3476686,50.91535836,0.935665856,9.502864324,6.436593222,54.32844161,1.423821963,1.150367884,1616.214525,2305.99293,1.111435262,1160.166934,88.76215728,130.8635517,5.465766609,25.23705108,0.881517032,1.847174366,kames,2011-01-09T03:15:35Z,,,,,,
"C0018A-35X-4, 0.0 cm",,298.031,298.295,298.031,298.295,"C0018A-35X-4, 21.5 cm",,298.228,298.510,298.228,298.510,"C0018A-35X-4 WR, 0.0--21.5 cm",CKY000000000003866100,IWIC,,4.0,yu333,,CKY,2010-12-16T15:54:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,,22.419,"pore water chemistry/alkalinity full result/C0018A-35X-4 WR, 0.0--21.5 cm IWIC (1).pdf",kames,2010-12-16T16:17:13Z
"C0018A-35X-4, 10.8 cm",,298.130,298.403,298.130,298.403,"C0018A-35X-4, 10.8 cm",,298.130,298.403,298.130,298.403,,,,,,,,,,1.33931,576.1141513,48.51489794,151.0050651,9.542807514,498.0299709,29.21543237,711.5476761,42.50192339,1.118658367,9.428792779,6.267857502,21.17164252,1.449786818,0,1543.759745,2217.609465,1.102891378,1210.829501,90.10921735,134.0658646,5.618495079,27.0661511,1.769915242,2.566990497,kames,2011-01-09T03:15:35Z,,,,,,
"C0018A-36X-5, 0.0 cm",,308.185,308.185,308.185,308.185,"C0018A-36X-5, 24.0 cm",,308.425,308.425,308.425,308.425,"C0018A-36X-5 WR, 0.0--24.0 cm",CKY000000000003867200,IWIC,,4.0,yu333,,CKY,2010-12-16T16:05:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,,22.002,"pore water chemistry/alkalinity full result/C0018A-36X-5 WR, 0.0--24.0 cm IWIC (1).pdf",kames,2010-12-16T16:17:14Z
"C0018A-36X-5, 12.0 cm",,308.305,308.305,308.305,308.305,"C0018A-36X-5, 12.0 cm",,308.305,308.305,308.305,308.305,,,,,,,,,,1.33924,580.2163882,48.61497826,165.8885114,9.368707164,490.7567145,29.18220632,685.3795962,34.53059568,1.371416336,8.393809999,6.767370215,49.78149732,1.653160381,3.408635323,263.8987552,4331.178358,1.067451844,1193.099753,95.3113302,71.0006756,5.746719813,28.48048414,0.374747443,1.429883226,kames,2011-01-09T03:15:35Z,,,,,,
