"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0007D-15R-1, 85.0 cm",,304.350,304.350,304.350,304.350,"C0007D-15R-1, 120.0 cm",,304.700,304.700,304.700,304.700,"C0007D-15R-1 WR, 85.0--120.0 cm",KCC000000000002800200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.15,7.825,kames,2010-07-06T02:52:19Z
"C0007D-15R-1, 102.5 cm",,304.525,304.525,304.525,304.525,"C0007D-15R-1, 102.5 cm",,304.525,304.525,304.525,304.525,,,,,,,,,,1.33882,32.11111,544.1812,25.4258,150.5389,2760.109,476.1151,523.2562,15.79137,394.8487,4.336603,3.716943,3.66285,3.791669,543.2865,7.871742,10.00187,3.489298,0.6621363,0.894729,109.5335,18.70952,maedal,2008-06-09T01:43:54Z,,,,
"C0007D-16R-1, 95.0 cm",,313.950,313.950,313.950,313.950,"C0007D-16R-1, 136.0 cm",,314.360,314.360,314.360,314.360,"C0007D-16R-1 WR, 95.0--136.0 cm",KCC000000000002800300,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.83,kames,2010-07-06T03:02:02Z
"C0007D-16R-1, 115.5 cm",,314.155,314.155,314.155,314.155,"C0007D-16R-1, 115.5 cm",,314.155,314.155,314.155,314.155,,,,,,,,,,1.33887,32.38889,548.4774,25.41984,177.4133,2715.184,467.2466,523.7062,17.05039,443.5983,1.626226,2.35144,2.233466,2.186586,547.5832,8.86931,10.31444,4.57845,0.4603669,0.8941792,109.2434,21.56061,maedal,2008-06-09T01:43:55Z,,,,
"C0007D-17R-3, 0.0 cm",,325.295,325.295,325.295,325.295,"C0007D-17R-3, 41.5 cm",,325.710,325.710,325.710,325.710,"C0007D-17R-3 WR, 0.0--41.5 cm",KCC000000000002800400,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.27,7.303,kuriharar,2010-09-29T07:50:47Z
"C0007D-17R-3, 20.7 cm",,325.502,325.502,325.502,325.502,"C0007D-17R-3, 20.7 cm",,325.502,325.502,325.502,325.502,,,,,,,,,,1.33832,29.33333,499.4214,26.7121,152.8862,2330.109,480.6156,459.8779,12.73462,484.0687,2.981415,3.945881,3.384391,4.1931,498.6026,7.176977,9.669075,3.599622,0.5287776,0.8188149,97.35021,24.90705,maedal,2008-06-09T01:43:55Z,,,,
"C0007D-18R-1, 62.5 cm",,332.625,332.625,332.625,332.625,"C0007D-18R-1, 103.0 cm",,333.030,333.030,333.030,333.030,"C0007D-18R-1 WR, 62.5--103.0 cm",KCC000000000002800500,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.99,7.618,kames,2010-07-06T03:02:02Z
"C0007D-18R-1, 82.7 cm",,332.827,332.827,332.827,332.827,"C0007D-18R-1, 82.7 cm",,332.827,332.827,332.827,332.827,,,,,,,,,,1.33882,32.11111,549.3866,32.78973,207.0506,2233.84,509.7031,498.9023,16.69311,669.4008,5.691792,3.040418,2.78144,3.214076,548.4706,7.604697,10.20809,4.624617,0.4822597,0.9159064,109.8605,41.33601,maedal,2008-06-09T01:43:55Z,,,,
"C0007D-19R-1, 31.0 cm",,341.810,341.810,341.810,341.810,"C0007D-19R-1, 72.5 cm",,342.225,342.225,342.225,342.225,"C0007D-19R-1 WR, 31.0--72.5 cm",KCC000000000002800600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.13,6.85,kuriharar,2010-09-29T07:50:47Z
"C0007D-19R-1, 51.7 cm",,342.017,342.017,342.017,342.017,"C0007D-19R-1, 51.7 cm",,342.017,342.017,342.017,342.017,,,,,,,,,,1.33885,32.27778,542.9464,37.61384,190.7215,2060.908,512.6394,491.3407,19.87549,538.1624,0.2710377,6.483057,5.913989,6.936397,542.0614,7.911719,10.62082,4.499504,0.6163673,0.8849211,106.0879,30.5264,maedal,2008-06-09T01:43:55Z,,,,
