"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014E-2H-4, 10.0 cm",,27.245,27.245,27.245,27.245,"C0014E-2H-4, 25.0 cm",,27.395,27.395,27.395,27.395,"C0014E-2H-4 WR, 10.0--25.0 cm",CKY000000000003171500,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:15:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,11.048,"pore water chemistry/alkalinity full result/C0014E-2H-4 WR, 10.0--25.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:54Z
"C0014E-2H-4, 17.5 cm",,27.320,27.320,27.320,27.320,"C0014E-2H-4, 17.5 cm",,27.320,27.320,27.320,27.320,,,,,,,,,,1.3388,543.6073253,1343.462468,1556.151505,11.11,1.642410821,416.6850878,15.0018812,2718.141624,2.845022661,0,1.569176457,56.25364112,24.90869467,31.91422864,0.783725793,502.8117494,0.904190012,59322.79222,95.83508395,306.0179115,651.5585277,35.1804544,35.04717825,moriyas,2010-12-03T02:29:43Z,,,,,
"C0014E-2H-5, 45.0 cm",,28.995,28.995,28.995,28.995,"C0014E-2H-5, 60.0 cm",,29.145,29.145,29.145,29.145,"C0014E-2H-5 WR, 45.0--60.0 cm",CKY000000000003172000,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:17:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21,13.551,"pore water chemistry/alkalinity full result/C0014E-2H-5 WR, 45.0--60.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:55Z
"C0014E-2H-5, 52.5 cm",,29.070,29.070,29.070,29.070,"C0014E-2H-5, 52.5 cm",,29.070,29.070,29.070,29.070,,,,,,,,,,1.33879,536.0767473,1360.581539,1559.150034,13.68,1.603801817,414.9830766,11.27180142,2731.813016,2.829603207,2.72277881,1.308239742,58.94328591,27.57642099,94.00369674,0.615177803,201.6436229,0.930239753,61113.48057,91.16668471,277.0047563,567.3364264,34.2882949,4.420986648,moriyas,2010-12-03T02:29:43Z,,,,,
"C0014E-2H-6, 70.0 cm",,30.655,30.655,30.655,30.655,"C0014E-2H-6, 85.0 cm",,30.805,30.805,30.805,30.805,"C0014E-2H-6 WR, 70.0--85.0 cm",CKY000000000003172500,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:18:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,8.393,"pore water chemistry/alkalinity full result/C0014E-2H-6 WR, 70.0--85.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:56Z
"C0014E-2H-6, 77.5 cm",,30.730,30.730,30.730,30.730,"C0014E-2H-6, 77.5 cm",,30.730,30.730,30.730,30.730,,,,,,,,,,1.33832,501.0344575,1307.887556,1174.540417,,1.609413361,390.4579738,7.612822788,1983.266405,2.081922,2.963666667,0.809726805,47.8711776,27.52400255,233.7006198,0.498297463,152.2462342,0.839800696,38729.45948,92.69460507,81.03080836,358.8259963,49.36887076,31.25851947,moriyas,2010-12-03T02:29:43Z,,,,,
"C0014E-2H-7, 80.0 cm",,32.170,32.170,32.170,32.170,"C0014E-2H-7, 95.0 cm",,32.320,32.320,32.320,32.320,"C0014E-2H-7 WR, 80.0--95.0 cm",CKY000000000003172800,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:21:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,11.618,"pore water chemistry/alkalinity full result/C0014E-2H-7 WR, 80.0--95.0 cm IWIC (1).pdf",yamamoton,2010-10-22T01:40:48Z
"C0014E-2H-7, 87.5 cm",,32.245,32.245,32.245,32.245,"C0014E-2H-7, 87.5 cm",,32.245,32.245,32.245,32.245,,,,,,,,,,1.33821,484.8194906,1270.123416,1515.471376,,2.12909371,373.6932827,7.071296137,2920.414961,3.020195774,3.715095875,0.395710054,59.81254951,23.76959449,197.9084256,3.106042217,87.71312975,0.833364119,75575.70597,80.25771677,355.9204644,919.4952777,41.52855279,89.56047515,moriyas,2010-12-03T02:29:43Z,,,,,
"C0014E-2H-8, 40.0 cm",,33.180,33.180,33.180,33.180,"C0014E-2H-8, 55.0 cm",,33.330,33.330,33.330,33.330,"C0014E-2H-8 WR, 40.0--55.0 cm",CKY000000000003174000,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:24:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,11.138,"pore water chemistry/alkalinity full result/C0014E-2H-8 WR, 40.0--55.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:59Z
"C0014E-2H-8, 47.5 cm",,33.255,33.255,33.255,33.255,"C0014E-2H-8, 47.5 cm",,33.255,33.255,33.255,33.255,,,,,,,,,,1.33824,484.4161466,1258.212807,1457.714001,,2.054503644,387.5832,7.430044442,2808.404769,2.976493795,5.610774455,0.379603203,60.84886205,24.36903244,232.159146,4.902685444,0,0.847384993,89299.60032,83.32352196,0,1322.257935,38.04563512,0.848504503,moriyas,2010-12-03T02:29:43Z,,,,,
