"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014E-1H-3, 110.0 cm",,18.665,18.665,18.665,18.665,"C0014E-1H-3, 120.0 cm",,18.765,18.765,18.765,18.765,"C0014E-1H-3 WR, 110.0--120.0 cm",CKY000000000003167900,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:01:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62,8.817,"pore water chemistry/alkalinity full result/C0014E-1H-3 WR, 110.0--120.0 cm IWIC (1).pdf",hitomiy,2010-09-23T17:59:58Z
"C0014E-1H-3, 115.0 cm",,18.715,18.715,18.715,18.715,"C0014E-1H-3, 115.0 cm",,18.715,18.715,18.715,18.715,,,,,,,,,,1.33894,506.8017387,1345.141666,1055.561462,9.81,1.387658578,432.0550636,14.36813072,1387.105489,1.399260417,2.254009311,3.149046249,53.73884789,22.2062748,181.401775,14.19620379,49.62616055,0.928238287,50063.79542,95.09286074,0,420.753456,12.72985855,1.575213705,moriyas,2010-12-03T02:29:42Z,,,,,
"C0014E-1H-4, 90.0 cm",,19.870,19.870,19.870,19.870,"C0014E-1H-4, 101.0 cm",,19.980,19.980,19.980,19.980,"C0014E-1H-4 WR, 90.0--101.0 cm",CKY000000000003168900,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:05:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,15.026,"pore water chemistry/alkalinity full result/C0014E-1H-4 WR, 90.0--101.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:49Z
"C0014E-1H-4, 95.5 cm",,19.925,19.925,19.925,19.925,"C0014E-1H-4, 95.5 cm",,19.925,19.925,19.925,19.925,,,,,,,,,,1.33907,552.1779389,1392.708628,1286.393162,15.35,1.36353289,429.8283922,17.59140954,1625.739316,1.635908458,2.96645673,2.77910061,46.41014509,30.26994992,187.9097891,1.029368268,805.3583608,0.931881807,54142.29182,111.310121,107.7122376,1414.693779,17.0988616,7.349021935,moriyas,2010-12-03T02:29:42Z,,,,,
"C0014E-1H-5, 46.0 cm",,20.840,20.840,20.840,20.840,"C0014E-1H-5, 61.0 cm",,20.990,20.990,20.990,20.990,"C0014E-1H-5 WR, 46.0--61.0 cm",CKY000000000003169300,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:07:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,11.16,"pore water chemistry/alkalinity full result/C0014E-1H-5 WR, 46.0--61.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:50Z
"C0014E-1H-5, 53.5 cm",,20.915,20.915,20.915,20.915,"C0014E-1H-5, 53.5 cm",,20.915,20.915,20.915,20.915,,,,,,,,,,1.33901,561.656523,1389.390226,1304.650712,11.88,1.450689653,440.5699983,15.51909347,1331.144499,1.379539747,1.926026267,2.383140597,50.66157198,26.66168775,172.3173542,0.814874629,363.4715464,0.936640041,50967.81321,100.2693494,128.2056685,644.5773855,17.19318897,7.869736539,moriyas,2010-12-03T02:29:42Z,,,,,
"C0014E-1H-6, 85.0 cm",,22.210,22.210,22.210,22.210,"C0014E-1H-6, 100.0 cm",,22.360,22.360,22.360,22.360,"C0014E-1H-6 WR, 85.0--100.0 cm",CKY000000000003170200,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:10:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,9.66,"pore water chemistry/alkalinity full result/C0014E-1H-6 WR, 85.0--100.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:52Z
"C0014E-1H-6, 92.5 cm",,22.285,22.285,22.285,22.285,"C0014E-1H-6, 92.5 cm",,22.285,22.285,22.285,22.285,,,,,,,,,,1.33899,560.950671,1370.588932,1313.603716,,1.422651692,436.6539619,15.83625915,1226.010855,1.273104937,2.193860882,2.297574607,47.5544983,26.19411336,163.1843557,4.046784504,171.8474609,0.941958044,48216.0651,104.3621513,120.1254145,586.7621646,21.55114351,16.30912628,moriyas,2010-12-03T02:29:42Z,,,,,
"C0014E-1H-9, 47.0 cm",,24.535,24.535,24.535,24.535,"C0014E-1H-9, 62.0 cm",,24.685,24.685,24.685,24.685,"C0014E-1H-9 WR, 47.0--62.0 cm",CKY000000000003170500,IWIC,,4.0,takuroh331,,CKY,2010-09-19T23:13:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,8.356,"pore water chemistry/alkalinity full result/C0014E-1H-9 WR, 47.0--62.0 cm IWIC (1).pdf",hitomiy,2010-09-23T20:39:53Z
"C0014E-1H-9, 54.5 cm",,24.610,24.610,24.610,24.610,"C0014E-1H-9, 54.5 cm",,24.610,24.610,24.610,24.610,,,,,,,,,,1.33896,561.555687,1395.63943,1244.745398,9.51,1.450492063,443.1367189,14.52084519,1071.898149,1.082816702,1.159190409,2.338302316,55.89035804,23.32861309,161.5985102,13.86632349,0,0.959193539,49766.91894,92.08207209,0,349.5901731,21.8474023,2.81362577,moriyas,2010-12-03T02:29:43Z,,,,,
